PeakID (cmd=annotatePeaks.pl /expanse/lustre/projects/csd940/ctea/homer/homer_scripts/reference_peaks/Superenhancers_P60.bed mm10 -size 1000 -bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M2/tagdirs/tagdirs.25x50kb.PC1.bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M2/tagdirs/tagdirs.25x50kb.PC1.bedGraph)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M2/tagdirs/tagdirs.25x50kb.PC1.bedGraph bedGraph avg over 1000 bp	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M2/tagdirs/tagdirs.25x50kb.PC1.bedGraph bedGraph avg over 1000 bp
SE_12_052300181	chr8	15007708	15008708	+	0	NA	Intergenic	RCHARR1|DNA|hAT-Charlie	-2817	NM_029116	74901		NM_029116	ENSMUSG00000055675	Kbtbd11	2900016B01Rik|4930465M17Rik|mKIAA0711	kelch repeat and BTB (POZ) domain containing 11	protein-coding	1.552	1.521
SE_12_052300353	chr1	36495904	36496904	+	0	NA	intron (NM_033570, intron 1 of 6)	intron (NM_033570, intron 1 of 6)	-15463	NM_053186	94218		NM_053186	ENSMUSG00000001138	Cnnm3	Acdp3|Clp3|mACDP3	cyclin M3	protein-coding	1.541	1.544
SE_12_052300436	chr5	35158264	35159264	+	0	NA	Intergenic	Intergenic	-53065	NM_013587	16976		NM_013587	ENSMUSG00000029103	Lrpap1	HBP44|RAP	low density lipoprotein receptor-related protein associated protein 1	protein-coding	1.463	1.518
SE_12_052300100	chr7	122360916	122361916	+	0	NA	intron (NM_008855, intron 2 of 16)	intron (NM_008855, intron 2 of 16)	72291	NM_001316672	18751		NM_008855	ENSMUSG00000052889	Prkcb	PKC-B|PKC-Beta|Pkcb|Prkcb1|Prkcb2	protein kinase C, beta	protein-coding	1.587	1.441
SE_12_052300096	chr4	137698112	137699112	+	0	NA	intron (NR_138594, intron 1 of 1)	intron (NR_138594, intron 1 of 1)	7994	NR_138594	69808		NR_138594	ENSMUSG00000087476	Rap1gapos	1810058N05Rik	RAP1 GTPase activating protein, opposite strand	ncRNA	1.353	1.293
SE_12_052300604	chr18	33445437	33446437	+	0	NA	intron (NM_053078, intron 2 of 3)	intron (NM_053078, intron 2 of 3)	17697	NM_053078	27528		NM_053078	ENSMUSG00000042834	Nrep	D0H4S114|Harp|P311|PTZ17|SEZ17	neuronal regeneration related protein	protein-coding	1.516	1.457
SE_12_052300104	chr13	83728985	83729985	+	0	NA	intron (NR_015561, intron 1 of 3)	intron (NR_015561, intron 1 of 3)	1379	NR_015561	320203		NM_177100	ENSMUSG00000050334	Mir9-2hg	2810449C10Rik|C130071C03Rik|ECONEXIN|EyeLinc1|Visc-1	Mir9-2 host gene	ncRNA	1.092	1.039
SE_12_052300216	chr3	156946879	156947879	+	0	NA	intron (NM_177274, intron 2 of 6)	intron (NM_177274, intron 2 of 6)	385585	NM_177274	320840		NM_177274	ENSMUSG00000040037	Negr1	5330422G01Rik|KILON|Ntra	neuronal growth regulator 1	protein-coding	1.797	1.672
SE_12_052300003	chr4	155289383	155290383	+	0	NA	intron (NM_001039079, intron 5 of 14)	intron (NM_001039079, intron 5 of 14)	39917	NR_033802	67513		NM_001190445	ENSMUSG00000073684	Faap20	2610002J02Rik	Fanconi anemia core complex associated protein 20	protein-coding	1.308	1.212
SE_12_052300977	chr4	46748900	46749900	+	0	NA	intron (NM_001081141, intron 8 of 18)	intron (NM_001081141, intron 8 of 18)	-99201	NM_198664	381605		NM_198664	ENSMUSG00000039813	Tbc1d2	A630005A06Rik|Gm1037|PARIS-1|PARIS1	TBC1 domain family, member 2	protein-coding	1.533	1.517
