chr	start	end	direction	loop_distance	n_loops	cpg_overlap	gc_content	distance_bin	group
chr1	24670000	24680000	down_in_mutant	410000	1	TRUE	0.442755724427557	200-500kb	lost
chr1	25080000	25090000	down_in_mutant	410000	1	FALSE	0.390760923907609	200-500kb	lost
chr1	25825000	25850000	down_in_mutant	4750000	1	TRUE	0.407263709451622	>1Mb	lost
chr1	30575000	30600000	down_in_mutant	4750000	1	FALSE	0.41294348226071	>1Mb	lost
chr1	38860000	38865000	down_in_mutant	75000	1	FALSE	0.474105178964207	<200kb	lost
chr1	38935000	38940000	down_in_mutant	75000	1	FALSE	0.394321135772845	<200kb	lost
chr1	42675000	42700000	down_in_mutant	14275000	1	TRUE	0.473501059957602	>1Mb	lost
chr1	43260000	43265000	down_in_mutant	350000	1	FALSE	0.427314537092581	200-500kb	lost
chr1	46825000	46850000	down_in_mutant	4650000	1	FALSE	0.364785408583657	>1Mb	lost
chr1	46850000	46860000	down_in_mutant	2060000	2	TRUE	0.445055494450555	>1Mb	lost
chr1	46850000	46875000	down_in_mutant	4750000	2	TRUE	0.415343386264549	>1Mb	lost
chr1	47270000	47280000	down_in_mutant	4180000	1	FALSE	0.362563743625637	>1Mb	lost
chr1	47275000	47300000	down_in_mutant	4325000	4	FALSE	0.361345546178153	>1Mb	lost
chr1	50925000	50950000	down_in_mutant	3675000	4	TRUE	0.386664533418663	>1Mb	lost
chr1	50960000	50970000	down_in_mutant	130000	1	FALSE	0.385061493850615	<200kb	lost
chr1	51325000	51350000	down_in_mutant	4050000	2	FALSE	0.417463301467941	>1Mb	lost
chr1	51450000	51460000	down_in_mutant	4180000	1	FALSE	0.426057394260574	>1Mb	lost
chr1	51475000	51500000	down_in_mutant	4650000	2	TRUE	0.420063197472101	>1Mb	lost
chr1	51600000	51625000	down_in_mutant	4750000	3	FALSE	0.427982880684773	>1Mb	lost
chr1	51625000	51650000	down_in_mutant	450000	2	FALSE	0.419823207071717	200-500kb	lost
chr1	51640000	51650000	down_in_mutant	450000	2	FALSE	0.409359064093591	200-500kb	lost
chr1	51650000	51675000	down_in_mutant	275000	1	FALSE	0.408823647054118	200-500kb	lost
chr1	51670000	51680000	down_in_mutant	440000	1	FALSE	0.401959804019598	200-500kb	lost
chr1	51925000	51950000	down_in_mutant	3e+05	2	FALSE	0.427822887084517	200-500kb	lost
chr1	51990000	52000000	down_in_mutant	350000	1	FALSE	0.424257574242576	200-500kb	lost
chr1	52100000	52125000	down_in_mutant	625000	1	TRUE	0.425422983080677	500kb-1Mb	lost
chr1	52110000	52120000	down_in_mutant	440000	1	TRUE	0.436556344365563	200-500kb	lost
chr1	52145000	52150000	down_in_mutant	120000	1	FALSE	0.465506898620276	<200kb	lost
chr1	52265000	52270000	down_in_mutant	120000	1	FALSE	0.405918816236753	<200kb	lost
chr1	52300000	52310000	down_in_mutant	440000	1	FALSE	0.41975802419758	200-500kb	lost
chr1	52950000	52960000	down_in_mutant	140000	1	TRUE	0.441955804419558	<200kb	lost
chr1	53090000	53100000	down_in_mutant	140000	1	FALSE	0.383561643835616	<200kb	lost
chr1	53905000	53910000	down_in_mutant	475000	1	FALSE	0.403319336132773	200-500kb	lost
chr1	54380000	54385000	down_in_mutant	475000	1	FALSE	0.416716656668666	200-500kb	lost
chr1	56975000	57000000	down_in_mutant	6300000	2	TRUE	0.454781808727651	>1Mb	lost
chr1	65175000	65200000	down_in_mutant	4500000	2	TRUE	0.40374385024599	>1Mb	lost
chr1	69675000	69700000	down_in_mutant	4500000	1	FALSE	0.406303747850086	>1Mb	lost
chr1	84730000	84740000	down_in_mutant	250000	1	FALSE	0.371062893710629	200-500kb	lost
chr1	94075000	94080000	down_in_mutant	165000	1	FALSE	0.440911817636473	<200kb	lost
chr1	107225000	107250000	down_in_mutant	4e+06	1	FALSE	0.40034398624055	>1Mb	lost
chr1	107575000	107600000	down_in_mutant	2125000	1	FALSE	0.396264149434023	>1Mb	lost
chr1	107590000	107600000	down_in_mutant	2390000	1	FALSE	0.420857914208579	>1Mb	lost
chr1	107625000	107650000	down_in_mutant	4e+06	2	FALSE	0.398504059837607	>1Mb	lost
chr1	107630000	107640000	down_in_mutant	3610000	1	FALSE	0.395460453954605	>1Mb	lost
chr1	109825000	109850000	down_in_mutant	1400000	1	FALSE	0.366305347786089	>1Mb	lost
chr1	109980000	109990000	down_in_mutant	2390000	1	TRUE	0.386061393860614	>1Mb	lost
chr1	111225000	111250000	down_in_mutant	4e+06	3	FALSE	0.366625334986601	>1Mb	lost
chr1	111240000	111250000	down_in_mutant	3610000	1	FALSE	0.362263773622638	>1Mb	lost
chr1	111625000	111650000	down_in_mutant	4e+06	1	FALSE	0.37722491100356	>1Mb	lost
chr1	111660000	111670000	down_in_mutant	790000	1	FALSE	0.387961203879612	500kb-1Mb	lost
chr1	112450000	112460000	down_in_mutant	790000	1	FALSE	0.405559444055594	500kb-1Mb	lost
chr1	118300000	118325000	down_in_mutant	450000	1	TRUE	0.435582576696932	200-500kb	lost
chr1	118750000	118775000	down_in_mutant	450000	2	FALSE	0.482460701571937	200-500kb	lost
chr1	133735000	133740000	down_in_mutant	65000	1	FALSE	0.489102179564087	<200kb	lost
chr1	138825000	138850000	down_in_mutant	60650000	1	TRUE	0.443502259909604	>1Mb	lost
chr1	144400000	144425000	down_in_mutant	5350000	1	FALSE	0.37982480700772	>1Mb	lost
chr1	146490000	146500000	down_in_mutant	310000	1	FALSE	0.39016098390161	200-500kb	lost
chr1	149750000	149775000	down_in_mutant	5350000	1	FALSE	0.388144474221031	>1Mb	lost
chr1	151010000	151020000	down_in_mutant	230000	1	FALSE	0.425357464253575	200-500kb	lost
chr1	151075000	151100000	down_in_mutant	625000	1	FALSE	0.439782408703652	500kb-1Mb	lost
chr1	151700000	151725000	down_in_mutant	625000	1	FALSE	0.456901723931043	500kb-1Mb	lost
chr1	160210000	160220000	down_in_mutant	820000	1	TRUE	0.424357564243576	500kb-1Mb	lost
chr1	164310000	164320000	down_in_mutant	720000	1	FALSE	0.435656434356564	500kb-1Mb	lost
chr1	164360000	164370000	down_in_mutant	670000	1	FALSE	0.422657734226577	500kb-1Mb	lost
chr1	165030000	165040000	down_in_mutant	720000	2	FALSE	0.454654534546545	500kb-1Mb	lost
chr1	166790000	166795000	down_in_mutant	220000	1	FALSE	0.419316136772645	200-500kb	lost
chr1	167940000	167950000	down_in_mutant	1510000	1	FALSE	0.433756624337566	>1Mb	lost
chr1	169450000	169460000	down_in_mutant	1510000	1	FALSE	0.435356464353565	>1Mb	lost
chr1	169925000	169950000	down_in_mutant	675000	1	FALSE	0.441582336706532	500kb-1Mb	lost
chr1	170600000	170625000	down_in_mutant	675000	1	FALSE	0.431622735090596	500kb-1Mb	lost
chr1	173450000	173475000	down_in_mutant	1100000	1	FALSE	0.40094396224151	>1Mb	lost
chr1	174550000	174575000	down_in_mutant	1100000	1	FALSE	0.414823407063717	>1Mb	lost
chr1	181880000	181890000	down_in_mutant	650000	1	FALSE	0.491050894910509	500kb-1Mb	lost
chr1	182530000	182540000	down_in_mutant	650000	1	FALSE	0.425157484251575	500kb-1Mb	lost
chr1	189050000	189075000	down_in_mutant	1500000	1	FALSE	0.437222511099556	>1Mb	lost
chr10	13085000	13090000	down_in_mutant	1305000	1	FALSE	0.405318936212757	>1Mb	lost
chr10	14390000	14395000	down_in_mutant	1305000	1	FALSE	0.441111777644471	>1Mb	lost
chr10	14700000	14710000	down_in_mutant	250000	1	TRUE	0.394160583941606	200-500kb	lost
chr10	15300000	15310000	down_in_mutant	1690000	1	FALSE	0.355664433556644	>1Mb	lost
chr10	15300000	15325000	down_in_mutant	2025000	3	FALSE	0.354665813367465	>1Mb	lost
chr10	17700000	17725000	down_in_mutant	575000	1	TRUE	0.43786248550058	500kb-1Mb	lost
chr10	17720000	17730000	down_in_mutant	590000	1	TRUE	0.478952104789521	500kb-1Mb	lost
chr10	19225000	19250000	down_in_mutant	9e+05	2	FALSE	0.415063397464101	500kb-1Mb	lost
chr10	19240000	19250000	down_in_mutant	880000	1	FALSE	0.413658634136586	500kb-1Mb	lost
chr10	20120000	20130000	down_in_mutant	880000	1	FALSE	0.46025397460254	500kb-1Mb	lost
chr10	20125000	20150000	down_in_mutant	9e+05	1	TRUE	0.47118115275389	500kb-1Mb	lost
chr10	22125000	22150000	down_in_mutant	7e+05	2	TRUE	0.423343066277349	500kb-1Mb	lost
chr10	22825000	22850000	down_in_mutant	7e+05	1	FALSE	0.406823727050918	500kb-1Mb	lost
chr10	24860000	24870000	down_in_mutant	620000	1	TRUE	0.424057594240576	500kb-1Mb	lost
chr10	25480000	25490000	down_in_mutant	620000	1	FALSE	0.413258674132587	500kb-1Mb	lost
chr10	29525000	29550000	down_in_mutant	1775000	1	TRUE	0.407663693452262	>1Mb	lost
chr10	42625000	42650000	down_in_mutant	8275000	1	TRUE	0.478020879164833	>1Mb	lost
chr10	49780000	49790000	down_in_mutant	350000	2	TRUE	0.426157384261574	200-500kb	lost
chr10	50875000	50900000	down_in_mutant	8300000	1	TRUE	0.427582896684133	>1Mb	lost
chr10	53110000	53120000	down_in_mutant	220000	1	FALSE	0.3995600439956	200-500kb	lost
chr10	59490000	59495000	down_in_mutant	120000	1	FALSE	0.441911617676465	<200kb	lost
chr10	59610000	59615000	down_in_mutant	120000	1	FALSE	0.426514697060588	<200kb	lost
chr10	59815000	59820000	down_in_mutant	195000	1	FALSE	0.45870825834833	<200kb	lost
chr10	66780000	66790000	down_in_mutant	6e+05	2	FALSE	0.437456254374563	500kb-1Mb	lost
chr10	71400000	71425000	down_in_mutant	3050000	1	FALSE	0.438382464701412	>1Mb	lost
chr10	71475000	71500000	down_in_mutant	2975000	1	FALSE	0.436622535098596	>1Mb	lost
chr10	74200000	74210000	down_in_mutant	2730000	1	FALSE	0.372262773722628	>1Mb	lost
chr10	74450000	74475000	down_in_mutant	3050000	3	FALSE	0.393024279028839	>1Mb	lost
chr10	81500000	81510000	down_in_mutant	670000	1	TRUE	0.506249375062494	500kb-1Mb	lost
chr10	81500000	81525000	down_in_mutant	650000	1	TRUE	0.504019839206432	500kb-1Mb	lost
chr10	87020000	87030000	down_in_mutant	1300000	1	FALSE	0.435056494350565	>1Mb	lost
chr10	88320000	88330000	down_in_mutant	1300000	1	FALSE	0.45005499450055	>1Mb	lost
chr10	96600000	96625000	down_in_mutant	975000	1	TRUE	0.444982200711972	500kb-1Mb	lost
chr10	97310000	97320000	down_in_mutant	810000	2	FALSE	0.414258574142586	500kb-1Mb	lost
chr10	100620000	100630000	down_in_mutant	1820000	1	FALSE	0.387661233876612	>1Mb	lost
chr10	102440000	102450000	down_in_mutant	1820000	1	FALSE	0.374562543745625	>1Mb	lost
chr10	105570000	105580000	down_in_mutant	270000	1	TRUE	0.449355064493551	200-500kb	lost
chr10	106600000	106625000	down_in_mutant	1100000	1	FALSE	0.378304867805288	>1Mb	lost
chr10	108300000	108325000	down_in_mutant	1550000	1	FALSE	0.426302947882085	>1Mb	lost
chr10	108730000	108740000	down_in_mutant	270000	1	FALSE	0.379062093790621	200-500kb	lost
chr10	109475000	109500000	down_in_mutant	1025000	1	FALSE	0.39894404223831	>1Mb	lost
chr10	109680000	109690000	down_in_mutant	670000	1	FALSE	0.395360463953605	500kb-1Mb	lost
chr10	109710000	109720000	down_in_mutant	710000	1	FALSE	0.400559944005599	500kb-1Mb	lost
chr10	109740000	109750000	down_in_mutant	740000	1	FALSE	0.378062193780622	500kb-1Mb	lost
chr10	109850000	109875000	down_in_mutant	1575000	3	FALSE	0.372145114195432	>1Mb	lost
chr10	113020000	113030000	down_in_mutant	2120000	1	FALSE	0.371062893710629	>1Mb	lost
chr10	115140000	115150000	down_in_mutant	2120000	1	FALSE	0.422957704229577	>1Mb	lost
chr11	17450000	17475000	down_in_mutant	1575000	1	FALSE	0.423623055077797	>1Mb	lost
chr11	17460000	17470000	down_in_mutant	2300000	1	FALSE	0.463353664633537	>1Mb	lost
chr11	18870000	18880000	down_in_mutant	120000	1	TRUE	0.475552444755524	<200kb	lost
chr11	19000000	19025000	down_in_mutant	1750000	1	TRUE	0.438822447102116	>1Mb	lost
chr11	19760000	19770000	down_in_mutant	2300000	1	FALSE	0.44045595440456	>1Mb	lost
chr11	23675000	23680000	down_in_mutant	275000	1	FALSE	0.442911417716457	200-500kb	lost
chr11	23950000	23955000	down_in_mutant	275000	1	FALSE	0.397120575884823	200-500kb	lost
chr11	26200000	26210000	down_in_mutant	280000	1	FALSE	0.413758624137586	200-500kb	lost
chr11	26385000	26390000	down_in_mutant	50000	1	TRUE	0.403119376124775	<200kb	lost
chr11	26950000	26975000	down_in_mutant	2900000	1	FALSE	0.391744330226791	>1Mb	lost
chr11	29260000	29270000	down_in_mutant	620000	1	FALSE	0.409459054094591	500kb-1Mb	lost
chr11	29710000	29720000	down_in_mutant	170000	1	FALSE	0.373862613738626	<200kb	lost
chr11	29880000	29890000	down_in_mutant	620000	2	FALSE	0.386361363863614	500kb-1Mb	lost
chr11	30090000	30095000	down_in_mutant	130000	1	FALSE	0.404919016196761	<200kb	lost
chr11	30220000	30225000	down_in_mutant	130000	1	FALSE	0.422115576884623	<200kb	lost
chr11	30675000	30700000	down_in_mutant	950000	2	FALSE	0.398264069437223	500kb-1Mb	lost
chr11	31600000	31625000	down_in_mutant	925000	1	FALSE	0.477060917563297	500kb-1Mb	lost
