chr	pos1	pos2	chr2	pos3	pos4	direction_type	source	pval_ctrl	pval_mut	stripiness_ctrl	stripiness_mut	mean_ctrl	mean_mut	stripe_length	stripe_width	anchor_center	stripe_id
chr1	3010001	3025000	chr1	3010001	4320000	3prime	mutant_only	NA	0.0415	NA	-11.4377850771113	NA	11.2999200945986	1310000	15000	3017500.5	stripe_0001
chr1	3655001	3675000	chr1	3295001	3675000	5prime	mutant_only	NA	0.0775	NA	0.940271050519708	NA	24.1299859534689	380000	20000	3665000.5	stripe_0002
chr1	5065001	5090000	chr1	4770001	5090000	5prime	control_only	0.0895	NA	0.463197036640395	NA	23.1994864353837	NA	320000	25000	5077500.5	stripe_0003
chr1	6395001	6415000	chr1	6395001	7215000	3prime	mutant_only	NA	0.0525	NA	2.95710854720973	NA	15.4419074646441	820000	20000	6405000.5	stripe_0004
chr1	9765001	9785000	chr1	9765001	10105000	3prime	shared	0.051	0.032	2.10019195926612	2.35879571724457	24.3654687331534	26.3515699996943	340000	20000	9775000.5	stripe_0005
chr1	10750001	10780000	chr1	10095001	10780000	5prime	shared	0.07	0.053	3.39004868062563	3.92991718276782	15.1372383701563	18.0154577465949	685000	30000	10765000.5	stripe_0006
chr1	10815001	10850000	chr1	10815001	11490000	3prime	shared	0.06	0.0695	1.09738014575465	0.89811081339141	14.1677921416542	17.5677359732277	675000	35000	10832500.5	stripe_0007
chr1	12825001	12840000	chr1	11520001	12840000	5prime	control_only	0.0715	NA	0.503555976238554	NA	8.54620089546371	NA	1320000	15000	12832500.5	stripe_0008
chr1	12850001	12875000	chr1	12850001	13700000	3prime	shared	0.0425	0.031	1.81241393022784	1.97085478609981	10.6977726501659	12.5221644703794	850000	25000	12862500.5	stripe_0009
chr1	13990001	14010000	chr1	13990001	14250000	3prime	mutant_only	NA	0.0615	NA	0.82984487970038	NA	26.90349399683	260000	20000	14000000.5	stripe_0010
chr1	14290001	14315000	chr1	14090001	14315000	5prime	mutant_only	NA	0.084	NA	0.827295710091799	NA	31.9525397784818	225000	25000	14302500.5	stripe_0011
chr1	15000001	15020000	chr1	15000001	16085000	3prime	shared	0.049	0.0645	4.48809630977744	2.45078145128237	11.7073750095646	10.9066105162704	1085000	20000	15010000.5	stripe_0012
chr1	15275001	15295000	chr1	15275001	15705000	3prime	control_only	0.0855	NA	1.32960397563436	NA	20.2602279944238	NA	430000	20000	15285000.5	stripe_0013
chr1	16420001	16440000	chr1	15615001	16440000	5prime	shared	0.073	0.0875	1.32196300237787	0.943279191286816	11.2306885390734	11.9120334508694	825000	20000	16430000.5	stripe_0014
chr1	16425001	16450000	chr1	16425001	16795000	3prime	control_only	0.0945	NA	0.279068260773177	NA	18.9695335533161	NA	370000	25000	16437500.5	stripe_0015
chr1	16790001	16815000	chr1	16790001	17130000	3prime	shared	0.0305	0.034	3.259070540325	3.61383418496349	25.7788084238276	28.4217379264105	340000	25000	16802500.5	stripe_0016
chr1	17120001	17145000	chr1	16445001	17145000	5prime	shared	0.0375	0.029	1.81211728034952	2.17514961883286	15.4213544144827	14.8120082871733	700000	25000	17132500.5	stripe_0017
chr1	20695001	20715000	chr1	20695001	21305000	3prime	shared	0.092	0.078	0.695428697782696	0.619088220012275	13.6967206734549	23.6373265649374	610000	20000	20705000.5	stripe_0018
