stripe_id	chr	pos1	pos2	chr2	pos3	pos4	direction_type	source	pval_ctrl	pval_mut	stripiness_ctrl	stripiness_mut	mean_ctrl	mean_mut	stripe_length	stripe_width	anchor_center	logFC	logCPM	F	PValue	FDR	significant_FDR05	significant_FDR10	direction_edgeR	direction	direction_confidence	direction_consistent	effect_category
stripe_3597	chr8	30905001	30930000	chr8	30105001	30930000	5prime	control_only	0.06	NA	1.998857435625	NA	12.6085438089529	NA	825000	25000	30917500.5	-0.0114903182547191	7.97953513921567	0.220215785163281	0.645086263879254	0.839449917411704	FALSE	FALSE	unchanged	lost	low	TRUE	minimal
stripe_3598	chr8	33165001	33195000	chr8	32135001	33195000	5prime	shared	0.0735	0.043	1.89545948387631	2.00186436255825	11.0363445913324	12.93810683145	1060000	30000	33180000.5	0.0364289151493674	8.43666614615826	2.37217197249216	0.142686909887898	0.430639408758052	FALSE	FALSE	unchanged	unchanged	low	NA	minimal
stripe_3599	chr8	33210001	33230000	chr8	33210001	33805000	3prime	shared	0.084	0.053	1.84662135969176	1.88412402470771	16.0975622921657	18.707209272394	595000	20000	33220000.5	0.0321970861648108	7.56357043947729	1.16548042823404	0.296035332085196	0.58535254612603	FALSE	FALSE	unchanged	unchanged	low	NA	minimal
stripe_3600	chr8	34045001	34080000	chr8	33755001	34080000	5prime	shared	0.038	0.028	0.467299679321197	-1.49290127165087	28.0664678062526	32.0679495134188	325000	35000	34062500.5	0.0597325902273116	8.12447043272279	5.80109784868178	0.0281735633157717	0.196724114581207	FALSE	FALSE	unchanged	unchanged	low	NA	minimal
stripe_3601	chr8	34200001	34230000	chr8	34200001	34755000	3prime	shared	0.081	0.0745	1.65040785421252	2.01429233945871	19.905508588421	21.9808774974506	555000	30000	34215000.5	-0.00515393777862391	8.33412653115873	0.048127095334506	0.829076309510153	0.932663636321847	FALSE	FALSE	unchanged	unchanged	low	NA	minimal
stripe_3602	chr8	34800001	34820000	chr8	34155001	34820000	5prime	shared	0.02	0.022	3.32815938764356	4.95560702954546	21.8061802572105	23.1074242806369	665000	20000	34810000.5	-0.0746716815408805	8.10819577268914	9.19174248884558	0.00780052981255712	0.107254330089854	FALSE	FALSE	unchanged	unchanged	low	NA	minimal
stripe_3603	chr8	34880001	34905000	chr8	34880001	35415000	3prime	mutant_only	NA	0.09	NA	1.74741019139828	NA	20.7870840471413	535000	25000	34892500.5	0.0335181080799163	7.92151646549771	1.69565434680215	0.210943549888229	0.505961548744477	FALSE	FALSE	unchanged	gained	low	TRUE	minimal
stripe_3604	chr8	35445001	35475000	chr8	34815001	35475000	5prime	shared	0.0335	0.083	5.52136617674923	2.82837566412428	18.5896797588348	11.937513105794	660000	30000	35460000.5	0.0126126311171813	8.49590770944308	0.248679884503152	0.624663018727777	0.829416083592185	FALSE	FALSE	unchanged	unchanged	low	NA	minimal
stripe_3605	chr8	35485001	35515000	chr8	35485001	35715000	3prime	control_only	0.082	NA	0.243289107228635	NA	33.1780899102627	NA	230000	30000	35500000.5	-0.319273537017738	7.66080025420049	3.45539242836042	0.130975731328481	0.413672758994917	FALSE	FALSE	unchanged	lost	medium	TRUE	weak
stripe_3606	chr8	35710001	35735000	chr8	35710001	36325000	3prime	shared	0.077	0.055	1.30044726603569	2.0783619818882	15.9009296719384	18.4194359747703	615000	25000	35722500.5	-0.0331240036488634	7.88034454907922	1.45824926114532	0.244425867618661	0.543349349648139	FALSE	FALSE	unchanged	unchanged	low	NA	minimal
