PeakID (cmd=annotatePeaks.pl /expanse/lustre/projects/csd940/ctea/homer/homer_scripts/reference_peaks/CTCF.bed mm10 -size 1000 -bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M1/tagdirs/tagdirs.DLR.bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M1/tagdirs/tagdirs.DLR.bedGraph)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M1/tagdirs/tagdirs.DLR.bedGraph bedGraph avg over 1000 bp	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M1/tagdirs/tagdirs.DLR.bedGraph bedGraph avg over 1000 bp
1-10775	chr2	5906310	5907310	+	1000	NA	intron (NM_001081131, intron 12 of 16)	B3|SINE|B2	11346	NR_166420	102631784		NR_166420		Gm13267	-	predicted gene 13267	ncRNA	-0.801	-0.691
1-21387	chr14	59555850	59556850	+	1000	NA	Intergenic	Intergenic	41609	NR_153387	71891		NM_027986	ENSMUSG00000021982	Cdadc1	2310010M10Rik|NYD-SP15	cytidine and dCMP deaminase domain containing 1	protein-coding	-1.544	-1.212
1-14205	chr4	89146030	89147030	+	1000	NA	intron (NM_024433, intron 1 of 7)	intron (NM_024433, intron 1 of 7)	9160	NM_024433	66902		NM_024433	ENSMUSG00000062937	Mtap	1300019I21Rik|MSAP	methylthioadenosine phosphorylase	protein-coding	-0.388	-0.458
1-31492	chr7	44982775	44983775	+	1000	NA	intron (NM_019830, intron 3 of 10)	intron (NM_019830, intron 3 of 10)	3145	NR_045521	15469		NM_019830	ENSMUSG00000109324	Prmt1	6720434D09Rik|Hrmt1l2|Mrmt1	protein arginine N-methyltransferase 1	protein-coding	-1.979	-2.056
1-31642	chr4	106708114	106709114	+	1000	NA	intron (NM_001126487, intron 7 of 23)	intron (NM_001126487, intron 7 of 23)	19316	NM_001126487	381538		NM_001126487	ENSMUSG00000047502	Mroh7	Gm1027|Heatr8	maestro heat-like repeat family member 7	protein-coding	-1.130	-1.170
1-30706	chr5	35563160	35564160	+	1000	NA	intron (NM_030208, intron 9 of 10)	intron (NM_030208, intron 9 of 10)	11410	NM_030208	78890		NM_030208	ENSMUSG00000029097	Trmt44	2310079F23Rik|Mettl19	tRNA methyltransferase 44	protein-coding	-1.051	-1.339
1-23218	chr4	57451544	57452544	+	1000	NA	intron (NM_001384157, intron 1 of 10)	intron (NM_001384157, intron 1 of 10)	17569	NM_001384157	677884		NM_009649	ENSMUSG00000038729	Pakap	53-H12|AA959716|AI649048|AKAP-2|AKAP-KL|Akap2|B130066I24|B230340M18Rik|Gm20459|PRKA2|Palm2|Palm2-Akap2|Palm2Akap2|Palm2akap2|R75368|pEN70	paralemmin A kinase anchor protein	protein-coding	-0.615	-0.677
1-31828	chr7	143706388	143707388	+	1000	NA	intron (NM_001384163, intron 7 of 21)	intron (NM_001384163, intron 7 of 21)	-21013	NM_001308111	79201		NM_024290	ENSMUSG00000037613	Tnfrsf23	SOB|TNFRSFH23|Tnfrh1|Tnfrsf1al1|mDcTRAILR1|mSOB	tumor necrosis factor receptor superfamily, member 23	protein-coding	-0.774	-1.126
1-26899	chr1	118498029	118499029	+	1000	NA	intron (NM_001359347, intron 9 of 40)	intron (NM_001359347, intron 9 of 40)	-39264	NR_027901	68204		NR_027901	ENSMUSG00000107722	2900060B14Rik	-	RIKEN cDNA 2900060B14 gene	ncRNA	-0.133	-0.102
1-29883	chr10	74924940	74925940	+	1000	NA	Intergenic	Intergenic	-41737	NM_010311	14687		NM_010311	ENSMUSG00000040009	Gnaz	Gz	guanine nucleotide binding protein, alpha z subunit	protein-coding	-0.183	-0.146
1-25511	chr10	4346486	4347486	+	1000	NA	intron (NM_031185, intron 2 of 3)	CpG	40489	NM_001359811	381990		NM_001033466	ENSMUSG00000075327	Zbtb2	Gm1103	zinc finger and BTB domain containing 2	protein-coding	-1.168	-1.238
1-9909	chr3	65316431	65317431	+	1000	NA	intron (NM_001357358, intron 7 of 13)	B1_Mus1|SINE|Alu	-14246	NR_126080	102637797		NR_126080	ENSMUSG00000104093	A330015K06Rik	-	RIKEN cDNA A330015K06 gene	ncRNA	-1.091	-0.596
1-19070	chr9	53594454	53595454	+	1000	NA	intron (NM_144784, intron 3 of 11)	B3|SINE|B2	15396	NM_144784	110446		NM_144784	ENSMUSG00000032047	Acat1	6330585C21Rik|Acat	acetyl-Coenzyme A acetyltransferase 1	protein-coding	-0.714	-0.615
1-21081	chr2	25496179	25497179	+	1000	NA	Intergenic	B2_Mm2|SINE|B2	-2768	NM_029958	77701		NM_029958	ENSMUSG00000026943	Lcn12	9230102M18Rik	lipocalin 12	protein-coding	-2.094	-1.959
1-14145	chr10	91270027	91271027	+	1000	NA	Intergenic	Intergenic	-49908	NR_151510	102633753		NR_151510	ENSMUSG00000111544	4930534H03Rik	-	RIKEN cDNA 4930534H03 gene	ncRNA	-0.452	-0.549
1-8374	chr8	95974509	95975509	+	1000	NA	Intergenic	Intergenic	-86608	NM_010325	14719		NM_010325	ENSMUSG00000031672	Got2	FABP-pm|Got-2|Kyat4|mAspAT	glutamatic-oxaloacetic transaminase 2, mitochondrial	protein-coding	0.086	0.150
1-10960	chr5	147164778	147165778	+	1000	NA	Intergenic	Intergenic	-23418	NM_008178	14842		NM_008178	ENSMUSG00000053129	Gsx1	Gsh-1|Gsh1	GS homeobox 1	protein-coding	-1.113	-1.097
1-11349	chr18	81225486	81226486	+	1000	NA	Intergenic	MIR|SINE|MIR	238530	NR_169072	102641244		NR_169072	ENSMUSG00000098720	Gm27239	-	predicted gene 27239	ncRNA	-0.466	-0.663
1-23180	chr11	78355156	78356156	+	1000	NA	Intergenic	Intergenic	8946	NM_001313987	22248		NM_011676	ENSMUSG00000002058	Unc119	D11Bhm52|HRG4|MRG4|Rg4|Rtg4|Unc119h	unc-119 lipid binding chaperone	protein-coding	-1.074	-1.122
1-28257	chr10	80875731	80876731	+	1000	NA	Intergenic	B2_Mm2|SINE|B2	-3585	NM_001081688	432478		NM_001081688	ENSMUSG00000059406	Tmprss9	Serase-1B	transmembrane protease, serine 9	protein-coding	-3.567	-3.472
1-24552	chr7	100886222	100887222	+	1000	NA	intron (NM_001081116, intron 2 of 20)	intron (NM_001081116, intron 2 of 20)	-4313	NR_037289	100526508		NR_037289	ENSMUSG00000093296	Mir3102	mmu-mir-3102	microRNA 3102	ncRNA	-1.874	-2.148
1-6753	chr4	43703120	43704120	+	1000	NA	Intergenic	B3|SINE|B2	-2813	NM_019485	56014		NM_019485	ENSMUSG00000050215	Or13e8	MOR262-10|Olfr70|mOR6	olfactory receptor family 13 subfamily E member 8	protein-coding	-1.175	-1.174
