Chr	Start	End	Conc	Conc_mut	Conc_ctrl	Fold	p-value	FDR
chr13	23555582	23555982	4.9732414729663	5.80267967298534	2.80840076620052	2.8595886831296	2.18157636276062e-20	8.48742283932019e-16
chr9	32152760	32153160	4.92395088584808	5.72524229559112	2.96569655943376	2.61417397792851	7.18011156763111e-20	1.39671120269344e-15
chr13	23551045	23551445	4.04212310846491	4.89887139467345	1.63894780507877	3.03520540984924	2.93539349996305e-15	3.80671613720208e-11
chr13	23585113	23585513	5.12641838765803	5.85800386629932	3.56805956376066	1.95950805712383	3.99100326831319e-14	3.88174955384311e-10
chr13	23571914	23572314	5.32045196247611	6.03630592830201	3.83664813692322	1.81293730948336	1.1657510378579e-13	9.07070882557233e-10
chr11	114068321	114068721	4.57299151348653	2.92314641321519	5.32259067799994	-1.97743427202684	5.98145149491238e-13	3.87847284015944e-09
chr4	45528441	45528841	4.44246963761515	3.10823898376306	5.12360085990851	-1.46825279471016	4.30792432539759e-11	2.3942827982799e-07
chr13	23757606	23758006	3.8770964685125	4.68172465657413	1.89604065493444	2.31478524750184	1.33324286424354e-10	6.1192476115593e-07
chr8	34855998	34856398	5.04901336319622	5.69878151984639	3.83505412358466	1.34403185761283	1.41558227744592e-10	6.1192476115593e-07
chr5	106375985	106376385	3.70122664574718	4.52538776545093	1.57775971664979	2.43470729405758	2.16399717635786e-10	7.92690077871192e-07
chr5	108537666	108538066	4.41613005780303	5.0668752405622	3.19860936675719	1.32983044120409	2.24125198729806e-10	7.92690077871192e-07
chr9	91406082	91406482	3.90697474841696	4.66474952937501	2.21321089513346	1.81599249801495	2.80461784490782e-10	9.09280477134491e-07
chr10	109237858	109238258	3.80972964153676	4.57016417387861	2.10132955872554	1.86974940462268	3.69014608505958e-10	1.10434718030187e-06
chr4	82704925	82705325	3.80588077237653	4.54147973508321	2.2277320774661	1.63788308269993	1.03214980514178e-09	2.86827058350293e-06
chr16	96618273	96618673	4.45869266741382	5.11668166532758	3.21441212357906	1.31624123959031	1.30372027777043e-09	3.38141582711057e-06
chr18	73929899	73930299	4.90215848164796	5.49116384525817	3.88996146937022	1.17743689532435	1.58515218225705e-09	3.85439660316941e-06
chr18	32954195	32954595	4.48857353553068	5.15260375638207	3.22148415078024	1.29360909157759	2.21662068985806e-09	5.06026587331344e-06
chr4	47298304	47298704	4.42744283016117	2.97533992551051	5.13630254167772	-1.43539699117675	2.3412102742486e-09	5.06026587331344e-06
chr5	131532746	131533146	4.01816975876801	4.72942444007704	2.55530731667887	1.4601103461245	2.79950733998301e-09	5.68144195679468e-06
