chr	bin_start	sniper_ctrl	sniper_mut	calder_ctrl	calder_mut	sniper_changed	calder_changed	agreement
chr1	24800001	A.1	A.2	A.2	A.1	TRUE	TRUE	Both_change_disagree
chr1	66500001	A.2	B.1	A.1	A.2	TRUE	TRUE	Both_change_disagree
chr1	69100001	A.2	B.1	A.1	B.2	TRUE	TRUE	Both_change_disagree
chr1	77900001	A.2	B.1	B.1	A.2	TRUE	TRUE	Both_change_disagree
chr1	84000001	A.2	B.1	B.1	A.2	TRUE	TRUE	Both_change_disagree
chr1	84100001	A.2	B.1	B.1	A.2	TRUE	TRUE	Both_change_disagree
chr1	109100001	B.2	B.1	B.1	B.2	TRUE	TRUE	Both_change_disagree
chr1	110400001	B.2	B.1	B.1	B.2	TRUE	TRUE	Both_change_disagree
chr1	114300001	B.1	A.2	B.2	B.1	TRUE	TRUE	Both_change_disagree
chr1	114800001	B.1	A.2	B.2	B.1	TRUE	TRUE	Both_change_disagree
chr1	115000001	B.1	A.2	B.2	B.1	TRUE	TRUE	Both_change_disagree
chr1	143500001	A.2	B.1	B.2	B.1	TRUE	TRUE	Both_change_disagree
chr1	143800001	A.2	B.1	B.1	A.2	TRUE	TRUE	Both_change_disagree
chr1	147900001	A.2	B.1	B.2	B.1	TRUE	TRUE	Both_change_disagree
chr1	158700001	A.2	A.1	B.1	A.2	TRUE	TRUE	Both_change_disagree
chr1	162200001	B.1	A.2	A.2	B.1	TRUE	TRUE	Both_change_disagree
chr1	166700001	A.1	A.2	A.1	B.2	TRUE	TRUE	Both_change_disagree
chr1	169000001	B.1	A.2	B.2	B.1	TRUE	TRUE	Both_change_disagree
chr1	175000001	A.2	B.1	A.1	B.1	TRUE	TRUE	Both_change_disagree
chr1	183400001	A.2	A.1	A.1	A.2	TRUE	TRUE	Both_change_disagree
chr1	185500001	A.2	A.1	B.1	A.2	TRUE	TRUE	Both_change_disagree
chr1	193400001	A.1	A.2	A.2	A.1	TRUE	TRUE	Both_change_disagree
chr10	20600001	B.1	A.2	B.2	B.1	TRUE	TRUE	Both_change_disagree
chr10	53900001	B.1	B.2	B.2	B.1	TRUE	TRUE	Both_change_disagree
chr10	65300001	B.1	A.2	B.2	B.1	TRUE	TRUE	Both_change_disagree
chr10	65700001	B.1	A.2	B.2	B.1	TRUE	TRUE	Both_change_disagree
chr10	68100001	A.1	A.2	A.2	A.1	TRUE	TRUE	Both_change_disagree
chr10	68600001	B.1	A.2	B.2	B.1	TRUE	TRUE	Both_change_disagree
chr10	68700001	B.1	A.2	B.2	B.1	TRUE	TRUE	Both_change_disagree
chr10	68800001	B.1	A.2	B.2	B.1	TRUE	TRUE	Both_change_disagree
chr10	71400001	A.2	B.1	B.2	B.1	TRUE	TRUE	Both_change_disagree
chr10	72000001	B.1	B.2	B.2	B.1	TRUE	TRUE	Both_change_disagree
chr10	87200001	B.1	A.2	B.2	B.1	TRUE	TRUE	Both_change_disagree
chr10	87300001	B.1	A.2	B.2	A.2	TRUE	TRUE	Both_change_disagree
chr10	87400001	B.1	A.2	B.2	A.2	TRUE	TRUE	Both_change_disagree
chr10	89600001	A.1	A.2	B.1	A.2	TRUE	TRUE	Both_change_disagree
chr10	91500001	A.2	A.1	B.1	A.1	TRUE	TRUE	Both_change_disagree
chr10	92100001	A.2	A.1	B.1	A.1	TRUE	TRUE	Both_change_disagree
chr10	92800001	B.1	A.2	B.2	B.1	TRUE	TRUE	Both_change_disagree
chr10	98200001	A.2	B.1	B.1	A.2	TRUE	TRUE	Both_change_disagree
chr10	100100001	B.1	B.2	B.2	B.1	TRUE	TRUE	Both_change_disagree
chr10	106700001	A.1	A.2	A.2	A.1	TRUE	TRUE	Both_change_disagree
chr10	119500001	B.1	A.2	B.2	B.1	TRUE	TRUE	Both_change_disagree
chr10	125700001	B.1	B.2	B.2	B.1	TRUE	TRUE	Both_change_disagree
chr10	125900001	B.1	A.2	B.2	B.1	TRUE	TRUE	Both_change_disagree
chr11	12200001	B.1	A.2	B.2	B.1	TRUE	TRUE	Both_change_disagree
chr11	18100001	B.1	A.2	B.2	B.1	TRUE	TRUE	Both_change_disagree
chr11	21500001	B.1	A.2	B.2	B.1	TRUE	TRUE	Both_change_disagree
chr11	24600001	B.1	A.2	B.2	B.1	TRUE	TRUE	Both_change_disagree
chr11	24700001	B.1	A.2	B.2	B.1	TRUE	TRUE	Both_change_disagree
chr11	33300001	A.1	A.2	A.2	B.1	TRUE	TRUE	Both_change_disagree
chr11	33900001	B.1	A.2	B.2	B.1	TRUE	TRUE	Both_change_disagree
chr11	34100001	B.1	A.2	B.2	B.1	TRUE	TRUE	Both_change_disagree
chr11	37200001	A.2	B.1	B.2	B.1	TRUE	TRUE	Both_change_disagree
chr11	43800001	B.1	A.2	B.2	B.1	TRUE	TRUE	Both_change_disagree
chr11	43900001	B.1	A.2	B.2	B.1	TRUE	TRUE	Both_change_disagree
chr11	44000001	B.1	A.2	B.2	B.1	TRUE	TRUE	Both_change_disagree
chr11	44100001	B.1	A.2	B.2	B.1	TRUE	TRUE	Both_change_disagree
chr11	44300001	B.1	A.2	B.2	B.1	TRUE	TRUE	Both_change_disagree
chr11	45700001	B.1	A.2	B.2	B.1	TRUE	TRUE	Both_change_disagree
chr11	56000001	B.1	A.2	B.2	B.1	TRUE	TRUE	Both_change_disagree
chr11	56100001	B.1	A.2	B.2	B.1	TRUE	TRUE	Both_change_disagree
chr11	57400001	B.1	A.2	B.2	B.1	TRUE	TRUE	Both_change_disagree
chr11	59100001	A.1	A.2	B.1	A.2	TRUE	TRUE	Both_change_disagree
chr11	68200001	A.2	A.1	B.1	A.2	TRUE	TRUE	Both_change_disagree
chr11	68300001	A.2	A.1	B.1	A.2	TRUE	TRUE	Both_change_disagree
chr11	70300001	A.1	A.2	A.2	A.1	TRUE	TRUE	Both_change_disagree
chr11	93800001	A.2	A.1	B.1	A.2	TRUE	TRUE	Both_change_disagree
chr11	95800001	A.1	A.2	A.2	A.1	TRUE	TRUE	Both_change_disagree
chr12	17600001	A.1	A.2	A.2	A.1	TRUE	TRUE	Both_change_disagree
chr12	50300001	B.2	B.1	B.1	B.2	TRUE	TRUE	Both_change_disagree
chr12	50400001	B.1	A.2	B.1	B.2	TRUE	TRUE	Both_change_disagree
chr12	52000001	A.2	B.1	A.1	A.2	TRUE	TRUE	Both_change_disagree
chr12	92600001	B.1	A.2	B.1	B.2	TRUE	TRUE	Both_change_disagree
chr13	8400001	B.1	A.2	A.2	A.1	TRUE	TRUE	Both_change_disagree
chr13	8500001	B.1	A.2	A.2	A.1	TRUE	TRUE	Both_change_disagree
chr13	10000001	B.1	A.2	A.2	A.1	TRUE	TRUE	Both_change_disagree
chr13	10300001	A.2	B.1	A.2	A.1	TRUE	TRUE	Both_change_disagree
chr13	34700001	B.1	A.2	A.2	A.1	TRUE	TRUE	Both_change_disagree
chr13	35000001	B.1	A.2	A.2	A.1	TRUE	TRUE	Both_change_disagree
chr13	35300001	B.1	A.2	A.2	A.1	TRUE	TRUE	Both_change_disagree
chr13	41600001	B.1	A.2	A.2	B.1	TRUE	TRUE	Both_change_disagree
chr13	48100001	B.1	A.2	A.2	A.1	TRUE	TRUE	Both_change_disagree
chr13	50900001	B.2	B.1	B.1	B.2	TRUE	TRUE	Both_change_disagree
chr13	51000001	B.2	B.1	B.1	B.2	TRUE	TRUE	Both_change_disagree
chr13	53700001	B.1	A.2	A.2	A.1	TRUE	TRUE	Both_change_disagree
chr13	57300001	B.1	A.2	A.2	A.1	TRUE	TRUE	Both_change_disagree
chr13	72600001	B.1	A.2	A.2	A.1	TRUE	TRUE	Both_change_disagree
chr13	72700001	B.1	A.2	A.2	A.1	TRUE	TRUE	Both_change_disagree
chr13	72800001	B.1	A.2	A.2	A.1	TRUE	TRUE	Both_change_disagree
chr13	73500001	B.1	A.2	A.2	A.1	TRUE	TRUE	Both_change_disagree
chr13	76600001	A.2	B.1	A.1	A.2	TRUE	TRUE	Both_change_disagree
chr13	101800001	B.1	A.2	B.1	A.1	TRUE	TRUE	Both_change_disagree
chr13	102700001	B.1	A.2	A.2	A.1	TRUE	TRUE	Both_change_disagree
chr13	102800001	B.1	A.2	B.1	A.1	TRUE	TRUE	Both_change_disagree
chr13	102900001	B.1	A.2	A.2	A.1	TRUE	TRUE	Both_change_disagree
chr13	110500001	B.1	A.2	A.2	A.1	TRUE	TRUE	Both_change_disagree
chr13	110900001	B.1	A.2	A.2	A.1	TRUE	TRUE	Both_change_disagree
chr13	118700001	B.2	B.1	B.1	A.2	TRUE	TRUE	Both_change_disagree
chr14	13600001	B.1	B.2	A.2	B.1	TRUE	TRUE	Both_change_disagree
chr14	18000001	B.2	B.1	B.1	B.2	TRUE	TRUE	Both_change_disagree
chr14	35300001	B.2	B.1	B.1	A.2	TRUE	TRUE	Both_change_disagree
chr14	35400001	B.2	B.1	B.1	A.2	TRUE	TRUE	Both_change_disagree
chr14	50900001	A.2	A.1	A.1	A.2	TRUE	TRUE	Both_change_disagree
chr14	75000001	B.2	B.1	A.2	B.1	TRUE	TRUE	Both_change_disagree
chr14	87500001	B.1	B.2	A.2	B.1	TRUE	TRUE	Both_change_disagree
chr14	97400001	B.1	B.2	B.2	B.1	TRUE	TRUE	Both_change_disagree
chr14	99300001	B.1	B.2	B.2	B.1	TRUE	TRUE	Both_change_disagree
chr14	104600001	B.1	A.2	B.2	B.1	TRUE	TRUE	Both_change_disagree
chr15	10300001	B.1	B.2	B.2	B.1	TRUE	TRUE	Both_change_disagree
chr15	23600001	B.1	A.2	B.2	B.1	TRUE	TRUE	Both_change_disagree
chr15	26200001	B.1	A.2	B.2	A.2	TRUE	TRUE	Both_change_disagree
chr15	42600001	A.2	B.1	B.1	B.2	TRUE	TRUE	Both_change_disagree
chr15	63100001	B.1	A.2	B.2	B.1	TRUE	TRUE	Both_change_disagree
chr15	93600001	B.1	A.2	A.2	A.1	TRUE	TRUE	Both_change_disagree
chr15	93700001	B.1	A.2	A.2	A.1	TRUE	TRUE	Both_change_disagree
chr15	96200001	A.1	A.2	A.2	A.1	TRUE	TRUE	Both_change_disagree
chr16	52800001	B.1	A.2	B.2	B.1	TRUE	TRUE	Both_change_disagree
chr16	73500001	B.1	A.2	B.2	B.1	TRUE	TRUE	Both_change_disagree
chr16	76800001	A.2	B.1	B.1	B.2	TRUE	TRUE	Both_change_disagree
chr16	79600001	B.1	A.2	B.2	B.1	TRUE	TRUE	Both_change_disagree
chr16	83400001	B.1	B.2	B.2	B.1	TRUE	TRUE	Both_change_disagree
chr17	4200001	B.1	A.2	A.2	A.1	TRUE	TRUE	Both_change_disagree
chr17	66600001	B.1	A.2	A.2	A.1	TRUE	TRUE	Both_change_disagree
chr17	67200001	B.1	A.2	A.2	A.1	TRUE	TRUE	Both_change_disagree
chr17	67300001	B.1	A.2	A.2	A.1	TRUE	TRUE	Both_change_disagree
chr17	67600001	B.1	A.2	A.2	A.1	TRUE	TRUE	Both_change_disagree
chr17	72300001	B.1	A.2	A.2	A.1	TRUE	TRUE	Both_change_disagree
chr17	72400001	B.1	A.2	A.2	A.1	TRUE	TRUE	Both_change_disagree
chr17	73000001	B.1	A.2	A.2	A.1	TRUE	TRUE	Both_change_disagree
chr17	73800001	A.1	A.2	A.2	A.1	TRUE	TRUE	Both_change_disagree
chr17	91700001	B.1	B.2	B.2	B.1	TRUE	TRUE	Both_change_disagree
chr18	7600001	A.1	A.2	A.2	B.1	TRUE	TRUE	Both_change_disagree
chr18	16500001	B.1	A.2	B.2	B.1	TRUE	TRUE	Both_change_disagree
chr18	19000001	B.2	A.2	B.2	B.1	TRUE	TRUE	Both_change_disagree
chr18	28200001	B.1	A.2	B.2	B.1	TRUE	TRUE	Both_change_disagree
chr18	30700001	A.1	A.2	A.2	A.1	TRUE	TRUE	Both_change_disagree
chr18	30900001	A.1	A.2	A.2	A.1	TRUE	TRUE	Both_change_disagree
chr18	43600001	A.1	A.2	A.2	B.1	TRUE	TRUE	Both_change_disagree
chr18	72800001	B.1	A.2	B.2	B.1	TRUE	TRUE	Both_change_disagree
chr18	84700001	B.1	A.2	A.2	B.1	TRUE	TRUE	Both_change_disagree
chr19	23600001	B.1	A.2	A.2	A.1	TRUE	TRUE	Both_change_disagree
chr19	29200001	A.2	B.1	B.1	A.2	TRUE	TRUE	Both_change_disagree
chr19	38900001	B.1	A.2	A.2	B.1	TRUE	TRUE	Both_change_disagree
chr19	40600001	B.1	A.2	A.2	A.1	TRUE	TRUE	Both_change_disagree
chr19	40900001	B.1	A.2	A.2	A.1	TRUE	TRUE	Both_change_disagree
chr19	48800001	B.2	B.1	B.2	A.2	TRUE	TRUE	Both_change_disagree
chr2	6100001	A.1	A.2	A.2	A.1	TRUE	TRUE	Both_change_disagree
chr2	7900001	B.1	A.2	B.2	B.1	TRUE	TRUE	Both_change_disagree
chr2	48200001	B.1	A.2	B.2	B.1	TRUE	TRUE	Both_change_disagree
chr2	48500001	B.1	A.2	B.2	B.1	TRUE	TRUE	Both_change_disagree
