loop_id	shift_detected	ctrl_peak_row	ctrl_peak_col	mut_peak_row	mut_peak_col	ctrl_centered	mut_centered
loop_1	FALSE	3	4	3	4	FALSE	FALSE
loop_2	TRUE	4	1	5	1	FALSE	FALSE
loop_3	FALSE	5	1	5	1	FALSE	FALSE
loop_4	TRUE	3	3	3	2	TRUE	FALSE
loop_5	TRUE	3	3	4	3	TRUE	FALSE
loop_6	TRUE	3	3	3	2	TRUE	FALSE
loop_7	FALSE	5	1	5	1	FALSE	FALSE
loop_8	FALSE	5	1	5	1	FALSE	FALSE
loop_9	TRUE	3	3	3	2	TRUE	FALSE
loop_10	TRUE	5	1	5	2	FALSE	FALSE
loop_11	TRUE	3	3	4	1	TRUE	FALSE
loop_12	TRUE	5	1	5	3	FALSE	FALSE
loop_13	TRUE	5	1	4	2	FALSE	FALSE
loop_14	FALSE	2	4	2	4	FALSE	FALSE
loop_15	TRUE	1	2	5	1	FALSE	FALSE
loop_16	TRUE	3	3	3	2	TRUE	FALSE
loop_17	TRUE	3	3	4	3	TRUE	FALSE
loop_18	FALSE	5	1	5	1	FALSE	FALSE
loop_19	TRUE	3	3	4	2	TRUE	FALSE
loop_20	TRUE	4	2	4	1	FALSE	FALSE
loop_21	TRUE	4	1	5	1	FALSE	FALSE
loop_22	TRUE	1	3	1	4	FALSE	FALSE
loop_23	TRUE	3	3	3	4	TRUE	FALSE
loop_24	TRUE	3	3	3	5	TRUE	FALSE
loop_25	TRUE	3	3	3	4	TRUE	FALSE
loop_26	TRUE	3	3	3	4	TRUE	FALSE
loop_27	TRUE	3	3	3	2	TRUE	FALSE
loop_28	FALSE	3	3	3	3	TRUE	TRUE
loop_29	FALSE	3	3	3	3	TRUE	TRUE
loop_30	TRUE	4	3	3	2	FALSE	FALSE
loop_31	TRUE	5	3	5	4	FALSE	FALSE
loop_32	TRUE	3	2	4	3	FALSE	FALSE
loop_33	TRUE	4	2	4	1	FALSE	FALSE
loop_34	TRUE	3	3	2	3	TRUE	FALSE
loop_35	FALSE	3	5	3	5	FALSE	FALSE
loop_36	TRUE	3	3	3	1	TRUE	FALSE
loop_37	TRUE	2	2	4	2	FALSE	FALSE
loop_38	TRUE	3	4	2	5	FALSE	FALSE
loop_39	FALSE	3	3	3	3	TRUE	TRUE
loop_40	TRUE	3	4	4	5	FALSE	FALSE
loop_41	FALSE	3	3	3	3	TRUE	TRUE
loop_42	TRUE	3	3	4	3	TRUE	FALSE
loop_43	FALSE	3	3	3	3	TRUE	TRUE
loop_44	TRUE	4	1	5	1	FALSE	FALSE
loop_45	TRUE	3	3	4	3	TRUE	FALSE
loop_46	TRUE	3	4	4	3	FALSE	FALSE
loop_47	TRUE	5	1	4	1	FALSE	FALSE
loop_48	FALSE	5	2	5	2	FALSE	FALSE
loop_49	FALSE	4	3	4	3	FALSE	FALSE
loop_50	TRUE	3	3	5	3	TRUE	FALSE
loop_51	TRUE	3	4	2	3	FALSE	FALSE
loop_52	FALSE	3	4	3	4	FALSE	FALSE
loop_53	TRUE	3	3	3	1	TRUE	FALSE
loop_54	TRUE	3	3	5	2	TRUE	FALSE
loop_55	TRUE	3	3	2	1	TRUE	FALSE
loop_56	TRUE	3	3	4	1	TRUE	FALSE
loop_57	TRUE	3	3	4	3	TRUE	FALSE
loop_58	TRUE	3	3	3	1	TRUE	FALSE
loop_59	TRUE	3	3	4	3	TRUE	FALSE
loop_60	TRUE	3	3	2	3	TRUE	FALSE
loop_61	TRUE	3	3	3	2	TRUE	FALSE
loop_62	TRUE	3	2	2	3	FALSE	FALSE
loop_63	TRUE	2	4	4	4	FALSE	FALSE
loop_64	TRUE	3	3	4	3	TRUE	FALSE
loop_65	FALSE	2	1	2	1	FALSE	FALSE
loop_66	TRUE	3	3	4	5	TRUE	FALSE
loop_67	TRUE	5	2	2	4	FALSE	FALSE
loop_68	TRUE	3	3	4	4	TRUE	FALSE
loop_69	FALSE	5	1	5	1	FALSE	FALSE
loop_70	TRUE	4	2	5	1	FALSE	FALSE
loop_71	TRUE	3	3	4	4	TRUE	FALSE
loop_72	FALSE	5	1	5	1	FALSE	FALSE
loop_73	FALSE	5	1	5	1	FALSE	FALSE
loop_74	FALSE	1	3	1	3	FALSE	FALSE
loop_75	FALSE	5	1	5	1	FALSE	FALSE
loop_76	TRUE	3	3	4	2	TRUE	FALSE
loop_77	FALSE	3	3	3	3	TRUE	TRUE
loop_78	TRUE	1	4	2	4	FALSE	FALSE
loop_79	TRUE	4	1	5	3	FALSE	FALSE
loop_80	TRUE	3	1	5	1	FALSE	FALSE
loop_81	TRUE	4	5	5	3	FALSE	FALSE
loop_82	TRUE	2	5	3	5	FALSE	FALSE
loop_83	FALSE	3	1	3	1	FALSE	FALSE
loop_84	TRUE	3	3	1	1	TRUE	FALSE
loop_85	FALSE	1	2	1	2	FALSE	FALSE
loop_86	FALSE	5	3	5	3	FALSE	FALSE
loop_87	TRUE	4	3	4	5	FALSE	FALSE
loop_88	TRUE	3	4	2	4	FALSE	FALSE
loop_89	TRUE	3	3	2	2	TRUE	FALSE
loop_90	TRUE	3	2	4	2	FALSE	FALSE
loop_91	TRUE	3	3	5	4	TRUE	FALSE
loop_92	TRUE	4	2	3	2	FALSE	FALSE
loop_93	TRUE	3	3	5	5	TRUE	FALSE
loop_94	TRUE	5	2	3	4	FALSE	FALSE
loop_95	TRUE	3	3	3	4	TRUE	FALSE
loop_96	FALSE	3	3	3	3	TRUE	TRUE
loop_97	FALSE	3	3	3	3	TRUE	TRUE
loop_98	TRUE	2	1	5	1	FALSE	FALSE
loop_99	TRUE	3	3	4	4	TRUE	FALSE
loop_100	TRUE	3	5	4	4	FALSE	FALSE
loop_101	TRUE	4	2	5	2	FALSE	FALSE
loop_102	TRUE	3	3	2	3	TRUE	FALSE
loop_103	TRUE	3	3	5	2	TRUE	FALSE
loop_104	TRUE	5	3	5	1	FALSE	FALSE
loop_105	TRUE	3	3	2	2	TRUE	FALSE
loop_106	TRUE	4	2	4	3	FALSE	FALSE
loop_107	TRUE	3	3	2	5	TRUE	FALSE
loop_108	TRUE	3	3	2	3	TRUE	FALSE
loop_109	TRUE	3	3	3	2	TRUE	FALSE
loop_110	FALSE	2	2	2	2	FALSE	FALSE
loop_111	TRUE	3	3	3	2	TRUE	FALSE
loop_112	TRUE	3	3	2	4	TRUE	FALSE
loop_113	TRUE	3	3	4	1	TRUE	FALSE
loop_114	TRUE	3	3	1	3	TRUE	FALSE
loop_115	TRUE	5	3	4	3	FALSE	FALSE
loop_116	FALSE	3	5	3	5	FALSE	FALSE
loop_117	FALSE	5	1	5	1	FALSE	FALSE
loop_118	TRUE	4	3	5	3	FALSE	FALSE
loop_119	TRUE	5	3	4	3	FALSE	FALSE
loop_120	TRUE	4	2	5	1	FALSE	FALSE
loop_121	FALSE	5	3	5	3	FALSE	FALSE
loop_122	TRUE	5	1	4	1	FALSE	FALSE
loop_123	TRUE	3	3	5	3	TRUE	FALSE
loop_124	TRUE	5	5	5	1	FALSE	FALSE
loop_125	FALSE	5	1	5	1	FALSE	FALSE
loop_126	TRUE	1	2	2	2	FALSE	FALSE
loop_127	TRUE	2	1	5	1	FALSE	FALSE
loop_128	FALSE	5	1	5	1	FALSE	FALSE
loop_129	TRUE	5	3	4	1	FALSE	FALSE
loop_130	FALSE	5	1	5	1	FALSE	FALSE
loop_131	TRUE	5	2	4	1	FALSE	FALSE
loop_132	FALSE	1	4	1	4	FALSE	FALSE
loop_133	TRUE	1	4	5	1	FALSE	FALSE
loop_134	TRUE	5	1	4	1	FALSE	FALSE
loop_135	TRUE	1	5	1	4	FALSE	FALSE
loop_136	TRUE	4	2	4	5	FALSE	FALSE
loop_137	FALSE	1	4	1	4	FALSE	FALSE
loop_138	FALSE	2	4	2	4	FALSE	FALSE
