chr	Boundary	Gap_Score	TAD_Score1	TAD_Score2	Differential	Enriched_In	Type	robust_in_ctrl	robust_in_mut	robustness	shift_distance	shift_distance_kb	H3K27ac_overlap	H3K27me3_overlap	H3K4me1_overlap	H3K4me3_overlap	bivalent_overlap	CTCF_overlap	CTCF_motif_overlap	distance_to_tss	chromatin_state
chr1	3060000	-4.13299278024624	0.366198013114147	1.84990983582047	Differential	Matrix 1	Complex	FALSE	FALSE	Neither	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	598997	CTCF_Site
chr1	3350000	-2.03383183300534	1.4927042217486	2.22795308013938	Differential	Matrix 1	Complex	FALSE	FALSE	Neither	NA	NA	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	308997	Poised_Enhancer
chr1	3360000	0.930298095049659	1.62072552050742	1.29339880874586	Non-Differential	Matrix 2	Non-Differential	FALSE	FALSE	Neither	NA	NA	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	298997	Poised_Enhancer
chr1	3510000	2.53983923603543	2.23848522576355	1.33631168058824	Differential	Matrix 2	Split	FALSE	FALSE	Neither	NA	NA	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	148997	Poised_Enhancer
chr1	3670000	-0.291058446197275	2.61342340685164	2.72800389000117	Non-Differential	Matrix 1	Non-Differential	TRUE	FALSE	Control_only	NA	NA	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	0	Active_Promoter
chr1	3680000	1.95706537844029	2.90430742474395	2.21374066876613	Non-Differential	Matrix 2	Non-Differential	FALSE	FALSE	Neither	NA	NA	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	0	Active_Promoter
chr1	3830000	0.79465961791402	1.70079875772151	1.42243063190227	Non-Differential	Matrix 2	Non-Differential	FALSE	FALSE	Neither	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	146001	CTCF_Site
chr1	4120000	1.64472002376151	2.11848176922786	1.53687155979589	Non-Differential	Matrix 2	Non-Differential	FALSE	FALSE	Neither	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	276740	Other
chr1	4280000	-1.37905361223337	1.77734712731777	2.27887227062247	Non-Differential	Matrix 1	Non-Differential	FALSE	FALSE	Neither	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	116740	CTCF_Site
chr1	4420000	0.394560205537394	1.54969977258697	1.41423656574431	Non-Differential	Matrix 2	Non-Differential	FALSE	FALSE	Neither	NA	NA	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	0	CTCF_Site
chr1	4560000	1.00507904850249	2.18944008869206	1.83751165888498	Non-Differential	Matrix 2	Non-Differential	FALSE	TRUE	Mutant_only	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	50145	CTCF_Site
chr1	4580000	-1.85785184570502	0.974846289251114	1.64496068616843	Non-Differential	Matrix 1	Non-Differential	FALSE	FALSE	Neither	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	70145	CTCF_Site
chr1	4750000	0.953357859114	1.61342383593777	1.27779834043493	Non-Differential	Matrix 2	Non-Differential	FALSE	FALSE	Neither	NA	NA	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	23238	Poised_Enhancer
chr1	4860000	-0.897891835163256	1.65115690442031	1.97962285588971	Non-Differential	Matrix 1	Non-Differential	FALSE	FALSE	Neither	NA	NA	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	0	Active_Promoter
chr1	5010000	0.770119431725874	3.211563771961	2.94788947826016	Non-Differential	Matrix 2	Non-Differential	TRUE	TRUE	Both	NA	NA	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	47517	Bivalent_Promoter
chr1	5020000	-2.06912534599152	1.39596813633793	2.14349758168337	Differential	Matrix 1	Merge	FALSE	FALSE	Neither	NA	NA	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	37517	Bivalent_Promoter
chr1	5170000	-1.59393549495658	1.72371718545237	2.30209979174002	Non-Differential	Matrix 1	Non-Differential	FALSE	FALSE	Neither	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	87214	Other
chr1	5180000	-0.512960594979467	1.41489382231375	1.60438400219936	Non-Differential	Matrix 1	Non-Differential	FALSE	FALSE	Neither	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	97214	CTCF_Site
chr1	5190000	1.57045413364384	1.95447243775935	1.39885773078204	Non-Differential	Matrix 2	Non-Differential	FALSE	FALSE	Neither	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	107214	CTCF_Site
chr1	5320000	3.32608946951914	1.86332650910313	0.677703781481184	Differential	Matrix 2	Split	FALSE	FALSE	Neither	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	237214	CTCF_Site
chr1	5330000	-1.50240157374818	1.24059748291753	1.78426740884034	Non-Differential	Matrix 1	Non-Differential	FALSE	FALSE	Neither	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	245992	CTCF_Site
chr1	5350000	-1.565596890569	1.1349118224392	1.70083431348032	Non-Differential	Matrix 1	Non-Differential	FALSE	FALSE	Neither	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	225992	CTCF_Site
chr1	5470000	-0.0697286364159023	1.58030855176163	1.61148031183863	Non-Differential	Matrix 1	Non-Differential	FALSE	FALSE	Neither	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	105992	CTCF_Site
chr1	5610000	-0.650175905949715	1.34607439267266	1.58450794433763	Non-Differential	Matrix 1	Non-Differential	FALSE	FALSE	Neither	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	9006	Other
chr1	5630000	2.04137775777896	2.87647019317635	2.15555651899594	Differential	Matrix 2	Strength Change	FALSE	TRUE	Mutant_only	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	29006	Other
chr1	5770000	-2.24200278224577	1.05437980100494	1.86257880915812	Differential	Matrix 1	Complex	FALSE	FALSE	Neither	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	134897	Other
chr1	5910000	0.152012139991557	1.58446453949964	1.53612595025674	Non-Differential	Matrix 2	Non-Differential	FALSE	FALSE	Neither	NA	NA	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	0	Repressed_Promoter
chr1	6070000	0.450697904018286	1.59563312079751	1.44021548155072	Non-Differential	Matrix 2	Non-Differential	FALSE	FALSE	Neither	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	123696	Other
chr1	6080000	1.00763309375633	1.57190924038785	1.21665619718773	Non-Differential	Matrix 2	Non-Differential	FALSE	FALSE	Neither	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	113696	CTCF_Site
chr1	6200000	-0.601582807274822	1.52248346543442	1.74417733601225	Non-Differential	Matrix 1	Non-Differential	FALSE	FALSE	Neither	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	0	CTCF_Site
chr1	6210000	-0.258196405846613	3.06844169953085	3.17301107689745	Non-Differential	Matrix 1	Non-Differential	TRUE	TRUE	Both	NA	NA	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	0	Active_Promoter
chr1	6370000	1.19358076012564	1.53533306140755	1.11324787196695	Non-Differential	Matrix 2	Non-Differential	FALSE	FALSE	Neither	NA	NA	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	0	Repressed_Promoter
chr1	6380000	0.75795028691014	1.63783332683169	1.3723852850574	Non-Differential	Matrix 2	Non-Differential	FALSE	FALSE	Neither	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	8281	CTCF_Site
chr1	6530000	-1.79375308680337	1.14211212504907	1.78989012746165	Non-Differential	Matrix 1	Non-Differential	FALSE	FALSE	Neither	NA	NA	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	30268	Active_Enhancer
chr1	6860000	-0.792919740713017	2.74000356780058	3.03506857373624	Non-Differential	Matrix 1	Non-Differential	TRUE	TRUE	Both	NA	NA	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	216419	Poised_Enhancer
chr1	6970000	-0.694057752029883	1.25368344749647	1.50749470971252	Non-Differential	Matrix 1	Non-Differential	FALSE	FALSE	Neither	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	106419	CTCF_Site
