cluster_id	n_overlaps	kept_index	kept_resolution	kept_fdr	n_resolutions	resolutions_list	merged_indices	merged_resolutions
1	2	24692	10kb	0.612446939605238	2	5,10	1,24692	5kb,10kb
2	3	24759	10kb	0.208280902649467	2	5,10	2,24759,12854	5kb,10kb,5kb
4	4	4	5kb	0.454503655073677	2	5,10	4,17373,1769,12873	5kb,10kb,5kb,5kb
6	2	16355	10kb	0.208280902649467	2	5,10	6,16355	5kb,10kb
9	2	24895	10kb	0.227503531188948	2	5,10	9,24895	5kb,10kb
11	2	11	5kb	0.165075125477221	2	5,10	11,24820	5kb,10kb
12	3	12	5kb	0.818365362196081	3	5,10,25	12,37411,59138	5kb,10kb,25kb
13	4	13	5kb	0.654669517975912	2	5,10	13,3257,23756,6458	5kb,5kb,10kb,5kb
14	2	16357	10kb	0.191227879606894	2	5,10	14,16357	5kb,10kb
17	2	24847	10kb	0.826053546640901	2	5,10	17,24847	5kb,10kb
19	2	19	5kb	0.856267052494215	2	5,10	19,24798	5kb,10kb
22	3	34195	10kb	0.473339832620941	2	5,10	22,14832,34195	5kb,5kb,10kb
23	2	16371	10kb	0.562936938417555	2	5,10	23,16371	5kb,10kb
24	2	59141	25kb	0.148955816977735	2	5,25	24,59141	5kb,25kb
25	2	24980	10kb	0.420004069246674	2	5,10	25,24980	5kb,10kb
26	2	24991	10kb	0.306000946343257	2	5,10	26,24991	5kb,10kb
29	2	25015	10kb	0.383245598858099	2	5,10	29,25015	5kb,10kb
31	2	25035	10kb	0.0112458667431278	2	5,10	31,25035	5kb,10kb
32	2	25004	10kb	0.0321039792004079	2	5,10	32,25004	5kb,10kb
33	3	33	5kb	0.904812838118888	3	5,10,25	33,25113,43303	5kb,10kb,25kb
34	2	34	5kb	0.225353418889977	2	5,10	34,25032	5kb,10kb
35	2	25101	10kb	0.00534783469737162	2	5,10	35,25101	5kb,10kb
37	3	38489	25kb	0.0530061657233701	3	5,10,25	37,25108,38489	5kb,10kb,25kb
38	3	25090	10kb	0.431085515146866	3	5,10,25	38,25090,47179	5kb,10kb,25kb
39	3	47190	25kb	0.309781639313548	3	5,10,25	39,25136,47190	5kb,10kb,25kb
40	4	47158	25kb	0.921488013301779	3	5,10,25	40,2507,25132,47158	5kb,5kb,10kb,25kb
41	2	41	5kb	0.517965113717793	2	5,10	41,25163	5kb,10kb
43	2	25268	10kb	0.840037062052691	2	5,10	43,25268	5kb,10kb
45	2	23804	10kb	0.869929161550485	2	5,10	45,23804	5kb,10kb
46	4	46	5kb	0.415634903728855	2	5,10	46,25255,20751,3391	5kb,10kb,10kb,5kb
47	3	12956	5kb	0.87830257079324	2	5,10	47,12956,25242	5kb,5kb,10kb
51	2	51	5kb	0.654147096894954	2	5,10	51,25329	5kb,10kb
52	2	16412	10kb	0.827235388296837	2	5,10	52,16412	5kb,10kb
53	5	53	5kb	0.804821367345562	3	5,10,25	53,3415,18720,19669,47430	5kb,5kb,10kb,10kb,25kb
56	2	56	5kb	0.612685303028853	2	5,10	56,25364	5kb,10kb
57	2	57	5kb	0.375806895978754	2	5,10	57,16430	5kb,10kb
58	2	58	5kb	0.487439561371392	2	5,10	58,16415	5kb,10kb
59	3	25391	10kb	0.594257940314774	3	5,10,25	59,25391,47477	5kb,10kb,25kb
60	2	16438	10kb	0.839161624738866	2	5,10	60,16438	5kb,10kb
61	2	25490	10kb	0.891565826427099	2	5,10	61,25490	5kb,10kb
62	2	25460	10kb	0.919681578970399	2	5,10	62,25460	5kb,10kb
63	2	25411	10kb	0.741652568319731	2	5,10	63,25411	5kb,10kb
64	3	25479	10kb	0.586350419103822	3	5,10,25	64,25479,47570	5kb,10kb,25kb
67	4	67	5kb	0.4353407214646	3	5,10,25	67,18740,25484,47530	5kb,10kb,10kb,25kb
68	2	68	5kb	0.879734003644627	2	5,25	68,47597	5kb,25kb
74	4	13035	5kb	0.574287640638971	2	5,10	74,13035,25579,13055	5kb,5kb,10kb,5kb
76	3	47739	25kb	0.284334370508215	3	5,10,25	76,25728,47739	5kb,10kb,25kb
77	2	77	5kb	0.682751491291307	2	5,10	77,25605	5kb,10kb
78	3	25614	10kb	0.334370301751377	2	5,10	78,13032,25614	5kb,5kb,10kb
81	4	81	5kb	0.604883666362753	3	5,10,25	81,25650,55516,14902	5kb,10kb,25kb,5kb
82	3	13107	5kb	0.794910828366046	2	5,10	82,25747,13107	5kb,10kb,5kb
83	4	7829	5kb	0.751689053167712	3	5,10,25	83,47703,7829,25653	5kb,25kb,5kb,10kb
84	2	84	5kb	0.678472763461755	2	5,10	84,25800	5kb,10kb
85	3	13097	5kb	0.934889569785986	2	5,10	85,13097,36617	5kb,5kb,10kb
86	3	86	5kb	0.856081991052615	3	5,10,25	86,25836,47795	5kb,10kb,25kb
87	2	47730	25kb	0.466422257263331	2	5,25	87,47730	5kb,25kb
88	3	88	5kb	0.868564567208027	2	5,10	88,3546,20916	5kb,5kb,10kb
92	2	25724	10kb	0.392266374970241	2	5,10	92,25724	5kb,10kb
94	2	94	5kb	0.345298100871603	2	5,10	94,16491	5kb,10kb
95	2	25908	10kb	0.839864624640387	2	5,10	95,25908	5kb,10kb
98	2	25919	10kb	0.729231303668662	2	5,10	98,25919	5kb,10kb
100	4	25862	10kb	0.603799141797133	2	5,10	100,23860,25862,836	5kb,10kb,10kb,5kb
105	2	17552	10kb	0.362364003765882	2	5,10	105,17552	5kb,10kb
106	2	26038	10kb	0.0797271691275629	2	5,10	106,26038	5kb,10kb
108	3	108	5kb	0.55483076162005	3	5,10,25	108,25982,47923	5kb,10kb,25kb
111	3	111	5kb	0.6777397989284	3	5,10,25	111,26051,48020	5kb,10kb,25kb
116	2	116	5kb	0.937567116386405	2	5,10	116,23897	5kb,10kb
118	2	118	5kb	0.815871744083002	2	5,10	118,36672	5kb,10kb
119	5	119	5kb	0.702761108963935	2	5,10	119,6570,16516,34520,13175	5kb,5kb,10kb,10kb,5kb
121	2	21086	10kb	0.836892318663147	2	5,10	121,21086	5kb,10kb
