Region_ID	Chr	Start	End	Gene_Name	Annotation	Difference	pvalue	adj_pvalue	Region_size	direction	direction_label	plot_label
chr14-115525000	chr14	115525000	115550000	4930505G20Rik	intron (NM_175500, intron 5 of 7)	-0.0899999999999999	0.0156888050043221	0.0406733807404294	25000	A_to_B_in_Mutant	More Inactive (A->B)	4930505G20Rik
chr2-75475000	chr2	75475000	75500000	9430019J16Rik	Intergenic	0.0523333333333332	0.248853863700416	0.342076481783374	25000	B_to_A_in_Mutant	More Active (B->A)	9430019J16Rik
chr4-95225000	chr4	95225000	95250000	Gm12708	Intergenic	0.0296666666666669	0.403922307040934	0.501954608849989	25000	B_to_A_in_Mutant	More Active (B->A)	Gm12708
chrX-139350000	chrX	139350000	139375000	Platr21	Intergenic	-1.79933333333333	0.0173868448997351	0.0438548379417737	25000	A_to_B_in_Mutant	More Inactive (A->B)	Platr21
chrX-38025000	chrX	38025000	38050000	Btg1c	TTS (NM_001034856)	1.334	0.0382671392586967	0.0791979929248007	25000	B_to_A_in_Mutant	More Active (B->A)	Btg1c
chr10-37175000	chr10	37175000	37200000	5930403N24Rik	Intergenic	0.252	0.000175246338608218	0.0022467231136404	25000	B_to_A_in_Mutant	More Active (B->A)	5930403N24Rik
chrX-17925000	chrX	17925000	17950000	Dusp21	Intergenic	0.708	0.0137574477687175	0.0368794769301452	25000	B_to_A_in_Mutant	More Active (B->A)	Dusp21
chr10-104125000	chr10	104125000	104150000	Alyreffm15	Intergenic	-0.0533333333333331	0.103247326249991	0.170412471349102	25000	A_to_B_in_Mutant	More Inactive (A->B)	Alyreffm15
chr15-26675000	chr15	26675000	26700000	Fbxl7	intron (NM_176959, intron 2 of 3)	0.287333333333334	8.65095620099956e-05	0.00160374981857321	25000	B_to_A_in_Mutant	More Active (B->A)	Fbxl7
chr6-19850000	chr6	19850000	19875000	Mir6370	Intergenic	0.329333333333333	0.000470846900900906	0.00385415479002534	25000	B_to_A_in_Mutant	More Active (B->A)	Mir6370
chr19-19800000	chr19	19800000	19825000	Gm3728	Intergenic	-0.123666666666667	0.0102980635867056	0.0298395001198798	25000	A_to_B_in_Mutant	More Inactive (A->B)	Gm3728
chrX-109875000	chrX	109875000	109900000	Gm7134	Intergenic	-0.486666666666667	0.0317296056257428	0.0687344102779725	25000	A_to_B_in_Mutant	More Inactive (A->B)	Gm7134
chr3-140875000	chr3	140875000	140900000	Gm32754	Intergenic	0.0169999999999998	0.62742696171508	0.707659619489632	25000	B_to_A_in_Mutant	More Active (B->A)	Gm32754
chr10-108325000	chr10	108325000	108350000	Pawr	intron (NM_054056, intron 2 of 6)	-0.364333333333333	0.000123212739240653	0.00188130795463183	25000	A_to_B_in_Mutant	More Inactive (A->B)	Pawr
chr10-87275000	chr10	87275000	87300000	4930555G07Rik	intron (NR_165498, intron 2 of 2)	0.523666666666667	4.50130850193051e-05	0.00122286379618362	25000	B_to_A_in_Mutant	More Active (B->A)	4930555G07Rik
chr9-116600000	chr9	116600000	116625000	Gm4668	intron (NM_001172126, intron 11 of 12)	0.435	6.83604360567053e-05	0.00145520886337075	25000	B_to_A_in_Mutant	More Active (B->A)	Gm4668
chr18-7275000	chr18	7275000	7300000	Odad2	intron (NM_001357492, intron 4 of 20)	-0.106333333333333	0.0120842814901032	0.0335364377821289	25000	A_to_B_in_Mutant	More Inactive (A->B)	Odad2
chr11-94575000	chr11	94575000	94600000	Acsf2	intron (NM_153807, intron 1 of 15)	0.031	0.118960993234157	0.190488955245851	25000	B_to_A_in_Mutant	More Active (B->A)	Acsf2
chr13-43475000	chr13	43475000	43500000	Ranbp9	Intergenic	-0.0760000000000004	0.00557108007600949	0.0191965335970501	25000	A_to_B_in_Mutant	More Inactive (A->B)	Ranbp9
chr12-104775000	chr12	104775000	104800000	Dicer1	intron (NR_104437, intron 6 of 13)	-0.0420000000000003	0.30632740729262	0.403468771316064	25000	A_to_B_in_Mutant	More Inactive (A->B)	Dicer1
chr6-136250000	chr6	136250000	136275000	Eif4a3l1	Intergenic	0.376333333333333	5.11100961666056e-05	0.00128581950150363	25000	B_to_A_in_Mutant	More Active (B->A)	Eif4a3l1
chr12-15500000	chr12	15500000	15525000	Mir6387	Intergenic	0.0760000000000002	0.0207741902399571	0.0500320399886265	25000	B_to_A_in_Mutant	More Active (B->A)	Mir6387
chr5-115150000	chr5	115150000	115175000	Mlec	Intergenic	-0.0276666666666668	0.347117289296923	0.445570016724757	25000	A_to_B_in_Mutant	More Inactive (A->B)	Mlec
chr14-42775000	chr14	42775000	42800000	Gm10377	Intergenic	-0.0566666666666666	0.121942827494294	0.194226820866369	25000	A_to_B_in_Mutant	More Inactive (A->B)	Gm10377
chr12-73600000	chr12	73600000	73625000	Prkch	intron (NM_001313977, intron 2 of 14)	0.214	0.00217462846701741	0.0100413937149492	25000	B_to_A_in_Mutant	More Active (B->A)	Prkch
chr6-14025000	chr6	14025000	14050000	1110019D14Rik	Intergenic	-0.127333333333333	0.000445494661242707	0.00372652839205359	25000	A_to_B_in_Mutant	More Inactive (A->B)	1110019D14Rik
chr14-102950000	chr14	102950000	102975000	Mir5130	Intergenic	0.340666666666667	6.32738158111718e-06	0.000629581604013299	25000	B_to_A_in_Mutant	More Active (B->A)	Mir5130
chr7-15525000	chr7	15525000	15550000	Obox1	Intergenic	0.0080000000000002	0.751893376894372	0.811457505159492	25000	B_to_A_in_Mutant	More Active (B->A)	Obox1
chr18-41500000	chr18	41500000	41525000	Prelid2	Intergenic	0.116333333333334	0.00673470344127719	0.0219610552135083	25000	B_to_A_in_Mutant	More Active (B->A)	Prelid2
chr10-23275000	chr10	23275000	23300000	Eya4	intron (NM_001347372, intron 2 of 18)	-0.0243333333333332	0.41280827836574	0.510644473094839	25000	A_to_B_in_Mutant	More Inactive (A->B)	Eya4
chr9-42825000	chr9	42825000	42850000	Grik4	intron (NM_175481, intron 1 of 20)	0.209666666666667	0.000330273024118049	0.00314216712054825	25000	B_to_A_in_Mutant	More Active (B->A)	Grik4
chrX-164725000	chrX	164725000	164750000	Asb9	Intergenic	-1.34933333333333	0.00590955956969162	0.0200102449312195	25000	A_to_B_in_Mutant	More Inactive (A->B)	Asb9
chr3-73025000	chr3	73025000	73050000	Slitrk3	Intergenic	-0.038	0.230570847467511	0.322095975462102	25000	A_to_B_in_Mutant	More Inactive (A->B)	Slitrk3
chr5-85600000	chr5	85600000	85625000	Cenpc1	Intergenic	0.0483333333333334	0.0372303124546649	0.0775906845860947	25000	B_to_A_in_Mutant	More Active (B->A)	Cenpc1
chr6-72450000	chr6	72450000	72475000	Mat2a	Intergenic	-0.0133333333333336	0.627909393731144	0.708017817808555	25000	A_to_B_in_Mutant	More Inactive (A->B)	Mat2a
chr11-20150000	chr11	20150000	20175000	Rab1a	Intergenic	0.0780000000000001	0.0604523640442044	0.112581055025931	25000	B_to_A_in_Mutant	More Active (B->A)	Rab1a
