anchor_id	chr	start	end	n_lost_loops	n_gained_loops	distance_to_boundary	nearest_boundary_type	nearest_boundary_enriched_in	nearest_boundary_gap_score	set
ctrl_1	chr8	3550000	3575000	NA	NA	2039999	Complex	Matrix 2	-2.2204252283104786	non-shared
ctrl_2	chr8	3675000	3700000	NA	NA	1914999	Complex	Matrix 2	-2.2204252283104786	non-shared
ctrl_3	chr8	3950000	3975000	NA	NA	1639999	Complex	Matrix 2	-2.2204252283104786	non-shared
ctrl_4	chr8	4140000	4150000	NA	NA	1464999	Complex	Matrix 2	-2.2204252283104786	non-shared
ctrl_5	chr8	4230000	4240000	NA	NA	1374999	Complex	Matrix 2	-2.2204252283104786	non-shared
ctrl_6	chr8	4410000	4415000	NA	NA	1199999	Complex	Matrix 2	-2.2204252283104786	non-shared
ctrl_7	chr8	4670000	4680000	NA	NA	934999	Complex	Matrix 2	-2.2204252283104786	non-shared
ctrl_8	chr8	10025000	10050000	NA	NA	224999	Split	Matrix 1	3.457942706369939	non-shared
ctrl_9	chr8	10300000	10325000	NA	NA	14999	Split	Matrix 1	3.457942706369939	non-shared
ctrl_10	chr8	10400000	10410000	NA	NA	114999	Split	Matrix 1	3.457942706369939	non-shared
ctrl_11	chr8	10570000	10575000	NA	NA	284999	Split	Matrix 1	3.457942706369939	non-shared
ctrl_12	chr8	11015000	11020000	NA	NA	244999	Complex	Matrix 2	-9.616301601145684	non-shared
ctrl_13	chr8	11420000	11425000	NA	NA	24999	Complex	Matrix 1	6.563358946931111	non-shared
ctrl_14	chr8	11485000	11490000	NA	NA	4999	Merge	Matrix 2	-3.171506492354109	non-shared
ctrl_15	chr8	11635000	11640000	NA	NA	0	Shifted	Matrix 1	3.4442993777183823	non-shared
ctrl_16	chr8	11695000	11700000	NA	NA	34999	Merge	Matrix 2	-2.0106455757385846	non-shared
ctrl_17	chr8	11775000	11800000	NA	NA	9999	Strength Change	Matrix 1	2.597952839263274	non-shared
ctrl_18	chr8	11950000	11960000	NA	NA	184999	Strength Change	Matrix 1	2.597952839263274	non-shared
ctrl_19	chr8	11975000	12000000	NA	NA	209999	Strength Change	Matrix 1	2.597952839263274	non-shared
ctrl_20	chr8	12550000	12575000	NA	NA	14999	Complex	Matrix 2	-2.634351506872966	non-shared
ctrl_21	chr8	12670000	12675000	NA	NA	0	Strength Change	Matrix 1	2.367869152557549	non-shared
ctrl_22	chr8	12805000	12810000	NA	NA	119999	Strength Change	Matrix 1	2.367869152557549	non-shared
ctrl_23	chr8	14090000	14100000	NA	NA	534999	Strength Change	Matrix 1	2.194186136916188	non-shared
ctrl_24	chr8	14280000	14290000	NA	NA	464999	Merge	Matrix 2	-2.4912366966128734	non-shared
ctrl_25	chr8	14320000	14330000	NA	NA	424999	Merge	Matrix 2	-2.4912366966128734	non-shared
ctrl_26	chr8	14350000	14380000	NA	NA	374999	Merge	Matrix 2	-2.4912366966128734	non-shared
ctrl_27	chr8	14400000	14430000	NA	NA	324999	Merge	Matrix 2	-2.4912366966128734	non-shared
ctrl_28	chr8	14825000	14850000	NA	NA	39999	Split	Matrix 1	2.5735361198515534	non-shared
ctrl_29	chr8	15000000	15025000	NA	NA	214999	Split	Matrix 1	2.5735361198515534	non-shared
ctrl_30	chr8	15250000	15280000	NA	NA	74999	Merge	Matrix 2	-2.3420186511863026	non-shared
ctrl_31	chr8	15475000	15500000	NA	NA	109999	Merge	Matrix 2	-2.3420186511863026	non-shared
ctrl_32	chr8	15720000	15750000	NA	NA	34999	Merge	Matrix 2	-2.668784314916656	non-shared
ctrl_33	chr8	15900000	15925000	NA	NA	39999	Strength Change	Matrix 1	2.056292410434517	non-shared
ctrl_34	chr8	16075000	16100000	NA	NA	99999	Strength Change	Matrix 1	2.056292410434517	non-shared
ctrl_35	chr8	16890000	16895000	NA	NA	4999	Shifted	Matrix 2	-2.7120881438268243	non-shared
ctrl_36	chr8	17375000	17400000	NA	NA	0	Strength Change	Matrix 1	3.0230167955569	non-shared
ctrl_37	chr8	17420000	17425000	NA	NA	4999	Shifted	Matrix 1	6.070710051289654	non-shared
ctrl_38	chr8	17450000	17475000	NA	NA	0	Complex	Matrix 2	-2.925163981691654	non-shared
ctrl_39	chr8	18325000	18350000	NA	NA	99999	Split	Matrix 1	2.299640451706627	non-shared
ctrl_40	chr8	18550000	18575000	NA	NA	324999	Split	Matrix 1	2.299640451706627	non-shared
ctrl_41	chr8	19705000	19710000	NA	NA	1334999	Shifted	Matrix 2	-2.1941895231264077	non-shared
ctrl_42	chr8	20595000	20600000	NA	NA	444999	Shifted	Matrix 2	-2.1941895231264077	non-shared
ctrl_43	chr8	21990000	21995000	NA	NA	139999	Strength Change	Matrix 1	3.3088494008108533	non-shared
ctrl_44	chr8	22045000	22050000	NA	NA	84999	Strength Change	Matrix 1	3.3088494008108533	non-shared
ctrl_45	chr8	22490000	22495000	NA	NA	344999	Strength Change	Matrix 1	3.3088494008108533	non-shared
ctrl_46	chr8	22540000	22545000	NA	NA	394999	Strength Change	Matrix 1	3.3088494008108533	non-shared
ctrl_47	chr8	23180000	23190000	NA	NA	444999	Strength Change	Matrix 2	-2.7890958633014495	non-shared
ctrl_48	chr8	23250000	23260000	NA	NA	374999	Strength Change	Matrix 2	-2.7890958633014495	non-shared
ctrl_49	chr8	23500000	23510000	NA	NA	124999	Strength Change	Matrix 2	-2.7890958633014495	non-shared
