##FastQC	0.11.8
>>Basic Statistics	pass
#Measure	Value
Filename	evoC-Bap1-ctrl-F-B2_S3_L004_R2_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	770475511
Sequences flagged as poor quality	0
Sequence length	151
%GC	22
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	36.10320008081347	40.0	40.0	40.0	24.0	40.0
2	37.52822040829277	40.0	40.0	40.0	24.0	40.0
3	38.25652995738108	40.0	40.0	40.0	40.0	40.0
4	38.44761238102479	40.0	40.0	40.0	40.0	40.0
5	38.633055840239415	40.0	40.0	40.0	40.0	40.0
6	38.73156415090784	40.0	40.0	40.0	40.0	40.0
7	38.73108401364881	40.0	40.0	40.0	40.0	40.0
8	38.81596798343926	40.0	40.0	40.0	40.0	40.0
9	38.85621996881352	40.0	40.0	40.0	40.0	40.0
10-14	38.906338435719604	40.0	40.0	40.0	40.0	40.0
15-19	38.96046777507507	40.0	40.0	40.0	40.0	40.0
20-24	38.972523197041625	40.0	40.0	40.0	40.0	40.0
25-29	38.97097146102545	40.0	40.0	40.0	40.0	40.0
30-34	38.94347821393638	40.0	40.0	40.0	40.0	40.0
35-39	38.897461332291456	40.0	40.0	40.0	40.0	40.0
40-44	38.85640859959792	40.0	40.0	40.0	40.0	40.0
45-49	38.813238572354834	40.0	40.0	40.0	40.0	40.0
50-54	38.775027456518345	40.0	40.0	40.0	40.0	40.0
55-59	38.722755558936896	40.0	40.0	40.0	40.0	40.0
60-64	38.67926340153334	40.0	40.0	40.0	40.0	40.0
65-69	38.619880478719075	40.0	40.0	40.0	40.0	40.0
70-74	38.56157266833624	40.0	40.0	40.0	40.0	40.0
75-79	38.49426441952157	40.0	40.0	40.0	40.0	40.0
80-84	38.427104396832675	40.0	40.0	40.0	40.0	40.0
85-89	38.36222501301537	40.0	40.0	40.0	40.0	40.0
90-94	38.283769040389394	40.0	40.0	40.0	40.0	40.0
95-99	38.20300854130586	40.0	40.0	40.0	40.0	40.0
100-104	38.134300686423764	40.0	40.0	40.0	40.0	40.0
105-109	38.05113825324424	40.0	40.0	40.0	40.0	40.0
110-114	37.976718497416336	40.0	40.0	40.0	40.0	40.0
115-119	37.89902470839206	40.0	40.0	40.0	27.2	40.0
120-124	37.824860751479484	40.0	40.0	40.0	24.0	40.0
125-129	37.74124841431852	40.0	40.0	40.0	24.0	40.0
130-134	37.64848852723627	40.0	40.0	40.0	24.0	40.0
135-139	37.55828989352525	40.0	40.0	40.0	24.0	40.0
140-144	37.462279634998026	40.0	40.0	40.0	24.0	40.0
145-149	37.37211061131312	40.0	40.0	40.0	24.0	40.0
150-151	36.85996222078498	40.0	40.0	40.0	24.0	40.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1101	1	0.4800849566474241
1101	2	0.34714124193420304
1101	3	0.27767572472738067
1101	4	0.2181838174397015
1101	5	0.1811078971970872
1101	6	0.131070082907911
1101	7	0.18629261565014588
1101	8	0.1389883282893507
1101	9	0.0999392068911149
1101	10-14	0.09524526308927506
1101	15-19	0.09021804484544305
1101	20-24	0.0972921808582825
1101	25-29	0.07984557867521858
1101	30-34	0.06119459547775108
1101	35-39	0.08352444491171696
1101	40-44	0.09949218962858453
1101	45-49	0.07656147853904116
1101	50-54	0.07888283546540009
1101	55-59	0.09334620410945149
1101	60-64	0.08213670449192989
1101	65-69	0.07133652787637601
1101	70-74	0.08767858324431899
1101	75-79	0.09151432055984543
1101	80-84	0.08964436331698522
1101	85-89	0.0928920215065574
1101	90-94	0.10125566994213386
1101	95-99	0.13266025889097932
1101	100-104	0.10919261229513211
1101	105-109	0.137416911453478
1101	110-114	0.1564977916742123
1101	115-119	0.16193798080534805
1101	120-124	0.15598547269609497
1101	125-129	0.20567513636660806
1101	130-134	0.2131739862073161
1101	135-139	0.23774780436217213
1101	140-144	0.2670374570439975
1101	145-149	0.2904297732572729
1101	150-151	0.377773378713151
1102	1	0.46647976761905596
1102	2	0.3887406857190072
1102	3	0.2700378943197279
1102	4	0.20724890543998953
1102	5	0.16922418446471
1102	6	0.16033913969587843
1102	7	0.1878142749662075
1102	8	0.16592866950737317
1102	9	0.11135780551136776
1102	10-14	0.10406691275589708
1102	15-19	0.08881424808340199
1102	20-24	0.06985357504386513
1102	25-29	0.05551853678208829
1102	30-34	0.05605917256165327
1102	35-39	0.06496610232727562
1102	40-44	0.06008332639537883
1102	45-49	0.0792508529461955
1102	50-54	0.07138788106769312
1102	55-59	0.08037894335916462
1102	60-64	0.07914959312277858
1102	65-69	0.08756160948988878
1102	70-74	0.09243138882149537
1102	75-79	0.0927424275211024
1102	80-84	0.08135047241425752
1102	85-89	0.11682022498929712
1102	90-94	0.09726828909763441
1102	95-99	0.1118978777444255
1102	100-104	0.10633247960814174
1102	105-109	0.10859985198804623
1102	110-114	0.11812118148009176
1102	115-119	0.15249258726301917
1102	120-124	0.13316813592020793
1102	125-129	0.15999834837680282
1102	130-134	0.16800892804067757
1102	135-139	0.19079564213992484
1102	140-144	0.22634003671539915
1102	145-149	0.2355847974255596
1102	150-151	0.3239006395139654
1103	1	0.3867382490299036
1103	2	0.3513992845212712
1103	3	0.2606419802230988
1103	4	0.20130961003034287
1103	5	0.1793057814376624
1103	6	0.1561258975496358
1103	7	0.19533599367964172
1103	8	0.15495938325994274
1103	9	0.12888909478651556
1103	10-14	0.11406602907492669
1103	15-19	0.08931668436706275
1103	20-24	0.09304936666057273
1103	25-29	0.09273606600063289
1103	30-34	0.0847542985608527
1103	35-39	0.093092044867916
1103	40-44	0.08698964839270928
1103	45-49	0.08600033717766564
1103	50-54	0.08022757678973846
1103	55-59	0.09917971905183975
1103	60-64	0.0809169991320573
1103	65-69	0.06707444308050725
1103	70-74	0.07533661901658917
1103	75-79	0.07972996441418445
1103	80-84	0.07510876843905123
1103	85-89	0.08493637837149492
1103	90-94	0.09540599580768827
1103	95-99	0.12067460679467246
1103	100-104	0.10588473045122981
1103	105-109	0.13007021055343415
1103	110-114	0.13481374722854866
1103	115-119	0.15853587198899532
1103	120-124	0.17045481051739841
1103	125-129	0.16858905729142748
1103	130-134	0.18424715021792792
1103	135-139	0.21533886467753405
1103	140-144	0.2478906897487363
1103	145-149	0.2753781717671515
1103	150-151	0.34628156072530913
1104	1	0.5490688743188414
1104	2	0.3711450257400202
1104	3	0.2421392885612903
1104	4	0.24689862124274953
1104	5	0.17163943531213022
1104	6	0.14960482882845128
1104	7	0.20019012249524337
1104	8	0.15953085965977465
1104	9	0.14673158252382024
1104	10-14	0.12729855154474734
1104	15-19	0.10449738705766265
1104	20-24	0.08482325284026615
1104	25-29	0.08954670189820746
1104	30-34	0.09478209185930098
1104	35-39	0.11239943326242496
1104	40-44	0.1034705706002299
1104	45-49	0.11542876187024831
1104	50-54	0.10107184688092019
1104	55-59	0.11792022823206594
1104	60-64	0.11599159879828846
1104	65-69	0.11664223734493362
1104	70-74	0.1239732825610318
1104	75-79	0.13372349466997235
1104	80-84	0.15789307878107905
1104	85-89	0.14836357543521927
1104	90-94	0.1432660344952552
1104	95-99	0.16052659014362547
1104	100-104	0.16683041222758277
1104	105-109	0.1691638687418049
1104	110-114	0.20357085663858498
1104	115-119	0.2234622592644513
1104	120-124	0.201840483748164
1104	125-129	0.22471555307184587
1104	130-134	0.21900709053499412
1104	135-139	0.25107826216623863
1104	140-144	0.29668268741277615
1104	145-149	0.3020894365682807
1104	150-151	0.4136934517903015
1105	1	0.4648275617589519
1105	2	0.32095981802349627
1105	3	0.2306479909596746
1105	4	0.1875114394294144
1105	5	0.13780053942713266
1105	6	0.14729213391460405
1105	7	0.19004575482242103
1105	8	0.12801359602757856
1105	9	0.1276965681871971
1105	10-14	0.11641985524026666
1105	15-19	0.12783721632710865
1105	20-24	0.11470630127630699
1105	25-29	0.09693889052388016
1105	30-34	0.08823930408959768
1105	35-39	0.08704717158482111
1105	40-44	0.10035648867923896
1105	45-49	0.09620797402224213
1105	50-54	0.08671529684286128
1105	55-59	0.0851895565018026
1105	60-64	0.0889450711318176
1105	65-69	0.0933677903916319
1105	70-74	0.08996673027021984
1105	75-79	0.0884325601055096
1105	80-84	0.09679924581343613
1105	85-89	0.08235428569068404
1105	90-94	0.08127208230075667
1105	95-99	0.11285094858458677
1105	100-104	0.09635178395531341
1105	105-109	0.11394314938393535
1105	110-114	0.13715264723278153
1105	115-119	0.16222910168256988
1105	120-124	0.14435418297423297
1105	125-129	0.17804767358916962
1105	130-134	0.16069973465281606
1105	135-139	0.1980687648669388
1105	140-144	0.21776079754569366
1105	145-149	0.23069237124393283
1105	150-151	0.34360723881918176
1106	1	0.3697411987863646
1106	2	0.33542839706584715
1106	3	0.25127622935372074
1106	4	0.22157399427952384
1106	5	0.16658557482740122
1106	6	0.14794084854101186
1106	7	0.18934760978485343
1106	8	0.11272711472878427
1106	9	0.12107498207579681
1106	10-14	0.12010410448036168
1106	15-19	0.09940680010446101
1106	20-24	0.10666967477313705
1106	25-29	0.08544968544171638
1106	30-34	0.07852571634400363
1106	35-39	0.09480904288403025
1106	40-44	0.0956287628560375
1106	45-49	0.08648512423056331
1106	50-54	0.07334097176597254
1106	55-59	0.0773716901931536
1106	60-64	0.0912792836336962
1106	65-69	0.08529666906454025
1106	70-74	0.10312034803896353
1106	75-79	0.0749104877692659
1106	80-84	0.12192968312875507
1106	85-89	0.11035463423829128
1106	90-94	0.10891295156245917
1106	95-99	0.13841634299631522
1106	100-104	0.14778671669012766
1106	105-109	0.14290905443118618
1106	110-114	0.15435583994531044
1106	115-119	0.18808291300561564
1106	120-124	0.193071298653976
1106	125-129	0.21831034068429744
1106	130-134	0.22876864030408228
1106	135-139	0.2591716115632039
1106	140-144	0.26084250720721514
1106	145-149	0.27868474606024307
1106	150-151	0.379992286843013
1107	1	0.3885397405594446
1107	2	0.35167572262640334
1107	3	0.24890729188870608
1107	4	0.21427764515119208
1107	5	0.15263771608667298
1107	6	0.1554111705214396
1107	7	0.1757771850391805
1107	8	0.13624771158055182
1107	9	0.10301407480204716
1107	10-14	0.1203501141140535
1107	15-19	0.12443493625641366
1107	20-24	0.13634032571278
1107	25-29	0.13511297638424935
1107	30-34	0.12474419074418108
1107	35-39	0.13326186001833662
1107	40-44	0.14475458404759678
1107	45-49	0.13250945502527145
1107	50-54	0.1341998872137964
1107	55-59	0.13343049738250556
1107	60-64	0.12957937366244465
1107	65-69	0.13752715388862669
1107	70-74	0.14787231955270386
1107	75-79	0.14129787058999455
1107	80-84	0.13683672494911292
1107	85-89	0.14835266158915061
1107	90-94	0.14181453386837717
1107	95-99	0.15707481154926484
1107	100-104	0.14439250090557465
1107	105-109	0.17930590259333457
1107	110-114	0.19520596972169102
1107	115-119	0.18843531362898602
1107	120-124	0.1921075993200887
1107	125-129	0.20757157620504785
1107	130-134	0.22921851161191853
1107	135-139	0.22026362946693467
1107	140-144	0.2738945277425415
1107	145-149	0.2894277457764076
1107	150-151	0.39518175797248745
1108	1	0.46258174436866994
1108	2	0.35376112063032394
1108	3	0.2738422425427416
1108	4	0.23978442296821356
1108	5	0.19532420954588758
1108	6	0.1759632303894847
1108	7	0.21688526096287575
1108	8	0.15332049081894894
1108	9	0.15049502745690546
1108	10-14	0.1294169548082138
1108	15-19	0.12125595491628616
1108	20-24	0.11359681557112111
1108	25-29	0.11963940846191434
1108	30-34	0.11654480951501256
1108	35-39	0.10780559362095232
1108	40-44	0.11731378721177776
1108	45-49	0.10818386272107716
1108	50-54	0.10746536090880454
1108	55-59	0.1158444088875683
1108	60-64	0.10902811639944332
1108	65-69	0.11590578198080692
1108	70-74	0.12416794979537826
1108	75-79	0.11792327988755602
1108	80-84	0.13727907608571144
1108	85-89	0.1418306279566366
1108	90-94	0.15602427740644487
1108	95-99	0.17444365279041563
1108	100-104	0.16013526040691772
1108	105-109	0.1734628062530632
1108	110-114	0.18402477605905432
1108	115-119	0.20859865272463907
1108	120-124	0.17851890345019683
1108	125-129	0.1927268320187352
1108	130-134	0.20742283709225973
1108	135-139	0.21538506822204795
1108	140-144	0.24516884206298073
1108	145-149	0.28809011197934353
1108	150-151	0.3716998800586211
1109	1	0.3774665208287544
1109	2	0.29848520381271015
1109	3	0.2224221625980931
1109	4	0.14621379523517675
1109	5	0.12927286883502376
1109	6	0.10019164539131253
1109	7	0.1547962788022872
1109	8	0.10052515261297401
1109	9	0.08149174636938739
1109	10-14	0.07403674930569082
1109	15-19	0.06095171270886368
1109	20-24	0.06796002701626946
1109	25-29	0.05765780336127335
1109	30-34	0.05629363523941322
1109	35-39	0.06274667814266621
1109	40-44	0.06482585510284622
1109	45-49	0.06124465839306481
1109	50-54	0.06611295863381628
1109	55-59	0.07273832517665824
1109	60-64	0.05694822835484814
1109	65-69	0.07291524624519496
1109	70-74	0.07826571823476769
1109	75-79	0.07400500692194356
1109	80-84	0.08482854250489424
1109	85-89	0.10024598918626282
1109	90-94	0.09706481521843813
1109	95-99	0.11487283901787038
1109	100-104	0.12718584608865058
1109	105-109	0.12101636766641377
1109	110-114	0.13821732415182453
1109	115-119	0.163329951954303
1109	120-124	0.15722858478011403
1109	125-129	0.16647514694431464
