TAD_name	chr1	start1	end1	Difference	pvalue	adj_pvalue	TAD_size	direction	significant
chr7:86724000-87065998	chr7	86724000	87065998	-0.607954333333334	2.04221742347731e-05	0.098788109604761	341998	Decreased_in_Mutant	TRUE
chr8:49686000-49832998	chr8	49686000	49832998	1.011712	5.27667406908187e-05	0.098788109604761	146998	Increased_in_Mutant	TRUE
chr18:84591000-86546998	chr18	84591000	86546998	0.377070666666666	5.84084211301307e-05	0.098788109604761	1955998	Increased_in_Mutant	TRUE
chr1:124698000-125375998	chr1	124698000	125375998	0.336253666666666	8.31298045396312e-05	0.105450157058522	677998	Increased_in_Mutant	TRUE
chr13:4638000-6548998	chr13	4638000	6548998	0.451325999999999	0.000140825757707362	0.130665022543315	1910998	Increased_in_Mutant	TRUE
chr1:32166000-32561998	chr1	32166000	32561998	0.361945666666666	0.00016714000797504	0.130665022543315	395998	Increased_in_Mutant	TRUE
chr11:46833000-48776998	chr11	46833000	48776998	0.417615666666666	0.0001802631371311	0.130665022543315	1943998	Increased_in_Mutant	TRUE
chr3:20580000-22232998	chr3	20580000	22232998	0.293402333333333	0.000481809587379101	0.135485291410532	1652998	Increased_in_Mutant	TRUE
chr10:51774000-52103998	chr10	51774000	52103998	0.295930666666666	0.000452257416087188	0.135485291410532	329998	Increased_in_Mutant	TRUE
chr1:99765000-100253998	chr1	99765000	100253998	0.338877333333333	0.000641786754530363	0.135485291410532	488998	Increased_in_Mutant	TRUE
chr5:41043000-41789998	chr5	41043000	41789998	0.421411666666666	0.000667546764931671	0.135485291410532	746998	Increased_in_Mutant	TRUE
chr3:29733000-30581998	chr3	29733000	30581998	0.286726333333333	0.00036747833080883	0.135485291410532	848998	Increased_in_Mutant	TRUE
chr17:15051000-15497998	chr17	15051000	15497998	0.459281333333333	0.000536001527354567	0.135485291410532	446998	Increased_in_Mutant	TRUE
chr10:45666000-45932998	chr10	45666000	45932998	-0.335896666666667	0.00064321421188254	0.135485291410532	266998	Decreased_in_Mutant	TRUE
chr4:64509000-65597998	chr4	64509000	65597998	0.368491666666666	0.000287452078623785	0.135485291410532	1088998	Increased_in_Mutant	TRUE
chr16:90291000-90938998	chr16	90291000	90938998	0.26417	0.00049825588095012	0.135485291410532	647998	Increased_in_Mutant	TRUE
chr14:73560000-74726998	chr14	73560000	74726998	0.280697333333333	0.000593734592468954	0.135485291410532	1166998	Increased_in_Mutant	TRUE
chr1:124044000-124157998	chr1	124044000	124157998	0.260832	0.000387566031647787	0.135485291410532	113998	Increased_in_Mutant	TRUE
chr19:13971000-15968998	chr19	13971000	15968998	0.314382333333333	0.000547601315219352	0.135485291410532	1997998	Increased_in_Mutant	TRUE
chr1:150366000-151451998	chr1	150366000	151451998	0.265980333333333	0.000363887945657409	0.135485291410532	1085998	Increased_in_Mutant	TRUE
chr4:72201000-73064998	chr4	72201000	73064998	0.320898	0.000516466276932422	0.135485291410532	863998	Increased_in_Mutant	TRUE
chr13:94377000-94967998	chr13	94377000	94967998	0.300616666666666	0.00052491453905342	0.135485291410532	590998	Increased_in_Mutant	TRUE
chr4:28803000-29483998	chr4	28803000	29483998	0.236503666666667	0.000602924135141632	0.135485291410532	680998	Increased_in_Mutant	TRUE
chr6:41751000-42203998	chr6	41751000	42203998	0.265231	0.000327750262098831	0.135485291410532	452998	Increased_in_Mutant	TRUE
chr16:56304000-56687998	chr16	56304000	56687998	0.266684666666666	0.000602670694303388	0.135485291410532	383998	Increased_in_Mutant	TRUE
chr17:74727000-75566998	chr17	74727000	75566998	0.221290333333333	0.000811508141114915	0.14511406205513	839998	Increased_in_Mutant	TRUE
chr19:21567000-21758998	chr19	21567000	21758998	-0.240997666666667	0.00119619923170097	0.14511406205513	191998	Decreased_in_Mutant	TRUE
chr7:118113000-118307998	chr7	118113000	118307998	-0.326371333333334	0.00110436562065217	0.14511406205513	194998	Decreased_in_Mutant	TRUE
