gene	log2FC	padj	baseMean	dysregulated	max_delta_unnorm	sum_delta_unnorm	n_enhancers	n_gained_enh	n_lost_enh	has_boundary	boundary_direction	n_diff_loops	n_lost_loops	n_gained_loops	max_loop_logFC_abs	mean_loop_logFC	has_abc	has_loops	n_layers	z_boundary	z_loop_count	z_loop_strength	z_abc	combined_score	ABC.Score_WT	ABC.Score_KO	logFC_AxC	loop_logFC_signed	boundary_flag
Ccnh	-0.081585	0.761632	548.785985	FALSE	-0.157695	-0.68803	14	3	4	FALSE	NA	21	21	0	0.612568739230376	-0.4739264264963379	TRUE	TRUE	2	0	24.35253982308057	3.692554580222123	-0.092778596531445	27.95231580677125	0.056616	0.030324	-0.9007276609485966	-0.4739264264963379	0
Nfib	-0.568485	0	9412.190052	TRUE	-0.171981	-1.116769	15	6	5	FALSE	NA	16	16	0	1.07260396941961	-0.5589828940009702	TRUE	TRUE	2	0	18.490524569803373	6.727134960368486	-0.03186619309575648	25.185793337076102	0.046419	0.01049	-2.1455943208129726	-0.5589828940009702	0
Col15a1	1.817056	0	44.216867	TRUE	3.85691	4.045585	7	1	5	TRUE	Control	5	0	5	0.479875209847958	0.3846496748612338	TRUE	TRUE	3	1	5.594091012593551	2.817253832775837	15.679871303745092	25.09121614911448	9.6e-5	0.616794	12.63451870245652	0.3846496748612338	1
Kcnd2	-0.41309	0.24892	75150.29471	FALSE	-0.249376	-0.638637	9	1	5	FALSE	NA	18	18	0	0.593720340707453	-0.43849546054451594	TRUE	TRUE	2	0	20.835330671114253	3.5682228408218295	0.29812928946795025	24.701682801404033	0.115	0.083849	-0.4557637173871159	-0.43849546054451594	0
Ankrd37	0.177347	0.722512	31.106649	FALSE	-5.491494	-7.057749	7	0	7	TRUE	Mutant	NA	NA	NA	NA	NA	TRUE	FALSE	2	1	-0.26792424068364157	-0.3481991611703461	22.649382717543322	23.033259315689335	0.641402	0	-19.290871576072625	0	1
Igf2bp3	0.158671	0.488685	1130.412664	FALSE	-0.175437	-0.731635	7	0	7	FALSE	NA	13	13	0	1.25053334219114	-0.8516971239612657	TRUE	TRUE	2	0	14.97331541783706	7.900829817264838	-0.01713055916927317	22.85701467593262	0.086477	0	-16.400045537411014	-0.8516971239612657	0
Cln8	-0.145609	0.552035	107.157646	FALSE	2.792182	3.376369	5	5	0	FALSE	NA	6	1	5	0.794676913275492	0.21885697166622417	TRUE	TRUE	2	0	6.76649406324899	4.893814518062685	11.140102195158098	22.800410776469775	0	0.490286	18.90326698339026	0.21885697166622417	0
Gm28703	-4.178071	0	20.269202	TRUE	-0.064023	-2.777171	23	6	7	FALSE	NA	14	14	0	1.08587365750228	-0.5076436956837523	TRUE	TRUE	2	0	16.145718468492497	6.814667245862727	-0.4921756744138346	22.46821003994139	0.039271	0.088761	1.1764411031267807	-0.5076436956837523	0
Kcnma1	0.477031	0.004516	6091.765956	FALSE	0.207418	0.72615	11	7	2	FALSE	NA	14	2	12	0.915881479768368	0.4730537920396436	TRUE	TRUE	2	0	16.145718468492497	5.693329371114552	0.11922948382923965	21.95827732343629	0.066736	0.123456	0.8874498992361826	0.4730537920396436	0
Rit2	-2.171989	0	1848.728267	TRUE	-0.782313	-2.38166	9	2	4	TRUE	Mutant	12	12	0	0.513502405322124	-0.4140519198382188	TRUE	TRUE	3	1	13.80091236718162	3.0390725564924423	2.5704569914003	20.41044191507436	0.162285	0.112343	-0.5306154716298768	-0.4140519198382188	1
