stripe_id	chr	pos1	pos2	pos3	pos4	direction	direction_confidence	significant_FDR05	stripe_logFC	stripe_FDR	anchor_pc1_ctrl	anchor_pc1_mut	anchor_pc1_delta	anchor_n_bins	anchor_compartment	body_pc1_ctrl	body_pc1_mut	body_pc1_delta	body_n_bins	body_compartment	anchor_on_switched_bin
stripe_0001	chr1	3005001	3025000	3005001	4185000	unchanged	high	TRUE	0.120313115800541	0.0010865861872565	-1.11133333333333	-0.998666666666667	0.112666666666663	1	B	-0.902506944444445	-0.488583333333333	0.413923611111112	48	B	FALSE
stripe_0002	chr1	3010001	3030000	3010001	4350000	gained	high	TRUE	0.169066814214427	9.71556819815534e-05	-1.134	-1.0215	0.112500000000001	2	B	-0.928592592592593	-0.557913580246914	0.37067901234568	54	B	FALSE
stripe_0003	chr1	3200001	3220000	3200001	3755000	gained	high	TRUE	0.193368946557655	4.54704911546111e-05	-0.965333333333333	-0.286	0.679333333333333	1	B	-0.621333333333333	0.130086956521739	0.751420289855072	23	B	TRUE
stripe_0004	chr1	3355001	3375000	3355001	3675000	gained	high	TRUE	0.16474600468368	0.000355956038789908	-0.609	0.416	1.025	1	B	-0.427948717948718	0.434794871794872	0.86274358974359	13	B	TRUE
stripe_0005	chr1	3660001	3680000	3230001	3680000	gained	high	TRUE	0.244460333857849	4.68186497475822e-06	-0.190333333333333	0.185166666666666	0.3755	2	B	-0.541315789473684	0.302701754385965	0.844017543859649	19	B	TRUE
stripe_0006	chr1	6385001	6415000	6385001	7210000	unchanged	low	FALSE	-0.0291009098598227	0.279760433372588	0.164166666666667	0.0571666666666665	-0.107	2	A	0.361519607843137	0.20906862745098	-0.152450980392157	34	A	FALSE
stripe_0007	chr1	6485001	6510000	6485001	6880000	gained	low	FALSE	0.0290610526731544	0.352498081295614	0.316	0.230666666666667	-0.0853333333333335	2	A	0.653960784313726	0.520019607843137	-0.133941176470589	17	A	FALSE
stripe_0008	chr1	6715001	6735000	6210001	6735000	unchanged	low	FALSE	0.030838673708144	0.355074998016321	1.18233333333334	1.04766666666667	-0.134666666666668	2	A	0.35269696969697	0.232878787878788	-0.119818181818182	22	A	FALSE
stripe_0009	chr1	7200001	7220000	6165001	7220000	unchanged	high	TRUE	-0.0896154973683885	0.00501028036712634	-0.411666666666667	-0.610666666666667	-0.199	1	B	0.320759689922481	0.167852713178295	-0.152906976744186	43	A	FALSE
stripe_0010	chr1	9545001	9570000	9545001	10260000	unchanged	high	TRUE	-0.0807967904188398	0.0200344918647619	0.281	0.0833333333333335	-0.197666666666667	2	A	0.519844444444444	0.440711111111111	-0.0791333333333333	30	A	FALSE
