chr1	x1	x2	chr2	y1	y2	DMSO_merge	4hr_merge	24hr_merge
chr9	35950000	35960000	chr9	36110000	36120000	0.05525557	0.02556009	0.02306228
chr9	112440000	112450000	chr9	112700000	112710000	0.0637998	0.02208833	0.02695454
chr9	72870000	72880000	chr9	73180000	73190000	0.04548483	0.02833769	0.0211128
chr9	19080000	19090000	chr9	19170000	19180000	0.27446	0.18214526	0.2048336
chr9	91190000	91200000	chr9	91420000	91430000	0.0957681	0.07348366	0.06476132
chr9	12820000	12830000	chr9	12870000	12880000	0.1174202999999999	0.096473	0.0884122
chr9	114150000	114160000	chr9	114260000	114270000	0.1250263999999999	0.0951282	0.0820434
chr9	115880000	115890000	chr9	115990000	116000000	0.05739374	0.03963236	0.03809191
chr9	115880000	115890000	chr9	116110000	116120000	0.0826271	0.04832936	0.03653107
chr9	113420000	113430000	chr9	113660000	113670000	0.1698618	0.09989018	0.07965342
chr9	98310000	98320000	chr9	98520000	98530000	0.05166793	0.03402661	0.02740655
chr9	79130000	79140000	chr9	79230000	79240000	0.132346	0.10535132	0.09488992
chr9	19920000	19930000	chr9	20350000	20360000	0.03744191	0.01511167	0.01673716
chr9	16030000	16040000	chr9	16190000	16200000	0.0966384399999999	0.07964678	0.0646291599999999
chr9	4830000	4840000	chr9	4980000	4990000	0.12641242	0.08633838	0.06716434
chr9	4380000	4390000	chr9	4640000	4650000	0.12793244	0.0992686	0.0971431599999999
chr9	129640000	129650000	chr9	129710000	129720000	0.1278229	0.07153422	0.0705486
chr9	111760000	111770000	chr9	111950000	111960000	0.05477073	0.02873501	0.0364426199999999
chr9	110640000	110650000	chr9	110830000	110840000	0.0709613	0.04372977	0.038472
chr9	17220000	17230000	chr9	17450000	17460000	0.0981256	0.04401866	0.05747822
chr9	3740000	3750000	chr9	3860000	3870000	0.0660127	0.0585168	0.05285979
chr9	3730000	3740000	chr9	4330000	4340000	0.0455768	0.02119757	0.00936172
chr9	136050000	136060000	chr9	136110000	136120000	0.1133841	0.07549869	0.0817807
chr9	129480000	129490000	chr9	129610000	129620000	0.1526848	0.13686886	0.10802292
chr9	96410000	96420000	chr9	96650000	96660000	0.06091735	0.02312308	0.01609931
chr9	120750000	120760000	chr9	120930000	120940000	0.05873984	0.02650134	0.0175029999999999
chr9	72860000	72870000	chr9	72960000	72970000	0.0737357	0.0646642	0.076086
chr9	34430000	34440000	chr9	34590000	34600000	0.0742234	0.03956666	0.02653552
chr9	32580000	32590000	chr9	32970000	32980000	0.13309172	0.06191608	0.04951088
chr9	6430000	6440000	chr9	6560000	6570000	0.06509423	0.0410965499999999	0.03771109
chr9	124130000	124140000	chr9	124250000	124260000	0.0854337	0.0466211599999999	0.0440958
chr9	77660000	77670000	chr9	77740000	77750000	0.0718073	0.02590113	0.01792138
chr9	100600000	100610000	chr9	101300000	101310000	0.04131711	0.0368438	0.02138237
chr9	19920000	19930000	chr9	20190000	20200000	0.09782166	0.07079188	0.06466084
chr9	26740000	26750000	chr9	26850000	26860000	0.0530494	0.02864057	0.02853169
chr9	109570000	109580000	chr9	109650000	109660000	0.07655151	0.06438042	0.0575749
chr9	6050000	6060000	chr9	6190000	6200000	0.06852136	0.04620292	0.03348142
chr9	107170000	107180000	chr9	107330000	107340000	0.0626446	0.02788643	0.02567725
chr9	6910000	6920000	chr9	7040000	7050000	0.066029	0.02609492	0.02977552
chr9	91050000	91060000	chr9	91420000	91430000	0.04836802	0.02326319	0.01924474
chr9	77840000	77850000	chr9	78020000	78030000	0.0667076	0.04002575	0.0270424
chr9	109570000	109580000	chr9	109810000	109820000	0.04677132	0.02123474	0.01882555
chr9	113800000	113810000	chr9	114040000	114050000	0.0686143	0.02989473	0.01829142
chr9	103800000	103810000	chr9	104090000	104100000	0.0348855099999999	0.02344213	0.0212759
chr9	77430000	77440000	chr9	77750000	77760000	0.05118481	0.01358064	0.01327914
chr9	14090000	14100000	chr9	14310000	14320000	0.0567487	0.02298364	0.01881224
chr9	116380000	116390000	chr9	116570000	116580000	0.05718251	0.03338664	0.04132255
chr9	110640000	110650000	chr9	110910000	110920000	0.04900037	0.02956875	0.03050935
chr9	19920000	19930000	chr9	20270000	20280000	0.04761894	0.03358386	0.03714278
chr9	115990000	116000000	chr9	116150000	116160000	0.04056358	0.02626203	0.02725209
chr9	27030000	27040000	chr9	27120000	27130000	0.0624075299999999	0.0348814099999999	0.03099904
chr9	129170000	129180000	chr9	129330000	129340000	0.06592564	0.04094556	0.02803798
chr9	16190000	16200000	chr9	16720000	16730000	0.03078893	0.005288998	0.008582591
chr9	130940000	130950000	chr9	131040000	131050000	0.0791273	0.06170615	0.04385428
chr9	104920000	104930000	chr9	105060000	105070000	0.05413402	0.03605744	0.0334677
chr9	33940000	33950000	chr9	34070000	34080000	0.0716391	0.05081574	0.0458065
chr9	13420000	13430000	chr9	14350000	14360000	0.03517697	0.0188699599999999	0.00793063
chr9	131760000	131770000	chr9	132160000	132170000	0.06455892	0.0368206	0.01726204
chr9	36030000	36040000	chr9	36160000	36170000	0.06670447	0.03030225	0.02608186
chr9	20940000	20950000	chr9	21100000	21110000	0.0573523499999999	0.02538273	0.03345191
chr9	100440000	100450000	chr9	100590000	100600000	0.05876806	0.0214756399999999	0.02831813
chr9	98310000	98320000	chr9	98700000	98710000	0.0499003499999999	0.02437911	0.0122949299999999
chr9	35110000	35120000	chr9	35380000	35390000	0.04028969	0.02637783	0.02538093
chr9	31120000	31130000	chr9	31790000	31800000	0.08083064	0.04686712	0.05465126
chr9	129330000	129340000	chr9	129480000	129490000	0.05603876	0.03299026	0.02702964
chr9	21460000	21470000	chr9	21790000	21800000	0.04768426	0.00876005	0.003833308
chr9	38090000	38100000	chr9	38260000	38270000	0.0658692	0.0510766599999999	0.04336969
chr9	104490000	104500000	chr9	104680000	104690000	0.04157624	0.03539291	0.0214938699999999
chr9	86430000	86440000	chr9	87320000	87330000	0.04346274	0.0369203	0.01629656
chr9	72590000	72600000	chr9	72820000	72830000	0.04059381	0.02417553	0.03231422
chr9	71600000	71610000	chr9	71710000	71720000	0.05547973	0.02305822	0.01366467
chr9	88590000	88600000	chr9	88720000	88730000	0.05595686	0.0385106199999999	0.03907858
chr9	71600000	71610000	chr9	71810000	71820000	0.0473407	0.02241085	0.01211668
chr9	91420000	91430000	chr9	91680000	91690000	0.0439642	0.02247329	0.0155766599999999
chr9	37900000	37910000	chr9	38360000	38370000	0.03823792	0.01450051	0.005328086
chr9	109100000	109110000	chr9	109310000	109320000	0.04192957	0.03095317	0.03055946
chr9	97920000	97930000	chr9	98050000	98060000	0.05448793	0.02393555	0.02503656
chr9	83950000	83960000	chr9	84260000	84270000	0.0846648	0.04100546	0.04306773
chr9	104920000	104930000	chr9	105410000	105420000	0.03290761	0.01275987	0.01210458
chr9	98070000	98080000	chr9	98250000	98260000	0.127263	0.07377346	0.0717865199999999
chr9	79470000	79480000	chr9	79560000	79570000	0.05693272	0.04480075	0.05132393
chr9	34250000	34260000	chr9	34370000	34380000	0.04644811	0.02635974	0.01979374
chr9	16190000	16200000	chr9	16500000	16510000	0.03507536	0.01627082	0.01592525
chr9	15210000	15220000	chr9	15410000	15420000	0.05316914	0.03871758	0.03579799
chr9	124860000	124870000	chr9	125140000	125150000	0.03563731	0.012960777	0.0114955
chr9	70640000	70650000	chr9	70920000	70930000	0.05677169	0.02831558	0.02626016
chr9	13750000	13760000	chr9	14350000	14360000	0.03770338	0.014579	0.0114629
chr9	16030000	16040000	chr9	16330000	16340000	0.05910558	0.04185486	0.03652034
chr9	36990000	37000000	chr9	37330000	37340000	0.04720454	0.01309166	0.00709475
chr9	20420000	20430000	chr9	20620000	20630000	0.03593459	0.011648262	0.0122464699999999
chr9	14460000	14470000	chr9	14760000	14770000	0.08647672	0.05999376	0.04973138
chr9	115690000	115700000	chr9	115990000	116000000	0.03442122	0.0287608099999999	0.03198664
chr9	88390000	88400000	chr9	88570000	88580000	0.05267751	0.01424136	0.01802334
chr9	13750000	13760000	chr9	14320000	14330000	0.03485692	0.00996387	0.007701768
chr9	108270000	108280000	chr9	108560000	108570000	0.03997055	0.02540399	0.02574936
chr9	98320000	98330000	chr9	98490000	98500000	0.05291534	0.03239226	0.03276279
chr9	89030000	89040000	chr9	89180000	89190000	0.04978441	0.01397295	0.010315899
chr9	86480000	86490000	chr9	87320000	87330000	0.04306427	0.04018057	0.02627889
chr9	107150000	107160000	chr9	107340000	107350000	0.05748382	0.03101326	0.01806209
chr9	111760000	111770000	chr9	112360000	112370000	0.03948182	0.00940298	0.00600497
chr9	109170000	109180000	chr9	109400000	109410000	0.0465426	0.02251032	0.01715787
chr9	16330000	16340000	chr9	16500000	16510000	0.0346071	0.02541896	0.02449826
chr9	3870000	3880000	chr9	4220000	4230000	0.03182508	0.0194788	0.01507684
chr9	125400000	125410000	chr9	125630000	125640000	0.04363385	0.01236487	0.01159413
chr9	86030000	86040000	chr9	86230000	86240000	0.057793	0.0273143299999999	0.02487645
chr9	79570000	79580000	chr9	79800000	79810000	0.03237219	0.012972695	0.01073848
chr9	115580000	115590000	chr9	116650000	116660000	0.04114436	0.02370371	0.004561059
chr9	116150000	116160000	chr9	116570000	116580000	0.02662504	0.00822526	0.002934752
chr9	131500000	131510000	chr9	131740000	131750000	0.04440646	0.01237939	0.008089459
chr9	100350000	100360000	chr9	100590000	100600000	0.0339897299999999	0.009207254	0.008392314
chr9	73200000	73210000	chr9	74740000	74750000	0.03282677	0.0285466599999999	0.01895129
chr9	68580000	68590000	chr9	69000000	69010000	0.12027024	0.0655927	0.03995056
chr9	109570000	109580000	chr9	109860000	109870000	0.04673917	0.02128072	0.014443927
chr9	90910000	90920000	chr9	91080000	91090000	0.04011307	0.02953663	0.0369188
chr9	89590000	89600000	chr9	90870000	90880000	0.03726981	0.0333633699999999	0.01820205
chr9	36990000	37000000	chr9	37370000	37380000	0.04436898	0.02296564	0.01079718
chr9	3870000	3880000	chr9	4120000	4130000	0.0343374	0.02001925	0.01781961
chr9	3730000	3740000	chr9	4360000	4370000	0.07430676	0.0503324599999999	0.01488587
chr9	132500000	132510000	chr9	132790000	132800000	0.05029005	0.02983709	0.01593528
chr9	107490000	107500000	chr9	108050000	108060000	0.03730955	0.02039604	0.02208371
chr9	99260000	99270000	chr9	99800000	99810000	0.03130921	0.01036493	0.01297452
chr9	16330000	16340000	chr9	16720000	16730000	0.02682377	0.010115474	0.00918431
chr9	13210000	13220000	chr9	13420000	13430000	0.03324995	0.01059507	0.00885661
chr9	130890000	130900000	chr9	131040000	131050000	0.06865993	0.01944741	0.01700891
chr9	19180000	19190000	chr9	19450000	19460000	0.03110681	0.00924407	0.003683478
chr9	13350000	13360000	chr9	14430000	14440000	0.02700089	0.02085446	0.0054423549999999
chr9	3870000	3880000	chr9	4290000	4300000	0.02758205	0.02020226	0.01267566
chr9	116150000	116160000	chr9	116490000	116500000	0.02335615	0.006426812	0.0025114539999999
chr9	115700000	115710000	chr9	115840000	115850000	0.05735432	0.04270129	0.03398226
chr9	13740000	13750000	chr9	14420000	14430000	0.02411658	0.00984182	0.008571686
chr9	104380000	104390000	chr9	104740000	104750000	0.01797767	0.01398359	0.01197559
chr9	94670000	94680000	chr9	94910000	94920000	0.03227228	0.0228308399999999	0.0248825
chr9	2650000	2660000	chr9	2810000	2820000	0.0382899	0.02151005	0.02561682
chr9	2130000	2140000	chr9	2730000	2740000	0.0333189699999999	0.010050035	0.0088695199999999
chr9	129330000	129340000	chr9	129600000	129610000	0.04792594	0.01939074	0.01220956
chr9	19040000	19050000	chr9	19450000	19460000	0.02884269	0.01320759	0.006086039
chr9	115880000	115890000	chr9	116570000	116580000	0.02196291	0.004595409	0.001607873
chr9	127500000	127510000	chr9	127730000	127740000	0.03930414	0.015666863	0.00912344
chr9	99430000	99440000	chr9	99810000	99820000	0.0217093	0.012761877	0.01320628
chr9	19070000	19080000	chr9	19370000	19380000	0.03434184	0.01476013	0.008638223
