chr	start	end	gene_id	Strand	gene_name	TP478_S31:DMSO_4hr-R1_tc	TP479_S32:DMSO_4hr-R2_tc	TP480_S33:dTAG_4hr-R1_tc	TP481_S34:dTAG_4hr-R2_tc	TP482_S35:DMSO_24hr-R1_tc	TP483_S36:DMSO_24hr-R2_tc	TP484_S37:dTAG_24hr-R1_tc	TP485_S38:dTAG_24hr-R2_tc
chr10	100105754	100140151	ENSG00000283232.1	-	Cyp2c44	0.418787125363469	0.347465519898411	0.307261599612578	0.331207854125204	0.372731999020767	0.310860204444936	0.309718068654091	0.340679386267757
chr10	100150094	100188334	ENSG00000107566.13	-	ERLIN1	3.04083401700586	3.03565109270971	2.98351660151063	3.16401241739419	2.02070306540538	2.05506927336429	2.0910815887219	1.97484958527492
chr10	100188298	100229619	ENSG00000213341.10	-	CHUK	1.60865808706088	1.98479901770009	1.87240389505491	1.89855060909033	1.19497704280345	1.21597041465541	1.36492841081309	1.44317357411729
chr10	100190036	100190747	ENSG00000236308.1	+	RP11-316M21.7	2.44099109537343	1.93216151574529	1.71516995161861	2.02826408843751	0.974711108854473	1.31407870865091	1.58650370923228	2.56378940291184
chr10	100229667	100234000	ENSG00000227492.1	+	RP11-316M21.6	0.240324671425411	0.126819001864288	0.37525527674462	0.36609862533279	0.439834732422734	0.191668069205487	0.318179488419768	0.300493598211453
chr10	100232298	100267680	ENSG00000095485.16	-	CWF19L1	1.78547922516258	1.72002348397163	1.55098249398105	1.51211782689541	1.59632291191102	1.4670202077811	0.991845063823925	0.956786156444121
chr10	100273280	100286712	ENSG00000196072.11	-	BLOC1S2	4.3543668358334	4.25466799047855	5.29605968905462	5.58286032442761	4.28235755411175	3.34653740223508	4.18961234888165	3.78048776659908
chr10	100347124	100364834	ENSG00000099194.5	+	SCD	1.70516528725595	1.55915942618111	1.43837967935853	1.4657099832763	3.55118738308269	2.43850269232657	1.67725064641197	1.91887135310056
chr10	100373615	100383368	ENSG00000235823.1	+	OLMALINC	0.391489620771365	0.267626062916058	0.416789991319194	0.428799110422363	0.746099229278485	0.638647911309885	0.514031756503026	0.614106254571008
chr10	100486642	100519864	ENSG00000075826.16	-	SEC31B	0.391806183134032	0.34321427827547	0.505743328097522	0.503531120817447	0.907421363259453	0.509342951396597	0.743205021575523	0.721133983604966
