Chr	Start	End	Conc	Conc_dTAG_4hr	Conc_DMSO	Fold	p-value	FDR
chr8	26373970	26374370	6.8909058002819	3.97821223783586	7.79178373256586	-3.04539493553197	1.22827369322277e-08	0.000244822590074495
chr3	177359825	177360225	8.37773919814639	5.636803779978	9.26558586826195	-2.93114495152323	2.24498964561409e-08	0.000244822590074495
chr17	57995393	57995793	7.49370263159222	4.84923873693571	8.37346122968177	-2.88125264351945	2.33260637794482e-08	0.000244822590074495
chr11	62560502	62560902	8.214862970961	5.54290065205935	9.09698706758582	-2.86569052058537	5.17478079743596e-08	0.000327117767139176
chr12	32302210	32302610	7.67732436386118	5.3066007268613	8.53064250867699	-2.68312372419297	6.97745530286759e-08	0.000327117767139176
chr22	37318412	37318812	7.45961913718017	4.75027784449499	8.34488124438455	-2.87188171351952	7.08039159388026e-08	0.000327117767139176
chr20	50929348	50929748	7.18699377628154	4.50516534665846	8.06995472604699	-2.85038908816564	8.60501196156415e-08	0.000327117767139176
chr6	31551363	31551763	7.53981666480893	5.16044859295514	8.39405687998488	-2.6766214316718	9.47341245650177e-08	0.000327117767139176
chr8	118108752	118109152	7.44223802988005	5.18682104240022	8.28265192159762	-2.59523510683069	1.05754427080832e-07	0.000327117767139176
chr5	139635661	139636061	7.56320388220268	5.01832091467645	8.43397358382676	-2.76722528220153	1.19419861488415e-07	0.000327117767139176
chr17	75679623	75680023	7.5778444109637	4.81978684191606	8.46706640326464	-2.8750520723541	1.21946852003131e-07	0.000327117767139176
chr10	72044296	72044696	7.76396338518925	5.44028868767536	8.61215422824056	-2.63392027501143	1.24667742422908e-07	0.000327117767139176
chr12	47797457	47797857	6.92897150794204	4.20970946313229	7.81505178906899	-2.84098698972492	1.72181471068686e-07	0.000417036767656901
chr3	136391616	136392016	6.79258310980188	4.28377934507494	7.65992512867942	-2.72725438579002	2.02706554953642e-07	0.000431174972583592
chr12	816423	816823	7.75332120202284	5.59119457042958	8.58241843374616	-2.51976866618984	2.0540618632305e-07	0.000431174972583592
chr2	235595413	235595813	7.51275378389695	5.34750889878777	8.34224269895996	-2.5084395907313	2.81997453890749e-07	0.000554953364416127
chr14	61695044	61695444	7.27161424383321	4.76454449857873	8.13878914634025	-2.71021481979266	2.9969952987078e-07	0.000555096417473014
chr3	177197279	177197679	7.10460700690989	4.64453834082219	7.96716717243625	-2.68013376486094	3.39982925835809e-07	0.000569621983196473
chr19	49097813	49098213	8.01137676038777	5.55115390537988	8.87395233641297	-2.6808373568956	3.43723367762346e-07	0.000569621983196473
chr1	77683330	77683730	8.43563570006794	5.91196546264958	9.30440147887645	-2.71007610210399	3.76190416438688e-07	0.000583751804627811
chr19	42246153	42246553	8.09783392947914	5.64453834082219	8.95971536491816	-2.66882493531959	4.11137140637964e-07	0.000583751804627811
chr5	72308375	72308775	8.24460681794648	5.79814352378179	9.10580002718002	-2.66357427327693	4.22854914364709e-07	0.000583751804627811
chr2	69025975	69026375	6.80193664663676	4.48750044747883	7.64909871368007	-2.58131973031736	4.26407454074369e-07	0.000583751804627811
chr19	3429476	3429876	8.39955734694623	5.89354850956034	9.26662989566602	-2.68606947888922	5.23411521710709e-07	0.00066620393982995
chr11	65571871	65572271	6.89101414251811	4.45951372533703	7.75068752493528	-2.64737855466141	5.28951583058047e-07	0.00066620393982995
chr2	201707729	201708129	7.27168687211624	5.17808368197006	8.09193136860862	-2.44293994779652	5.62288727393725e-07	0.000680953275363316
chr1	9010024	9010424	7.59448009484628	5.38790164605892	8.42907198418965	-2.51270924081641	5.92586293553448e-07	0.000691065356485831
chr1	1349722	1350122	6.34589625186329	3.48558493661303	7.24297522556079	-2.84694914678805	6.17298605777941e-07	0.000692296318552345
chr17	4881953	4882353	7.59935026265407	5.21675919456926	8.45393270160632	-2.61343650926085	6.37615309112269e-07	0.000692296318552345
chr2	112724831	112725231	7.29348588136427	4.78770368217598	8.16053655388643	-2.67355037824607	6.92205077664438e-07	0.000708569177803945
chr3	25592454	25592854	7.92832169466148	5.68851691805857	8.76689839271308	-2.52803244493015	6.97609950516794e-07	0.000708569177803945
chr9	137672834	137673234	7.17075090702087	4.97780535848976	8.00367781676838	-2.48978974280311	8.68521033114052e-07	0.000835293835009788
chr11	65540857	65541257	8.19720277958947	5.68368642690375	9.06499786397621	-2.66869754239052	8.75431020907771e-07	0.000835293835009788
chr7	5366015	5366415	7.59596498351443	5.26561533146012	8.44489459128862	-2.56872110480873	9.37784910658054e-07	0.000868471572996769
chr5	93583303	93583703	5.42875736441254	2.61054330462156	6.3226741030241	-2.79229684587943	1.00531965898097e-06	0.000886486148938224
chr12	65306572	65306972	6.77802913982728	4.73329243113501	7.59166326291384	-2.39397801474922	1.02901827053081e-06	0.000886486148938224
chr19	19053798	19054198	7.38350485444616	5.23702416098369	8.21062234449482	-2.45619573564143	1.07924809524049e-06	0.000886486148938224
chr17	50087419	50087819	8.07352404302592	5.78420687914322	8.9178515876983	-2.53851803097539	1.10876219979666e-06	0.000886486148938224
chr2	36507337	36507737	7.67979314218679	5.68560548374585	8.48631581485398	-2.3565838525601	1.11563133485026e-06	0.000886486148938224
chr2	10659937	10660337	8.23102182851246	6.03168804169366	9.06473112917097	-2.48550198028512	1.14796742750858e-06	0.000886486148938224
chr3	141452002	141452402	7.70040267245975	5.77343091283662	8.4970165456267	-2.31061332850826	1.16201562003958e-06	0.000886486148938224
chr4	73257143	73257543	6.86596135452138	4.45326538712611	7.72369990516536	-2.59935434511708	1.1999988176984e-06	0.000886486148938224
chr11	65569987	65570387	7.38223270866537	4.78366026484356	8.2579327511739	-2.69718523257093	1.21984512404663e-06	0.000886486148938224
chr16	96863	97263	8.63590639895529	6.27898327492791	9.48773975645241	-2.57143832266701	1.26837698461852e-06	0.000886486148938224
chr5	139633282	139633682	8.24914253607545	6.063769444434	9.08113696684888	-2.47438749524708	1.28384446847026e-06	0.000886486148938224
chr17	81601494	81601894	7.99096753901702	6.01984290747038	8.79414982207419	-2.33809525635664	1.30191649028483e-06	0.000886486148938224
chr17	40354980	40355380	9.33077677986168	6.79764235633452	10.2004406063037	-2.65769223151949	1.34755748180456e-06	0.000886486148938224
chr22	36301301	36301701	7.90668767384683	5.60711524917092	8.75217909745104	-2.53769138371417	1.35139375453472e-06	0.000886486148938224
chr20	62382683	62383083	8.68033115892485	6.32751917860517	9.53171915081431	-2.56416779581433	1.4309902909202e-06	0.000888194219442426
chr14	74612492	74612892	6.92473169647162	4.59749647593798	7.77331708034075	-2.54676905843154	1.4342448032261e-06	0.000888194219442426
chr2	86078749	86079149	7.09902257931778	5.02939342905561	7.91605576473303	-2.39468173305191	1.45786274588894e-06	0.000888194219442426
chr19	1266901	1267301	8.85781870850296	6.42285265397785	9.71784565353448	-2.60518341976257	1.47842990757062e-06	0.000888194219442426
chr17	3827151	3827551	7.4006510625386	5.36029846702043	8.21367959717105	-2.3793621911883	1.50784025226305e-06	0.000888194219442426
chr9	112041747	112042147	7.30663591410331	4.93513491903684	8.16003722731192	-2.57230794784426	1.52324730364566e-06	0.000888194219442426
chr14	68941748	68942148	7.38051985233312	5.00034977501764	8.23484530500827	-2.57350773385462	1.60718976903486e-06	0.000888509791512911
chr9	35658486	35658886	7.26368674425053	4.73892067191205	8.13255683631621	-2.64832494988628	1.6303734510535e-06	0.000888509791512911
chr19	38636820	38637220	6.93737249556804	4.4187977896779	7.80565208568843	-2.64685168291016	1.63656008573828e-06	0.000888509791512911
chr12	76037095	76037495	6.93447698108602	4.81735627728115	7.75781344882953	-2.42243204225356	1.66049163649176e-06	0.000888509791512911
chr5	72269122	72269522	7.00508461838754	4.88377898628482	7.82896535130637	-2.42437830760885	1.69746601900318e-06	0.000888509791512911
chr6	41775866	41776266	7.70512468662863	5.6404191913616	8.52149082363105	-2.38986352610085	1.69752152602994e-06	0.000888509791512911
chr19	42279731	42280131	8.06939522161568	5.76934723797561	8.91494039369521	-2.52811342444746	1.72652287119191e-06	0.000888509791512911
chr4	105471558	105471958	7.25925407923406	5.05153859695095	8.09398403810981	-2.4788839674438	1.76550043018253e-06	0.000888509791512911
chr19	41873135	41873535	6.9737948963288	4.51962947551176	7.83576369398951	-2.61026605189513	1.77775325897397e-06	0.000888509791512911
