stripe_id	direction	direction_confidence	significant_FDR05	symbol	entrez_id
stripe_0001	lost	low	FALSE	Xkr4	497097
stripe_0002	lost	low	FALSE	Xkr4	497097
stripe_0003	gained	low	FALSE	Atp6v1h	108664
stripe_0003	gained	low	FALSE	Lypla1	18777
stripe_0003	gained	low	FALSE	Mrpl15	27395
stripe_0003	gained	low	FALSE	Rgs20	58175
stripe_0003	gained	low	FALSE	Tcea1	21399
stripe_0004	lost	low	FALSE	Pcmtd1	319263
stripe_0004	lost	low	FALSE	St18	240690
stripe_0005	unchanged	low	FALSE	Cops5	26754
stripe_0005	unchanged	low	FALSE	Cspp1	211660
stripe_0005	unchanged	low	FALSE	Mcmdc2	240697
stripe_0005	unchanged	low	FALSE	Ppp1r42	69312
stripe_0005	unchanged	low	FALSE	Sgk3	170755
stripe_0005	unchanged	low	FALSE	Tcf24	100039596
stripe_0006	unchanged	low	FALSE	Arfgef1	211673
stripe_0006	unchanged	low	FALSE	Cpa6	329093
stripe_0007	unchanged	low	FALSE	Prex2	109294
stripe_0008	gained	low	FALSE	Sulf1	240725
stripe_0009	unchanged	low	FALSE	Lactb2	212442
stripe_0009	unchanged	low	FALSE	Ncoa2	17978
stripe_0009	unchanged	low	FALSE	Prdm14	383491
stripe_0009	unchanged	low	FALSE	Slco5a1	240726
stripe_0009	unchanged	low	FALSE	Tram1	72265
stripe_0009	unchanged	low	FALSE	Xkr9	381246
stripe_0011	lost	low	FALSE	Eya1	14048
stripe_0012	unchanged	low	FALSE	4930444P10Rik	75799
stripe_0012	unchanged	low	FALSE	Kcnb2	98741
stripe_0012	unchanged	low	FALSE	Rdh10	98711
stripe_0012	unchanged	low	FALSE	Rpl7	19989
stripe_0012	unchanged	low	FALSE	Sbspon	226866
stripe_0012	unchanged	low	FALSE	Terf1	21749
stripe_0013	gained	low	FALSE	Kcnb2	98741
stripe_0014	unchanged	low	FALSE	4930444P10Rik	75799
stripe_0014	unchanged	low	FALSE	Rdh10	98711
stripe_0014	unchanged	low	FALSE	Rpl7	19989
stripe_0014	unchanged	low	FALSE	Sbspon	226866
stripe_0014	unchanged	low	FALSE	Terf1	21749
stripe_0015	gained	low	FALSE	Eloc	67923
stripe_0015	gained	low	FALSE	Ly96	17087
stripe_0015	gained	low	FALSE	Stau2	29819
stripe_0015	gained	low	FALSE	Tmem70	70397
stripe_0015	gained	low	FALSE	Ube2w	66799
stripe_0016	unchanged	low	FALSE	Jph1	57339
stripe_0017	unchanged	low	FALSE	Eloc	67923
stripe_0017	unchanged	low	FALSE	Jph1	57339
stripe_0017	unchanged	low	FALSE	Ly96	17087
stripe_0017	unchanged	low	FALSE	Stau2	29819
stripe_0017	unchanged	low	FALSE	Tmem70	70397
stripe_0017	unchanged	low	FALSE	Ube2w	66799
stripe_0018	unchanged	low	FALSE	Efhc1	71877
stripe_0018	unchanged	low	FALSE	Il17a	16171
stripe_0018	unchanged	low	FALSE	Il17f	257630
stripe_0018	unchanged	low	FALSE	Mcm3	17215
stripe_0018	unchanged	low	FALSE	Paqr8	74229
stripe_0019	lost	low	FALSE	Efhc1	71877
stripe_0019	lost	low	FALSE	Gsta3	14859
stripe_0019	lost	low	FALSE	Tmem14a	75712
stripe_0019	lost	low	FALSE	Tram2	170829
stripe_0020	gained	low	FALSE	Efhc1	71877
stripe_0020	gained	low	FALSE	Il17f	257630
stripe_0020	gained	low	FALSE	Mcm3	17215
stripe_0020	gained	low	FALSE	Paqr8	74229
stripe_0020	gained	low	FALSE	Tram2	170829
stripe_0021	unchanged	low	FALSE	Kcnq5	226922
stripe_0021	unchanged	low	FALSE	Khdc1a	368204
stripe_0021	unchanged	low	FALSE	Khdc1b	98582
stripe_0021	unchanged	low	FALSE	Khdc1c	433278
stripe_0022	unchanged	low	FALSE	Ppp1r14bl	66755
stripe_0022	unchanged	low	FALSE	Rims1	116837
stripe_0023	lost	low	FALSE	Rims1	116837
stripe_0024	unchanged	low	FALSE	Ppp1r14bl	66755
stripe_0024	unchanged	low	FALSE	Rims1	116837
stripe_0025	gained	low	FALSE	B3gat2	280645
stripe_0025	gained	low	FALSE	Ogfrl1	70155
stripe_0026	gained	low	FALSE	Ogfrl1	70155
stripe_0027	lost	low	FALSE	Sdhaf4	68002
stripe_0027	lost	low	FALSE	Smap1	98366
stripe_0028	unchanged	low	FALSE	B3gat2	280645
