loop_id	chr1	start1	end1	chr2	start2	end2	coord_string	shift_status	logFC	logCPM	F	PValue	FDR	significant	exploratory	category	direction	plot_color	resolution	resolution_kb	n_overlaps	is_merged	anchor1_chr	anchor1_start	anchor1_end	anchor1_midpoint	anchor1_size	anchor2_chr	anchor2_start	anchor2_end	anchor2_midpoint	anchor2_size	loop_distance	distance_category	is_intrachromosomal	anchor1_nearest_gene_idx	anchor1_distance_to_tss	anchor2_nearest_gene_idx	anchor2_distance_to_tss	anchor1_nearest_gene	anchor2_nearest_gene	anchor1_H3K27ac_overlap	anchor1_H3K4me1_overlap	anchor1_type	anchor1_is_promoter	anchor2_H3K27ac_overlap	anchor2_H3K4me1_overlap	anchor2_type	anchor2_is_promoter	loop_type	anchor1_H3K27me3_overlap	anchor2_H3K27me3_overlap	anchor1_H3K4me3_overlap	anchor2_H3K4me3_overlap	anchor1_Bivalent_Promoter_overlap	anchor2_Bivalent_Promoter_overlap
loop_1965	chr9	29790000	29795000	chr9	29960000	29965000	chr9:29790000-29795000_chr9:29960000-29965000	FALSE	0.374205075883309	5.29820134869229	20.3232298385197	3.284226216039e-4	0.0090279570325212	TRUE	TRUE	weak_differential	up_in_mutant	NA	5000	5	1	FALSE	chr9	29790000	29795000	29792500	5000	chr9	29960000	29965000	29962500	5000	170000	100-500kb	TRUE	10845	168140	10845	0	235106	235106	TRUE	TRUE	Polycomb	FALSE	TRUE	TRUE	Active_Promoter	TRUE	Active_Promoter-Polycomb	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE
loop_22500	chr1	182550000	182560000	chr1	182650000	182660000	chr1:182550000-182560000_chr1:182650000-182660000	TRUE	0.333895372721255	4.89269948002987	21.0792086074578	1.770972713534e-4	0.0031581680320535	TRUE	TRUE	weak_differential	up_in_mutant	NA	10000	10	2	TRUE	chr1	182550000	182560000	182555000	10000	chr1	182650000	182660000	182655000	10000	100000	<100kb	TRUE	5938	5006	5938	84992	170725	170725	FALSE	FALSE	Other	FALSE	FALSE	FALSE	Other	FALSE	Other-Other	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_3749	chr1	169670000	169675000	chr1	169935000	169940000	chr1:169670000-169675000_chr1:169935000-169940000	TRUE	0.477060791282449	5.15117576734048	17.7220355118593	6.183184097081e-4	0.0132997627313065	TRUE	TRUE	weak_differential	up_in_mutant	NA	5000	5	1	FALSE	chr1	169670000	169675000	169672500	5000	chr1	169935000	169940000	169937500	5000	265000	100-500kb	TRUE	7444	14498	23780	6351	19737	78465	FALSE	FALSE	Other	FALSE	FALSE	FALSE	Other	FALSE	Other-Other	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_3779	chr18	64340000	64345000	chr18	64465000	64470000	chr18:64340000-64345000_chr18:64465000-64470000	TRUE	0.454929935851277	4.83053742901258	21.5222868389937	2.49270155555e-4	0.0075081673989804	TRUE	TRUE	weak_differential	up_in_mutant	NA	5000	5	1	FALSE	chr18	64340000	64345000	64342500	5000	chr18	64465000	64470000	64467500	5000	125000	100-500kb	TRUE	9747	0	4692	20250	225631	14151	FALSE	TRUE	Repressed_Promoter	FALSE	FALSE	TRUE	Poised_Enhancer	FALSE	Repressed_Promoter-Poised_Enhancer	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
loop_3915	chr3	127620000	127625000	chr3	127760000	127765000	chr3:127620000-127625000_chr3:127760000-127765000	TRUE	0.788418215597205	5.0823703644135	75.9939003549992	1.34767170463333e-7	8.65494021168448e-5	TRUE	TRUE	moderate_differential	up_in_mutant	NA	5000	5	2	TRUE	chr3	127620000	127625000	127622500	5000	chr3	127760000	127765000	127762500	5000	140000	100-500kb	TRUE	3528	8134	20959	15526	11924	71481	FALSE	FALSE	Polycomb	FALSE	FALSE	FALSE	Polycomb	FALSE	Polycomb-Polycomb	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
loop_22261	chr6	83690000	83700000	chr6	83740000	83750000	chr6:83690000-83700000_chr6:83740000-83750000	FALSE	0.322017476859886	6.47511781758444	45.692751912702	1.42115112935467e-6	1.051094521554e-4	TRUE	TRUE	weak_differential	up_in_mutant	NA	10000	10	3	TRUE	chr6	83690000	83700000	83695000	10000	chr6	83740000	83750000	83745000	10000	50000	<100kb	TRUE	11454	11263	3039	0	24113	110935	FALSE	FALSE	Polycomb	FALSE	FALSE	FALSE	Other	FALSE	Polycomb-Other	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_4829	chr7	131540000	131550000	chr7	131740000	131750000	chr7:131540000-131550000_chr7:131740000-131750000	TRUE	0.491491828237413	4.05535841371539	26.6798155016786	4.7124166788786e-5	0.0012365711268571	TRUE	TRUE	weak_differential	up_in_mutant	NA	10000	10	2	TRUE	chr7	131540000	131550000	131545000	10000	chr7	131740000	131750000	131745000	10000	200000	100-500kb	TRUE	5283	0	3679	179777	15373	12237	FALSE	TRUE	Repressed_Promoter	FALSE	FALSE	FALSE	Polycomb	FALSE	Repressed_Promoter-Polycomb	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
loop_21673	chr8	14420000	14430000	chr8	14740000	14750000	chr8:14420000-14430000_chr8:14740000-14750000	TRUE	0.564881609870098	4.79505903509961	70.3834480926861	5.56762995445097e-8	1.17763178625359e-5	TRUE	TRUE	moderate_differential	up_in_mutant	NA	10000	10	2	TRUE	chr8	14420000	14430000	14425000	10000	chr8	14740000	14750000	14745000	10000	320000	100-500kb	TRUE	11738	324134	13150	131334	244310	26889	FALSE	TRUE	Polycomb	FALSE	FALSE	TRUE	Polycomb	FALSE	Polycomb-Polycomb	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
loop_21843	chr12	75300000	75310000	chr12	75370000	75380000	chr12:75300000-75310000_chr12:75370000-75380000	FALSE	0.324243640472188	5.85586938266191	45.5814589085509	1.44591952656138e-6	1.05561453952e-4	TRUE	TRUE	weak_differential	up_in_mutant	NA	10000	10	2	TRUE	chr12	75300000	75310000	75305000	10000	chr12	75370000	75380000	75375000	10000	70000	<100kb	TRUE	24022	0	8997	36780	80837	217674	FALSE	TRUE	Repressed_Promoter	FALSE	FALSE	TRUE	Poised_Enhancer	FALSE	Repressed_Promoter-Poised_Enhancer	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_5292	chr12	104770000	104780000	chr12	104940000	104950000	chr12:104770000-104780000_chr12:104940000-104950000	TRUE	0.374772635830487	4.82095599641745	33.5970498440681	1.13741114778322e-5	4.44592212377e-4	TRUE	TRUE	weak_differential	up_in_mutant	NA	10000	10	2	TRUE	chr12	104770000	104780000	104775000	10000	chr12	104940000	104950000	104945000	10000	170000	100-500kb	TRUE	7120	18047	8373	59808	192119	212073	FALSE	FALSE	Polycomb	FALSE	FALSE	TRUE	Polycomb	FALSE	Polycomb-Polycomb	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
