module	timepoint	label	file_relative	has_header	mode	chr1_col	start1_col	end1_col	chr2_col	start2_col	end2_col	resolution_bp	needs_chr_prefix
loops	early	characterized_loops	loops/outputs/250831-early_outputs/merged_loops/characterized_loops.tsv	TRUE	paired	chr1	start1	end1	chr2	start2	end2	NA	FALSE
loops	early	non_redundant_loops	loops/outputs/250831-early_outputs/merged_loops/non_redundant_loops.tsv	TRUE	paired	chr1	start1	end1	chr2	start2	end2	NA	FALSE
loops	early	merged_all_results	loops/outputs/250831-early_outputs/merged_loops/merged_all_results.tsv	TRUE	paired	chr1	start1	end1	chr2	start2	end2	NA	FALSE
loops	early	bedpe_5kb_final	loops/outputs/250831-early_outputs/bedpe_final/5kb_final.bedpe	TRUE	paired	chr1	start1	end1	chr2	start2	end2	NA	FALSE
loops	early	bedpe_10kb_final	loops/outputs/250831-early_outputs/bedpe_final/10kb_final.bedpe	TRUE	paired	chr1	start1	end1	chr2	start2	end2	NA	FALSE
loops	early	bedpe_25kb_final	loops/outputs/250831-early_outputs/bedpe_final/25kb_final.bedpe	TRUE	paired	chr1	start1	end1	chr2	start2	end2	NA	FALSE
loops	early	bedpe_merged_final	loops/outputs/250831-early_outputs/bedpe_final/merged_final.bedpe	TRUE	paired	chr1	start1	end1	chr2	start2	end2	NA	FALSE
loops	early	bedpe_merged_nonredundant	loops/outputs/250831-early_outputs/bedpe_final/merged_all_loops_nonredundant.bedpe	TRUE	paired	chr1	start1	end1	chr2	start2	end2	NA	FALSE
loops	early	bedpe_merged_diff_nonredundant	loops/outputs/250831-early_outputs/bedpe_final/merged_differential_nonredundant.bedpe	TRUE	paired	chr1	start1	end1	chr2	start2	end2	NA	FALSE
loops	early	edgeR_sig_5kb	loops/outputs/250831-early_outputs/edgeR_results_res_5kb/primary_analysis/significant_loops_fdr05.tsv	TRUE	paired	chr1	start1	end1	chr2	start2	end2	NA	FALSE
loops	early	edgeR_sig_10kb	loops/outputs/250831-early_outputs/edgeR_results_res_10kb/primary_analysis/significant_loops_fdr05.tsv	TRUE	paired	chr1	start1	end1	chr2	start2	end2	NA	FALSE
loops	early	edgeR_sig_25kb	loops/outputs/250831-early_outputs/edgeR_results_res_25kb/primary_analysis/significant_loops_fdr05.tsv	TRUE	paired	chr1	start1	end1	chr2	start2	end2	NA	FALSE
loops	late	characterized_loops	loops/outputs/250402-late_outputs/merged_loops/characterized_loops.tsv	TRUE	paired	chr1	start1	end1	chr2	start2	end2	NA	FALSE
loops	late	non_redundant_loops	loops/outputs/250402-late_outputs/merged_loops/non_redundant_loops.tsv	TRUE	paired	chr1	start1	end1	chr2	start2	end2	NA	FALSE
loops	late	merged_all_results	loops/outputs/250402-late_outputs/merged_loops/merged_all_results.tsv	TRUE	paired	chr1	start1	end1	chr2	start2	end2	NA	FALSE
loops	late	bedpe_5kb_final	loops/outputs/250402-late_outputs/bedpe_final/5kb_final.bedpe	TRUE	paired	chr1	start1	end1	chr2	start2	end2	NA	FALSE
loops	late	bedpe_10kb_final	loops/outputs/250402-late_outputs/bedpe_final/10kb_final.bedpe	TRUE	paired	chr1	start1	end1	chr2	start2	end2	NA	FALSE
loops	late	bedpe_25kb_final	loops/outputs/250402-late_outputs/bedpe_final/25kb_final.bedpe	TRUE	paired	chr1	start1	end1	chr2	start2	end2	NA	FALSE
loops	late	bedpe_merged_final	loops/outputs/250402-late_outputs/bedpe_final/merged_final.bedpe	TRUE	paired	chr1	start1	end1	chr2	start2	end2	NA	FALSE
loops	late	bedpe_merged_nonredundant	loops/outputs/250402-late_outputs/bedpe_final/merged_all_loops_nonredundant.bedpe	TRUE	paired	chr1	start1	end1	chr2	start2	end2	NA	FALSE
loops	late	bedpe_merged_diff_nonredundant	loops/outputs/250402-late_outputs/bedpe_final/merged_differential_nonredundant.bedpe	TRUE	paired	chr1	start1	end1	chr2	start2	end2	NA	FALSE
loops	late	edgeR_sig_5kb	loops/outputs/250402-late_outputs/edgeR_results_res_5kb/primary_analysis/significant_loops_fdr05.tsv	TRUE	paired	chr1	start1	end1	chr2	start2	end2	NA	FALSE
loops	late	edgeR_sig_10kb	loops/outputs/250402-late_outputs/edgeR_results_res_10kb/primary_analysis/significant_loops_fdr05.tsv	TRUE	paired	chr1	start1	end1	chr2	start2	end2	NA	FALSE
loops	late	edgeR_sig_25kb	loops/outputs/250402-late_outputs/edgeR_results_res_25kb/primary_analysis/significant_loops_fdr05.tsv	TRUE	paired	chr1	start1	end1	chr2	start2	end2	NA	FALSE
loops	late	master_annotated_loops	loops/output/master_loop_table/late/master_annotated_loops.tsv	TRUE	paired	chr1	start1	end1	chr2	start2	end2	NA	FALSE
loops	late	significant_loops	loops/output/master_loop_table/late/significant_loops.tsv	TRUE	paired	chr1	start1	end1	chr2	start2	end2	NA	FALSE
stripes	early	stripes_allsig	stripes/stripenn/outputs/250831/250831_stripes_allsig.bedpe	TRUE	paired	chr1	x1	x2	chr2	y1	y2	NA	FALSE
stripes	early	stripes_concordant	stripes/stripenn/outputs/250831/250831_stripes_concordant.bedpe	TRUE	paired	chr1	x1	x2	chr2	y1	y2	NA	FALSE
stripes	early	stripes_diagonal	stripes/stripenn/outputs/250831/250831_stripes_diagonal.bedpe	TRUE	paired	chr1	x1	x2	chr2	y1	y2	NA	FALSE
stripes	early	stripes_highconf	stripes/stripenn/outputs/250831/250831_stripes_highconf.bedpe	TRUE	paired	chr1	x1	x2	chr2	y1	y2	NA	FALSE
stripes	early	stripes_rectangle	stripes/stripenn/outputs/250831/250831_stripes_rectangle.bedpe	TRUE	paired	chr1	x1	x2	chr2	y1	y2	NA	FALSE
stripes	early	cross_res_merged	stripes/stripenn/outputs/250831/cross_res_merged.tsv	TRUE	paired	chr	pos1	pos2	chr2	pos3	pos4	NA	FALSE
stripes	early	final_diff_5kb	stripes/stripenn/outputs/250831/res_5kb/05_final_differential.tsv	TRUE	paired	chr	pos1	pos2	chr2	pos3	pos4	NA	FALSE
stripes	early	final_diff_10kb	stripes/stripenn/outputs/250831/res_10kb/05_final_differential.tsv	TRUE	paired	chr	pos1	pos2	chr2	pos3	pos4	NA	FALSE
stripes	late	stripes_allsig	stripes/stripenn/outputs/250402/250402_stripes_allsig.bedpe	TRUE	paired	chr1	x1	x2	chr2	y1	y2	NA	FALSE
stripes	late	stripes_concordant	stripes/stripenn/outputs/250402/250402_stripes_concordant.bedpe	TRUE	paired	chr1	x1	x2	chr2	y1	y2	NA	FALSE
stripes	late	stripes_diagonal	stripes/stripenn/outputs/250402/250402_stripes_diagonal.bedpe	TRUE	paired	chr1	x1	x2	chr2	y1	y2	NA	FALSE
stripes	late	stripes_highconf	stripes/stripenn/outputs/250402/250402_stripes_highconf.bedpe	TRUE	paired	chr1	x1	x2	chr2	y1	y2	NA	FALSE
stripes	late	stripes_rectangle	stripes/stripenn/outputs/250402/250402_stripes_rectangle.bedpe	TRUE	paired	chr1	x1	x2	chr2	y1	y2	NA	FALSE
stripes	late	cross_res_merged	stripes/stripenn/outputs/250402/cross_res_merged.tsv	TRUE	paired	chr	pos1	pos2	chr2	pos3	pos4	NA	FALSE
stripes	late	final_diff_5kb	stripes/stripenn/outputs/250402/res_5kb/05_final_differential.tsv	TRUE	paired	chr	pos1	pos2	chr2	pos3	pos4	NA	FALSE
stripes	late	final_diff_10kb	stripes/stripenn/outputs/250402/res_10kb/05_final_differential.tsv	TRUE	paired	chr	pos1	pos2	chr2	pos3	pos4	NA	FALSE
tads	early	tadcompare_filtered	tads/results/early/final/tadcompare_final_filtered.tsv	TRUE	single	chr	Boundary	NA	NA	NA	NA	10000	FALSE
tads	late	tadcompare_filtered	tads/results/late/final/tadcompare_final_filtered.tsv	TRUE	single	chr	Boundary	NA	NA	NA	NA	10000	FALSE
cmpts	early	calder2_labels	ML/cmpts/outputs/calder2/early/250831_subcompartment_labels_100kb.tsv	TRUE	single	chr	bin_start	bin_end	NA	NA	NA	NA	FALSE
cmpts	early	calder2_bin_signals	ML/cmpts/outputs/calder2/early/250831_bin_signals.tsv	TRUE	single	chr	bin_start	bin_end	NA	NA	NA	NA	FALSE
cmpts	late	calder2_labels	ML/cmpts/outputs/calder2/late/250402_subcompartment_labels_100kb.tsv	TRUE	single	chr	bin_start	bin_end	NA	NA	NA	NA	FALSE
cmpts	late	calder2_bin_signals	ML/cmpts/outputs/calder2/late/250402_bin_signals.tsv	TRUE	single	chr	bin_start	bin_end	NA	NA	NA	NA	FALSE
cmpts	early	sniper_ctrl	ML/cmpts/outputs/sniper/predictions/250831/ctrl_merged/predictions.bed	FALSE	bed	NA	NA	NA	NA	NA	NA	NA	FALSE
cmpts	early	sniper_mut	ML/cmpts/outputs/sniper/predictions/250831/mut_merged/predictions.bed	FALSE	bed	NA	NA	NA	NA	NA	NA	NA	FALSE
cmpts	late	sniper_ctrl	ML/cmpts/outputs/sniper/predictions/250402/ctrl_merged/predictions.bed	FALSE	bed	NA	NA	NA	NA	NA	NA	NA	FALSE
cmpts	late	sniper_mut	ML/cmpts/outputs/sniper/predictions/250402/mut_merged/predictions.bed	FALSE	bed	NA	NA	NA	NA	NA	NA	NA	FALSE
peaks	early	extended_characterized_loops	peaks/loop_annotation_extended/early/extended_characterized_loops.tsv	TRUE	paired	chr1	start1	end1	chr2	start2	end2	NA	FALSE
peaks	late	extended_characterized_loops	peaks/loop_annotation_extended/late/extended_characterized_loops.tsv	TRUE	paired	chr1	start1	end1	chr2	start2	end2	NA	FALSE
peaks	both	diffbind_ATAC	peaks/diffbind/ATAC_allATAC_diffbind_results_summit_appended_ap.txt	TRUE	single	Peak_Chr	Peak_Start	Peak_End	NA	NA	NA	NA	FALSE
peaks	both	diffbind_K119ub	peaks/diffbind/K119ub_diffbind_results_summit_appended_ap.txt	TRUE	single	Peak_Chr	Peak_Start	Peak_End	NA	NA	NA	NA	FALSE
peaks	both	diffbind_K27ac	peaks/diffbind/K27ac_diffbind_results_summit_appended_ap.txt	TRUE	single	Peak_Chr	Peak_Start	Peak_End	NA	NA	NA	NA	FALSE
peaks	both	diffbind_K27me3	peaks/diffbind/K27me3_diffbind_results_summit_appended_ap.txt	TRUE	single	Peak_Chr	Peak_Start	Peak_End	NA	NA	NA	NA	FALSE
abc	late	delta_abc_all_pairs	abc/results/delta_abc_all_pairs.tsv	TRUE	single	chr	start	end	NA	NA	NA	NA	FALSE
abc	late	delta_abc_annotated	abc/results/delta_abc_annotated.tsv	TRUE	single	chr	start	end	NA	NA	NA	NA	FALSE
abc	late	delta_abc_significant	abc/results/delta_abc_significant.tsv	TRUE	single	chr	start	end	NA	NA	NA	NA	FALSE
abc	late	delta_abc_with_rnaseq	abc/results/delta_abc_with_rnaseq.tsv	TRUE	single	chr	start	end	NA	NA	NA	NA	FALSE
biomodal	late	dmr_beds	biomodal/downstream/modality/DMR_processed/*/*/bed/*.bed	TRUE	single	Chromosome	Start	End	NA	NA	NA	NA	TRUE
