State (Emission order)	clust1.bed	clust2.bed	clust3.bed	clust4.bed	clust5.bed	clust6.bed
1_K119ub_Only	2.35642	3.06672	2.10742	3.26620	2.23265	2.24635
2_Polycomb_K119ub	1.34560	2.53147	1.20180	5.27590	8.20036	4.14353
3_Repressed_Enhancer_K119ub	1.62506	2.63455	1.41371	5.00778	9.01729	2.81802
4_K119ub_Poised_Enhancer	2.31844	2.77140	2.19210	2.78618	1.87202	2.03292
5_Poised_Enhancer	2.16394	1.86791	2.03507	1.15301	0.64110	1.66014
6_Active_Enhancer_K9ac	3.86810	3.50225	4.07131	2.30448	1.85364	3.60222
7_Active_Enhancer	4.62105	3.70718	5.03542	1.85829	0.76643	5.51957
8_Active_Enhancer_K119ub	4.25634	4.21875	4.45395	2.52556	2.09801	5.14917
9_Strong_Enhancer	3.72689	2.91049	3.94689	1.16861	0.45884	4.36853
10_Weak_Enhancer	4.10536	3.33586	4.27692	1.48140	0.57987	4.69617
11_Active_Promoter	5.89335	5.04387	6.60656	3.21046	1.58838	7.18334
12_K9ac_Promoter	4.27017	4.08118	4.36849	2.91802	2.16874	4.00870
13_Quiescent	0.85401	0.85192	0.85623	0.86446	0.84774	0.83485
14_CTCF_Open	3.13427	3.55068	2.98299	3.43190	2.64351	2.44864
15_ATAC_Enhancer	2.63212	2.46908	2.41471	1.78741	1.03363	1.97876
16_Insulator	3.14993	3.58106	3.25340	4.30075	5.12503	3.21119
17_Polycomb	0.76254	1.43084	0.65568	3.18199	5.65574	1.11577
18_Heterochromatin	0.70964	0.54423	0.80572	0.72795	0.76480	0.68111
Base	9.6803567056	8.4374743398	6.3716295690	3.1287614390	0.5083434739	1.8427680243
