Chr	Start	End	Difference	adj_pvalue	ctrl_avg_PC1	mut_avg_PC1	direction	is_significant	ctrl_label	mut_label	transition_category
chr1	2975000	3000000	-0.0226666666666665	0.342444016296045	-0.679	-0.701666666666667	A_to_B_in_Mutant	FALSE	NA	NA	Uncallable
chr1	3050000	3075000	0.000666666666666953	0.992945111914671	-1.09566666666667	-1.095	B_to_A_in_Mutant	FALSE	B.2	B.2	Stable
chr1	3025000	3050000	-0.00099999999999989	0.979897185001932	-1.07233333333333	-1.07333333333333	A_to_B_in_Mutant	FALSE	B.2	B.2	Stable
chr1	3000000	3025000	-0.0166666666666665	0.571192485769279	-1.016	-1.03266666666667	A_to_B_in_Mutant	FALSE	B.2	B.2	Stable
chr1	3075000	3100000	0.025	0.675551314350269	-1.16233333333333	-1.13733333333333	B_to_A_in_Mutant	FALSE	B.2	B.2	Stable
chr1	3150000	3175000	0.0273333333333334	0.4719416898314	-1.107	-1.07966666666667	B_to_A_in_Mutant	FALSE	B.2	B.2	Stable
chr1	3125000	3150000	-0.0406666666666665	0.359761263525079	-1.11966666666667	-1.16033333333333	A_to_B_in_Mutant	FALSE	B.2	B.2	Stable
chr1	3100000	3125000	-0.014	0.813814443988042	-1.14	-1.154	A_to_B_in_Mutant	FALSE	B.2	B.2	Stable
chr1	3175000	3200000	0.0433333333333335	0.0751039702500738	-1.058	-1.01466666666667	B_to_A_in_Mutant	FALSE	B.2	B.2	Stable
chr1	3250000	3275000	0.132666666666667	0.00305287213014225	-0.954	-0.821333333333333	B_to_A_in_Mutant	FALSE	A.2	B.1	True_A_to_B
chr1	3225000	3250000	0.175	0.00413659345556663	-0.966	-0.791	B_to_A_in_Mutant	FALSE	A.2	B.1	True_A_to_B
chr1	3200000	3225000	0.109666666666667	0.0279132716410693	-0.988333333333333	-0.878666666666667	B_to_A_in_Mutant	FALSE	A.2	B.1	True_A_to_B
chr1	3275000	3300000	0.152	0.00165335916433939	-0.939666666666667	-0.787666666666667	B_to_A_in_Mutant	FALSE	A.2	B.1	True_A_to_B
chr1	3325000	3350000	0.197666666666667	0.00472941077399368	-0.809333333333333	-0.611666666666667	B_to_A_in_Mutant	FALSE	A.2	B.1	True_A_to_B
chr1	3350000	3375000	0.166	0.00248121159870258	-0.662	-0.496	B_to_A_in_Mutant	FALSE	A.2	B.1	True_A_to_B
chr1	3375000	3400000	0.186666666666667	0.0031886774985897	-0.659	-0.472333333333333	B_to_A_in_Mutant	FALSE	A.2	B.1	True_A_to_B
chr1	3300000	3325000	0.223333333333334	0.00396262873749377	-0.906666666666667	-0.683333333333333	B_to_A_in_Mutant	FALSE	A.2	B.1	True_A_to_B
chr1	3400000	3425000	0.188666666666667	0.00366852999041193	-0.670333333333333	-0.481666666666667	B_to_A_in_Mutant	FALSE	A.2	B.1	True_A_to_B
chr1	3475000	3500000	0.211333333333334	0.00216465396721884	-0.664666666666667	-0.453333333333333	B_to_A_in_Mutant	FALSE	A.2	B.1	True_A_to_B
chr1	3450000	3475000	0.206666666666667	0.00143087466119523	-0.692333333333333	-0.485666666666667	B_to_A_in_Mutant	FALSE	A.2	B.1	True_A_to_B
chr1	3425000	3450000	0.203	0.00127953832919928	-0.692	-0.489	B_to_A_in_Mutant	FALSE	A.2	B.1	True_A_to_B
chr1	3550000	3575000	0.169666666666667	0.0124966953161377	-0.657666666666667	-0.488	B_to_A_in_Mutant	FALSE	A.2	B.1	True_A_to_B
chr1	3525000	3550000	0.143333333333333	0.0114939245055413	-0.586333333333333	-0.443	B_to_A_in_Mutant	FALSE	A.2	B.1	True_A_to_B
chr1	3575000	3600000	0.150666666666667	0.00443286248013715	-0.697333333333333	-0.546666666666667	B_to_A_in_Mutant	FALSE	A.2	B.1	True_A_to_B
