chr	Boundary	Gap_Score	TAD_Score1	TAD_Score2	Differential	Enriched_In	Type	robust_in_ctrl	robust_in_mut	robustness
chr1	3670000	-2.6947897878543317	2.0325247552799404	2.9012687375947412	Differential	Matrix 2	Strength Change	FALSE	TRUE	Mutant_only
chr1	4560000	4.475489003194025	4.091291332751744	2.6169489168522815	Differential	Matrix 1	Strength Change	TRUE	TRUE	Both
chr1	5010000	-2.429331409350941	2.955454839398538	3.733876694792652	Differential	Matrix 2	Strength Change	TRUE	TRUE	Both
chr1	11620000	2.069354052773634	4.313872794434594	3.621943210680008	Differential	Matrix 1	Strength Change	TRUE	TRUE	Both
chr1	11780000	-2.0588361707932084	2.811199966621247	3.469610890490658	Differential	Matrix 2	Strength Change	TRUE	TRUE	Both
chr1	17470000	2.0461674386709148	3.7439343958432185	3.0619608263663904	Differential	Matrix 1	Strength Change	TRUE	TRUE	Both
chr1	21200000	-2.291905392570288	3.4941508880023524	4.225556354824602	Differential	Matrix 2	Strength Change	TRUE	TRUE	Both
chr1	22600000	-2.037732541189801	3.4454587511740784	4.094320135137938	Differential	Matrix 2	Strength Change	TRUE	TRUE	Both
chr1	22920000	2.9580487222782597	4.563322167612366	3.5810112321628256	Differential	Matrix 1	Strength Change	TRUE	TRUE	Both
chr1	23500000	2.033449323445237	3.1471832089922165	2.4718707286256634	Differential	Matrix 1	Strength Change	TRUE	FALSE	Control_only
chr1	24500000	-4.9627308169318285	2.367080424060856	3.972773206478905	Differential	Matrix 2	Strength Change	TRUE	TRUE	Both
chr1	25830000	-3.124066501769002	2.1997449450826503	3.207540041575613	Differential	Matrix 2	Strength Change	FALSE	TRUE	Mutant_only
chr1	29650000	4.346311400392919	2.975084567439154	1.547512397735114	Differential	Matrix 1	Strength Change	TRUE	FALSE	Control_only
chr1	30070000	4.589332074933081	3.329956733791796	1.8217666899803564	Differential	Matrix 1	Strength Change	TRUE	TRUE	Both
chr1	30670000	-3.119110082316585	0.6854344860204269	1.6980119901198716	Differential	Matrix 2	Merge	FALSE	TRUE	Mutant_only
chr1	30880000	3.1663792446586045	3.0322863649379377	1.988617021792116	Differential	Matrix 1	Strength Change	TRUE	FALSE	Control_only
chr1	42960000	-10.602625586721892	0.918895882072157	4.3668568873548175	Differential	Matrix 2	Complex	TRUE	TRUE	Both
chr1	43040000	-18.208754819751935	-0.9963394478067112	4.935999300415016	Differential	Matrix 2	Complex	TRUE	TRUE	Both
chr1	44370000	-6.086938797382533	1.01439054451056	2.9917993273468757	Differential	Matrix 2	Complex	FALSE	TRUE	Mutant_only
chr1	47630000	-2.334594949940657	3.782358202335002	4.5264445775316124	Differential	Matrix 2	Strength Change	TRUE	TRUE	Both
chr1	50920000	4.099104738275044	3.0860972942872227	1.7385380355476847	Differential	Matrix 1	Strength Change	TRUE	FALSE	Control_only
chr1	52310000	3.784191364947651	3.767001357069342	2.519090865340982	Differential	Matrix 1	Strength Change	TRUE	FALSE	Control_only
chr1	54200000	-3.0445022096045373	2.625411554931692	3.60550541257881	Differential	Matrix 2	Strength Change	FALSE	TRUE	Mutant_only
chr1	57070000	3.342797894680698	2.9322589965539194	1.831576431543051	Differential	Matrix 1	Strength Change	TRUE	FALSE	Control_only
chr1	57960000	2.6858078751950716	3.0766742449666493	2.18927456360216	Differential	Matrix 1	Strength Change	TRUE	FALSE	Control_only
chr1	59240000	23.258736487426734	6.883646311695714	-0.7176553594597734	Differential	Matrix 1	Complex	TRUE	FALSE	Control_only
chr1	59490000	3.822477622870584	3.450702566972094	2.1916633772823357	Differential	Matrix 1	Strength Change	TRUE	FALSE	Control_only
chr1	59760000	-3.56930897372728	2.761978773788122	3.912354441763623	Differential	Matrix 2	Strength Change	TRUE	TRUE	Both
chr1	63860000	-3.1978550037776428	2.396587541762476	3.42757416998383	Differential	Matrix 2	Strength Change	TRUE	TRUE	Both
chr1	64300000	6.040303958023134	3.2888345387319418	1.3084327450549211	Differential	Matrix 1	Complex	TRUE	FALSE	Control_only
chr1	64620000	2.622739322536778	4.2275752745289505	3.35584739782844	Differential	Matrix 1	Strength Change	TRUE	TRUE	Both
chr1	65190000	-3.348565886392355	3.4689336727438675	4.5444571623108585	Differential	Matrix 2	Strength Change	TRUE	TRUE	Both
chr1	66100000	-3.5926090735611522	3.2526342112111823	4.408523174902048	Differential	Matrix 2	Strength Change	TRUE	TRUE	Both
chr1	67750000	2.271007132542291	2.600086103929013	1.8497439440747536	Differential	Matrix 1	Strength Change	TRUE	TRUE	Both
chr1	76060000	-2.0047241868487715	2.4507011846891733	3.0930177995054566	Differential	Matrix 2	Strength Change	FALSE	TRUE	Mutant_only
chr1	78300000	2.2658781524408944	3.3840353500143503	2.6320518132277844	Differential	Matrix 1	Strength Change	TRUE	TRUE	Both
chr1	78580000	-2.0099230462413513	0.957683782727514	1.6079990707583958	Differential	Matrix 2	Merge	TRUE	FALSE	Control_only
chr1	80990000	5.984149863127441	3.8348299805190056	1.8704038470109292	Differential	Matrix 1	Strength Change	TRUE	TRUE	Both
chr1	81150000	-2.531158741490512	2.665341541542756	3.47814015794404	Differential	Matrix 2	Strength Change	FALSE	TRUE	Mutant_only
chr1	82780000	-4.286245125157968	2.1081861740515007	3.494732496032208	Differential	Matrix 2	Strength Change	FALSE	TRUE	Mutant_only
chr1	83990000	4.559831723023322	3.185156884479282	1.687182714171071	Differential	Matrix 1	Strength Change	TRUE	FALSE	Control_only
chr1	85030000	-7.329250033403567	0.30580046499042923	2.6906550107808345	Differential	Matrix 2	Merge	FALSE	TRUE	Mutant_only
chr1	85060000	7.815514818487359	3.883724006466383	1.3228633062249897	Differential	Matrix 1	Complex	TRUE	TRUE	Both
chr1	85230000	-3.3822791778729604	5.056784640927039	6.136577334029302	Differential	Matrix 2	Strength Change	TRUE	TRUE	Both
chr1	85440000	2.492713448687309	9.342998512230976	8.491996305661091	Differential	Matrix 1	Strength Change	TRUE	TRUE	Both
chr1	85850000	2.940461681119063	4.030096380886114	3.055763371323871	Differential	Matrix 1	Strength Change	TRUE	TRUE	Both
chr1	86430000	6.1073305189925895	3.391648862501245	1.3889913164750636	Differential	Matrix 1	Complex	TRUE	FALSE	Control_only
chr1	86530000	2.4948401830604383	5.34966898533078	4.51484114780172	Differential	Matrix 1	Strength Change	TRUE	TRUE	Both
chr1	87050000	2.526193267540218	3.179341322558322	2.3434729081496566	Differential	Matrix 1	Strength Change	TRUE	TRUE	Both
chr1	87720000	-3.9415709291778738	1.6936662814392505	2.9697496230404603	Differential	Matrix 2	Strength Change	FALSE	TRUE	Mutant_only
chr1	98200000	-2.212528143890182	2.103539712157797	2.8149763079243804	Differential	Matrix 2	Strength Change	FALSE	TRUE	Mutant_only
chr1	98650000	-3.575291702601068	2.127774508994176	3.2827766528664784	Differential	Matrix 2	Strength Change	TRUE	TRUE	Both
