chr	start	end	score
chr1	0	3053880	0
chr1	3053880	3053890	0.01875
chr1	3053890	3109990	0
chr1	3109990	3110000	-0.001475
chr1	3110000	3144730	0
chr1	3144730	3144740	0.001775
chr1	3144740	3234910	0
chr1	3234910	3234920	0.01075
chr1	3234920	3400790	0
chr1	3400790	3400800	-0.001925
chr1	3400800	3424160	0
chr1	3424160	3424170	-0.0014
chr1	3424170	3647090	0
chr1	3647090	3647100	-0.001775
chr1	3647100	3696620	0
chr1	3696620	3696630	-0.013925
chr1	3696630	3802330	0
chr1	3802330	3802340	0.001675
chr1	3802340	3852490	0
chr1	3852490	3852500	-0.003575
chr1	3852500	3910250	0
chr1	3910250	3910260	0.00155
chr1	3910260	3929280	0
chr1	3929280	3929290	0.005
chr1	3929290	3987400	0
chr1	3987400	3987410	-0.056375
chr1	3987410	4036980	0
chr1	4036980	4036990	-0.003125
chr1	4036990	4222100	0
chr1	4222100	4222110	0.0012
chr1	4222110	4258530	0
chr1	4258530	4258540	0.003125
chr1	4258540	4274420	0
chr1	4274420	4274430	-0.00155
chr1	4274430	4290240	0
chr1	4290240	4290250	-0.01625
chr1	4290250	4362030	0
chr1	4362030	4362040	-0.003125
chr1	4362040	4374000	0
chr1	4374000	4374010	0.002075
chr1	4374010	4423840	0
chr1	4423840	4423850	0.002275
chr1	4423850	4424310	0
chr1	4424310	4424320	0.0014
chr1	4424320	4488050	0
chr1	4488050	4488060	0.001675
chr1	4488060	4594910	0
chr1	4594910	4594920	-0.002775
chr1	4594920	4610240	0
chr1	4610240	4610250	0.015475
chr1	4610250	4782100	0
chr1	4782100	4782110	0.001925
chr1	4782110	4806100	0
chr1	4806100	4806110	0.001125
chr1	4806110	4867330	0
chr1	4867330	4867340	-0.0125
chr1	4867340	4932290	0
chr1	4932290	4932300	0.002775
chr1	4932300	4985530	0
chr1	4985530	4985540	-0.0025
chr1	4985540	4995180	0
chr1	4995180	4995190	0.0184
chr1	4995190	5040760	0
chr1	5040760	5040770	0.00625
chr1	5040770	5046410	0
chr1	5046410	5046420	-0.010275
chr1	5046420	5076930	0
chr1	5076930	5076940	0.005
chr1	5076940	5157260	0
chr1	5157260	5157270	0.002075
chr1	5157270	5449630	0
chr1	5449630	5449640	0.003575
chr1	5449640	5469100	0
chr1	5469100	5469110	-0.00625
chr1	5469110	5527860	0
chr1	5527860	5527870	0.003575
chr1	5527870	5555440	0
chr1	5555440	5555450	-0.010075
chr1	5555450	5605450	0
chr1	5605450	5605460	-0.001775
chr1	5605460	5759910	0
chr1	5759910	5759920	-0.002775
chr1	5759920	5820200	0
chr1	5820200	5820210	0.008325
chr1	5820210	5895790	0
chr1	5895790	5895800	-0.00125
chr1	5895800	5998730	0
chr1	5998730	5998740	0.03055
chr1	5998740	6026900	0
chr1	6026900	6026910	-0.0025
chr1	6026910	6075280	0
chr1	6075280	6075290	0.002075
chr1	6075290	6109580	0
chr1	6109580	6109590	0.002775
chr1	6109590	6158770	0
chr1	6158770	6158780	-0.0012
chr1	6158780	6181820	0
chr1	6181820	6181830	0.0014
chr1	6181830	6392220	0
chr1	6392220	6392230	-0.00095
chr1	6392230	6424150	0
chr1	6424150	6424160	-0.002075
chr1	6424160	6450120	0
chr1	6450120	6450130	-0.00625
chr1	6450130	6486810	0
chr1	6486810	6486820	-0.002775
chr1	6486820	6517070	0
chr1	6517070	6517080	-0.002075
chr1	6517080	6531470	0
chr1	6531470	6531480	0.001325
chr1	6531480	6533550	0
chr1	6533550	6533560	-0.001475
chr1	6533560	6561970	0
chr1	6561970	6561980	0.001325
chr1	6561980	6618530	0
chr1	6618530	6618540	0.00425
chr1	6618540	6618560	0
chr1	6618560	6618570	0.0037
chr1	6618570	6642810	0
chr1	6642810	6642820	-0.00155
chr1	6642820	6799730	0
chr1	6799730	6799740	-0.001925
chr1	6799740	6841600	0
chr1	6841600	6841610	-0.002075
chr1	6841610	6944840	0
chr1	6944840	6944850	0.001675
chr1	6944850	7023120	0
chr1	7023120	7023130	-0.004175
chr1	7023130	7056420	0
chr1	7056420	7056430	-0.016425
chr1	7056430	7151580	0
chr1	7151580	7151590	-0.005
chr1	7151590	7181800	0
chr1	7181800	7181810	0.002775
chr1	7181810	7188160	0
chr1	7188160	7188170	-0.002775
chr1	7188170	7238030	0
chr1	7238030	7238040	0.0014
chr1	7238040	7256960	0
chr1	7256960	7256970	0.001325
chr1	7256970	7349470	0
chr1	7349470	7349480	0.003175
chr1	7349480	7354340	0
chr1	7354340	7354350	0.005775
chr1	7354350	7354410	0
chr1	7354410	7354420	0.001925
chr1	7354420	7369280	0
chr1	7369280	7369290	0.002075
chr1	7369290	7392680	0
chr1	7392680	7392690	0.037175
chr1	7392690	7518780	0
chr1	7518780	7518790	0.003125
chr1	7518790	7573430	0
chr1	7573430	7573440	0.001675
chr1	7573440	7574700	0
chr1	7574700	7574710	-0.002775
chr1	7574710	7649820	0
chr1	7649820	7649830	-0.002275
chr1	7649830	7741780	0
chr1	7741780	7741790	-0.018
chr1	7741790	7768010	0
chr1	7768010	7768020	0.0012
chr1	7768020	7907450	0
chr1	7907450	7907460	-0.002075
chr1	7907460	8032890	0
chr1	8032890	8032900	0.002775
chr1	8032900	8047130	0
chr1	8047130	8047140	0.002275
chr1	8047140	8196530	0
chr1	8196530	8196540	0.002775
chr1	8196540	8196620	0
chr1	8196620	8196630	-0.009025
chr1	8196630	8238160	0
chr1	8238160	8238170	0.003575
chr1	8238170	8249000	0
chr1	8249000	8249010	0.00155
chr1	8249010	8381930	0
chr1	8381930	8381940	-0.0025
chr1	8381940	8406790	0
chr1	8406790	8406800	0.004175
chr1	8406800	8436510	0
chr1	8436510	8436520	-0.0036
chr1	8436520	8580890	0
chr1	8580890	8580900	-0.003125
chr1	8580900	8587540	0
chr1	8587540	8587550	0.0036
chr1	8587550	8610920	0
chr1	8610920	8610930	-0.005
chr1	8610930	8723250	0
chr1	8723250	8723260	0.00155
chr1	8723260	8785490	0
chr1	8785490	8785500	-0.00625
chr1	8785500	8798210	0
chr1	8798210	8798220	0.0265
chr1	8798220	9237840	0
chr1	9237840	9237850	-0.025675
chr1	9237850	9244250	0
chr1	9244250	9244260	-0.05
chr1	9244260	9282580	0
chr1	9282580	9282590	0.002075
chr1	9282590	9334320	0
chr1	9334320	9334330	-0.001
chr1	9334330	9448860	0
chr1	9448860	9448870	-0.002775
chr1	9448870	9449890	0
chr1	9449890	9449900	-0.001775
chr1	9449900	9477400	0
chr1	9477400	9477410	-0.00455
chr1	9477410	9487330	0
chr1	9487330	9487340	-0.002075
chr1	9487340	9490450	0
chr1	9490450	9490460	0.005
chr1	9490460	9515710	0
chr1	9515710	9515720	-0.001675
chr1	9515720	9549810	0
chr1	9549810	9549820	-0.06575
chr1	9549820	9613860	0
chr1	9613860	9613870	-0.025
chr1	9613870	9706680	0
chr1	9706680	9706690	-0.00125
chr1	9706690	9770180	0
chr1	9770180	9770190	-0.008325
chr1	9770190	9831330	0
chr1	9831330	9831340	0.0012
chr1	9831340	9885270	0
chr1	9885270	9885280	-0.001925
chr1	9885280	9891900	0
chr1	9891900	9891910	-0.003575
chr1	9891910	9913950	0
chr1	9913950	9913960	-0.008325
chr1	9913960	9970620	0
chr1	9970620	9970630	-0.001675
chr1	9970630	9973540	0
chr1	9973540	9973550	-0.002275
chr1	10000000	10017490	0
chr1	10017490	10017500	0.00155
chr1	10017500	10125220	0
chr1	10125220	10125230	0.002275
chr1	10125230	10213320	0
chr1	10213320	10213330	0.00155
chr1	10213330	10375690	0
chr1	10375690	10375700	-0.003575
chr1	10375700	10433190	0
chr1	10433190	10433200	-0.003575
chr1	10433200	10513560	0
chr1	10513560	10513570	0.00385
chr1	10513570	10539840	0
chr1	10539840	10539850	0.002775
chr1	10539850	10548030	0
chr1	10548030	10548040	0.00155
chr1	10548040	10609810	0
chr1	10609810	10609820	0.005
chr1	10609820	10646180	0
chr1	10646180	10646190	-0.0025
chr1	10646190	10774380	0
chr1	10774380	10774390	-0.002775
chr1	10774390	10887160	0
chr1	10887160	10887170	-0.025
chr1	10887170	11103090	0
chr1	11103090	11103100	0.00125
chr1	11103100	11354060	0
chr1	11354060	11354070	-0.001925
chr1	11354070	11368490	0
chr1	11368490	11368500	0.0249
chr1	11368500	11371880	0
chr1	11371880	11371890	-0.002275
chr1	11371890	11397440	0
chr1	11397440	11397450	0.002775
chr1	11397450	11401530	0
chr1	11401530	11401540	-0.001925
chr1	11401540	11439350	0
chr1	11439350	11439360	-0.002775
chr1	11439360	11479400	0
chr1	11479400	11479410	-0.0125
chr1	11479410	11689040	0
chr1	11689040	11689050	0.0025
chr1	11689050	11797580	0
chr1	11797580	11797590	-0.001475
chr1	11797590	11808510	0
chr1	11808510	11808520	-0.002075
chr1	11808520	11929770	0
chr1	11929770	11929780	0.005
chr1	11929780	12022450	0
chr1	12022450	12022460	-0.001675
chr1	12022460	12090550	0
chr1	12090550	12090560	0.004175
chr1	12090560	12095080	0
chr1	12095080	12095090	-0.001475
chr1	12095090	12179530	0
chr1	12179530	12179540	0.001925
chr1	12179540	12181830	0
chr1	12181830	12181840	-0.001925
chr1	12181840	12263960	0
chr1	12263960	12263970	-0.01545
chr1	12263970	12266300	0
chr1	12266300	12266310	-0.0025
chr1	12266310	12287910	0
chr1	12287910	12287920	-0.002075
chr1	12287920	12341540	0
chr1	12341540	12341550	-0.005
chr1	12341550	12463710	0
chr1	12463710	12463720	-0.003125
chr1	12463720	12559290	0
chr1	12559290	12559300	-0.001675
chr1	12559300	12596220	0
chr1	12596220	12596230	0.00155
chr1	12596230	12647670	0
chr1	12647670	12647680	0.001775
chr1	12647680	12648500	0
chr1	12648500	12648510	-0.002625
chr1	12648510	12707340	0
chr1	12707340	12707350	0.001675
chr1	12707350	12720780	0
chr1	12720780	12720790	-0.001925
chr1	12720790	12793000	0
chr1	12793000	12793010	0.001325
chr1	12793010	12950260	0
chr1	12950260	12950270	-0.001325
chr1	12950270	12993420	0
chr1	12993420	12993430	-0.0025
chr1	12993430	13052000	0
chr1	13052000	13052010	0.002275
chr1	13052010	13148430	0
chr1	13148430	13148440	0.002075
chr1	13148440	13236380	0
chr1	13236380	13236390	-0.003575
chr1	13236390	13371880	0
chr1	13371880	13371890	0.001675
chr1	13371890	13435480	0
chr1	13435480	13435490	0.014625
chr1	13435490	13435540	0
chr1	13435540	13435550	0.008475
chr1	13435550	13435590	0
chr1	13435590	13435600	0.007675
chr1	13435600	13435610	0.001675
chr1	13435610	13488600	0
chr1	13488600	13488610	-0.002275
chr1	13488610	13546950	0
chr1	13546950	13546960	-0.003125
chr1	13546960	13548330	0
chr1	13548330	13548340	0.003575
chr1	13548340	13560520	0
chr1	13560520	13560530	-0.004175
chr1	13560530	13586750	0
chr1	13586750	13586760	-0.00155
chr1	13586760	13629270	0
chr1	13629270	13629280	-0.001475
chr1	13629280	13641200	0
chr1	13641200	13641210	-0.001675
chr1	13641210	13654960	0
chr1	13654960	13654970	-0.002275
chr1	13654970	13671050	0
chr1	13671050	13671060	-0.0025
chr1	13671060	13725560	0
chr1	13725560	13725570	-0.0025
chr1	13725570	13796780	0
chr1	13796780	13796790	-0.02575
chr1	13796790	13875660	0
chr1	13875660	13875670	-0.002075
chr1	13875670	13890110	0
chr1	13890110	13890120	-0.00655
chr1	13890120	13951730	0
chr1	13951730	13951740	0.002275
chr1	13951740	14004940	0
chr1	14004940	14004950	-0.004175
chr1	14004950	14071820	0
chr1	14071820	14071830	0.00125
chr1	14071830	14083280	0
chr1	14083280	14083290	0.005
chr1	14083290	14210960	0
chr1	14210960	14210970	0.002275
chr1	14210970	14236060	0
chr1	14236060	14236070	0.003125
chr1	14236070	14276490	0
chr1	14276490	14276500	0.002075
chr1	14276500	14313160	0
chr1	14313160	14313170	0.001675
chr1	14313170	14346440	0
chr1	14346440	14346450	0.002775
chr1	14346450	14371890	0
chr1	14371890	14371900	-0.0025
chr1	14371900	14585090	0
chr1	14585090	14585100	-0.00155
chr1	14585100	14589570	0
chr1	14589570	14589580	0.002075
chr1	14589580	14827770	0
chr1	14827770	14827780	0.00125
chr1	14827780	14851220	0
chr1	14851220	14851230	0.003825
chr1	14851230	14919500	0
chr1	14919500	14919510	0.0025
chr1	14919510	14920720	0
chr1	14920720	14920730	-0.002275
chr1	14920730	14958170	0
chr1	14958170	14958180	-0.025
chr1	14958180	14988710	0
chr1	14988710	14988720	-0.003575
chr1	14988720	15073570	0
chr1	15073570	15073580	0.001775
chr1	15073580	15144650	0
chr1	15144650	15144660	-0.00155
chr1	15144660	15162830	0
chr1	15162830	15162840	-0.00085
chr1	15162840	15304600	0
chr1	15304600	15304610	0.003125
chr1	15304610	15322650	0
chr1	15322650	15322660	0.002275
chr1	15322660	15347310	0
chr1	15347310	15347320	0.002075
chr1	15347320	15388100	0
chr1	15388100	15388110	0.001675
chr1	15388110	15468670	0
chr1	15468670	15468680	-0.025
chr1	15468680	15468720	0
chr1	15468720	15468730	-0.01915
chr1	15468730	15482050	0
chr1	15482050	15482060	0.001925
chr1	15482060	15501680	0
chr1	15501680	15501690	0.002075
chr1	15501690	15527600	0
chr1	15527600	15527610	0.001925
chr1	15527610	15605590	0
chr1	15605590	15605600	0.001775
chr1	15605600	15637660	0
chr1	15637660	15637670	-0.001925
chr1	15637670	15659020	0
chr1	15659020	15659030	0.001325
chr1	15659030	15907750	0
chr1	15907750	15907760	0.0125
chr1	15907760	15980080	0
chr1	15980080	15980090	0.00385
chr1	15980090	16034090	0
chr1	16034090	16034100	-0.004175
chr1	16034100	16084890	0
chr1	16084890	16084900	0.0025
chr1	16084900	16238940	0
chr1	16238940	16238950	-0.003125
chr1	16238950	16258430	0
chr1	16258430	16258440	-0.001925
chr1	16258440	16335320	0
chr1	16335320	16335330	-0.001475
chr1	16335330	16418380	0
chr1	16418380	16418390	0.005
chr1	16418390	16418480	0
chr1	16418480	16418490	0.000925
chr1	16418490	16418520	0
chr1	16418520	16418530	0.00105
chr1	16418530	16474800	0
chr1	16474800	16474810	0.00155
chr1	16474810	16476820	0
chr1	16476820	16476830	-0.001475
chr1	16476830	16558670	0
chr1	16558670	16558680	0.001325
chr1	16558680	16591080	0
chr1	16591080	16591090	0.001775
chr1	16591090	16628490	0
chr1	16628490	16628500	0.001925
chr1	16628500	16630630	0
chr1	16630630	16630640	0.00815
chr1	16630640	16635660	0
chr1	16635660	16635670	-0.002275
chr1	16635670	16664670	0
chr1	16664670	16664680	0.005
chr1	16664680	16713570	0
chr1	16713570	16713580	0.00625
chr1	16713580	16713620	0
chr1	16713620	16713630	0.003575
chr1	16713630	16760120	0
chr1	16760120	16760130	0.003125
chr1	16760130	16800800	0
chr1	16800800	16800810	0.008325
chr1	16800810	16852870	0
chr1	16852870	16852880	0.003125
chr1	16852880	16938300	0
chr1	16938300	16938310	-0.0053
chr1	16938310	16939750	0
chr1	16939750	16939760	0.003125
chr1	16939760	17044530	0
chr1	17044530	17044540	-0.001675
chr1	17044540	17112440	0
chr1	17112440	17112450	0.001475
chr1	17112450	17181610	0
chr1	17181610	17181620	0.003625
chr1	17181620	17193740	0
chr1	17193740	17193750	0.001775
chr1	17193750	17257250	0
chr1	17257250	17257260	-0.00625
chr1	17257260	17275050	0
chr1	17275050	17275060	-0.004175
chr1	17275060	17489560	0
chr1	17489560	17489570	0.002075
chr1	17489570	17672400	0
chr1	17672400	17672410	0.00455
chr1	17672410	17763800	0
chr1	17763800	17763810	0.002075
chr1	17763810	17773210	0
chr1	17773210	17773220	0.0014
chr1	17773220	17914820	0
chr1	17914820	17914830	-0.004175
chr1	17914830	17943090	0
chr1	17943090	17943100	0.016675
chr1	17943100	17957120	0
chr1	17957120	17957130	-0.0444
chr1	17957130	17963290	0
chr1	17963290	17963300	0.003125
chr1	17963300	18087490	0
chr1	18087490	18087500	-0.0634
chr1	18087500	18095900	0
chr1	18095900	18095910	-0.001475
chr1	18095910	18114650	0
chr1	18114650	18114660	0.025
chr1	18114660	18218050	0
chr1	18218050	18218060	-0.001675
chr1	18218060	18273930	0
chr1	18273930	18273940	-0.005
chr1	18273940	18578670	0
chr1	18578670	18578680	-0.002075
chr1	18578680	18603870	0
chr1	18603870	18603880	0.002275
chr1	18603880	18760800	0
chr1	18760800	18760810	0.00835
chr1	18760810	18818140	0
chr1	18818140	18818150	0.005
chr1	18818150	18828670	0
chr1	18828670	18828680	-0.004175
chr1	18828680	18835010	0
chr1	18835010	18835020	-0.0014
chr1	18835020	18868060	0
chr1	18868060	18868070	-0.0125
chr1	18868070	18918990	0
chr1	18918990	18919000	0.002275
chr1	18919000	19038920	0
chr1	19038920	19038930	-0.0125
chr1	19038930	19182890	0
chr1	19182890	19182900	-0.008325
chr1	19182900	19266190	0
chr1	19266190	19266200	0.003575
chr1	19266200	19352850	0
chr1	19352850	19352860	-0.001925
chr1	19352860	19381660	0
chr1	19381660	19381670	0.00715
chr1	19381670	19505070	0
chr1	19505070	19505080	-0.005
chr1	19505080	19614610	0
chr1	19614610	19614620	-0.002775
chr1	19614620	19785500	0
chr1	19785500	19785510	0.00155
chr1	19785510	19808290	0
chr1	19808290	19808300	-0.001775
chr1	20000000	20155860	0
chr1	20155860	20155870	0.001675
chr1	20155870	20268820	0
chr1	20268820	20268830	-0.002075
chr1	20268830	20342030	0
chr1	20342030	20342040	-0.005
chr1	20342040	20444910	0
chr1	20444910	20444920	-0.001325
chr1	20444920	20514210	0
chr1	20514210	20514220	-0.001775
chr1	20514220	20601300	0
chr1	20601300	20601310	-0.003125
chr1	20601310	20606950	0
chr1	20606950	20606960	0.002075
chr1	20606960	20622300	0
chr1	20622300	20622310	-0.001775
chr1	20622310	20639210	0
chr1	20639210	20639220	-0.00625
chr1	20639220	20655360	0
chr1	20655360	20655370	0.002775
chr1	20655370	20865820	0
chr1	20865820	20865830	-0.001925
chr1	20865830	20960220	0
chr1	20960220	20960230	-0.001925
chr1	20960230	21030360	0
chr1	21030360	21030370	0.002775
chr1	21030370	21065770	0
chr1	21065770	21065780	-0.0025
chr1	21065780	21092620	0
chr1	21092620	21092630	0.00155
chr1	21092630	21150310	0
chr1	21150310	21150320	0.003575
chr1	21150320	21188080	0
chr1	21188080	21188090	0.001675
chr1	21188090	21364010	0
chr1	21364010	21364020	-0.00155
chr1	21364020	21497490	0
chr1	21497490	21497500	-0.001475
chr1	21497500	21641820	0
chr1	21641820	21641830	-0.02915
chr1	21641830	21834970	0
chr1	21834970	21834980	-0.0014
chr1	21834980	21940470	0
chr1	21940470	21940480	-0.001775
chr1	21940480	21943960	0
chr1	21943960	21943970	0.001475
chr1	21943970	22033080	0
chr1	22033080	22033090	-0.003125
chr1	22033090	22064260	0
chr1	22064260	22064270	-0.0125
chr1	22064270	22078060	0
chr1	22078060	22078070	0.001775
chr1	22078070	22078560	0
chr1	22078560	22078570	0.008125
chr1	22078570	22154570	0
chr1	22154570	22154580	0.0882
chr1	22154580	22886740	0
chr1	22886740	22886750	0.003575
chr1	22886750	22927220	0
chr1	22927220	22927230	0.003125
chr1	22927230	23117820	0
chr1	23117820	23117830	0.001775
chr1	23117830	23118240	0
chr1	23118240	23118250	0.002075
chr1	23118250	23173610	0
chr1	23173610	23173620	0.002275
chr1	23173620	23247080	0
chr1	23247080	23247090	0.003575
chr1	23247090	23259970	0
chr1	23259970	23259980	0.001675
chr1	23259980	23270670	0
chr1	23270670	23270680	0.001775
chr1	23270680	23271300	0
chr1	23271300	23271310	0.00085
chr1	23271310	23436970	0
chr1	23436970	23436980	-0.002775
chr1	23436980	23594780	0
chr1	23594780	23594790	0.0025
chr1	23594790	23605490	0
chr1	23605490	23605500	0.002775
chr1	23605500	23614350	0
chr1	23614350	23614360	0.002775
chr1	23614360	23685660	0
chr1	23685660	23685670	0.0014
chr1	23685670	23824210	0
chr1	23824210	23824220	-0.002075
chr1	23824220	23901930	0
chr1	23901930	23901940	-0.0125
chr1	23901940	23907860	0
chr1	23907860	23907870	-0.002075
chr1	23907870	23963830	0
chr1	23963830	23963840	-0.0014
chr1	23963840	23965380	0
chr1	23965380	23965390	-0.0025
chr1	23965390	24036060	0
chr1	24036060	24036070	0.002775
chr1	24036070	24092620	0
chr1	24092620	24092630	-0.003575
chr1	24092630	24188290	0
chr1	24188290	24188300	0.0025
chr1	24188300	24196620	0
chr1	24196620	24196630	-0.00155
chr1	24196630	24221290	0
chr1	24221290	24221300	0.001775
chr1	24221300	24293290	0
chr1	24293290	24293300	0.05
chr1	24293300	24309630	0
chr1	24309630	24309640	-0.001075
chr1	24309640	24318850	0
chr1	24318850	24318860	0.002075
chr1	24318860	24359380	0
chr1	24359380	24359390	-0.001675
chr1	24359390	24380260	0
chr1	24380260	24380270	-0.003125
