gene	chr	start	end	mc_wt	mc_ko	hmc_wt	hmc_ko	ratio_wt	ratio_ko	delta_ratio_tet
Lypla1	chr1	4807788	4848409	0.009206	0.002612	0.004282	0.001025	0.317487	0	-0.317487
Gm37988	chr1	4807892	4886769	0.007917	0.00197	0.003826	0.000907	0.325806	0	-0.325806
Tcea1	chr1	4857814	4897908	0.006137	0.001086	0.003263	0.000685	0	0	0
Atp6v1h	chr1	5070018	5162528	0.005761	0.001497	0.00248	0.000445	0	0	0
Oprk1	chr1	5588466	5606130	0.0061	0.001184	0.001907	0.000405	0	0	0
Rb1cc1	chr1	6206197	6276647	0.006129	0.001213	0.003338	0.000578	0	0	0
Alkal1	chr1	6359218	6394730	0.006799	0.00137	0.002357	0.000342	0	0	0
St18	chr1	6487231	6860939	0.006234	0.001116	0.001559	0.000274	0	0	0
Pcmtd1	chr1	7088920	7173627	0.005454	0.00113	0.003876	0.000769	0	0	0
Rrs1	chr1	9545408	9547454	0.002557	0.000288	0.002456	0.003517	0	0	0
Adhfe1	chr1	9547948	9580672	0.009799	0.002294	0.003372	0.000988	0.256016	0	-0.256016
Vxn	chr1	9601199	9627142	0.009792	0.002433	0.00297	0.000498	0.232742	0	-0.232742
Sgk3	chr1	9798107	9900844	0.010441	0.002031	0.00352	0.000719	0.252141	0	-0.252141
Mcmdc2	chr1	9908638	9942084	0.007897	0.001299	0.002716	0.000537	0.255885	0	-0.255885
Cspp1	chr1	10037987	10136767	0.007699	0.001427	0.003669	0.000813	0.322754	0	-0.322754
Prex2	chr1	10993465	11303680	0.006647	0.001139	0.002101	0.000406	0	0	0
A830018L16Rik	chr1	11414105	11975900	0.006374	0.001118	0.001653	0.000346	0	0	0
Sulf1	chr1	12692277	12861191	0.010561	0.002284	0.004349	0.000987	0.29165	0	-0.29165
Xkr9	chr1	13668771	13701722	0.007316	0.001271	0.002539	0.00042	0	0	0
Kcnb2	chr1	15287254	15723749	0.005711	0.00108	0.002839	0.000494	0	0	0
Terf1	chr1	15805646	15844051	0.007873	0.001315	0.0026	0.000469	0.248276	0	-0.248276
Rdh10	chr1	16105774	16133733	0.007031	0.00158	0.00444	0.001075	0.387059	0	-0.387059
Tmem70	chr1	16665207	16678274	0.0043	0.001464	0.004572	0.001449	0	0	0
Ly96	chr1	16688051	16709610	0.007639	0.002188	0.002557	0.000665	0.250771	0	-0.250771
Gdap1	chr1	17145362	17164270	0.003738	0.000899	0.002303	0.000498	0	0	0
Pi15	chr1	17601901	17630938	0.004688	0.001179	0.001419	0.000293	0	0	0
Crispld1	chr1	17727045	17766343	0.005649	0.001058	0.001852	0.000402	0	0	0
Tfap2d	chr1	19103022	19166345	0.007069	0.001236	0.001901	0.000397	0	0	0
Tfap2b	chr1	19208914	19238575	0.003666	0.000791	0.002337	0.000727	0	0	0
Il17a	chr1	20730905	20734495	0.012005	0.002721	0.005185	0.001108	0.301634	0	-0.301634
Paqr8	chr1	20890606	20939649	0.009816	0.002387	0.006573	0.001587	0.401049	0	-0.401049
Efhc1	chr1	20951626	20990840	0.013525	0.002384	0.003119	0.000604	0.187415	0	-0.187415
Tmem14a	chr1	21218575	21230166	0.007796	0.001607	0.003804	0.000713	0.327893	0	-0.327893
Gsta3	chr1	21240589	21265660	0.010939	0.003291	0.003258	0.001018	0.229502	0	-0.229502
Khdc1a	chr1	21349641	21352199	0.008798	0.000782	0.002057	0.000391	0.189521	0	-0.189521
Khdc1c	chr1	21368331	21370844	0.009266	0.001989	0.001861	0.000398	0.16727	0	-0.16727
Khdc1b	chr1	21383556	21386372	0.006632	0.001065	0.001993	0.000355	0	0	0
B3gat2	chr1	23761753	23849157	0.008616	0.002013	0.004199	0.00101	0.327651	0	-0.327651
Col9a1	chr1	24177610	24252683	0.009	0.001834	0.004298	0.000928	0.323202	0	-0.323202
Lmbrd1	chr1	24678630	24766300	0.009613	0.002311	0.005689	0.00111	0.371778	0	-0.371778
Lgsn	chr1	31176401	31204724	0.008296	0.001782	0.002876	0.00079	0.257402	0	-0.257402
Pih1d3	chr1	31222838	31224287	0.013117	0.004138	0.001621	0.00069	0.109969	0	-0.109969
Khdrbs2	chr1	32172714	32658567	0.004325	0.000969	0.002615	0.000485	0	0	0
Rab23	chr1	33719887	33742563	0.014795	0.004312	0.007143	0.001669	0.325605	0	-0.325605
Dst	chr1	33908225	34308660	0.011868	0.002831	0.008204	0.001756	0.408721	0	-0.408721
Imp4	chr1	34439851	34449355	0.015948	0.003554	0.003327	0.001598	0.1726	0	-0.1726
Ptpn18	chr1	34459762	34475732	0.012257	0.003394	0.005081	0.001412	0.293061	0	-0.293061
Prss39	chr1	34498410	34503062	0.019944	0.005894	0.007915	0.002901	0.28411	0	-0.28411
Cfc1	chr1	34535648	34544312	0.008348	0.002508	0.005031	0.001434	0.37601	0	-0.37601
Amer3	chr1	34579657	34590943	0.009255	0.003905	0.006992	0.001879	0.430365	0	-0.430365
Arhgef4	chr1	34678188	34813308	0.010736	0.002371	0.005335	0.00133	0.331965	0	-0.331965
Plekhb2	chr1	34849976	34879579	0.012923	0.003695	0.007581	0.001952	0.369731	0	-0.369731
Hs6st1	chr1	36068400	36106445	0.010944	0.003982	0.007319	0.002517	0.400749	0	-0.400749
Arid5a	chr1	36307733	36324028	0.015691	0.007154	0.006318	0.0025	0.287053	0	-0.287053
Fer1l5	chr1	36372291	36422109	0.014684	0.004245	0.004647	0.001533	0.240398	0	-0.240398
Cnnm4	chr1	36471620	36508763	0.014594	0.004386	0.006928	0.001845	0.321888	0	-0.321888
Cnnm3	chr1	36511867	36528236	0.014461	0.004773	0.008623	0.00292	0.373536	0	-0.373536
Cox5b	chr1	36691449	36693680	0.00233	0.000269	0.004012	0.001523	0	0	0
4933424G06Rik	chr1	36710149	36757952	0.012494	0.00303	0.00412	0.00131	0.247986	0	-0.247986
Zap70	chr1	36761798	36782817	0.018612	0.006903	0.007185	0.003378	0.278538	0.328593	0.050055
Vwa3b	chr1	37026596	37187612	0.011951	0.002619	0.005599	0.001366	0.31902	0	-0.31902
Cnga3	chr1	37214434	37263383	0.01121	0.0033	0.005342	0.001583	0.322735	0	-0.322735
Inpp4a	chr1	37299865	37410735	0.002787	0.001212	0.003628	0.001937	0	0	0
Unc50	chr1	37430139	37439123	0.009496	0.001886	0.00646	0.001644	0.404844	0	-0.404844
Lipt1	chr1	37871738	37876227	0.021831	0.002673	0.002731	0.000412	0.111173	0	-0.111173
Mrpl30	chr1	37890477	37898534	0.007958	0.001321	0.003911	0.000767	0.329485	0	-0.329485
Eif5b	chr1	37998010	38055578	0.008166	0.001921	0.004645	0.001149	0.362599	0	-0.362599
Nms	chr1	38939149	38950275	0.011936	0.002228	0.003657	0.000393	0.234507	0	-0.234507
Pdcl3	chr1	38985608	38997237	0.01507	0.003408	0.00761	0.001099	0.335538	0	-0.335538
Npas2	chr1	39193731	39363235	0.013462	0.002844	0.005174	0.00108	0.277614	0	-0.277614
Rpl31	chr1	39367842	39371910	0.00846	0.001861	0.005857	0.002744	0.409072	0	-0.409072
Cnot11	chr1	39534992	39546888	0.010817	0.002216	0.004172	0.000834	0.278356	0	-0.278356
Map4k4	chr1	39900913	40026309	0.006165	0.001803	0.007025	0.00235	0.532605	0	-0.532605
Il1r2	chr1	40074079	40125230	0.011986	0.002818	0.004233	0.000858	0.260983	0	-0.260983
Il1r1	chr1	40225080	40317256	0.009819	0.002104	0.004342	0.000971	0.306638	0	-0.306638
Il1rl2	chr1	40324610	40367561	0.010028	0.001769	0.003516	0.000868	0.25961	0	-0.25961
Il1rl1	chr1	40429570	40465414	0.013676	0.00205	0.002821	0.00033	0.170981	0	-0.170981
Il18r1	chr1	40465552	40500853	0.010245	0.001847	0.003627	0.000602	0.261453	0	-0.261453
Il18rap	chr1	40515362	40551704	0.007602	0.0016	0.002208	0.000586	0	0	0
Slc9a4	chr1	40580081	40630724	0.010713	0.001698	0.00333	0.000633	0.23711	0	-0.23711
Slc9a2	chr1	40680574	40769272	0.010997	0.002104	0.004054	0.000821	0.269353	0	-0.269353
Tmem182	chr1	40805601	40856886	0.008952	0.001991	0.003956	0.000605	0.306464	0	-0.306464
Pou3f3	chr1	42694925	42703175	0.003365	0.000664	0.001788	0.000705	0	0	0
Mrps9	chr1	42851233	42905682	0.009508	0.001976	0.004884	0.000927	0.33934	0	-0.33934
Gpr45	chr1	42952872	43035455	0.008095	0.001649	0.003261	0.000469	0.287123	0	-0.287123
AI597479	chr1	43098710	43115946	0.007553	0.001206	0.003153	0.000762	0.294496	0	-0.294496
Nck2	chr1	43444579	43570514	0.008422	0.001954	0.006117	0.001214	0.420737	0	-0.420737
Ecrg4	chr1	43730602	43742577	0.009411	0.002366	0.00465	0.000931	0.330694	0	-0.330694
Tpp2	chr1	43933647	44002999	0.005001	0.000765	0.002517	0.00041	0	0	0
Bivm	chr1	44118957	44144769	0.007107	0.001202	0.003872	0.000558	0.352685	0	-0.352685
Ercc5	chr1	44147744	44181259	0.00806	0.002201	0.003259	0.000687	0.287938	0	-0.287938
Gulp1	chr1	44551511	44796837	0.005857	0.001113	0.001536	0.000295	0	0	0
Col3a1	chr1	45311538	45349705	0.006838	0.000972	0.001898	0.000281	0	0	0
Wdr75	chr1	45795166	45823618	0.007528	0.001265	0.003688	0.000854	0.328806	0	-0.328806
Dnah7b	chr1	46066315	46373549	0.007187	0.001356	0.002112	0.000369	0	0	0
Dnah7c	chr1	46425592	46807475	0.007086	0.00136	0.00168	0.000293	0	0	0
Tmeff2	chr1	50900647	51187269	0.00396	0.000718	0.003424	0.000759	0	0	0
Cavin2	chr1	51289126	51302959	0.01038	0.003399	0.004393	0.001397	0.29735	0	-0.29735
Stat4	chr1	51987148	52107188	0.008789	0.001583	0.003386	0.000793	0.27813	0	-0.27813
Stat1	chr1	52119440	52161864	0.016093	0.003667	0.007218	0.001732	0.309632	0	-0.309632
Nemp2	chr1	52630703	52651918	0.007855	0.002165	0.005608	0.000789	0.416545	0	-0.416545
Hibch	chr1	52844929	52920985	0.007657	0.001433	0.002503	0.00046	0.246345	0	-0.246345
Mstn	chr1	53061640	53068078	0.00946	0.001307	0.00474	0.000544	0.333812	0	-0.333812
Ormdl1	chr1	53297095	53310308	0.007535	0.000712	0.002975	0.000928	0.28304	0	-0.28304
Gm28778	chr1	53297111	53318034	0.006623	0.000717	0.002724	0.000934	0	0	0
Osgepl1	chr1	53313624	53326342	0.009587	0.001608	0.002611	0.000718	0.214046	0	-0.214046
Ccdc150	chr1	54250683	54368726	0.008704	0.001864	0.00237	0.00054	0.21399	0	-0.21399
Coq10b	chr1	55052770	55072701	0.009297	0.002444	0.004164	0.000649	0.309337	0	-0.309337
Hspe1	chr1	55088132	55091306	0.004151	0.000332	0.003483	0.000315	0	0	0
Mob4	chr1	55131231	55154898	0.005572	0.00085	0.003656	0.00035	0	0	0
Mars2	chr1	55237177	55248469	0.00386	0.001029	0.003308	0.000571	0	0	0
Plcl1	chr1	55405921	55754284	0.008867	0.001445	0.002724	0.000443	0.235042	0	-0.235042
1700066M21Rik	chr1	57377620	57385422	0.00677	0.00108	0.003291	0.000769	0.327112	0	-0.327112
Maip1	chr1	57406328	57417952	0.00639	0.001199	0.003762	0.000333	0.370599	0	-0.370599
Spats2l	chr1	57774162	57948393	0.009955	0.00202	0.005336	0.00105	0.348954	0	-0.348954
Sgo2a	chr1	57995971	58025898	0.009965	0.001047	0.002123	0.000199	0.175633	0	-0.175633
Aox1	chr1	58029931	58106412	0.011311	0.002653	0.00391	0.001047	0.256866	0	-0.256866
Aox3	chr1	58113130	58200697	0.011067	0.002323	0.003896	0.000636	0.260385	0	-0.260385
Aox4	chr1	58210397	58268596	0.011344	0.002584	0.004737	0.000946	0.294577	0	-0.294577
Aox2	chr1	58278326	58380258	0.011823	0.002238	0.003751	0.00102	0.24086	0	-0.24086
Bzw1	chr1	58392898	58407352	0.005717	0.00148	0.004062	0.001228	0	0	0
Nif3l1	chr1	58445151	58481815	0.01209	0.003043	0.004589	0.000832	0.275124	0	-0.275124
Ndufb3	chr1	58586384	58595963	0.006349	0.001012	0.003476	0.000554	0	0	0
Cflar	chr1	58711508	58758883	0.014285	0.003006	0.004292	0.001193	0.231031	0	-0.231031
Casp8	chr1	58795374	58847502	0.0111	0.002563	0.001844	0.000367	0.142428	0	-0.142428
Stradb	chr1	58973522	58995714	0.009155	0.001563	0.003221	0.000705	0.26027	0	-0.26027
Cdk15	chr1	59256906	59352992	0.011367	0.002051	0.004068	0.000908	0.263548	0	-0.263548
Fzd7	chr1	59482424	59486954	0.008848	0.003273	0.005799	0.001646	0.395905	0	-0.395905
Gm973	chr1	59516264	59636416	0.011811	0.00228	0.004522	0.001005	0.27687	0	-0.27687
Nop58	chr1	59684971	59719043	0.005134	0.00088	0.00346	0.000648	0	0	0
Bmpr2	chr1	59763400	59879013	0.004956	0.001102	0.003577	0.00064	0	0	0
Fam117b	chr1	59913006	59985345	0.005132	0.001074	0.003441	0.000815	0	0	0
Carf	chr1	60098247	60153952	0.008823	0.00155	0.002219	0.000399	0.20094	0	-0.20094
Nbeal1	chr1	60180599	60338327	0.005882	0.00089	0.002713	0.000348	0	0	0
Cyp20a1	chr1	60343323	60388059	0.010827	0.001886	0.003535	0.000717	0.24613	0	-0.24613
Abi2	chr1	60409619	60481157	0.004792	0.001084	0.003575	0.000644	0	0	0
Cd28	chr1	60716800	60773358	0.007274	0.001436	0.002875	0.000571	0.283305	0	-0.283305
Ctla4	chr1	60887000	60915831	0.007674	0.002111	0.003144	0.000352	0.290633	0	-0.290633
Icos	chr1	60977927	61000319	0.008141	0.00144	0.00365	0.000756	0.309553	0	-0.309553
Pard3b	chr1	61638824	62642283	0.006559	0.001194	0.003087	0.000572	0	0	0
Nrp2	chr1	62703285	62818694	0.011049	0.002586	0.006549	0.001462	0.372157	0	-0.372157
Eef1b2	chr1	63176825	63180485	0.007212	0.00187	0.004442	0.00133	0.381159	0	-0.381159
Zdbf2	chr1	63273265	63314575	0.007808	0.001284	0.002357	0.000757	0.231866	0	-0.231866
Adam23	chr1	63445891	63596275	0.00479	0.001299	0.004753	0.001162	0	0	0
Gm39653	chr1	63615968	63620818	0.009757	0.002068	0.002939	0.000687	0.231486	0	-0.231486
Fastkd2	chr1	63730614	63754654	0.008764	0.001938	0.002495	0.00051	0.221581	0	-0.221581
Creb1	chr1	64532645	64604547	0.005982	0.001039	0.003779	0.000572	0	0	0
Ccnyl1	chr1	64690455	64725643	0.007883	0.001271	0.003755	0.00072	0.322642	0	-0.322642
Pikfyve	chr1	65186683	65278694	0.006766	0.001298	0.002583	0.000471	0	0	0
Pth2r	chr1	65282056	65389243	0.008248	0.001615	0.003183	0.000577	0.278459	0	-0.278459
Crygf	chr1	65926520	65928306	0.03033	0.003218	0.006918	0.003917	0.185736	0	-0.185736
Map2	chr1	66175273	66442582	0.004478	0.001048	0.003441	0.000722	0	0	0
Unc80	chr1	66468367	66699147	0.005943	0.00158	0.002951	0.000603	0	0	0
Rpe	chr1	66700831	66719804	0.006546	0.001633	0.00336	0.000794	0	0	0
Cps1	chr1	67123026	67231258	0.007259	0.001392	0.003028	0.000429	0.294374	0	-0.294374
Spag16	chr1	69826970	70725131	0.006342	0.001085	0.001942	0.00033	0	0	0
Vwc2l	chr1	70725715	70885396	0.007122	0.001271	0.002857	0.000637	0	0	0
Atic	chr1	71557150	71579630	0.016038	0.003641	0.005775	0.001394	0.264763	0	-0.264763
Tmem169	chr1	72284369	72303103	0.011676	0.003089	0.004446	0.001406	0.275783	0	-0.275783
Xrcc5	chr1	72307427	72394951	0.012951	0.002377	0.004696	0.00087	0.266113	0	-0.266113
Smarcal1	chr1	72583251	72633133	0.015012	0.003838	0.006721	0.00177	0.309269	0	-0.309269
Rpl37a	chr1	72711290	72713812	0.004053	0.000119	0.004376	0.001156	0	0	0
Igfbp2	chr1	72824503	72852473	0.012402	0.003382	0.005192	0.002128	0.295084	0	-0.295084
Rufy4	chr1	74125541	74148222	0.012543	0.00393	0.004317	0.000868	0.256066	0	-0.256066
Cxcr2	chr1	74153989	74161245	0.014109	0.002549	0.005621	0.000976	0.284886	0	-0.284886
Arpc2	chr1	74236084	74268208	0.007233	0.001371	0.00451	0.000946	0.384072	0	-0.384072
Gpbar1	chr1	74278550	74279623	0.029723	0.014339	0.013993	0.004702	0.32009	0.246944	-0.073146
Pnkd	chr1	74284930	74353693	0.009887	0.002544	0.005113	0.001348	0.340863	0	-0.340863
Catip	chr1	74362108	74369320	0.018012	0.004437	0.005205	0.001847	0.224182	0	-0.224182
Slc11a1	chr1	74375195	74386061	0.019348	0.005658	0.00764	0.002344	0.283078	0	-0.283078
Ctdsp1	chr1	74391509	74397284	0.017567	0.005058	0.008166	0.001391	0.317353	0	-0.317353
Vil1	chr1	74409376	74435558	0.013227	0.004518	0.005889	0.00176	0.308078	0	-0.308078
Cnot9	chr1	74506058	74530841	0.006464	0.001579	0.003419	0.000578	0	0	0
Plcd4	chr1	74542888	74567793	0.012806	0.003659	0.004411	0.001297	0.25621	0	-0.25621
Bcs1l	chr1	74588289	74592442	0.00962	0.002024	0.006657	0.001426	0.409002	0	-0.409002
Stk36	chr1	74601445	74636893	0.014566	0.004197	0.005082	0.001283	0.25864	0	-0.25864
Ttll4	chr1	74661745	74703729	0.007599	0.002008	0.005107	0.001209	0.401935	0	-0.401935
Cyp27a1	chr1	74713574	74737891	0.009161	0.003431	0.006468	0.001314	0.41385	0	-0.41385
Wnt6	chr1	74771892	74785321	0.008255	0.00438	0.005343	0.001881	0.392938	0	-0.392938
Wnt10a	chr1	74791516	74804178	0.005862	0.003187	0.004397	0.002185	0.428618	0	-0.428618
Cdk5r2	chr1	74854934	74857731	0.000189	0.000684	0.001739	0.00054	0	0	0
Retreg2	chr1	75142778	75147912	0.005999	0.005049	0.005066	0.002524	0.457832	0	-0.457832
Zfand2b	chr1	75168646	75171628	0.005491	0.004763	0.003044	0.001369	0	0	0
Ankzf1	chr1	75192151	75199386	0.020267	0.004352	0.004388	0.00123	0.177966	0	-0.177966
Stk16	chr1	75210838	75215605	0.00508	0.001241	0.005246	0.00222	0.508046	0	-0.508046
Dnajb2	chr1	75236406	75245691	0.014115	0.005962	0.009648	0.00308	0.406007	0	-0.406007
Des	chr1	75360329	75368578	0.017343	0.006195	0.00786	0.003093	0.311855	0	-0.311855
Speg	chr1	75375297	75432319	0.015856	0.004645	0.008499	0.003285	0.34896	0	-0.34896
Gmppa	chr1	75435930	75443178	0.015658	0.005212	0.007735	0.002929	0.330648	0	-0.330648
Asic4	chr1	75450436	75474342	0.009516	0.002898	0.006527	0.002677	0.406857	0	-0.406857
Tmem198	chr1	75479532	75485704	0.005561	0.002293	0.006103	0.005325	0.523246	0	-0.523246
Inha	chr1	75507077	75510365	0.010266	0.003464	0.01177	0.004515	0.534109	0	-0.534109
Stk11ip	chr1	75521529	75537334	0.01683	0.005565	0.005253	0.001653	0.23787	0	-0.23787
Slc4a3	chr1	75546266	75562171	0.014954	0.0064	0.012817	0.005782	0.461536	0.474632	0.013096
Sgpp2	chr1	78310345	78420288	0.010128	0.002576	0.005741	0.001376	0.361761	0	-0.361761
Mogat1	chr1	78510991	78538172	0.010704	0.00248	0.004341	0.001455	0.288521	0	-0.288521
Acsl3	chr1	78657825	78707742	0.007335	0.001541	0.005742	0.001386	0.439091	0	-0.439091
Utp14b	chr1	78658038	78671511	0.005397	0.001352	0.004842	0.001156	0.472862	0	-0.472862
Kcne4	chr1	78816758	78820027	0.017063	0.004183	0.009965	0.002152	0.368698	0	-0.368698
Mrpl44	chr1	79776018	79781444	0.008036	0.002721	0.007319	0.000614	0.476641	0	-0.476641
Nyap2	chr1	81076950	81341763	0.00462	0.000868	0.002695	0.000576	0	0	0
Rhbdd1	chr1	82316452	82445365	0.007736	0.001853	0.004216	0.000942	0.352751	0	-0.352751
Col4a3	chr1	82586921	82722058	0.009416	0.002087	0.0035	0.000771	0.270978	0	-0.270978
Mff	chr1	82724890	82752393	0.005965	0.000971	0.004618	0.000621	0.436334	0	-0.436334
Agfg1	chr1	82839483	82901181	0.003609	0.000839	0.00381	0.001068	0	0	0
A030005L19Rik	chr1	82913325	82914129	0.007235	0.004141	0.008805	0.004555	0.548962	0	-0.548962
A030014E15Rik	chr1	82924917	82925711	0.026458	0.005031	0.006427	0.002516	0.195439	0	-0.195439
Gm47955	chr1	82960286	82960923	0.038557	0.013323	0.004999	0	0.114769	0	-0.114769
Gm47959	chr1	83000548	83001479	0.028997	0.012388	0.005159	0.001073	0.151032	0.07971	-0.071322
Gm47969	chr1	83044932	83045945	0.020614	0.015441	0.007419	0.002564	0.264651	0.14241	-0.122241
Krtap28-13	chr1	83060930	83061920	0.009457	0.005045	0.004673	0	0.330707	0	-0.330707
Ccl20	chr1	83116766	83119166	0.011622	0.002312	0.003923	0.000937	0.252345	0	-0.252345
Daw1	chr1	83159752	83210573	0.007526	0.002104	0.003004	0.000752	0.285269	0	-0.285269
Fbxo36	chr1	84839841	84900486	0.010541	0.002476	0.004359	0.000808	0.292566	0	-0.292566
AC167036.1	chr1	84958982	84964571	0.012404	0.004919	0.001832	0.000965	0.128692	0	-0.128692
Gm7609	chr1	85199613	85213785	0.013625	0.003022	0.001208	0.000435	0.081408	0	-0.081408
AC147806.2	chr1	85526602	85552177	0.010724	0.003288	0.001288	0.000602	0.107237	0	-0.107237
Sp140	chr1	85600378	85645036	0.008345	0.003954	0.001304	0.000999	0	0	0
Sp100	chr1	85649988	85709997	0.008753	0.001986	0.002822	0.00071	0.243814	0	-0.243814
Cab39	chr1	85793441	85851575	0.006444	0.001358	0.004553	0.000729	0.414049	0	-0.414049
Itm2c	chr1	85894281	85908674	0.008791	0.003114	0.006918	0.002668	0.440398	0	-0.440398
4933407L21Rik	chr1	85928483	85940623	0.007623	0.002788	0.005457	0.002122	0.417197	0	-0.417197
Spata3	chr1	86016816	86029957	0.012711	0.003499	0.003833	0.002158	0.231692	0	-0.231692
2810459M11Rik	chr1	86045863	86055455	0.011342	0.003156	0.004121	0.001387	0.266511	0	-0.266511
Psmd1	chr1	86064387	86139150	0.008396	0.001774	0.004611	0.000863	0.35447	0	-0.35447
Gm21972	chr1	86133637	86162787	0.011197	0.002966	0.005387	0.001491	0.324826	0	-0.324826
Armc9	chr1	86154780	86278283	0.013352	0.00343	0.00538	0.001345	0.287229	0	-0.287229
B3gnt7	chr1	86302832	86307304	0.018558	0.007024	0.00472	0.00176	0.202763	0	-0.202763
Tex44	chr1	86426329	86428051	0.039172	0.00977	0.009971	0.00058	0.202906	0.056075	-0.146831
Ptma	chr1	86526726	86530711	0.001044	0.000778	0.002072	6e-04	0	0	0
Cops7b	chr1	86582904	86609374	0.010026	0.002754	0.003931	0.000451	0.28166	0	-0.28166
Dis3l2	chr1	86703808	87050094	0.005679	0.001252	0.00267	0.000516	0	0	0
Akp3	chr1	87124973	87127911	0.022981	0.005988	0.00928	0.00238	0.287649	0	-0.287649
Prss56	chr1	87183313	87188404	0.01016	0.005033	0.007333	0.004326	0.419191	0	-0.419191
Chrnd	chr1	87190607	87200069	0.015232	0.006235	0.005072	0.002312	0.249803	0	-0.249803
Chrng	chr1	87204657	87212693	0.018704	0.006684	0.005183	0.002968	0.216993	0	-0.216993
Eif4e2	chr1	87213914	87240487	0.0077	0.00192	0.004439	0.001206	0.365685	0	-0.365685
Efhd1	chr1	87264363	87310838	0.01109	0.003285	0.004896	0.001376	0.306252	0	-0.306252
Gigyf2	chr1	87326998	87450795	0.005761	0.001217	0.003658	0.000699	0	0	0
Snorc	chr1	87470271	87475481	0.013759	0.005116	0.004889	0.001877	0.262174	0	-0.262174
Neu2	chr1	87509889	87597844	0.010464	0.002436	0.004405	0.001182	0.29626	0	-0.29626
Inpp5d	chr1	87620312	87720506	0.011341	0.003162	0.004117	0.001115	0.266347	0	-0.266347
Atg16l1	chr1	87755870	87792427	0.01037	0.002779	0.005375	0.001423	0.341362	0	-0.341362
Sag	chr1	87803680	87845157	0.011623	0.002931	0.004128	0.001247	0.262096	0	-0.262096
Dgkd	chr1	87853287	87945179	0.005391	0.001612	0.003559	0.000935	0	0	0
Ugt1a10	chr1	88055388	88219003	0.007655	0.001945	0.002035	0.000534	0	0	0
Ugt1a9	chr1	88070800	88218996	0.007906	0.002035	0.002041	0.000551	0	0	0
Ugt1a8	chr1	88087813	88219003	0.008216	0.00213	0.002153	0.000562	0.207639	0	-0.207639
Ugt1a7c	chr1	88095062	88220001	0.008133	0.002166	0.002091	0.000553	0.204511	0	-0.204511
Ugt1a6b	chr1	88103252	88219002	0.008184	0.002158	0.002021	0.000549	0.19802	0	-0.19802
Ugt1a6a	chr1	88134809	88218996	0.008475	0.002434	0.00199	0.000598	0.190144	0	-0.190144
Ugt1a5	chr1	88166012	88218996	0.009497	0.003089	0.002165	0.000733	0.185667	0	-0.185667
Ugt1a2	chr1	88200601	88218996	0.011552	0.005818	0.002538	0.001541	0.180119	0	-0.180119
Ugt1a1	chr1	88211959	88218996	0.012913	0.010617	0.001404	0.002123	0.098076	0.16667	0.068594
Mroh2a	chr1	88226986	88262288	0.014914	0.013461	0.002813	0.002869	0.158687	0.1757	0.017013
Trpm8	chr1	88277661	88389292	0.010381	0.003849	0.003679	0.001437	0.261678	0	-0.261678
Spp2	chr1	88406961	88426437	0.010485	0.002425	0.003735	0.001117	0.262666	0	-0.262666
Sh3bp4	chr1	89070415	89155067	0.014299	0.003438	0.007748	0.001824	0.351417	0	-0.351417
Agap1	chr1	89454806	89897616	0.00994	0.002831	0.008285	0.002342	0.454578	0	-0.454578
Ackr3	chr1	90203980	90216750	0.009206	0.002348	0.004563	0.00127	0.331427	0	-0.331427
Cops8	chr1	90602981	90613340	0.011935	0.004019	0.005064	0.000805	0.297886	0	-0.297886
Mlph	chr1	90915085	90951141	0.010348	0.002805	0.005554	0.001422	0.349252	0	-0.349252
Prlh	chr1	90953108	90954026	0.009538	0.00727	0.010499	0.003808	0.523994	0.343779	-0.180215
Lrrfip1	chr1	90998737	91128943	0.007795	0.002734	0.006727	0.00201	0.463246	0	-0.463246
Rbm44	chr1	91145089	91170794	0.009943	0.002204	0.003013	0.000701	0.232569	0	-0.232569
Ramp1	chr1	91179822	91225195	0.009017	0.003379	0.005695	0.001672	0.387078	0	-0.387078
Ube2f	chr1	91250304	91290336	0.005201	0.001389	0.00312	0.001099	0	0	0
Scly	chr1	91298338	91321074	0.01898	0.006712	0.006124	0.00152	0.243952	0	-0.243952
Espnl	chr1	91322075	91348305	0.014004	0.005542	0.006757	0.002682	0.325472	0	-0.325472
Klhl30	chr1	91351016	91362415	0.020104	0.006523	0.006548	0.001954	0.24567	0	-0.24567
