chr	start	end	score
chr1	0	3063390	0
chr1	3063390	3063400	-0.002775
chr1	3063400	3150360	0
chr1	3150360	3150370	-0.002275
chr1	3150370	3576090	0
chr1	3576090	3576100	0.001675
chr1	3576100	3839120	0
chr1	3839120	3839130	0.001925
chr1	3839130	4150780	0
chr1	4150780	4150790	-0.0025
chr1	4150790	4237560	0
chr1	4237560	4237570	-0.0044
chr1	4237570	4258370	0
chr1	4258370	4258380	-0.00625
chr1	4258380	4258530	0
chr1	4258530	4258540	-0.003575
chr1	4258540	4407140	0
chr1	4407140	4407150	-0.001925
chr1	4407150	4826300	0
chr1	4826300	4826310	0.001125
chr1	4826310	4916370	0
chr1	4916370	4916380	0.00155
chr1	4916380	5104410	0
chr1	5104410	5104420	-0.003575
chr1	5104420	5214840	0
chr1	5214840	5214850	-0.0025
chr1	5214850	5329930	0
chr1	5329930	5329940	0.001775
chr1	5329940	5951070	0
chr1	5951070	5951080	-0.001325
chr1	5951080	6011490	0
chr1	6011490	6011500	-0.007925
chr1	6011500	6011510	0.0333
chr1	6011510	6664360	0
chr1	6664360	6664370	0.001925
chr1	6664370	6864750	0
chr1	6864750	6864760	-0.001675
chr1	6864760	7354970	0
chr1	7354970	7354980	0.002275
chr1	7354980	7874510	0
chr1	7874510	7874520	-0.001125
chr1	7874520	8126050	0
chr1	8126050	8126060	-0.031675
chr1	8126060	8127380	0
chr1	8127380	8127390	-0.02075
chr1	8127390	8127690	0
chr1	8127690	8127700	0.0025
chr1	8127700	8314740	0
chr1	8314740	8314750	-0.025
chr1	8314750	8625990	0
chr1	8625990	8626000	-0.00455
chr1	8626000	8661260	0
chr1	8661260	8661270	0.004175
chr1	8661270	8787260	0
chr1	8787260	8787270	-0.003125
chr1	8787270	9157900	0
chr1	9157900	9157910	0.002275
chr1	9157910	9371130	0
chr1	9371130	9371140	-0.003125
chr1	9371140	9448820	0
chr1	9448820	9448830	-0.002775
chr1	9448830	9545690	0
chr1	9545690	9545700	0.02465
chr1	9545700	9545800	0
chr1	9545800	9545810	0.020425
chr1	9545810	9546150	0
chr1	9546150	9546160	0.003575
chr1	9546160	9562300	0
chr1	9562300	9562310	0.001325
chr1	9562310	9588730	0
