chr	start	end	width_kb	boundary_left_pos	boundary_right_pos	boundary_left_type	boundary_right_type	boundary_left_differential	boundary_right_differential	boundary_left_gap_score	boundary_right_gap_score	boundary_left_tad_score1	boundary_left_tad_score2	boundary_right_tad_score1	boundary_right_tad_score2	boundary_left_enriched	boundary_right_enriched	is_differential	mean_tad_score	mean_gap_score	cg_mc_ctrl_mean	cg_mc_mut_mean	cg_mc_log2fc	cg_mc_pseudocount	cg_mc_ctrl_cv	cg_mc_mut_cv	cg_mc_ctrl_within_var	cg_mc_mut_within_var	cg_mc_ctrl_insulation	cg_mc_mut_insulation	cg_hmc_ctrl_mean	cg_hmc_mut_mean	cg_hmc_log2fc	cg_hmc_pseudocount	cg_hmc_ctrl_cv	cg_hmc_mut_cv	cg_hmc_ctrl_within_var	cg_hmc_mut_within_var	cg_hmc_ctrl_insulation	cg_hmc_mut_insulation	chg_mc_ctrl_mean	chg_mc_mut_mean	chg_mc_log2fc	chg_mc_pseudocount	chg_mc_ctrl_cv	chg_mc_mut_cv	chg_mc_ctrl_within_var	chg_mc_mut_within_var	chg_mc_ctrl_insulation	chg_mc_mut_insulation	chh_mc_ctrl_mean	chh_mc_mut_mean	chh_mc_log2fc	chh_mc_pseudocount	chh_mc_ctrl_cv	chh_mc_mut_cv	chh_mc_ctrl_within_var	chh_mc_mut_within_var	chh_mc_ctrl_insulation	chh_mc_mut_insulation	mecp2_ctrl_mean	mecp2_mut_mean	mecp2_log2fc	mecp2_pseudocount	mecp2_ctrl_cv	mecp2_mut_cv	mecp2_ctrl_within_var	mecp2_mut_within_var	mecp2_ctrl_insulation	mecp2_mut_insulation	mecp2_peak_count	mecp2_up_count	mecp2_down_count
chr1	3230000	3350000	120	3230000	3350000	Non-Differential	Non-Differential	Non-Differential	Non-Differential	0.577318417642496	-1.81678434399823	1.5794604359081	1.38483463395012	1.62231168677911	2.20694059174796	Matrix 1	Matrix 2	FALSE	1.60088606134361	-0.619732963177865	0.00427282	0.00413679	-0.026493	0.00320356209341412	0.610006	0.665135	6.91448739529427e-06	7.45040148485028e-06	0.00160872	0.00153267	0.00043126	0.00056751	0.328545	0.000101517354514925	0.244651	0.216076	1.01606814511893e-08	1.59385730091637e-08	0.00016897	0.00015974	1.9e-07	0	-0.245392	1e-06	3.464102	NA	6.60083356320858e-12	0	8.9e-07	0	9e-07	1.06e-06	0.121561	1e-06	3.464102	3.464102	1.30208333333333e-11	1.19999994635582e-11	1.25e-06	2.13e-06	0.32249731	0.24568754	-0.177173	0.342143936271676	0.816443	0.814041	0.0693283889370514	0.0400005461734603	0.76273687	0.62272	0	0	0
chr1	3350000	3500000	150	3350000	3500000	Non-Differential	Non-Differential	Non-Differential	Non-Differential	-1.81678434399823	-1.13722076356978	1.62231168677911	2.20694059174796	1.67228721704292	2.03546302564232	Matrix 2	Matrix 2	FALSE	1.64729945191102	-1.477002553784	0.00300196	0.00286759	-0.031584	0.00320356209341412	0.196377	0.193956	3.50683756639472e-07	3.0487290021582e-07	0.00102123	0.00093552	0.0005727	0.00070406	0.256817	0.000101517354514925	0.334467	0.303442	3.64548660181799e-08	4.69362753318877e-08	0.00020193	0.00017023	0	0	0	1e-06	NA	NA	0	0	8.9e-07	0	-2.2e-07	5e-08	0.436499	1e-06	NA	NA	3.9526666238308e-12	0	0	0	0.9653344	0.80501088	-0.188727	0.342143936271676	0.328104	0.367246	0.10031928161406	0.087402330305004	0.57074355	0.52626796	0	0	0
chr1	3500000	3670000	170	3500000	3670000	Non-Differential	Strength Change	Non-Differential	Differential	-1.13722076356978	-2.69478978785433	1.67228721704292	2.03546302564232	2.03252475527994	2.90126873759474	Matrix 2	Matrix 2	TRUE	1.85240598616143	-1.91600527571205	0.00349647	0.00332838	-0.036657	0.00320356209341412	0.479417	0.490521	2.80143079304812e-06	2.68865135154853e-06	0.00065164	0.00055644	0.00062529	0.00078268	0.282804	0.000101517354514925	0.278831	0.339519	3.17899839234563e-08	6.79670765800049e-08	0.00032787	0.0004174	-8.6e-07	1e-07	2.945	1e-06	NA	NA	0	0	0	0	-1e-07	-7e-08	0.055763	1e-06	NA	NA	0	0	4.5e-07	0	0.82709109	0.62982019	-0.26659	0.342143936271676	0.527715	0.550711	0.190504015826923	0.120302814036893	0.30295201	0.2541763	0	0	0
chr1	3680000	3830000	150	3680000	3830000	Strength Change	Complex	Differential	Differential	-3.16152520077057	-2.95615737956075	1.61947032967289	2.64191158700281	1.0032484880103	1.96143195878584	Matrix 2	Matrix 2	TRUE	1.31135940884159	-3.05884129016566	0.00360836	0.00360225	-0.001294	0.00320356209341412	0.331609	0.32625	1.46399557228125e-06	1.39069321835203e-06	0.00034969	0.00041004	0.00010556	0.00011462	0.061745	0.000101517354514925	0.536645	0.384751	2.99192207995873e-09	1.6885014588005e-09	0.0003251	0.00037019	-4.2e-07	0	0.777601	1e-06	NA	NA	0	0	0	7.7e-07	-8.2e-07	-7.7e-07	0.295446	1e-06	14.670677	NA	4.62980979875156e-12	0	1.12e-06	0	0.41976252	0.3255064	-0.190521	0.342143936271676	0.440875	0.482883	0.0342486481813164	0.0247063112042518	0.44214804	0.31839219	0	0	0
chr1	3830000	3960000	130	3830000	3960000	Complex	Non-Differential	Differential	Non-Differential	-2.95615737956075	-0.904470380232516	1.0032484880103	1.96143195878584	1.45902509645034	1.74732632444555	Matrix 2	Matrix 2	TRUE	1.23113679223032	-1.93031387989663	0.00339211	0.00339923	0.001557	0.00320356209341412	0.310882	0.305102	1.13101679827486e-06	1.07154001265638e-06	0.00118614	0.0011652	9.166e-05	9.595e-05	0.031691	0.000101517354514925	0.533648	0.723069	2.1795780692752e-09	5.29850565601744e-09	3.013e-05	2.571e-05	0	1.5e-07	0.199218	1e-06	NA	3.605551	0	4.56076918134323e-12	0	7.7e-07	2.3e-07	1.4e-07	-0.112657	1e-06	3.605551	3.605551	3.07692316862253e-11	3.8776925616081e-12	8e-06	5.73e-06	0.44834703	0.35949916	-0.172012	0.342143936271676	0.578959	0.653027	0.0673800663285437	0.0551142932916845	0.05107812	0.04615938	0	0	0
chr1	3970000	4080000	110	3970000	4080000	Non-Differential	Non-Differential	Non-Differential	Non-Differential	-0.0508793793123597	-1.20327385341023	1.79204901691023	1.80104441710038	1.22357296815414	1.61014859016364	Matrix 2	Matrix 2	FALSE	1.50781099253219	-0.627076616361297	0.0043365	0.00432962	-0.001318	0.00320356209341412	0.635039	0.634911	7.70694460930464e-06	7.61820363312183e-06	0.00129499	0.0012852	0.00010654	0.00011374	0.049143	0.000101517354514925	0.376338	0.307173	1.57964090880318e-09	1.1257162076999e-09	2.782e-05	3.237e-05	0	0	0	1e-06	NA	NA	0	0	8.3e-07	0	-5.41e-06	-4.47e-06	-0.345357	1e-06	NA	NA	2.5826271987915e-10	3.29323632660454e-10	7.33e-06	6.44e-06	0.57482377	0.43294448	-0.24251	0.342143936271676	0.407329	0.433611	0.0548236476093178	0.0352429221492751	0.1184913	0.07743215	0	0	0
chr1	4120000	4280000	160	4120000	4280000	Non-Differential	Non-Differential	Non-Differential	Non-Differential	-0.493571965946018	-0.864961066948581	1.38860511749749	1.54342970134402	1.34956697513204	1.6254676815092	Matrix 2	Matrix 2	FALSE	1.36908604631477	-0.6792665164473	0.00361036	0.00361528	0.001042	0.00320356209341412	0.285111	0.273304	1.08551320524916e-06	9.89433802182749e-07	0.00084721	0.00079367	9.152e-05	9.835e-05	0.050184	0.000101517354514925	0.415507	0.481645	1.36560653434887e-09	1.70602262996081e-09	2.147e-05	2.827e-05	-2.2e-07	-1.05e-06	NA	1e-06	4	NA	1.2780626193285e-11	0	8.3e-07	0	1.7e-07	8e-07	0.616	1e-06	NA	NA	0	0	0	2e-06	0.43638577	0.33629369	-0.198536	0.342143936271676	0.526999	0.497174	0.0528883299924477	0.0279548516439346	0.04403055	0.06768759	0	0	0
chr1	4280000	4420000	140	4280000	4420000	Non-Differential	Non-Differential	Non-Differential	Non-Differential	-0.864961066948581	0.107982521749812	1.34956697513204	1.6254676815092	2.16723874407237	2.12292959240359	Matrix 2	Matrix 1	FALSE	1.7584028596022	-0.378489272599384	0.00356164	0.00356008	-0.000333	0.00320356209341412	0.299891	0.314321	1.15856426431191e-06	1.27424960610617e-06	0.00138242	0.00135744	0.00014804	0.00014045	-0.044596	0.000101517354514925	0.699459	0.619019	1.16902417653071e-08	6.40342989169648e-09	5.8e-05	6.021e-05	0	-1.4e-07	-0.213402	1e-06	NA	NA	0	4.23499995410442e-12	0	7.7e-07	-1.24e-06	-2.17e-06	2.30658	1e-06	NA	NA	1.72215380435724e-11	2.85714294229235e-11	8e-08	2e-06	0.5411234	0.42154574	-0.209864	0.342143936271676	0.56822	0.591682	0.0945433844033814	0.062211822543582	0.06932115	0.06948475	0	0	0
chr1	4420000	4560000	140	4420000	4560000	Non-Differential	Strength Change	Non-Differential	Differential	0.107982521749812	4.47548900319403	2.16723874407237	2.12292959240359	4.09129133275174	2.61694891685228	Matrix 1	Matrix 1	TRUE	3.12926503841206	2.29173576247192	0.00486434	0.00485512	-0.001649	0.00320356209341412	0.438191	0.441452	4.53539318531109e-06	4.60439909681136e-06	0.0012964	0.00129298	0.00021655	0.00021792	0.006191	0.000101517354514925	0.509039	0.577048	1.17726226753477e-08	1.31732646418785e-08	7.401e-05	4.478e-05	0	0	0	1e-06	NA	NA	0	0	0	7.7e-07	3.8e-07	-1.3e-07	-0.662495	1e-06	3.741657	NA	5.91499975979328e-12	0	8e-08	0	0.99108533	0.77072708	-0.260638	0.342143936271676	0.544345	0.559077	0.291056607500755	0.185673533558955	0.25710553	0.17945069	0	0	0
chr1	4560000	4750000	190	4560000	4750000	Strength Change	Complex	Differential	Differential	4.47548900319403	-2.15497143354094	4.09129133275174	2.61694891685228	1.34383493594565	2.03974188049502	Matrix 1	Matrix 2	TRUE	2.7175631343487	1.16025878482654	0.00482659	0.00485202	0.004562	0.00320356209341412	0.355399	0.347819	2.96602556383164e-06	2.84260117677784e-06	0.00127013	0.00127595	0.00026042	0.00023994	-0.084051	0.000101517354514925	0.573733	0.579472	1.94843219184887e-08	1.61434247201992e-08	0.00026953	0.00019408	2e-08	0	-0.022601	1e-06	4.358899	NA	3.62578919768334e-12	0	0	0	6.7e-07	1.23e-06	0.418729	1e-06	4.358899	3.578211	4.30505303352758e-11	3.38642690228301e-11	7.7e-07	0	0.71526301	0.56591774	-0.219669	0.342143936271676	0.531223	0.599814	0.144372408136344	0.115223895564679	0.23473298	0.15841286	0	0	0
