State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	1.77323	1.76407	1.78544	1.72440	1.77628	1.79154	1.81901	1.80375	1.81290	1.76712	1.73050	1.61758	1.50160	1.41004	1.36120	1.35205	1.32153	1.29406	1.30322	1.29406	1.30932
2	3.28768	3.30717	3.10575	3.22270	3.18372	3.15123	3.11225	3.02128	3.03428	3.02778	3.18372	2.89783	2.76139	2.70291	2.60545	2.48850	2.52748	2.48200	2.36505	2.41053	2.33256
3	2.85589	2.88416	2.87474	2.96899	2.84646	2.82761	2.86531	2.80876	2.79934	2.92187	2.84646	2.73336	2.46945	2.23381	2.15841	2.02646	1.99818	1.92278	2.03588	2.08301	2.00760
4	2.68477	2.74805	2.95596	3.03731	3.01019	3.13675	3.01923	2.90172	2.62149	2.38646	2.01584	1.97064	1.96160	1.88024	1.90736	1.88024	1.81696	1.79888	1.66329	1.59097	1.56385
5	1.41292	1.44728	1.44860	1.46711	1.51469	1.51469	1.49883	1.60853	1.52658	1.42878	1.30982	1.27017	1.25563	1.21730	1.18426	1.21598	1.25960	1.25827	1.23713	1.27942	1.25695
6	1.99305	2.06922	2.15808	2.17077	2.20886	2.32311	2.38658	2.38658	2.36119	2.19616	1.86610	1.75185	1.58682	1.72646	1.63760	1.49796	1.38371	1.38371	1.33293	1.24407	1.25676
7	3.18312	3.37548	3.33825	3.42512	3.43132	3.39409	3.38789	3.42512	3.41271	3.18933	2.94734	2.77980	2.63709	2.47576	2.38889	2.38269	2.37028	2.40130	2.39510	2.44474	2.45715
8	3.20691	3.17236	3.29327	3.25872	3.37963	3.48902	3.40266	3.27600	3.18963	2.93055	2.75782	2.48147	2.28571	2.19935	2.19935	2.22814	2.34329	2.34904	2.38359	2.43541	2.56783
9	3.67812	3.75856	3.68543	3.70006	3.43681	3.30519	3.10044	3.13701	3.13701	3.37100	3.48800	3.21013	3.23207	3.11507	3.01269	2.92495	2.91763	2.99076	2.92495	2.96882	3.03463
10	3.72983	3.56528	3.57311	3.45558	3.36155	3.27535	3.19700	2.89924	2.71118	2.67200	2.67200	2.52312	2.43693	2.54663	2.69551	2.69551	2.73469	2.70334	2.68767	2.56230	2.59364
11	3.06673	3.04837	2.82800	2.79127	2.97491	3.06673	2.86473	2.71782	2.88309	2.90146	3.25037	3.21364	3.04837	2.62600	2.51582	2.42400	2.29546	2.18527	2.35055	2.35055	2.14855
12	0.85672	0.85390	0.85416	0.85040	0.84681	0.84505	0.84685	0.84471	0.85014	0.86121	0.87297	0.88644	0.89755	0.90815	0.91379	0.91529	0.91426	0.91525	0.91623	0.91529	0.91435
13	2.16806	2.05042	1.76470	2.01680	1.98319	2.05042	2.05042	2.26890	2.65546	2.26890	1.89916	2.53781	2.82352	2.40336	2.28571	2.65546	2.53781	2.75630	3.07562	2.94117	3.24369
14	1.85582	1.74187	1.75815	1.83954	1.82327	1.57908	1.57908	1.67675	1.56280	1.41629	1.77443	2.14885	2.26280	2.23024	2.23024	2.40931	2.68606	2.50699	2.49071	2.34420	2.40931
15	2.35658	2.46969	2.51682	2.71949	3.04470	3.24265	3.41232	3.61499	3.52072	3.24736	2.83260	2.33772	1.87583	1.57419	1.37624	1.23485	1.18300	1.16415	1.13587	1.16415	1.19714
