#Position (bp)	mapping quality
3406923.0	40.36491076657259
1.0220768E7	40.75042431153247
1.7034613E7	40.84356475747229
2.3848458E7	40.58239836741611
3.0662303E7	40.751833647077625
3.7476148E7	40.807044121438885
4.4289993E7	40.7873717839947
5.1103838E7	40.56468248677216
5.7917683E7	40.46852900813811
6.4731528E7	40.879996365239094
7.1545373E7	40.7617869772841
7.8359218E7	40.77715025642959
8.5173063E7	40.554766292808644
9.1986908E7	40.96773076833077
9.8800753E7	40.871812382410525
1.05614598E8	40.79274432172192
1.12428443E8	40.91197047821485
1.19242288E8	40.83358224172108
1.26056133E8	40.54599544518213
1.300790245E8	40.24820973913141
1.33485947E8	36.11253660278695
1.39683823E8	40.721780853239686
1.46497668E8	40.64448353777501
1.53311513E8	40.920800669798936
1.60125358E8	40.762264773374035
1.66939203E8	40.96749907079835
1.73753048E8	40.806774433388384
1.80566893E8	40.61275368550243
1.87380738E8	40.924218568874416
1.94194583E8	41.013119380954514
2.01008428E8	40.88580706252694
2.07822273E8	40.86081829371621
2.14636118E8	41.04124887322257
2.21449963E8	40.91872972403146
2.28263808E8	40.903792158801984
2.35077653E8	40.905071812581376
2.41891498E8	40.88875944809
2.48705343E8	40.89402143285634
2.52444901E8	40.56054579422867
2.558518235E8	24.217460578243813
2.62333033E8	40.579581443018824
2.69146878E8	39.29721638516282
2.75960723E8	36.766233566814975
2.82774568E8	40.89349881304591
2.89588413E8	40.85668857543127
2.96402258E8	40.86989133092689
3.03216103E8	40.77699403396264
3.10029948E8	40.742281199916015
3.16843793E8	40.77931474622425
3.23657638E8	40.915415328145734
3.30471483E8	40.882837832222975
3.37285328E8	40.697705345918926
3.44099173E8	40.53852181217606
3.50913018E8	40.835644352683
3.57726863E8	40.723174636032155
3.64540708E8	40.44565499277063
3.704270945E8	40.066297873845734
3.73834017E8	0.0
3.78168398E8	40.2355140976432
3.84982243E8	39.768844547183676
3.91796088E8	40.73818361373743
3.98609933E8	40.52121356684429
4.05423778E8	40.68616052775965
4.12237623E8	41.00512785111425
4.19051468E8	41.030401518485334
4.25865313E8	40.416397116742495
4.32679158E8	40.15799347706872
4.39493003E8	39.08690257498897
4.46306848E8	40.79670818686579
4.53120693E8	40.69093698248613
4.59934538E8	40.64198716342778
4.66748383E8	40.94546096932895
4.73562228E8	40.7402891223275
4.80376073E8	40.83450390782757
4.87189918E8	40.95690465949953
4.91962519E8	39.42544681668353
4.953694415E8	28.402882121079404
5.00817608E8	37.8084589820086
5.07631453E8	40.762370859262546
5.14445298E8	32.135498970214016
5.21259143E8	40.99668840710032
5.28072988E8	40.905585690946936
5.34886833E8	36.90070392050904
5.41700678E8	40.493950284509495
5.48514523E8	40.11751079812872
5.55328368E8	40.89511324515561
5.62142213E8	40.93221217675361
5.68956058E8	40.9395300948006
5.75769903E8	40.75823298844637
