#Position (bp)	insert size
3406923.0	204.7120709666722
1.0220768E7	205.72209265102666
1.7034613E7	206.41895486721674
2.3848458E7	205.7282165200834
3.0662303E7	207.92569976822963
3.7476148E7	206.9905808477237
4.4289993E7	205.31589436970603
5.1103838E7	208.77261161230626
5.7917683E7	205.16658858802586
6.4731528E7	203.98172227106565
7.1545373E7	205.46940709322263
7.8359218E7	199.97078309534587
8.5173063E7	203.43239449375113
9.1986908E7	204.0021822392447
9.8800753E7	206.29732764428476
1.05614598E8	207.2021466088148
1.12428443E8	206.18134251598767
1.19242288E8	203.29842271293376
1.26056133E8	204.4092425970515
1.300790245E8	210.625
1.33485947E8	199.97115200917023
1.39683823E8	206.11572788999445
1.46497668E8	207.30610017029824
1.53311513E8	205.5715576203381
1.60125358E8	206.58512883651395
1.66939203E8	204.17454513414688
1.73753048E8	205.09723766736354
1.80566893E8	203.60883516483517
1.87380738E8	201.76342267325873
1.94194583E8	204.16959875205825
2.01008428E8	200.45083573006545
2.07822273E8	201.03749944658432
2.14636118E8	203.0932686694508
2.21449963E8	204.1609916630101
2.28263808E8	199.42696107405217
2.35077653E8	201.3635300740484
2.41891498E8	202.44939537329128
2.48705343E8	198.04896272488207
2.52444901E8	203.01906779661016
2.558518235E8	174.3206370798617
2.62333033E8	206.453296826608
2.69146878E8	209.02995303364324
2.75960723E8	211.1146297411198
2.82774568E8	204.2963337436258
2.89588413E8	207.78370015253867
2.96402258E8	208.32892435995157
3.03216103E8	206.51769261583655
3.10029948E8	206.1345350526698
3.16843793E8	209.16983713642583
3.23657638E8	204.2975126568347
3.30471483E8	203.30831834532373
3.37285328E8	202.26264492586262
3.44099173E8	207.66063123673635
3.50913018E8	207.61731917134833
3.57726863E8	201.6395002706116
3.64540708E8	203.0559138866345
3.704270945E8	207.3847182425979
3.73834017E8	0.0
3.78168398E8	208.3990995762712
3.84982243E8	207.49236897462293
3.91796088E8	207.00900822109497
3.98609933E8	207.62234298987596
4.05423778E8	205.47475950526797
4.12237623E8	205.20190687361418
4.19051468E8	201.49986647676695
4.25865313E8	202.58018867924528
4.32679158E8	205.4798939268791
4.39493003E8	208.7564828768903
4.46306848E8	204.82257851965736
4.53120693E8	208.1100671730254
4.59934538E8	208.34906247222963
4.66748383E8	204.77764795757875
4.73562228E8	203.6423742563548
4.80376073E8	206.8684882766171
4.87189918E8	205.05661134903642
4.91962519E8	208.7039603960396
4.953694415E8	230.06821963394341
5.00817608E8	211.86238916428124
5.07631453E8	205.97289034752507
5.14445298E8	188.21534001054297
5.21259143E8	201.88055595085623
5.28072988E8	205.76502055793802
5.34886833E8	213.89173489710112
5.41700678E8	204.83023954742333
5.48514523E8	204.6906672781472
5.55328368E8	204.07389691090347
5.62142213E8	203.2914190193165
5.68956058E8	204.43348593270812
5.75769903E8	207.81809523809522
5.82583748E8	209.12421052631578
5.89397593E8	207.9722569789015
5.96211438E8	207.30009701887457
6.03025283E8	208.30192709753658
6.09839128E8	206.24136591262302
6.15738246E8	203.69492195218336
6.191451685E8	0.0
6.23466818E8	206.31829932346955
6.30280663E8	205.65500524109015
6.37094508E8	210.21218590171225
6.43908353E8	205.6375395624054
6.50722198E8	206.91267434808975
6.57536043E8	204.78246738171518
6.64349888E8	207.58523453184887
6.71163733E8	207.05194517145011
6.77977578E8	205.3318029313085
6.84791423E8	205.37468872287442
6.91605268E8	202.56503078123646
6.98419113E8	200.64892168489482
7.05232958E8	199.9086100368938
7.12046803E8	203.89105995717344
7.18860648E8	200.6486380132045
7.222708485E8	0.0
7.25677771E8	204.00342356687898
7.32488338E8	203.2048680638989
7.39302183E8	205.08791677325829
7.46116028E8	204.05432765311286
7.52929873E8	202.9550297434076
7.59743718E8	203.99369766036432
7.66557563E8	205.43785469826278
7.73371408E8	208.70951563943512
7.80185253E8	207.23410752688173
7.86999098E8	207.5576974208987
7.93812943E8	206.9359583140732
8.00626788E8	206.63680580120268
