chr	50kb	100kb	opt_binsize
chr1	0.77374	0.78231	50kb
chr2	0.81485	0.82055	50kb
chr3	0.74471	0.7403	50kb
chr4	0.75278	0.74033	50kb
chr5	0.72825	0.71961	50kb
chr6	0.76928	0.76782	50kb
chr7	0.81289	0.75853	50kb
chr8	0.78726	0.77826	50kb
chr9	0.77167	0.72278	50kb
chr10	0.72867	0.74368	50kb
chr11	0.81799	0.80246	50kb
chr12	0.79922	0.7963	50kb
chr13	0.68651	0.66352	50kb
chr14	0.72989	0.70553	50kb
chr15	0.68999	0.692	50kb
chr16	0.71015	0.67142	50kb
chr17	0.78505	0.77299	50kb
chr18	0.76385	0.75483	50kb
chr19	0.83985	0.82151	50kb
