#peakID	chr	start	end	strand	PC1
chr10-3075000	chr10	3075000	3100000	+	-0.502253155022503
chr10-3100000	chr10	3100000	3125000	+	-0.525828269235078
chr10-3125000	chr10	3125000	3150000	+	-0.3350984598014
chr10-3150000	chr10	3150000	3175000	+	-0.0349042707609467
chr10-3175000	chr10	3175000	3200000	+	8.07571462852989e-05
chr10-3200000	chr10	3200000	3225000	+	-0.368325580562959
chr10-3225000	chr10	3225000	3250000	+	-0.399834423484209
chr10-3250000	chr10	3250000	3275000	+	-0.193584052322289
chr10-3275000	chr10	3275000	3300000	+	0.243769143618357
chr10-3300000	chr10	3300000	3325000	+	0.562055031687606
chr10-3325000	chr10	3325000	3350000	+	0.438922876886331
chr10-3350000	chr10	3350000	3375000	+	0.604822463249658
chr10-3375000	chr10	3375000	3400000	+	0.894769923710804
chr10-3400000	chr10	3400000	3425000	+	0.914247486332238
chr10-3425000	chr10	3425000	3450000	+	0.567306223609555
chr10-3450000	chr10	3450000	3475000	+	0.129242220343884
chr10-3475000	chr10	3475000	3500000	+	-0.176262506182591
chr10-3500000	chr10	3500000	3525000	+	-0.149696410672506
chr10-3525000	chr10	3525000	3550000	+	-0.155747106114432
chr10-3550000	chr10	3550000	3575000	+	-0.427021804429541
chr10-3575000	chr10	3575000	3600000	+	-0.656305911050576
chr10-3600000	chr10	3600000	3625000	+	-0.783570649694052
chr10-3625000	chr10	3625000	3650000	+	-0.874778560287306
chr10-3650000	chr10	3650000	3675000	+	-0.85172256926414
chr10-3675000	chr10	3675000	3700000	+	-0.769516076642873
chr10-3700000	chr10	3700000	3725000	+	-0.654012905235674
chr10-3725000	chr10	3725000	3750000	+	-0.600091527755485
chr10-3750000	chr10	3750000	3775000	+	-0.667014920709516
chr10-3775000	chr10	3775000	3800000	+	-0.748576239216088
chr10-3800000	chr10	3800000	3825000	+	-0.773612005778579
chr10-3825000	chr10	3825000	3850000	+	-0.743279234107827
chr10-3850000	chr10	3850000	3875000	+	-0.735537211034017
chr10-3875000	chr10	3875000	3900000	+	-0.666239591792
chr10-3900000	chr10	3900000	3925000	+	-0.479315362393833
chr10-3925000	chr10	3925000	3950000	+	0.0404376239008896
chr10-3950000	chr10	3950000	3975000	+	0.981769302153154
chr10-3975000	chr10	3975000	4000000	+	1.33910994025218
chr10-4000000	chr10	4000000	4025000	+	1.25282865212625
chr10-4025000	chr10	4025000	4050000	+	1.41820884582228
chr10-4050000	chr10	4050000	4075000	+	1.56747877282997
chr10-4075000	chr10	4075000	4100000	+	1.453651057073
chr10-4100000	chr10	4100000	4125000	+	1.23864201078715
chr10-4125000	chr10	4125000	4150000	+	1.10156815471133
chr10-4150000	chr10	4150000	4175000	+	0.77792950217638
