chrom	start	end	h3k27ac
chr1	0	25000	0.0
chr1	25000	50000	0.0
chr1	50000	75000	0.0
chr1	75000	100000	0.0
chr1	100000	125000	0.0
chr1	125000	150000	0.0
chr1	150000	175000	0.0
chr1	175000	200000	0.0
chr1	200000	225000	0.0
chr1	225000	250000	0.0
chr1	250000	275000	0.0
chr1	275000	300000	0.0
chr1	300000	325000	0.0
chr1	325000	350000	0.0
chr1	350000	375000	0.0
chr1	375000	400000	0.0
chr1	400000	425000	0.0
chr1	425000	450000	0.0
chr1	450000	475000	0.0
chr1	475000	500000	0.0
chr1	500000	525000	0.0
chr1	525000	550000	0.0
chr1	550000	575000	0.0
chr1	575000	600000	0.0
chr1	600000	625000	0.0
chr1	625000	650000	0.0
chr1	650000	675000	0.0
chr1	675000	700000	0.0
chr1	700000	725000	0.0
chr1	725000	750000	0.0
chr1	750000	775000	0.0
chr1	775000	800000	0.0
chr1	800000	825000	0.0
chr1	825000	850000	0.0
chr1	850000	875000	0.0
chr1	875000	900000	0.0
chr1	900000	925000	0.0
chr1	925000	950000	0.0
chr1	950000	975000	0.0
chr1	975000	1000000	0.0
chr1	1000000	1025000	0.0
chr1	1025000	1050000	0.0
chr1	1050000	1075000	0.0
chr1	1075000	1100000	0.0
chr1	1100000	1125000	0.0
chr1	1125000	1150000	0.0
chr1	1150000	1175000	0.0
chr1	1175000	1200000	0.0
chr1	1200000	1225000	0.0
chr1	1225000	1250000	0.0
chr1	1250000	1275000	0.0
chr1	1275000	1300000	0.0
chr1	1300000	1325000	0.0
chr1	1325000	1350000	0.0
chr1	1350000	1375000	0.0
chr1	1375000	1400000	0.0
chr1	1400000	1425000	0.0
chr1	1425000	1450000	0.0
chr1	1450000	1475000	0.0
chr1	1475000	1500000	0.0
chr1	1500000	1525000	0.0
chr1	1525000	1550000	0.0
chr1	1550000	1575000	0.0
chr1	1575000	1600000	0.0
chr1	1600000	1625000	0.0
chr1	1625000	1650000	0.0
chr1	1650000	1675000	0.0
chr1	1675000	1700000	0.0
chr1	1700000	1725000	0.0
chr1	1725000	1750000	0.0
chr1	1750000	1775000	0.0
chr1	1775000	1800000	0.0
chr1	1800000	1825000	0.0
chr1	1825000	1850000	0.0
chr1	1850000	1875000	0.0
chr1	1875000	1900000	0.0
chr1	1900000	1925000	0.0
chr1	1925000	1950000	0.0
chr1	1950000	1975000	0.0
chr1	1975000	2000000	0.0
chr1	2000000	2025000	0.0
chr1	2025000	2050000	0.0
chr1	2050000	2075000	0.0
chr1	2075000	2100000	0.0
chr1	2100000	2125000	0.0
chr1	2125000	2150000	0.0
chr1	2150000	2175000	0.0
chr1	2175000	2200000	0.0
chr1	2200000	2225000	0.0
chr1	2225000	2250000	0.0
chr1	2250000	2275000	0.0
chr1	2275000	2300000	0.0
chr1	2300000	2325000	0.0
chr1	2325000	2350000	0.0
chr1	2350000	2375000	0.0
chr1	2375000	2400000	0.0
chr1	2400000	2425000	0.0
chr1	2425000	2450000	0.0
chr1	2450000	2475000	0.0
chr1	2475000	2500000	0.0
chr1	2500000	2525000	0.0
chr1	2525000	2550000	0.0
chr1	2550000	2575000	0.0
chr1	2575000	2600000	0.0
chr1	2600000	2625000	0.0
chr1	2625000	2650000	0.0
chr1	2650000	2675000	0.0
chr1	2675000	2700000	0.0
chr1	2700000	2725000	0.0
chr1	2725000	2750000	0.0
chr1	2750000	2775000	0.0
chr1	2775000	2800000	0.0
chr1	2800000	2825000	0.0
chr1	2825000	2850000	0.0
chr1	2850000	2875000	0.0
chr1	2875000	2900000	0.0
chr1	2900000	2925000	0.0
chr1	2925000	2950000	0.0
chr1	2950000	2975000	0.0
chr1	2975000	3000000	0.0
chr1	3000000	3025000	0.00017200132863095534
chr1	3025000	3050000	0.017299828890954973
chr1	3050000	3075000	0.012011246767345319
chr1	3075000	3100000	0.0
chr1	3100000	3125000	0.06451016796678102
chr1	3125000	3150000	0.012953105721406054
chr1	3150000	3175000	0.016593801505388684
chr1	3175000	3200000	0.10391878339132929
chr1	3200000	3225000	1.6558665565587578
chr1	3225000	3250000	0.25484103112567547
chr1	3250000	3275000	1.0155725698514049
chr1	3275000	3300000	0.48051839478496666
chr1	3300000	3325000	0.5988096927810306
chr1	3325000	3350000	0.19979504743002277
chr1	3350000	3375000	1.294557720713365
chr1	3375000	3400000	1.9424329829464408
chr1	3400000	3425000	1.5918451761912709
chr1	3425000	3450000	1.3177324552334944
chr1	3450000	3475000	1.0490311772746888
chr1	3475000	3500000	1.6307280017062113
chr1	3500000	3525000	2.127832614946983
chr1	3525000	3550000	1.2141987407212753
chr1	3550000	3575000	0.3121962523170141
chr1	3575000	3600000	1.511908104663734
chr1	3600000	3625000	0.6971022865528633
chr1	3625000	3650000	2.4112629823702556
chr1	3650000	3675000	5.58253159809657
chr1	3675000	3700000	0.09334119655102752
chr1	3700000	3725000	0.019132373601283316
chr1	3725000	3750000	0.011093667496509778
chr1	3750000	3775000	0.029725461039656006
chr1	3775000	3800000	0.05494583091065671
chr1	3800000	3825000	0.0
chr1	3825000	3850000	0.03730546912025217
chr1	3850000	3875000	0.010910810985248012
chr1	3875000	3900000	0.015174443747575303
chr1	3900000	3925000	0.07864966707097792
chr1	3925000	3950000	0.01582431996673201
chr1	3950000	3975000	0.0
chr1	3975000	4000000	0.008836859570785477
chr1	4000000	4025000	0.03652427982019691
chr1	4025000	4050000	0.06754407112044741
chr1	4050000	4075000	0.031227001668412097
chr1	4075000	4100000	0.0662226626476025
chr1	4100000	4125000	0.01576366924234023
chr1	4125000	4150000	0.034370795623484884
chr1	4150000	4175000	0.07019819616349662
chr1	4175000	4200000	0.013031747274871663
chr1	4200000	4225000	0.020108216300001716
chr1	4225000	4250000	0.03170095822619345
chr1	4250000	4275000	0.005153030711310425
chr1	4275000	4300000	0.011885098051462534
chr1	4300000	4325000	0.0
chr1	4325000	4350000	0.05192286545251877
chr1	4350000	4375000	0.07755730844510624
chr1	4375000	4400000	0.0
chr1	4400000	4425000	0.02372786982535772
chr1	4425000	4450000	0.06659857173479021
chr1	4450000	4475000	0.05849524994607038
chr1	4475000	4500000	0.6406203619496713
chr1	4500000	4525000	0.2994386274012547
chr1	4525000	4550000	0.07047033226069961
chr1	4550000	4575000	0.214265626194371
chr1	4575000	4600000	0.09654269424888477
chr1	4600000	4625000	0.06520055748975204
chr1	4625000	4650000	0.0721785323259246
chr1	4650000	4675000	0.1090189817809529
chr1	4675000	4700000	0.08588059618152966
chr1	4700000	4725000	0.09185464200848983
chr1	4725000	4750000	0.04131499567428326
chr1	4750000	4775000	0.2697197628955236
chr1	4775000	4800000	1.1216896513747987
chr1	4800000	4825000	1.4561359310940778
chr1	4825000	4850000	0.7834800597010095
chr1	4850000	4875000	2.6013643705701215
chr1	4875000	4900000	1.1730830831831047
chr1	4900000	4925000	0.27247457325146796
chr1	4925000	4950000	0.09993128478290826
chr1	4950000	4975000	0.14796568802307433
chr1	4975000	5000000	0.04914861842269967
chr1	5000000	5025000	1.0861807502327907
chr1	5025000	5050000	0.11735521104941324
chr1	5050000	5075000	0.021773768169829046
chr1	5075000	5100000	1.1385455559519906
chr1	5100000	5125000	1.0550373219730402
chr1	5125000	5150000	0.8686781055262206
chr1	5150000	5175000	0.45560058361579786
chr1	5175000	5200000	0.03435497557167526
chr1	5200000	5225000	0.022295041318705258
chr1	5225000	5250000	0.1000791646669897
chr1	5250000	5275000	0.07801835149778856
chr1	5275000	5300000	0.03224752682923525
chr1	5300000	5325000	0.035912208209278706
chr1	5325000	5350000	0.025624805408337895
chr1	5350000	5375000	0.009890311389017732
chr1	5375000	5400000	0.006461423043681889
chr1	5400000	5425000	0.03137079907438784
chr1	5425000	5450000	0.0049471039131678525
chr1	5450000	5475000	0.008651425811498773
chr1	5475000	5500000	0.0
chr1	5500000	5525000	0.004079885077987636
chr1	5525000	5550000	0.002577120536130813
chr1	5550000	5575000	0.00039270071315832293
chr1	5575000	5600000	0.06573863514820555
chr1	5600000	5625000	0.013090982694626697
chr1	5625000	5650000	0.006615501013451276
chr1	5650000	5675000	0.009976822687060119
chr1	5675000	5700000	0.014329779146282128
