chrom	start	end	name	eigval1
chr1	0	195471971	chr1	4862.316864731877
chr2	0	182113224	chr2	4391.904798889103
chrX	0	171031299	chrX	3413.530678698903
chr3	0	160039680	chr3	3531.919647308633
chr4	0	156508116	chr4	4414.41452887309
chr5	0	151834684	chr5	4000.5960771814753
chr6	0	149736546	chr6	3834.501829387821
chr7	0	145441459	chr7	4046.41890986148
chr10	0	130694993	chr10	3037.3154181971295
chr8	0	129401213	chr8	3008.741674475552
chr14	0	124902244	chr14	2678.7546890563417
chr9	0	124595110	chr9	3052.016699324856
chr11	0	122082543	chr11	3188.8985077308357
chr13	0	120421639	chr13	2679.9549203099796
chr12	0	120129022	chr12	3055.5849405703784
chr15	0	104043685	chr15	2604.1710206150315
chr16	0	98207768	chr16	2223.630672474107
chr17	0	94987271	chr17	2335.434218581874
chrY	0	91744698	chrY	-860.832852494591
chr18	0	90702639	chr18	1770.8054942335964
chr19	0	61431566	chr19	1373.6206180598265
