chrom	start	end	name	eigval1
chr1	0	195471971	chr1	4845.039615332023
chr2	0	182113224	chr2	4278.838445413686
chrX	0	171031299	chrX	3383.2420544155857
chr3	0	160039680	chr3	3472.8032300112154
chr4	0	156508116	chr4	4278.888422321924
chr5	0	151834684	chr5	3987.660230367891
chr6	0	149736546	chr6	3782.5457080836422
chr7	0	145441459	chr7	3790.4307214674436
chr10	0	130694993	chr10	2990.9965228801802
chr8	0	129401213	chr8	2982.2425001537144
chr14	0	124902244	chr14	2623.5651177154205
chr9	0	124595110	chr9	2901.1182613736596
chr11	0	122082543	chr11	3161.3439268168445
chr13	0	120421639	chr13	2613.450775536354
chr12	0	120129022	chr12	2935.146698301214
chr15	0	104043685	chr15	2540.6234422312327
chr16	0	98207768	chr16	2110.6637465793747
chr17	0	94987271	chr17	2294.4181351487055
chrY	0	91744698	chrY	-851.5661553920031
chr18	0	90702639	chr18	1755.2586571048655
chr19	0	61431566	chr19	1361.957750637216
