enh_idx	loop_idx	enh_on_anchor	partner_type	own_type	enhancer_class	loop_type	logFC	FDR	direction	is_differential	partner_group	enh_chr	enh_start	enh_end	loop_chr1	loop_start1	loop_end1	loop_chr2	loop_start2	loop_end2
1	2384	1	Active_Promoter	Active_Enhancer	Activity_Lost	Active_Promoter-Active_Enhancer	-0.151861250231283	0.308507857955994	unchanged	FALSE	Promoter	chr16	31570320	31571071	chr16	31570000	31575000	chr16	31660000	31665000
3	35740	1	Other	Active_Enhancer	Activity_Lost	Active_Enhancer-Other	-0.00563390775784066	0.95190082879346	unchanged	FALSE	Structural	chr4	98546599	98547167	chr4	98525000	98550000	chr4	98875000	98900000
3	37667	1	Other	Active_Enhancer	Activity_Lost	Active_Enhancer-Other	-0.10643708268135	0.0825648614117298	unchanged	FALSE	Structural	chr4	98546599	98547167	chr4	98525000	98550000	chr4	98700000	98725000
3	19890	1	Active_Enhancer	Active_Enhancer	Activity_Lost	Active_Enhancer-Active_Enhancer	-0.359587615689042	3.92342140348747e-05	down_in_mutant	TRUE	Enhancer	chr4	98546599	98547167	chr4	98540000	98550000	chr4	98660000	98670000
3	19938	1	Active_Promoter	Active_Enhancer	Activity_Lost	Active_Promoter-Active_Enhancer	-0.28652176478417	0.0278185860654381	down_in_mutant	TRUE	Promoter	chr4	98546599	98547167	chr4	98540000	98550000	chr4	98920000	98930000
3	23815	1	Active_Enhancer	Active_Enhancer	Activity_Lost	Active_Enhancer-Active_Enhancer	-0.288277725952336	0.000396754917439651	down_in_mutant	TRUE	Enhancer	chr4	98546599	98547167	chr4	98540000	98550000	chr4	98620000	98630000
3	23871	1	Other	Active_Enhancer	Activity_Lost	Active_Enhancer-Other	0.04898469407427	0.742853377485365	unchanged	FALSE	Structural	chr4	98546599	98547167	chr4	98540000	98550000	chr4	98880000	98890000
3	11905	1	Active_Enhancer	Active_Enhancer	Activity_Lost	Active_Enhancer-Active_Enhancer	0.214415485311745	0.0557435888805888	unchanged	FALSE	Enhancer	chr4	98546599	98547167	chr4	98545000	98550000	chr4	98700000	98705000
3	11907	1	Active_Enhancer	Active_Enhancer	Activity_Lost	Active_Enhancer-Active_Enhancer	-0.496349737351213	0.00159371574478125	down_in_mutant	TRUE	Enhancer	chr4	98546599	98547167	chr4	98545000	98550000	chr4	98635000	98640000
3	12146	1	Poised_Enhancer	Active_Enhancer	Activity_Lost	Active_Enhancer-Poised_Enhancer	-0.194805617013526	0.112191953514374	unchanged	FALSE	Enhancer	chr4	98546599	98547167	chr4	98545000	98550000	chr4	98585000	98590000
5	2434	1	Active_Enhancer	Active_Enhancer	Activity_Lost	Active_Enhancer-Active_Enhancer	-0.398789845490994	0.000162066020825293	down_in_mutant	TRUE	Enhancer	chr17	88335969	88336501	chr17	88330000	88340000	chr17	88500000	88510000
5	19493	1	Active_Promoter	Active_Enhancer	Activity_Lost	Active_Promoter-Active_Enhancer	-0.243696429789745	0.00380795197372977	down_in_mutant	TRUE	Promoter	chr17	88335969	88336501	chr17	88330000	88340000	chr17	88440000	88450000
5	2428	1	Other	Active_Enhancer	Activity_Lost	Active_Enhancer-Other	-0.195614412244734	0.140274440693869	unchanged	FALSE	Structural	chr17	88335969	88336501	chr17	88335000	88340000	chr17	88385000	88390000
7	32292	1	Active_Enhancer	Active_Enhancer	Activity_Lost	Active_Enhancer-Active_Enhancer	-0.113921016859156	0.170847621307279	unchanged	FALSE	Enhancer	chr10	108868029	108868639	chr10	108850000	108875000	chr10	109675000	109700000
7	38690	1	Poised_Enhancer	Active_Enhancer	Activity_Lost	Active_Enhancer-Poised_Enhancer	-0.201726954622103	0.0142206055709028	down_in_mutant	TRUE	Enhancer	chr10	108868029	108868639	chr10	108850000	108875000	chr10	109700000	109725000
7	24155	1	Active_Promoter	Active_Enhancer	Activity_Lost	Active_Promoter-Active_Enhancer	-0.276805587395307	0.00326328798687383	down_in_mutant	TRUE	Promoter	chr10	108868029	108868639	chr10	108860000	108870000	chr10	109000000	109010000
9	35740	1	Other	Active_Enhancer	Activity_Lost	Active_Enhancer-Other	-0.00563390775784066	0.95190082879346	unchanged	FALSE	Structural	chr4	98549580	98549779	chr4	98525000	98550000	chr4	98875000	98900000
9	37667	1	Other	Active_Enhancer	Activity_Lost	Active_Enhancer-Other	-0.10643708268135	0.0825648614117298	unchanged	FALSE	Structural	chr4	98549580	98549779	chr4	98525000	98550000	chr4	98700000	98725000
9	19890	1	Active_Enhancer	Active_Enhancer	Activity_Lost	Active_Enhancer-Active_Enhancer	-0.359587615689042	3.92342140348747e-05	down_in_mutant	TRUE	Enhancer	chr4	98549580	98549779	chr4	98540000	98550000	chr4	98660000	98670000
9	19938	1	Active_Promoter	Active_Enhancer	Activity_Lost	Active_Promoter-Active_Enhancer	-0.28652176478417	0.0278185860654381	down_in_mutant	TRUE	Promoter	chr4	98549580	98549779	chr4	98540000	98550000	chr4	98920000	98930000
9	23815	1	Active_Enhancer	Active_Enhancer	Activity_Lost	Active_Enhancer-Active_Enhancer	-0.288277725952336	0.000396754917439651	down_in_mutant	TRUE	Enhancer	chr4	98549580	98549779	chr4	98540000	98550000	chr4	98620000	98630000
9	23871	1	Other	Active_Enhancer	Activity_Lost	Active_Enhancer-Other	0.04898469407427	0.742853377485365	unchanged	FALSE	Structural	chr4	98549580	98549779	chr4	98540000	98550000	chr4	98880000	98890000
9	11905	1	Active_Enhancer	Active_Enhancer	Activity_Lost	Active_Enhancer-Active_Enhancer	0.214415485311745	0.0557435888805888	unchanged	FALSE	Enhancer	chr4	98549580	98549779	chr4	98545000	98550000	chr4	98700000	98705000
9	11907	1	Active_Enhancer	Active_Enhancer	Activity_Lost	Active_Enhancer-Active_Enhancer	-0.496349737351213	0.00159371574478125	down_in_mutant	TRUE	Enhancer	chr4	98549580	98549779	chr4	98545000	98550000	chr4	98635000	98640000
9	12146	1	Poised_Enhancer	Active_Enhancer	Activity_Lost	Active_Enhancer-Poised_Enhancer	-0.194805617013526	0.112191953514374	unchanged	FALSE	Enhancer	chr4	98549580	98549779	chr4	98545000	98550000	chr4	98585000	98590000
10	32292	1	Active_Enhancer	Active_Enhancer	Activity_Lost	Active_Enhancer-Active_Enhancer	-0.113921016859156	0.170847621307279	unchanged	FALSE	Enhancer	chr10	108867273	108867562	chr10	108850000	108875000	chr10	109675000	109700000
10	38690	1	Poised_Enhancer	Active_Enhancer	Activity_Lost	Active_Enhancer-Poised_Enhancer	-0.201726954622103	0.0142206055709028	down_in_mutant	TRUE	Enhancer	chr10	108867273	108867562	chr10	108850000	108875000	chr10	109700000	109725000
10	24155	1	Active_Promoter	Active_Enhancer	Activity_Lost	Active_Promoter-Active_Enhancer	-0.276805587395307	0.00326328798687383	down_in_mutant	TRUE	Promoter	chr10	108867273	108867562	chr10	108860000	108870000	chr10	109000000	109010000
20	26584	1	Active_Enhancer	Active_Promoter	Activity_Lost	Active_Promoter-Active_Enhancer	-0.346243884669451	0.0145340454712076	down_in_mutant	TRUE	Enhancer	chr4	3692233	3692423	chr4	3675000	3700000	chr4	6425000	6450000
20	30939	1	Bivalent_Promoter	Active_Promoter	Activity_Lost	Active_Promoter-Bivalent_Promoter	0.0236505775644995	0.7991176065685	unchanged	FALSE	Promoter	chr4	3692233	3692423	chr4	3675000	3700000	chr4	3925000	3950000
21	32590	1	Active_Promoter	Active_Enhancer	Activity_Lost	Active_Promoter-Active_Enhancer	-0.31451819543014	0.000166453345617279	down_in_mutant	TRUE	Promoter	chr14	105730841	105731003	chr14	105725000	105750000	chr14	105875000	105900000
21	4155	1	Other	Active_Enhancer	Activity_Lost	Active_Enhancer-Other	-0.173248426212215	0.0190760321881513	down_in_mutant	TRUE	Structural	chr14	105730841	105731003	chr14	105730000	105740000	chr14	105780000	105790000
21	6594	1	Active_Promoter	Active_Enhancer	Activity_Lost	Active_Promoter-Active_Enhancer	-0.395182271087771	0.000348802559303348	down_in_mutant	TRUE	Promoter	chr14	105730841	105731003	chr14	105730000	105740000	chr14	105890000	105900000
22	26529	1	Active_Enhancer	Active_Enhancer	Activity_Lost	Active_Enhancer-Active_Enhancer	0.0131299216037331	0.860365875639902	unchanged	FALSE	Enhancer	chr4	104455717	104456168	chr4	104450000	104475000	chr4	104625000	104650000
22	26588	1	Active_Enhancer	Active_Enhancer	Activity_Lost	Active_Enhancer-Active_Enhancer	-0.145662094034516	0.477352163630676	unchanged	FALSE	Enhancer	chr4	104455717	104456168	chr4	104450000	104475000	chr4	106950000	106975000
22	762	1	Active_Enhancer	Active_Enhancer	Activity_Lost	Active_Enhancer-Active_Enhancer	-0.0474608988021255	0.665909154865227	unchanged	FALSE	Enhancer	chr4	104455717	104456168	chr4	104450000	104460000	chr4	104640000	104650000
22	11937	1	Active_Enhancer	Active_Enhancer	Activity_Lost	Active_Enhancer-Active_Enhancer	-0.0610700551366872	0.446141371408655	unchanged	FALSE	Enhancer	chr4	104455717	104456168	chr4	104450000	104460000	chr4	104520000	104530000
26	10192	1	Active_Enhancer	Active_Enhancer	Activity_Lost	Active_Enhancer-Active_Enhancer	-0.280824694192248	0.0012040204723109	down_in_mutant	TRUE	Enhancer	chr18	33606526	33606815	chr18	33600000	33610000	chr18	33760000	33770000
28	31952	1	Active_Enhancer	Active_Enhancer	Activity_Lost	Active_Enhancer-Active_Enhancer	-0.284836892401515	0.000519158010654166	down_in_mutant	TRUE	Enhancer	chr3	123967255	123967694	chr3	123950000	123975000	chr3	124250000	124275000
31	26870	1	Active_Promoter	Poised_Enhancer	Activity_Lost	Active_Promoter-Poised_Enhancer	-0.287294391757701	0.0285529496751027	down_in_mutant	TRUE	Promoter	chr8	57842982	57843382	chr8	57825000	57850000	chr8	60975000	61000000
31	22802	1	Active_Enhancer	Poised_Enhancer	Activity_Lost	Active_Enhancer-Poised_Enhancer	-0.470627169463097	0.000192316425977814	down_in_mutant	TRUE	Enhancer	chr8	57842982	57843382	chr8	57840000	57850000	chr8	57940000	57950000
35	10144	1	Active_Enhancer	Active_Enhancer	Activity_Lost	Active_Enhancer-Active_Enhancer	-0.15929415149164	0.0639234157235283	unchanged	FALSE	Enhancer	chr18	33562192	33562589	chr18	33560000	33570000	chr18	33760000	33770000
36	30172	1	Active_Promoter	Active_Enhancer	Activity_Lost	Active_Promoter-Active_Enhancer	-0.126833581137759	0.0842462657359974	unchanged	FALSE	Promoter	chr8	57565169	57565334	chr8	57550000	57575000	chr8	57650000	57675000
36	38012	1	Active_Enhancer	Active_Enhancer	Activity_Lost	Active_Enhancer-Active_Enhancer	-0.0859293288060953	0.14996319339161	unchanged	FALSE	Enhancer	chr8	57565169	57565334	chr8	57550000	57575000	chr8	57775000	57800000
37	18525	1	Active_Enhancer	Active_Promoter	Activity_Lost	Active_Promoter-Active_Enhancer	-0.255575941881639	0.0035856395306913	down_in_mutant	TRUE	Enhancer	chr12	29533127	29533529	chr12	29525000	29550000	chr12	29875000	29900000
37	28350	1	Active_Enhancer	Active_Promoter	Activity_Lost	Active_Promoter-Active_Enhancer	-0.290827643517164	0.120325758661454	unchanged	FALSE	Enhancer	chr12	29533127	29533529	chr12	29525000	29550000	chr12	31900000	31925000
37	30453	1	Active_Promoter	Active_Promoter	Activity_Lost	Active_Promoter-Active_Promoter	0.123081493041254	0.48047968895456	unchanged	FALSE	Promoter	chr12	29533127	29533529	chr12	29525000	29550000	chr12	30900000	30925000
37	33551	1	Active_Enhancer	Active_Promoter	Activity_Lost	Active_Promoter-Active_Enhancer	-0.315653377596984	0.000900428840094074	down_in_mutant	TRUE	Enhancer	chr12	29533127	29533529	chr12	29525000	29550000	chr12	29850000	29875000
38	28137	1	Active_Promoter	Other	Activity_Lost	Active_Promoter-Other	-0.0544805352924175	0.761903846066887	unchanged	FALSE	Promoter	chr9	75789940	75790247	chr9	75775000	75800000	chr9	77900000	77925000
38	7321	1	Active_Promoter	Active_Enhancer	Activity_Lost	Active_Promoter-Active_Enhancer	-0.561141832541381	4.28184678644197e-06	down_in_mutant	TRUE	Promoter	chr9	75789940	75790247	chr9	75780000	75790000	chr9	76010000	76020000
38	22924	1	Poised_Enhancer	Active_Enhancer	Activity_Lost	Active_Enhancer-Poised_Enhancer	-0.589974085367456	1.898274647806e-06	down_in_mutant	TRUE	Enhancer	chr9	75789940	75790247	chr9	75780000	75790000	chr9	75880000	75890000
39	25824	1	Active_Promoter	Active_Promoter	Activity_Lost	Active_Promoter-Active_Promoter	-0.31261549928001	0.0150711123659538	down_in_mutant	TRUE	Promoter	chr8	57498920	57499544	chr8	57475000	57500000	chr8	60625000	60650000
39	31229	1	Active_Enhancer	Active_Promoter	Activity_Lost	Active_Promoter-Active_Enhancer	-0.467350341409516	0.00138774376618772	down_in_mutant	TRUE	Enhancer	chr8	57498920	57499544	chr8	57475000	57500000	chr8	58525000	58550000
