#TAD name (cmd=getDiffExpression.pl BAP1.tad.scores.txt ctrl ctrl ctrl mut mut mut)	chr1	start1	end1	chr2	start2	end2	color	InclustionRatio(IR)	Length	/expanse/lustre/projects/csd940/ctea/homer/250831_bams/split_bams/tags/ctrl_M1/tagdirs IR	/expanse/lustre/projects/csd940/ctea/homer/250831_bams/split_bams/tags/ctrl_M2/tagdirs IR	/expanse/lustre/projects/csd940/ctea/homer/250831_bams/split_bams/tags/ctrl_M3/tagdirs IR	/expanse/lustre/projects/csd940/ctea/homer/250831_bams/split_bams/tags/mut_M1/tagdirs IR	/expanse/lustre/projects/csd940/ctea/homer/250831_bams/split_bams/tags/mut_M2/tagdirs IR	/expanse/lustre/projects/csd940/ctea/homer/250831_bams/split_bams/tags/mut_M3/tagdirs IR	ctrl vs. mut Difference	ctrl vs. mut p-value	ctrl vs. mut adj. p-value
chr12:80148000-80414998	chr12	80148000	80414998	chr12	80148000	80414998	255,255,0	2.317000	266998	2.251264	2.265196	2.250681	2.361578	2.499549	2.351499	0.148495	0.0247676212741205	0.234669428811763
chr6:112398000-112490998	chr6	112398000	112490998	chr6	112398000	112490998	255,255,0	1.669000	92998	1.636921	1.643361	1.544466	1.589960	1.871801	1.646114	0.0943756666666663	0.277968483213052	0.56940334429674
chr1:176706000-176870998	chr1	176706000	176870998	chr1	176706000	176870998	255,255,0	2.956000	164998	3.128891	2.976861	2.928699	3.093154	3.326210	2.956349	0.113754	0.306990558332938	0.591046989871917
chr1:19917000-19976998	chr1	19917000	19976998	chr1	19917000	19976998	255,255,0	1.500000	59998	1.235306	1.417659	1.261245	1.514461	1.425487	1.500072	0.17527	0.0248369611895684	0.234669428811763
chr1:92913000-93827998	chr1	92913000	93827998	chr1	92913000	93827998	255,255,0	2.376000	914998	2.599529	2.570271	2.483524	2.366187	2.636233	2.395689	-0.0850716666666671	0.325888377858041	0.609269575995468
chr6:60963000-61316998	chr6	60963000	61316998	chr6	60963000	61316998	255,255,0	2.787000	353998	2.787166	2.709631	2.629685	2.742428	2.858962	2.704897	0.0599349999999996	0.364961744409203	0.641278133950771
chr3:35670000-36086998	chr3	35670000	36086998	chr3	35670000	36086998	255,255,0	2.007000	416998	1.999597	2.044044	2.020399	2.006667	1.923259	2.025534	-0.0361933333333334	0.438171882539341	0.696735860860112
chr2:82047000-83348998	chr2	82047000	83348998	chr2	82047000	83348998	255,255,0	2.401000	1301998	2.244709	2.242242	2.181825	2.389942	2.638920	2.394602	0.251562666666667	0.0132924841664318	0.211962299309956
chr16:13110000-13421998	chr16	13110000	13421998	chr16	13110000	13421998	255,255,0	2.523000	311998	2.523115	2.449828	2.444989	2.558605	2.774772	2.544448	0.153297666666666	0.0693452213509572	0.33535948957514
chr8:71733000-72134998	chr8	71733000	72134998	chr8	71733000	72134998	255,255,0	1.947000	401998	1.998235	1.943864	1.924538	1.983769	1.967111	1.876083	-0.0132246666666669	0.786681645296898	0.906746645378936
chr1:193326000-193385998	chr1	193326000	193385998	chr1	193326000	193385998	255,255,0	2.299000	59998	2.313854	2.286945	2.224386	2.226029	2.447581	2.160818	0.00308099999999963	0.970051825623868	0.988759132827543
chr5:117099000-117503998	chr5	117099000	117503998	chr5	117099000	117503998	255,255,0	2.368000	404998	2.428952	2.368300	2.279107	2.406024	2.504618	2.247096	0.027126333333333	0.73303146040705	0.879339948917701
chr6:112485000-112694998	chr6	112485000	112694998	chr6	112485000	112694998	255,255,0	1.896000	209998	1.896237	1.864162	1.839636	1.989595	2.006841	1.847197	0.0811993333333332	0.18104444218359	0.475968652662973
chr7:86724000-87065998	chr7	86724000	87065998	chr7	86724000	87065998	255,255,0	2.021000	341998	2.002992	2.021206	1.883074	1.323947	1.433905	1.325557	-0.607954333333334	2.04221742347731e-05	0.098788109604761
chr2:96309000-97634998	chr2	96309000	97634998	chr2	96309000	97634998	255,255,0	2.122000	1325998	1.952492	2.122376	2.050893	2.089727	1.993331	2.035540	-0.0023876666666667	0.96745594874732	0.987905324650043
chr16:33813000-33959998	chr16	33813000	33959998	chr16	33813000	33959998	255,255,0	2.724000	146998	2.863978	2.944272	2.739519	2.781605	2.978381	2.724233	-0.0211833333333337	0.807809578167149	0.914508210535501
chr6:27648000-28154998	chr6	27648000	28154998	chr6	27648000	28154998	255,255,0	2.005000	506998	1.929636	1.956213	1.977673	2.012146	2.078436	1.990026	0.0723619999999996	0.131852540685781	0.423430247746616
chr3:107349000-107471998	chr3	107349000	107471998	chr3	107349000	107471998	255,255,0	2.786000	122998	2.895346	2.953920	2.785650	2.792672	3.103153	2.790995	0.0173013333333332	0.862817858918672	0.945967548866323
chr14:114846000-114920998	chr14	114846000	114920998	chr14	114846000	114920998	255,255,0	1.880000	74998	1.516641	1.879563	1.715309	1.723884	1.761474	1.791667	0.0551706666666665	0.562105462632941	0.774734755788148
chr3:10461000-11579998	chr3	10461000	11579998	chr3	10461000	11579998	255,255,0	1.635000	1118998	1.566494	1.540724	1.518187	1.634726	1.598603	1.601291	0.0697383333333331	0.109663093000665	0.393598186519113
