chr	start	end	log2FC_K27ac	FDR_K27ac	Conc_mut.x	Conc_K27ac	log2FC_K119ub	FDR_K119ub	Conc_mut.y	Conc_K119ub	log2FC_ATAC	FDR_ATAC	Conc_mut	Conc_ATAC	K27ac_up	K27ac_down	K119ub_up	K119ub_down	ATAC_up	ATAC_down
chr15	64830037	64830643	-0.473860609539593	0.0501343203738024	6.33419884721195	6.96297828878423	0.422722642736901	0.00697319222386525	7.51514385154156	7.0328869785751	-0.0771098428033498	0.697600341526507	6.52925175871515	6.67635631907238	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
chr16	41551849	41552320	-0.651452578417924	0.0502169722906522	5.19536878419819	6.11398186833894	0.655594265768619	0.0132048410894158	5.50005999037601	4.53287964067568	0.200486913817501	0.298688017811668	6.9366017522739	6.56254106898082	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
chr2	136674111	136674371	-0.36116702571333	0.0504690983041726	7.77908664362448	8.25549229693774	1.28708664621952	2.68589328117217e-09	6.90396174906353	5.3678645937995	0.0666284248605016	0.69570882368663	9.67384385952277	9.56248144192094	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
chr2	113327307	113328001	-0.406150489695498	0.0506943505292985	7.83199656205564	8.36761761855477	0.43324402581191	0.0214206101303202	7.95545329993091	7.43921876408257	0.0270774947995316	0.889862674548474	10.3957035126023	10.3459088159342	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
chr12	32854913	32855175	-0.542855471014423	0.0512317613714071	5.87622706729857	6.60442150559682	0.697069374643838	0.000393322422413959	6.15168709132302	5.33046682587768	0.0480909991692397	0.827201933480359	7.44417891092163	7.32164818179876	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
chr12	3761004	3761154	-0.446591308602957	0.0513383168343014	7.52358888874349	8.11245623402842	0.805114035986561	0.00256804220503618	5.99060422058877	4.86433585613372	0.175380318723632	0.373925189946634	6.45386732490682	6.12816783451698	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
chr19	21742079	21742582	-0.440944190064695	0.0516275715216889	8.40142465194191	8.98559584321128	0.585957102457051	0.00578141448406006	7.68435786398364	6.9511213787385	-0.193772431775833	0.246467388210257	10.6813738487436	10.9868028128743	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
chr2	145860060	145860853	-0.423166665916211	0.0517037148366303	7.94473399334316	8.50384884062952	0.455123300569941	0.0263344470187726	7.18642350103987	6.61975814064319	0.0161253000910226	0.935992925953966	8.91362611707665	8.88307726471174	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
chr2	106384915	106385162	-0.480181110296158	0.0517655534415194	6.88125605464689	7.52024456484396	0.731308183603846	2.12696268977978e-05	7.43081402336499	6.60077398618253	0.002069709377168	0.993200406213033	7.90047181121862	7.89101332052157	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
chr10	20006451	20006629	-0.496520635498461	0.0517666159352434	5.8302090260925	6.49808928437911	0.564692847783551	0.020520121697791	5.59403403060759	4.78713826706391	0.0492415991937145	0.826360499671571	5.87024709891115	5.72073556634013	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
chr8	31148921	31149031	-0.505718291972635	0.0517960248536387	5.23699438908459	5.91418157848344	1.39275380317182	2.98163614837105e-07	5.66436490596071	3.74305910390693	0.196333679766368	0.358800293780904	5.83582865501478	5.38329432481647	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
chr9	113432519	113433004	-0.492458202484643	0.0518211424945597	6.88623820832414	7.54669307628533	0.65942711839118	0.0023278072762376	6.86229243138434	6.0621750687558	0.0267355814467198	0.895572559628895	8.37670191630312	8.32089383673342	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
chr15	72678436	72678602	-0.612560530913056	0.0518271105297147	4.95001898971573	5.79716345824174	0.623566195769032	0.00556601933758007	6.11317893211638	5.32505435121178	-0.113592244563284	0.595612881278214	5.54126701288143	5.80516473869249	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
chr12	25871127	25871536	-0.415467630539679	0.051928213611421	7.4210272732661	7.97039979352635	0.419403472582837	0.0374149258757521	7.33094051700143	6.80693150026622	-0.0380514379008425	0.842067952854166	9.25471312032529	9.32354640352253	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
chr13	109822212	109822754	-0.373564905933775	0.0520403770356936	8.74728462362803	9.23946417950932	0.458792919731097	0.0274990108260461	7.10794780506718	6.53705404321823	0.0997965751252587	0.566991421690962	9.82305535531905	9.6471982174331	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
chr6	33507201	33507617	-0.519139117503263	0.0522017640069788	6.74134903690243	7.43741491489799	0.756315242218814	0.000101842940936399	6.74781640607018	5.86525989945186	0.197626699158716	0.255475380509237	8.63465868603959	8.30953350462864	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
