Chr	calder_bin_start	transition_category_late	ctrl_label_late	mut_label_late	mean_Difference_late	transition_category_early	ctrl_label_early	mut_label_early	mean_Difference_early	concordant
chr1	52300001	Stable	A.2	A.2	-0.402	Stable	B.1	B.1	-0.291916666666666	TRUE
chr1	52400001	Stable	A.2	A.2	-0.364666666666667	Stable	B.1	B.1	-0.342333333333333	TRUE
chr1	52500001	Stable	A.1	A.1	-0.258500000000001	Within_A_shift	A.1	A.2	-0.368333333333333	FALSE
chr1	53100001	Within_A_shift	A.1	A.2	-0.311666666666667	True_A_to_B	A.2	B.1	-0.349833333333333	FALSE
chr1	56600001	Within_B_shift	B.2	B.1	0.332416666666667	Stable	B.1	B.1	0.31825	FALSE
chr1	58100001	Stable	B.1	B.1	-0.131166666666666	Stable	A.2	A.2	0.252666666666666	TRUE
chr1	60600001	Stable	B.1	B.1	0.299	Stable	B.1	B.1	0.2925	TRUE
chr1	61000001	Within_B_shift	B.2	B.1	0.453333333333334	Within_A_shift	A.2	A.1	0.29925	FALSE
chr1	61500001	Within_B_shift	B.2	B.1	0.449833333333334	Stable	B.1	B.1	0.32925	FALSE
chr1	61600001	Within_B_shift	B.2	B.1	0.3385	Stable	B.1	B.1	0.325	FALSE
chr1	61700001	Within_B_shift	B.2	B.1	0.330916666666667	Stable	B.1	B.1	0.255333333333333	FALSE
chr1	61800001	Within_B_shift	B.2	B.1	0.503583333333333	Stable	A.2	A.2	0.285333333333333	FALSE
chr1	61900001	True_B_to_A	B.1	A.2	0.554916666666667	Stable	A.2	A.2	0.279333333333333	FALSE
chr1	62000001	Stable	B.1	B.1	0.386583333333334	Stable	A.2	A.2	0.379	TRUE
chr1	62100001	Stable	B.1	B.1	0.445333333333334	Stable	A.2	A.2	0.302333333333333	TRUE
chr1	62200001	Stable	B.1	B.1	0.404916666666667	Within_A_shift	A.2	A.1	0.301166666666667	FALSE
chr1	62500001	Within_B_shift	B.2	B.1	0.261083333333334	True_B_to_A	B.1	A.2	0.387166666666667	FALSE
chr1	125800001	Within_B_shift	B.2	B.1	0.355583333333334	Stable	A.2	A.2	0.321	FALSE
chr1	125900001	Within_B_shift	B.2	B.1	0.26025	True_B_to_A	B.1	A.2	0.459166666666667	FALSE
chr1	126100001	Within_B_shift	B.2	B.1	0.48675	True_B_to_A	B.1	A.2	0.507916666666667	FALSE
