Chr	n_total	n_any_sig	n_true_flip	n_within_shift	n_stable_sig	pct_sig	pct_true_flip_of_sig	tp	tp_label
chr1	1914	259	56	89	114	13.5	21.6	250402	late/adult
chr10	1264	124	27	36	61	9.8	21.8	250402	late/adult
chr11	1183	71	28	20	23	6	39.4	250402	late/adult
chr12	1164	101	24	39	38	8.7	23.8	250402	late/adult
chr13	1167	173	45	41	87	14.8	26	250402	late/adult
chr14	1200	159	51	44	64	13.2	32.1	250402	late/adult
chr15	1003	144	23	52	69	14.4	16	250402	late/adult
chr16	948	155	40	45	70	16.4	25.8	250402	late/adult
chr17	913	79	25	35	19	8.7	31.6	250402	late/adult
chr18	871	117	22	21	74	13.4	18.8	250402	late/adult
chr19	581	35	4	13	18	6	11.4	250402	late/adult
chr2	1771	165	50	53	62	9.3	30.3	250402	late/adult
chr3	1557	149	42	42	65	9.6	28.2	250402	late/adult
chr4	1517	155	42	49	64	10.2	27.1	250402	late/adult
chr5	1477	91	21	21	49	6.2	23.1	250402	late/adult
chr6	1457	201	43	64	94	13.8	21.4	250402	late/adult
chr7	1390	207	46	56	105	14.9	22.2	250402	late/adult
chr8	1255	175	41	54	80	13.9	23.4	250402	late/adult
chr9	1208	188	44	54	90	15.6	23.4	250402	late/adult
chr1	1914	134	21	19	94	7	15.7	250831	early/P12
chr10	1264	217	73	62	82	17.2	33.6	250831	early/P12
chr11	1185	48	11	12	25	4.1	22.9	250831	early/P12
chr12	1164	105	13	39	53	9	12.4	250831	early/P12
chr13	1167	130	24	36	70	11.1	18.5	250831	early/P12
chr14	1200	52	14	14	24	4.3	26.9	250831	early/P12
chr15	1004	59	6	22	31	5.9	10.2	250831	early/P12
chr16	946	45	18	8	19	4.8	40	250831	early/P12
chr17	916	51	20	1	30	5.6	39.2	250831	early/P12
chr18	874	136	32	22	82	15.6	23.5	250831	early/P12
chr19	580	75	24	27	24	12.9	32	250831	early/P12
chr2	1765	65	23	19	23	3.7	35.4	250831	early/P12
chr3	1558	264	67	70	127	16.9	25.4	250831	early/P12
chr4	1510	82	15	38	29	5.4	18.3	250831	early/P12
chr5	1475	17	11	1	5	1.2	64.7	250831	early/P12
chr6	1458	97	26	15	56	6.7	26.8	250831	early/P12
chr7	1389	66	24	7	35	4.8	36.4	250831	early/P12
chr8	1255	48	6	16	26	3.8	12.5	250831	early/P12
chr9	1209	174	40	50	84	14.4	23	250831	early/P12
