Chr	calder_bin_start	mean_ctrl_PC1	mean_mut_PC1	mean_Difference	n_25kb_bins	n_sig_bins	min_adj_pvalue	any_sig	dominant_homer_direction	ctrl_label	mut_label	continous_rank_ctrl	continous_rank_mut	label_changed	transition_category	iceberg_category
chr1	2900001	-0.770666666666667	-0.607333333333333	0.163333333333334	1	0	0.00108037266904308	FALSE	NA	NA	NA	NA	NA	FALSE	Uncallable	Non_significant
chr1	3000001	-1.15016666666667	-1.00933333333333	0.140833333333334	4	0	0.00018401903624857	FALSE	NA	B.2	B.1	0.148506520824569	0.367041198501873	TRUE	Within_B_shift	Non_significant
chr1	3100001	-1.12408333333334	-0.78225	0.341833333333334	4	1	2.13251077224058e-05	TRUE	B_to_A_in_Mutant	B.2	B.1	0.148506520824569	0.367041198501873	TRUE	Within_B_shift	Sig_within_shift
chr1	3200001	-0.934166666666667	-0.13175	0.802416666666667	4	4	9.74750226756007e-06	TRUE	B_to_A_in_Mutant	B.2	B.1	0.304585612116113	0.367041198501873	TRUE	Within_B_shift	Sig_within_shift
chr1	3300001	-0.676916666666667	0.330416666666667	1.00733333333333	4	4	9.74750226756007e-06	TRUE	B_to_A_in_Mutant	B.2	A.1	0.304585612116113	0.757802746566792	TRUE	True_B_to_A	Sig_true_flip
chr1	3400001	-0.4935	0.441916666666667	0.935416666666667	4	4	1.19309562803812e-05	TRUE	B_to_A_in_Mutant	A.2	A.1	0.491375683634834	0.757802746566792	TRUE	Within_A_shift	Sig_within_shift
chr1	3500001	-0.41725	0.460583333333333	0.877833333333334	4	4	1.00880572765102e-05	TRUE	B_to_A_in_Mutant	A.2	A.1	0.491375683634834	0.757802746566792	TRUE	Within_A_shift	Sig_within_shift
chr1	3600001	-0.29075	0.265166666666667	0.555916666666667	4	3	2.01789667032363e-05	TRUE	B_to_A_in_Mutant	A.2	A.1	0.491375683634834	0.757802746566792	TRUE	Within_A_shift	Sig_within_shift
chr1	3700001	-1.045	-0.875416666666666	0.169583333333334	4	0	0.00175002522107412	FALSE	NA	B.2	B.2	0.0441733277240219	0.0636704119850187	FALSE	Stable	Non_significant
chr1	3800001	-1.18283333333334	-1.10266666666667	0.0801666666666668	4	0	0.0015584502719887	FALSE	NA	B.2	B.2	0.0441733277240219	0.0636704119850187	FALSE	Stable	Non_significant
chr1	3900001	-1.17275	-1.15008333333333	0.0226666666666669	4	0	0.0389154149298356	FALSE	NA	B.2	B.2	0.0441733277240219	0.0636704119850187	FALSE	Stable	Non_significant
chr1	4000001	-1.17258333333334	-1.14958333333333	0.0230000000000002	4	0	0.156044808531829	FALSE	NA	B.2	B.2	0.0441733277240219	0.0636704119850187	FALSE	Stable	Non_significant
