#Position (bp)	insert size
3406923.0	174.70212139068946
1.0220768E7	175.50115894039735
1.7034613E7	174.71070287539936
2.3848458E7	176.87263281380928
3.0662303E7	172.9766810413672
3.7476148E7	170.86026269979428
4.4289993E7	175.11424731182797
5.1103838E7	170.94952882926052
5.7917683E7	174.7012589316094
6.4731528E7	173.079535900454
7.1545373E7	174.03628304055164
7.8359218E7	174.27151470856933
8.5173063E7	176.65403595347198
9.1986908E7	172.53048877567267
9.8800753E7	171.59348307497626
1.05614598E8	171.02169470209085
1.12428443E8	173.43298157190108
1.19242288E8	175.2795948862693
1.26056133E8	172.41509433962264
1.300790245E8	176.4054794520548
1.33485947E8	173.42163522012578
1.39683823E8	175.0424933862434
1.46497668E8	172.63323872595396
1.53311513E8	173.97543517162845
1.60125358E8	172.15771868205385
1.66939203E8	171.51504
1.73753048E8	174.01935588809368
1.80566893E8	174.7746031746032
1.87380738E8	175.20873452544706
1.94194583E8	174.46322625943478
2.01008428E8	175.2661596958175
2.07822273E8	174.2719160104987
2.14636118E8	173.4767939715705
2.21449963E8	174.68084756898818
2.28263808E8	174.52789237668162
2.35077653E8	171.6895224768235
2.41891498E8	174.32642572944297
2.48705343E8	175.1907933398629
2.52444901E8	178.78787878787878
2.558518235E8	146.0516079827126
2.62333033E8	173.110147299509
2.69146878E8	179.76450954941592
2.75960723E8	184.75695426685525
2.82774568E8	174.1014915693904
2.89588413E8	171.0790855730615
2.96402258E8	174.91283900297853
3.03216103E8	173.9208032128514
3.10029948E8	172.60853220006538
3.16843793E8	170.36706662456584
3.23657638E8	174.68649959579628
3.30471483E8	174.13931990756026
3.37285328E8	175.19423179633256
3.44099173E8	172.70042057586542
3.50913018E8	174.09927826784283
3.57726863E8	175.71792189679218
3.64540708E8	175.92386225990657
3.704270945E8	176.04185832566696
3.73834017E8	0.0
3.78168398E8	173.57249283667622
3.84982243E8	173.90279084352463
3.91796088E8	175.73915900131405
3.98609933E8	173.74029363784666
4.05423778E8	174.58947715652317
4.12237623E8	173.61744204895444
4.19051468E8	173.9418720852765
4.25865313E8	176.53040540540542
4.32679158E8	176.0778567712849
4.39493003E8	179.2112363703567
4.46306848E8	174.41980097824253
4.53120693E8	172.2537617554859
4.59934538E8	171.4141727399597
4.66748383E8	171.5669469598965
4.73562228E8	174.10906723099464
4.80376073E8	173.05773353751914
4.87189918E8	172.70143084260732
4.91962519E8	174.41072219760744
4.953694415E8	201.4189189189189
5.00817608E8	181.68293333333332
5.07631453E8	175.45964801014745
5.14445298E8	148.14590436226942
