loop_id	anchor1_coords	anchor2_coords	logFC	FDR	category	anchor1_type	anchor2_type	loop_type	other_category	anchor1_nearest_gene	anchor1_gene_distance	anchor2_nearest_gene	anchor2_gene_distance	anchor1_overlaps_CTCF	anchor2_overlaps_CTCF	loop_distance	resolution_kb
loop_17936	chr8:71190000-71200000	chr8:71810000-71820000	1.00989598387211	2.56421900049556e-05	strong_differential	Other	CTCF_Site	CTCF_Site-Other	single_other	Haus8	48560	Zfp709	62018	FALSE	FALSE	620000	10
loop_4918	chr8:49800000-49825000	chr8:57300000-57325000	1.75692245774895	0.000759372960282	strong_differential	Other	Repressed_Promoter	Repressed_Promoter-Other	single_other	Gm2516	543111	Hand2	0	FALSE	FALSE	7500000	25
loop_6571	chr4:32700000-32725000	chr4:34625000-34650000	0.51187748945053	0.0047018693821115	moderate_differential	Other	CTCF_Site	CTCF_Site-Other	single_other	Mdn1	0	Rars2	0	FALSE	FALSE	1925000	25
loop_4307	chr8:71140000-71150000	chr8:71830000-71840000	0.583222953592287	0.0053478346973716	moderate_differential	Other	Other	Other-Other	both_other	1700026F02Rik	54241	Zfp709	42018	FALSE	FALSE	690000	10
loop_8692	chr8:40180000-40190000	chr8:40380000-40390000	0.385417922933943	0.0112458667431278	weak_differential	Other	CTCF_Site	CTCF_Site-Other	single_other	Fgf20	89165	Micu3	0	TRUE	TRUE	2e+05	10
loop_7853	chr18:31675000-31700000	chr18:36600000-36625000	0.620633129979945	0.0119712780562376	moderate_differential	CTCF_Site	Other	CTCF_Site-Other	single_other	Sap130	0	Ankhd1	0	FALSE	FALSE	4925000	25
loop_40	chr8:69420000-69430000	chr8:69500000-69510000	0.589016452185087	0.0125381759837717	moderate_differential	Other	Other	Other-Other	both_other	Gm10033	24460	Zfp868	100856	FALSE	FALSE	80000	10
loop_17895	chr8:40180000-40190000	chr8:40290000-40300000	0.387391598664985	0.0125381759837717	weak_differential	Other	Polycomb	Polycomb-Other	single_other	Fgf20	89165	Fgf20	0	TRUE	TRUE	110000	10
loop_5406	chr13:59775000-59800000	chr13:100050000-100075000	0.755230892503434	0.0130435399402478	moderate_differential	CTCF_Site	Other	CTCF_Site-Other	single_other	Tut7	0	Bdp1	0	FALSE	FALSE	40275000	25
loop_19964	chr8:35500000-35525000	chr8:35825000-35850000	0.301777018801198	0.0139417069502811	weak_differential	Other	Repressed_Promoter	Repressed_Promoter-Other	single_other	Eri1	3803	Cldn23	0	FALSE	TRUE	325000	25
loop_8150	chr4:32725000-32750000	chr4:34625000-34650000	0.45895623897176	0.0143777093235225	weak_differential	Other	CTCF_Site	CTCF_Site-Other	single_other	Mdn1	0	Rars2	0	FALSE	FALSE	1900000	25
loop_6585	chr4:32700000-32725000	chr4:41000000-41025000	0.447916852652472	0.0146260318761259	weak_differential	Other	CTCF_Site	CTCF_Site-Other	single_other	Mdn1	0	Nfx1	0	FALSE	FALSE	8300000	25
loop_7417	chr11:84300000-84325000	chr11:87025000-87050000	0.469651237875856	0.014939203019758	weak_differential	Other	CTCF_Site	CTCF_Site-Other	single_other	Acaca	0	Gdpd1	0	FALSE	FALSE	2725000	25
loop_4080	chr5:15540000-15550000	chr5:15590000-15600000	0.459325147918567	0.0164014095997052	weak_differential	CTCF_Site	Other	CTCF_Site-Other	single_other	Gm21190	10777	Gm21083	7921	FALSE	FALSE	50000	10
loop_17706	chr10:56370000-56380000	chr10:57180000-57190000	0.375262567986718	0.0180706558798058	weak_differential	Other	CTCF_Site	CTCF_Site-Other	single_other	Gja1	0	4930467K11Rik	288380	TRUE	FALSE	810000	10
loop_4884	chr8:38650000-38675000	chr8:39000000-39025000	0.366895361704927	0.0198980828799264	weak_differential	Other	Active_Promoter	Active_Promoter-Other	single_other	Sgcz	0	Tusc3	0	TRUE	FALSE	350000	25
loop_19978	chr8:71125000-71150000	chr8:72050000-72075000	0.322696976619866	0.0203861789965565	weak_differential	CTCF_Site	Other	CTCF_Site-Other	single_other	1700026F02Rik	39241	Or2z8	0	FALSE	FALSE	925000	25
loop_4540	chr4:32750000-32775000	chr4:34625000-34650000	0.432076375592215	0.0239805708872319	weak_differential	Other	CTCF_Site	CTCF_Site-Other	single_other	Mdn1	0	Rars2	0	FALSE	FALSE	1875000	25
loop_3291	chr3:35825000-35850000	chr3:36975000-37000000	0.407124621294818	0.0244189885990721	weak_differential	CTCF_Site	Other	CTCF_Site-Other	single_other	Atp11b	0	Bltp1	0	FALSE	FALSE	1150000	25
loop_3951	chr12:51400000-51425000	chr12:55675000-55700000	0.328589988286789	0.0295775368310501	weak_differential	CTCF_Site	Other	CTCF_Site-Other	single_other	Scfd1	0	Ralgapa1	0	FALSE	FALSE	4275000	25
