loop_id	chr1	start1	end1	chr2	start2	end2	logFC	logCPM	FDR	PValue	significant	resolution_kb	n_overlaps	loop_distance	loop_type	direction	category	anchor1_H3K27ac_overlap	anchor1_H3K27me3_overlap	anchor1_H3K4me1_overlap	anchor1_H3K4me3_overlap	anchor1_Bivalent_Promoter_overlap	anchor1_CTCF_overlap	anchor1_CTCF_motif_overlap	anchor2_H3K27ac_overlap	anchor2_H3K27me3_overlap	anchor2_H3K4me1_overlap	anchor2_H3K4me3_overlap	anchor2_Bivalent_Promoter_overlap	anchor2_CTCF_overlap	anchor2_CTCF_motif_overlap	anchor1_distance_to_tss_ext	anchor2_distance_to_tss_ext	anchor1_type_extended	anchor2_type_extended	loop_type_extended	other_category	anchor1_overlaps_CTCF	anchor2_overlaps_CTCF	anchor1_nearest_gene	anchor1_gene_distance	anchor2_nearest_gene	anchor2_gene_distance
loop_17936	chr8	71190000	71200000	chr8	71810000	71820000	1.00989598387211	5.29795817296899	2.56421900049556e-05	2.22678875374074e-09	TRUE	10	1	620000	Other-Other	up_in_mutant	strong_differential	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	72713	62018	Other	CTCF_Site	CTCF_Site-Other	single_other	FALSE	FALSE	Haus8	48560	Zfp709	62018
loop_4918	chr8	49800000	49825000	chr8	57300000	57325000	1.75692245774895	1.66394932200179	0.000759372960282	7.44815454412946e-08	TRUE	25	1	7500000	Poised_Enhancer-Other	up_in_mutant	strong_differential	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	543111	0	Other	Repressed_Promoter	Repressed_Promoter-Other	single_other	FALSE	FALSE	Gm2516	543111	Hand2	0
loop_6571	chr4	32700000	32725000	chr4	34625000	34650000	0.51187748945053	4.09474933492305	0.0047018693821115	5.15187441229887e-06	TRUE	25	1	1925000	Other-Other	up_in_mutant	moderate_differential	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	42880	10042	Other	CTCF_Site	CTCF_Site-Other	single_other	FALSE	FALSE	Mdn1	0	Rars2	0
loop_4307	chr8	71140000	71150000	chr8	71830000	71840000	0.583222953592287	5.75113265495581	0.0053478346973716	1.02447615889885e-06	TRUE	10	1	690000	Other-Other	up_in_mutant	moderate_differential	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	54241	42018	Other	Other	Other-Other	both_other	FALSE	FALSE	1700026F02Rik	54241	Zfp709	42018
loop_7853	chr18	31675000	31700000	chr18	36600000	36625000	0.620633129979945	2.73284795499864	0.0119712780562376	2.68043479892891e-05	TRUE	25	1	4925000	Other-Other	up_in_mutant	moderate_differential	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	40628	39059	CTCF_Site	Other	CTCF_Site-Other	single_other	FALSE	FALSE	Sap130	0	Ankhd1	0
loop_40	chr8	69420000	69430000	chr8	69500000	69510000	0.589016452185087	7.68831282794265	0.0125381759837717	9.85543323192625e-06	TRUE	10	1	80000	Poised_Enhancer-Other	up_in_mutant	moderate_differential	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	24460	104460	Other	Other	Other-Other	both_other	FALSE	FALSE	Gm10033	24460	Zfp868	100856
loop_5406	chr13	59775000	59800000	chr13	100050000	100075000	0.755230892503434	1.29073704436998	0.0130435399402478	3.11951890889894e-05	TRUE	25	1	40275000	Poised_Enhancer-Other	up_in_mutant	moderate_differential	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	5189	29069	CTCF_Site	Other	CTCF_Site-Other	single_other	FALSE	FALSE	Tut7	0	Bdp1	0
loop_19964	chr8	35500000	35525000	chr8	35825000	35850000	0.301777018801198	5.54851534994461	0.0139417069502811	4.01649084857151e-05	TRUE	25	1	325000	Promoter-Other	up_in_mutant	weak_differential	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	3803	0	Other	Repressed_Promoter	Repressed_Promoter-Other	single_other	FALSE	TRUE	Eri1	3803	Cldn23	0
loop_8150	chr4	32725000	32750000	chr4	34625000	34650000	0.45895623897176	3.98915209927405	0.0143777093235225	4.86311925096516e-05	TRUE	25	1	1900000	Other-Other	up_in_mutant	weak_differential	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	50252	10042	Other	CTCF_Site	CTCF_Site-Other	single_other	FALSE	FALSE	Mdn1	0	Rars2	0
loop_6585	chr4	32700000	32725000	chr4	41000000	41025000	0.447916852652472	3.07944859449395	0.0146260318761259	5.15614481841415e-05	TRUE	25	1	8300000	Other-Other	up_in_mutant	weak_differential	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	42880	6304	Other	CTCF_Site	CTCF_Site-Other	single_other	FALSE	FALSE	Mdn1	0	Nfx1	0
loop_7417	chr11	84300000	84325000	chr11	87025000	87050000	0.469651237875856	3.10781045395617	0.014939203019758	5.44172438854407e-05	TRUE	25	1	2725000	Other-Other	up_in_mutant	weak_differential	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	132523	24061	Other	CTCF_Site	CTCF_Site-Other	single_other	FALSE	FALSE	Acaca	0	Gdpd1	0
loop_4080	chr5	15540000	15550000	chr5	15590000	15600000	0.459325147918567	7.24316347898712	0.0164014095997052	1.94341208136465e-05	TRUE	10	1	50000	Other-Other	up_in_mutant	weak_differential	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	10777	12666	CTCF_Site	Other	CTCF_Site-Other	single_other	FALSE	FALSE	Gm21190	10777	Gm21083	7921
loop_19978	chr8	71125000	71150000	chr8	72050000	72075000	0.322696976619866	4.69298993790398	0.0203861789965565	0.0001048881583358	TRUE	25	1	925000	Other-Other	up_in_mutant	weak_differential	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	39241	0	CTCF_Site	Other	CTCF_Site-Other	single_other	FALSE	FALSE	1700026F02Rik	39241	Or2z8	0
loop_4540	chr4	32750000	32775000	chr4	34625000	34650000	0.432076375592215	3.77560584234281	0.0239805708872319	0.0001382330083061	TRUE	25	1	1875000	Other-Other	up_in_mutant	weak_differential	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	25252	10042	Other	CTCF_Site	CTCF_Site-Other	single_other	FALSE	FALSE	Mdn1	0	Rars2	0
loop_3291	chr3	35825000	35850000	chr3	36975000	37000000	0.407124621294818	4.08687345041073	0.0244189885990721	0.0001447933470984	TRUE	25	1	1150000	Poised_Enhancer-Other	up_in_mutant	weak_differential	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	70865	63526	CTCF_Site	Other	CTCF_Site-Other	single_other	FALSE	FALSE	Atp11b	0	Bltp1	0
