anchor_id	loop_id	anchor
chr8:69420000-69430000	loop_40	anchor1
chr8:71140000-71150000	loop_4307	anchor1
chr8:40180000-40190000	loop_8692	anchor1
chr10:56370000-56380000	loop_17706	anchor1
chr8:40180000-40190000	loop_17895	anchor1
chr8:71190000-71200000	loop_17936	anchor1
chr4:32750000-32775000	loop_4540	anchor1
chr8:38650000-38675000	loop_4884	anchor1
chr8:49800000-49825000	loop_4918	anchor1
chr4:32700000-32725000	loop_6571	anchor1
chr4:32700000-32725000	loop_6585	anchor1
chr11:84300000-84325000	loop_7417	anchor1
chr4:32725000-32750000	loop_8150	anchor1
chr8:35500000-35525000	loop_19964	anchor1
chr8:69500000-69510000	loop_40	anchor2
chr5:15590000-15600000	loop_4080	anchor2
chr8:71830000-71840000	loop_4307	anchor2
chr3:36975000-37000000	loop_3291	anchor2
chr12:55675000-55700000	loop_3951	anchor2
chr13:100050000-100075000	loop_5406	anchor2
chr18:36600000-36625000	loop_7853	anchor2
chr8:72050000-72075000	loop_19978	anchor2
