loop_id	chr1	start1	end1	chr2	start2	end2	coord_string	shift_status	logFC	logCPM	F	PValue	FDR	significant	exploratory	category	direction	plot_color	resolution	resolution_kb	n_resolutions_detected	resolutions_list	is_multi_resolution	FDR_5kb	FDR_10kb	FDR_25kb	logFC_5kb	logFC_10kb	logFC_25kb	kept_from_resolution	n_overlaps	is_merged
loop_20474	chr8	33600000	33610000	chr8	33650000	33660000	chr8:33600000-33610000_chr8:33650000-33660000	FALSE	0.044929834092316	6.53133154986962	0.750004733158032	0.396749450030287	0.601331148060795	FALSE	FALSE	non_significant	unchanged	NA	10000	10	2	5kb,10kb	TRUE	0.975035583973847	0.601331148060795	NA	-0.00515414785114094	0.044929834092316	NA	10	2	TRUE
loop_27	chr8	35855000	35860000	chr8	35900000	35905000	chr8:35855000-35860000_chr8:35900000-35905000	TRUE	0.105139515023209	5.80592085204132	1.60536101040992	0.222643689834779	0.476361107429243	FALSE	FALSE	non_significant	unchanged	NA	5000	5	1	5kb	FALSE	0.476361107429243	NA	NA	0.105139515023209	NA	NA	5	1	FALSE
loop_28	chr8	33650000	33655000	chr8	33745000	33750000	chr8:33650000-33655000_chr8:33745000-33750000	TRUE	0.0551018213181348	5.38964755460408	0.426343207533008	0.522735118311068	0.745426082273562	FALSE	FALSE	non_significant	unchanged	NA	5000	5	1	5kb	FALSE	0.745426082273562	NA	NA	0.0551018213181348	NA	NA	5	1	FALSE
loop_12	chr8	41050000	41060000	chr8	41130000	41140000	chr8:41050000-41060000_chr8:41130000-41140000	TRUE	0.101971888148943	5.65293183952258	2.08310802453486	0.164424350732264	0.351260327144855	FALSE	FALSE	non_significant	unchanged	NA	10000	10	2	5kb,10kb	TRUE	0.988529100625468	0.351260327144855	NA	-0.00323505029049163	0.101971888148943	NA	10	2	TRUE
loop_51	chr8	35475000	35480000	chr8	35850000	35855000	chr8:35475000-35480000_chr8:35850000-35855000	TRUE	0.316811878534467	4.37957144250445	5.11129432713492	0.0375256242227061	0.173734751486277	FALSE	FALSE	non_significant	unchanged	NA	5000	5	1	5kb	FALSE	0.173734751486277	NA	NA	0.316811878534467	NA	NA	5	1	FALSE
loop_7521	chr8	31090000	31100000	chr8	31140000	31150000	chr8:31090000-31100000_chr8:31140000-31150000	FALSE	-0.175314936960726	6.78670707313564	14.6694430058795	0.00104709387978643	0.0115881802872012	TRUE	TRUE	weak_differential	down_in_mutant	NA	10000	10	2	5kb,10kb	TRUE	0.0303670349631462	0.0115881802872012	NA	-0.232408497834075	-0.175314936960726	NA	10	3	TRUE
loop_1049	chr8	40755000	40760000	chr8	40795000	40800000	chr8:40755000-40760000_chr8:40795000-40800000	FALSE	0.189882907599399	6.46199220828045	3.87127179353976	0.0660691754230056	0.24069204061112	FALSE	FALSE	non_significant	unchanged	NA	5000	5	1	5kb	FALSE	0.24069204061112	NA	NA	0.189882907599399	NA	NA	5	1	FALSE
loop_1794	chr8	40295000	40300000	chr8	40340000	40345000	chr8:40295000-40300000_chr8:40340000-40345000	FALSE	0.0723388671163341	6.39732562366015	1.2220308295354	0.284736564436351	0.546120670665539	FALSE	FALSE	non_significant	unchanged	NA	5000	5	1	5kb	FALSE	0.546120670665539	NA	NA	0.0723388671163341	NA	NA	5	1	FALSE
loop_1795	chr8	36095000	36100000	chr8	36140000	36145000	chr8:36095000-36100000_chr8:36140000-36145000	TRUE	0.174604298131796	6.10927999808449	3.15202152895421	0.0941789053326666	0.295099516793378	FALSE	FALSE	non_significant	unchanged	NA	5000	5	1	5kb	FALSE	0.295099516793378	NA	NA	0.174604298131796	NA	NA	5	1	FALSE
loop_1815	chr8	41070000	41075000	chr8	41130000	41135000	chr8:41070000-41075000_chr8:41130000-41135000	FALSE	0.102564785052424	6.08035150831437	1.22242740241617	0.284661164496599	0.546120670665539	FALSE	FALSE	non_significant	unchanged	NA	5000	5	1	5kb	FALSE	0.546120670665539	NA	NA	0.102564785052424	NA	NA	5	1	FALSE
loop_1816	chr8	35960000	35965000	chr8	36005000	36010000	chr8:35960000-35965000_chr8:36005000-36010000	FALSE	0.0461233883957057	6.17655306671391	0.226752823053254	0.640152784478127	0.822171799906126	FALSE	FALSE	non_significant	unchanged	NA	5000	5	1	5kb	FALSE	0.822171799906126	NA	NA	0.0461233883957057	NA	NA	5	1	FALSE
loop_8164	chr8	40175000	40200000	chr8	40275000	40300000	chr8:40175000-40200000_chr8:40275000-40300000	FALSE	0.143642051354567	7.11706742281276	7.54227398208106	0.0159892321691154	0.0628295815422108	FALSE	TRUE	trending	unchanged	NA	25000	25	2	5kb,25kb	TRUE	0.546296908526123	NA	0.0628295815422108	0.15398907651391	NA	0.143642051354567	25	2	TRUE
