chr	pos1	pos2	chr2	pos3	pos4	length	width	Mean	maxpixel	pvalue	Stripiness
chr7	37340001	37360000	chr7	35530001	37360000	1830000	20000	9.208931389791935	96.0%	0.0535	18.487801889818613
chr7	72385001	72415000	chr7	72385001	73490000	1105000	30000	14.305825921470477	98.0%	0.032	16.310654630774323
chr9	68000001	68025000	chr9	68000001	69360000	1360000	25000	13.591710644215004	97.0%	0.009	15.645487878178368
chrX	99130001	99155000	chrX	99130001	99590000	460000	25000	14.682958045276536	99.0%	0.0345	15.29395783276544
chr1	177680001	177705000	chr1	176860001	177705000	845000	25000	20.382759712884557	98.0%	0.011	15.089339390442248
chr15	40155001	40180000	chr15	40155001	41090000	935000	25000	17.109668036396222	98.0%	0.007	14.833129277935399
chr7	74340001	74360000	chr7	73625001	74360000	735000	20000	19.351904607113386	97.0%	0.012	13.412815714368543
chr4	81555001	81585000	chr4	81555001	82625000	1070000	30000	15.595600441535835	98.0%	0.033	13.387888667451195
chr3	28155001	28175000	chr3	28155001	28620000	465000	20000	25.637007696972667	99.0%	0.008	12.81243564160093
chr4	139870001	139885000	chr4	139870001	140550000	680000	15000	23.504034583283627	99.0%	0.008	12.578496138228424
chr3	20645001	20665000	chr3	20645001	22205000	1560000	20000	9.891567119017168	98.0%	0.0275	11.898937449970933
chr12	91300001	91330000	chr12	89505001	91330000	1825000	30000	8.821468935952625	99.0%	0.013	11.666892965072659
chr3	135875001	135895000	chr3	135875001	137380000	1505000	20000	9.46937057339641	95.0%	0.019	11.599472636447327
chr13	99820001	99855000	chr13	99330001	99855000	525000	35000	26.653902263503756	98.0%	0.044	11.092300344202512
chr13	97230001	97250000	chr13	97230001	97945000	715000	20000	21.768457714022354	99.0%	0.019	11.01939856558982
chr5	113360001	113385000	chr5	113360001	113735000	375000	25000	42.35588475804651	99.0%	0.003	10.951253218757785
chr17	86150001	86175000	chr17	86150001	86485000	335000	25000	41.836874007705475	99.0%	0.005	10.935133207530779
chr1	90575001	90600000	chr1	90025001	90600000	575000	25000	25.650075791081985	99.0%	0.013	10.730619300127522
chr2	27225001	27245000	chr2	26910001	27245000	335000	20000	44.433689385148696	99.0%	0.014	10.556500000643736
chr13	57250001	57275000	chr13	56430001	57275000	845000	25000	19.27326052783618	96.0%	0.016	10.555592685882909
chr7	118975001	119000000	chr7	118735001	119000000	265000	25000	46.518617192982795	99.0%	0.005	10.429245551095182
chr5	138840001	138860000	chr5	138840001	139195000	355000	20000	39.052671262311826	99.0%	0.015	10.159899617445785
chr17	27505001	27525000	chr17	27025001	27525000	500000	20000	34.73020737224406	99.0%	0.012	9.880250584743544
chr7	127090001	127115000	chr7	126745001	127115000	370000	25000	36.64886880792177	99.0%	0.014499999999999999	9.442881719963816
chr18	64515001	64540000	chr18	64515001	65285000	770000	25000	18.521284087913628	97.0%	0.008	9.24748306182118
chr6	115525001	115545000	chr6	115035001	115545000	510000	20000	28.839383175089658	99.0%	0.015	9.236719037464075
chr14	48345001	48365000	chr14	47685001	48365000	680000	20000	20.43921493232461	99.0%	0.017	9.22312836388636
chr12	83475001	83500000	chr12	83070001	83500000	430000	25000	36.47090434876738	99.0%	0.010499999999999999	9.201138570072303
chr7	37360001	37390000	chr7	37360001	38175000	815000	30000	18.190718919460398	99.0%	0.016	9.190813846495228
chr1	83700001	83720000	chr1	83170001	83720000	550000	20000	25.27262600693496	99.0%	0.0095	9.143731859995722
chr16	78145001	78165000	chr16	77125001	78165000	1040000	20000	13.667792365711849	98.0%	0.017	9.109874144616482
chr2	124090001	124110000	chr2	124090001	125225000	1135000	20000	14.688188778125772	98.0%	0.022	9.058852671886639
chr2	8365001	8395000	chr2	6515001	8395000	1880000	30000	9.517180864174607	96.0%	0.018	9.043231164625377
chr4	9010001	9030000	chr4	8645001	9030000	385000	20000	40.27956568302151	99.0%	0.011	9.010337096648668
chr1	178520001	178540000	chr1	178520001	179150000	630000	20000	22.264409974020964	99.0%	0.0155	8.978871481059986
chr4	107145001	107175000	chr4	106600001	107175000	575000	30000	28.23925706929992	98.0%	0.018	8.94180902370462
chr14	54990001	55015000	chr14	54835001	55015000	180000	25000	63.089397741983326	99.0%	0.01	8.785343782044084
chr8	80975001	81005000	chr8	80700001	81005000	305000	30000	39.36164797138236	99.0%	0.011	8.769244335011185
chr16	23980001	24000000	chr16	23980001	25335000	1355000	20000	13.143192900381878	96.0%	0.012	8.753823185401345
chr1	83730001	83750000	chr1	83730001	84710000	980000	20000	13.986206479641474	98.0%	0.021	8.7341574303734
chr14	60510001	60535000	chr14	60510001	60785000	275000	25000	39.29636980551324	98.0%	0.009	8.700814926639936
