chr1	x1	x2	chr2	y1	y2	name	score	strand1	strand2	color	direction	direction_confidence	logFC	FDR	source	pval_ctrl	pval_mut	detection_confidence	in_10kb	nearest_gene	distance_to_tss	nearest_coding_gene	nearest_coding_dist	body_genes	body_gene_count	anchor_type	h3k27ac	h3k27me3	h3k4me1	stripe_length_kb	anchor_width_kb	stripe_idx	se_P60_overlap	se_ENCODE_overlap	k27ac_class	concordant
chr10	60100001	60120000	chr10	59435001	60120000	stripe_0647	1.39119428488872	.	.	0,0,139	lost	high	-0.0639	0.04063	control_only	0.069	NA	high	NA	Spock2	0	Spock2	0	Anapc16,Ascc1,Ddit4,Dnajb12,Mcu,Micu1,Oit3,Spock2	8	Active_Promoter	TRUE	FALSE	TRUE	685	20	84	TRUE	FALSE	stable_k27ac	FALSE
chr11	5980001	6000000	chr11	5980001	6355000	stripe_0891	1.31110720025051	.	.	0,0,139	lost	high	-0.0537	0.04885	control_only	0.092	NA	high	NA	Ykt6	24307	Ykt6	24307	Camk2b,Ddx56,Npc1l1,Nudcd3,Ogdh,Tmed4	6	Active_Enhancer	TRUE	FALSE	TRUE	375	20	103	TRUE	TRUE	stable_k27ac	FALSE
chr11	67640001	67660000	chr11	67005001	67660000	stripe_1109	2.72717612088959	.	.	0,0,139	lost	high	-0.1286	0.001874	control_only	0.028	NA	high	NA	Rcvrn	35325	Rcvrn	35325	Adprm,Gas7,Myh1,Myh13,Myh2,Myh3,Myh4,Myh8,Sco1,Tmem220	10	Active_Enhancer	TRUE	FALSE	TRUE	655	20	128	TRUE	TRUE	lost_k27ac	TRUE
chr11	114435001	114455000	chr11	113650001	114455000	stripe_1349	2.43798481328491	.	.	139,0,0	gained	high	0.1106	0.003648	mutant_only	NA	0.093	high	NA	4932435O22Rik	0	Rpl38	213523	Cdc42ep4,Cpsf4l,Mtnap1,Sdk2,Slc39a11,Vcf1	6	Other	FALSE	FALSE	TRUE	805	20	143	TRUE	FALSE	no_diffbind_peak	FALSE
chr12	29540001	29560000	chr12	29540001	29905000	stripe_1483	4.35976503470896	.	.	0,0,139	lost	high	-0.2095	4.368e-5	control_only	0.03	NA	high	NA	Myt1l	11616	Myt1l	11616	NA	0	Active_Enhancer	TRUE	FALSE	TRUE	365	20	163	TRUE	FALSE	lost_k27ac	TRUE
chr12	29540001	29560000	chr12	28765001	29560000	stripe_1484	2.491636224123	.	.	139,0,0	gained	high	0.1026	0.003224	mutant_only	NA	0.051	high	NA	Myt1l	11616	Myt1l	11616	Myt1l	1	Active_Enhancer	TRUE	FALSE	TRUE	795	20	164	TRUE	FALSE	lost_k27ac	FALSE
chr12	91035001	91055000	chr12	89525001	91055000	stripe_1645	1.83534916462628	.	.	0,0,139	lost	high	-0.0723	0.01461	control_only	0.0225	NA	high	NA	5430427M07Rik	0	Dio2	296562	Dio2	1	Other	TRUE	FALSE	TRUE	1530	20	172	TRUE	FALSE	lost_k27ac	TRUE
chr12	100840001	100860000	chr12	100840001	101085000	stripe_1668	1.96321386426351	.	.	0,0,139	lost	high	-0.0864	0.01088	control_only	0.061	NA	high	NA	Gpr68	48197	Gpr68	48197	Ccdc88c,Gpr68,Ppp4r3a	3	Poised_Enhancer	FALSE	FALSE	TRUE	245	20	176	TRUE	FALSE	lost_k27ac	TRUE
chr12	112690001	112710000	chr12	112535001	112710000	stripe_1712	1.95851452747638	.	.	139,0,0	gained	high	0.0964	0.011	mutant_only	NA	0.096	high	NA	Cep170b	10454	Cep170b	10454	Adss1,Akt1,Inf2,Siva1,Zbtb42	5	Active_Enhancer	TRUE	FALSE	TRUE	175	20	185	TRUE	FALSE	stable_k27ac	FALSE
chr12	112735001	112755000	chr12	112735001	113100000	stripe_1714	3.34874961048477	.	.	139,0,0	gained	high	0.1316	4.48e-4	mutant_only	NA	0.045	high	NA	Mir6940	1678	Pld4	5654	Brf1,Btbd6,Cdca4,Clba1,Gpr132,Jag2,Mta1,Nudt14,Pacs2,Pld4,Tex22	11	Other	TRUE	FALSE	TRUE	365	20	186	TRUE	FALSE	gained_k27ac	TRUE
