loop_id	logFC	FDR	direction	anchor1_chr	anchor1_start	anchor1_end	anchor1_annotation	anchor1_all_genes	anchor1_gene_count	anchor2_chr	anchor2_start	anchor2_end	anchor2_annotation	anchor2_all_genes	anchor2_gene_count
loop_32	0.507964758182221	0.0010800226715267	up	chr8	11635000	11640000	Promoter (<=1kb)	Ankrd10,Mir7238	2	chr8	11695000	11700000	Promoter (<=1kb)	Spaca7b	1
loop_8162	-0.399584538766962	0.0006576630843075	down	chr14	105660000	105670000	Distal Intergenic	NA	0	chr14	105890000	105900000	Promoter (<=1kb)	Spry2	1
loop_1329	-0.385575955751452	1.86261900083425e-05	down	chr9	60590000	60600000	Promoter (<=1kb)	Lrrc49	1	chr9	60680000	60690000	Promoter (<=1kb)	Lrrc49	1
loop_122	-0.309987134535429	0.0170995086700478	down	chr9	66735000	66740000	Intron (ENSMUST00000071889.12/76459, intron 2 of 10)	Car12	1	chr9	66790000	66795000	Promoter (<=1kb)	Aph1b	1
loop_139	-0.530963634931943	0.0037576297724676	down	chr9	59720000	59725000	Distal Intergenic	NA	0	chr9	59985000	59990000	Exon (ENSMUST00000171654.7/207596, exon 11 of 17)	Thsd4	1
loop_9622	-0.327231693131887	0.0017252091709439	down	chr11	71750000	71760000	Promoter (<=1kb)	Wscd1	1	chr11	71930000	71940000	Promoter (<=1kb)	4930401O10Rik	1
loop_216	-0.585277781779022	0.0205871830132063	down	chr11	17765000	17770000	Distal Intergenic	NA	0	chr11	18750000	18755000	Exon (ENSMUST00000190769.1/ENSMUST00000190769.1, exon 3 of 3)	NA	0
loop_291	-0.309596343189563	0.0004684422489338	down	chr13	84400000	84425000	Distal Intergenic	NA	0	chr13	84750000	84775000	Distal Intergenic	NA	0
loop_251	-0.438108404388366	0.0187774306217553	down	chr13	21775000	21780000	Promoter (<=1kb)	H1f5	1	chr13	22040000	22045000	Promoter (<=1kb)	H4c9,H2ac11,H2bc11	3
loop_10275	-0.431575816057458	0.0034116165698337	down	chr13	38990000	39000000	Distal Intergenic	NA	0	chr13	40750000	40760000	Exon (ENSMUST00000225467.1/ENSMUST00000225467.1, exon 1 of 2)	NA	0
loop_294	0.390539107725139	0.0116861621635594	up	chr12	56055000	56060000	Exon (ENSMUST00000175559.1/ENSMUST00000175559.1, exon 1 of 1)	NA	0	chr12	56540000	56545000	Exon (ENSMUST00000182733.7/ENSMUST00000182733.7, exon 2 of 3)	NA	0
loop_10883	-0.315993423612167	0.0031180078591711	down	chr15	53340000	53350000	Promoter (<=1kb)	Ext1	1	chr15	53760000	53770000	Intron (ENSMUST00000078673.13/320679, intron 2 of 4)	Samd12	1
loop_318	-0.545875935910879	0.003581033848225	down	chr15	29050000	29055000	Distal Intergenic	NA	0	chr15	29220000	29225000	Distal Intergenic	NA	0
loop_323	0.323950110606268	0.0130009109326563	up	chr15	81520000	81525000	Distal Intergenic	NA	0	chr15	81580000	81585000	Promoter (<=1kb)	NA	0
loop_1539	-0.824911416210738	3.02875082049036e-06	down	chr15	42060000	42070000	Exon (ENSMUST00000229247.1/ENSMUST00000229247.1, exon 1 of 3)	NA	0	chr15	42670000	42680000	Promoter (<=1kb)	Angpt1	1
loop_467	-0.389209429688525	5.68864062262666e-05	down	chr16	42900000	42925000	Promoter (<=1kb)	Gm19522,Zbtb20	2	chr16	43500000	43525000	Promoter (<=1kb)	Zbtb20	1
loop_413	-0.393885611332712	0.0099136550477718	down	chr17	48415000	48420000	3' UTR	Oard1,Apobec2	2	chr17	48465000	48470000	3' UTR	Unc5cl	1
loop_467	0.472685798771331	0.0034223313618301	up	chr1	91345000	91350000	Promoter (1-2kb)	Espnl	1	chr1	91480000	91485000	Exon (ENSMUST00000187902.1/ENSMUST00000187902.1, exon 1 of 2)	NA	0
loop_13236	-0.341616610525246	0.0112145055738813	down	chr18	49750000	49760000	Promoter (<=1kb)	Dtwd2	1	chr18	50110000	50120000	Distal Intergenic	NA	0
loop_13365	-0.380561952610522	6.71156898012222e-05	down	chr19	17150000	17160000	Intron (ENSMUST00000087689.4/353211, intron 9 of 19)	Prune2	1	chr19	17210000	17220000	Exon (ENSMUST00000087689.4/353211, exon 17 of 20)	Prune2	1
