loop_id	direction	anchor1_annotation	anchor2_annotation	anchor1_gene	anchor2_gene
loop_32	up	Promoter (<=1kb)	Promoter (<=1kb)	Ankrd10	Gm6524
loop_8162	down	Distal Intergenic	Promoter (<=1kb)	Mir6390	Spry2
loop_1329	down	Promoter (<=1kb)	Promoter (<=1kb)	Lrrc49	Lrrc49
loop_122	down	Intron (ENSMUST00000071889.12/76459, intron 2 of 10)	Promoter (<=1kb)	Car12	Aph1b
loop_9622	down	Promoter (<=1kb)	Promoter (<=1kb)	Wscd1	4930401O10Rik
loop_251	down	Promoter (<=1kb)	Promoter (<=1kb)	H1f5	H4c9
loop_10883	down	Promoter (<=1kb)	Intron (ENSMUST00000078673.13/320679, intron 2 of 4)	Ext1	Samd12
loop_323	up	Distal Intergenic	Promoter (<=1kb)	Rbx1	Ep300
loop_1539	down	Exon (ENSMUST00000229247.1/ENSMUST00000229247.1, exon 1 of 3)	Promoter (<=1kb)	Abra	Angpt1
loop_467	down	Promoter (<=1kb)	Promoter (<=1kb)	Gm19522	Zbtb20
loop_467	up	Promoter (1-2kb)	Exon (ENSMUST00000187902.1/ENSMUST00000187902.1, exon 1 of 2)	Gm19522	Zbtb20
loop_13236	down	Promoter (<=1kb)	Distal Intergenic	Dtwd2	Hsd17b4
loop_564	down	Promoter (1-2kb)	Intron (ENSMUST00000237357.1/226025, intron 1 of 24)	Trpm3	Trpm3
loop_570	down	Distal Intergenic	Promoter (<=1kb)	Rab11fip2	E330013P04Rik
loop_749	down	Promoter (<=1kb)	Promoter (<=1kb)	Celf2	Celf2
loop_15040	down	Promoter (<=1kb)	Distal Intergenic	Ndst3	Ndst3
loop_720	down	Promoter (<=1kb)	Exon (ENSMUST00000194759.5/80877, exon 53 of 55)	Mab21l2	Dclk2
loop_17841	down	Exon (ENSMUST00000192145.5/80877, exon 19 of 51)	Promoter (<=1kb)	Lrba	Cd1d1
loop_15943	up	Exon (ENSMUST00000178561.7/381522, exon 31 of 38)	Promoter (1-2kb)	Tdrd7	Tstd2
loop_827	down	Promoter (<=1kb)	Intron (ENSMUST00000094715.7/433899, intron 1 of 3)	Atp8a1	Grxcr1
loop_867	down	Promoter (<=1kb)	Intron (ENSMUST00000181090.7/76311, intron 2 of 2)	Gpr85	1110019D14Rik
loop_17266	down	Distal Intergenic	Promoter (<=1kb)	A530053G22Rik	Ccser1
loop_1107	down	Promoter (<=1kb)	Distal Intergenic	Tpk1	Tpk1
loop_15541	down	Distal Intergenic	Promoter (<=1kb)	Kcnd2	Kcnd2
loop_971	down	Promoter (<=1kb)	Intron (ENSMUST00000181886.1/ENSMUST00000181886.1, intron 3 of 3)	Ddias	Gm15501
loop_1021	down	Promoter (<=1kb)	Exon (ENSMUST00000156803.8/ENSMUST00000156803.8, exon 1 of 6)	Sirt6	AU041133
loop_1100	up	3' UTR	Promoter (1-2kb)	Eif1b	Rpl14
loop_1350	down	Promoter (<=1kb)	Exon (ENSMUST00000162306.1/ENSMUST00000162306.1, exon 1 of 2)	Dipk2a	Slc9a9
