anchor_id	chr	start	end	ctrl_signal	mut_signal	log2fc	signal_class
chr8:11635000-11640000	chr8	11635000	11640000	3.554529	3.175846	-0.146785	quantifiable
chr14:105660000-105670000	chr14	105660000	105670000	2.424258	4.123426	0.687318	quantifiable
chr9:60590000-60600000	chr9	60590000	60600000	0.715825	1.043141	0.38323	quantifiable
chr9:66735000-66740000	chr9	66735000	66740000	0.950335	1.268281	0.313424	quantifiable
chr9:59720000-59725000	chr9	59720000	59725000	1.112203	0.856997	-0.27466	quantifiable
chr11:71750000-71760000	chr11	71750000	71760000	3.120784	2.819293	-0.130708	quantifiable
chr11:17765000-17770000	chr11	17765000	17770000	4.100135	6.47764	0.616416	quantifiable
chr13:84400000-84425000	chr13	84400000	84425000	1.287354	1.71392	0.332218	quantifiable
chr13:21775000-21780000	chr13	21775000	21780000	2.464807	3.731203	0.53438	quantifiable
chr13:38990000-39000000	chr13	38990000	39000000	1.044649	0.744619	-0.346673	quantifiable
chr12:56055000-56060000	chr12	56055000	56060000	2.024232	1.375561	-0.458133	quantifiable
chr15:53340000-53350000	chr15	53340000	53350000	4.081704	5.522545	0.405331	quantifiable
chr15:29050000-29055000	chr15	29050000	29055000	4.213181	8.276868	0.917317	quantifiable
chr15:81520000-81525000	chr15	81520000	81525000	1.193198	1.087765	-0.101418	quantifiable
chr15:42060000-42070000	chr15	42060000	42070000	2.012649	4.491218	1.031862	quantifiable
chr16:42900000-42925000	chr16	42900000	42925000	1.468556	2.974946	0.866974	quantifiable
chr17:48415000-48420000	chr17	48415000	48420000	2.656844	2.565114	-0.044548	quantifiable
chr1:91345000-91350000	chr1	91345000	91350000	4.326978	3.046253	-0.460477	quantifiable
chr18:49750000-49760000	chr18	49750000	49760000	1.131774	1.81381	0.54321	quantifiable
chr19:17150000-17160000	chr19	17150000	17160000	1.287771	3.193987	1.108943	quantifiable
chr19:22450000-22455000	chr19	22450000	22455000	1.412232	2.247875	0.557319	quantifiable
chr19:59740000-59745000	chr19	59740000	59745000	1.023428	0.442294	-0.786078	quantifiable
chr2:6870000-6880000	chr2	6870000	6880000	3.048793	5.471178	0.774534	quantifiable
chr3:123690000-123700000	chr3	123690000	123700000	2.038083	3.247105	0.588969	quantifiable
chr3:86545000-86550000	chr3	86545000	86550000	7.686852	6.797546	-0.168961	quantifiable
chr3:86325000-86350000	chr3	86325000	86350000	0.568617	0.347037	-0.39332	one_condition
chr3:49185000-49190000	chr3	49185000	49190000	3.648745	5.655359	0.585505	quantifiable
chr4:33520000-33525000	chr4	33520000	33525000	7.457605	11.097095	0.551445	quantifiable
chr4:45940000-45950000	chr4	45940000	45950000	1.310869	1.006041	-0.290606	quantifiable
chr5:67845000-67850000	chr5	67845000	67850000	4.347137	6.394617	0.521028	quantifiable
chr6:13835000-13840000	chr6	13835000	13840000	4.082246	5.617649	0.428293	quantifiable
chr6:51765000-51770000	chr6	51765000	51770000	3.883759	6.451221	0.682576	quantifiable
chr6:13830000-13835000	chr6	13830000	13835000	2.693347	4.420861	0.646887	quantifiable
chr6:60550000-60560000	chr6	60550000	60560000	0.512224	0.260024	-0.492405	one_condition
chr6:43660000-43670000	chr6	43660000	43670000	1.081855	2.034843	0.732023	quantifiable
chr6:20500000-20525000	chr6	20500000	20525000	0.615117	1.2	0.677924	quantifiable
