context	region	modality	Chromosome	Start	End	num_contexts	mean_coverage	mean_mod_group_1	mean_mod_group_2	mod_fold_change	mod_difference	test_statistic	dmr_pvalue	dmr_qvalue	Annotation	Name
non-CG	genes	mc	8	33782642	33929862	47715	9.28468772922561	0.00033513941252608667	0.0018023981312785013	5.37805481513818	0.0014672587187524147	1416.7293562433251	4.86541313617387e-310	1.0544809890029627e-305	Gene	Rbpms
non-CG	genes	mc	8	31814550	32884796	325903	11.395364571667029	0.0002070830605457169	0.0006061069449636518	2.9268784388563933	0.0003990238844179349	2726.9421830217234	2.2250738585072014e-308	1.2056006433856644e-304	Gene	Nrg1
non-CG	genes	mc	8	36567750	36953142	119214	10.994597949905213	0.00020073442231472653	0.0014611888160338553	7.279213994214174	0.0012604543937191287	3602.364582522866	2.2250738585072014e-308	1.2056006433856644e-304	Gene	Dlc1
non-CG	genes	mc	8	37522297	38661507	325874	11.749881089009863	0.00016693398195641532	0.0011618444086016263	6.9599035198535635	0.000994910426645211	8368.377895707275	2.2250738585072014e-308	1.2056006433856644e-304	Gene	Sgcz
non-CG	genes	mc	8	40990913	41133725	44951	10.244874974972747	0.00019788929937471098	0.0014350165395802406	7.251612614297965	0.0012371272402055297	1239.098282843764	1.942066104731579e-271	8.418079737569501e-268	Gene	Mtus1
non-CG	genes	mc	8	39005844	39165113	41249	11.377100050910325	0.00017500777733352516	0.0011691146593892955	6.680358308655209	0.0009941068820557702	1029.2072219839315	8.04931786493687e-226	2.9075477681129467e-222	Gene	Tusc3
non-CG	genes	mc	8	33234383	33385526	44838	11.020537825059101	0.00025440867098921923	0.0012120299219944945	4.76410618113663	0.0009576212510052752	1008.3679005340796	2.7251691397709716e-221	8.437512966608038e-218	Gene	Wrn
non-CG	genes	mc	7	96171245	96911092	246503	9.56275126469049	0.0009201208061242511	0.0005035988814994412	0.5473182196810756	-0.00041652192462480987	959.0695079404651	1.4166606634711107e-210	3.837910819926173e-207	Gene	Tenm4
non-CG	genes	mc	8	40551094	40634796	25735	10.27791431902079	0.0001899512155123601	0.0014551024252196514	7.660400704963997	0.0012651512097072912	732.734418981192	2.2783405416424877e-161	5.486497173224182e-158	Gene	Mtmr7
non-CG	genes	mc	8	48227681	48843950	188756	11.217635465892474	6.768915306476465e-06	0.00022711078286663218	33.552020166264114	0.00022034186756015572	670.2517468540054	8.807607525142521e-148	1.9088727789241386e-144	Gene	Tenm3
non-CG	genes	mc	8	35587797	35679448	29982	9.172766159695817	0.00014371231927398734	0.001222467654928546	8.506352559782387	0.0010787553356545587	646.7793583567507	1.120830441422443e-142	2.2083416506316913e-139	Gene	Mfhas1
non-CG	genes	mc	8	40423814	40510267	25565	11.069851359280266	0.00014445484862385123	0.0011273407185900565	7.804104391992828	0.0009828858699662052	602.6386052458653	4.465637614134264e-133	8.065313667594326e-130	Gene	Zdhhc2
non-CG	genes	mc	8	40926211	40990784	20991	8.676337477966747	0.00017855735176665831	0.0016258582429608997	9.105523950005699	0.0014473008911942413	583.2172277606883	7.486373972899147e-129	1.2480937162664863e-125	Gene	Pdgfrl
non-CG	genes	mc	8	40862395	40922307	18424	10.599218410768563	0.00016147486196733198	0.001535401063422617	9.508607375265907	0.001373926201455285	570.5759027718113	4.2076776727549204e-126	6.513785585829814e-123	Gene	Slc7a2
non-CG	genes	mc	8	65617899	66471636	253800	11.564950748620962	2.16889487737975e-06	0.0002162651505978484	99.71214043306661	0.00021409625572046864	550.8045083403631	8.413507817565163e-122	1.2156396995339319e-118	Gene	Marchf1
non-CG	genes	mc	8	34826459	34965689	41599	11.056726123224117	8.283666339234521e-05	0.0006352036296188087	7.6681460069226635	0.0005523669662264635	549.9400779578556	1.29725575073397e-121	1.7572139928535835e-118	Gene	Tnks
non-CG	genes	mc	8	57774051	58912639	334332	11.279523048945359	1.5368576773654078e-06	0.00013747485793046843	89.45191214201287	0.000135938000253103	471.80208343080017	1.2990437208489247e-104	1.656127915409338e-101	Gene	Galntl6
non-CG	genes	hmc	8	37522297	38661507	325874	11.749881089009863	1.1759835237886685e-05	6.718453761641983e-05	5.713050927786068	5.5424702378533146e-05	460.69680196688256	3.3904346007889417e-102	7.348088910289873e-98	Gene	Sgcz
non-CG	genes	mc	8	39581684	39642672	17431	12.433143537375939	0.00016600506827262979	0.0010988950465561451	6.619647568539486	0.0009328899782835153	440.8750752183212	6.982268585200842e-98	8.407039280392103e-95	Gene	Msr1
non-CG	genes	hmc	8	36567750	36953142	119214	10.994597949905213	2.8773265630528008e-05	0.00017666499916661418	6.13990088699474	0.00014789173353608619	418.62830637721567	4.853027508338193e-93	5.258983259410683e-89	Gene	Dlc1
non-CG	genes	mc	8	35765789	35818046	16892	10.241083057068435	0.00016610724417298587	0.0012432969624553251	7.484905120456651	0.0010771897182823393	410.0398973716345	3.592872771765297e-91	4.098333241182594e-88	Gene	Gm19410
non-CG	genes	mc	8	62951008	63357102	115757	11.376275300845737	5.778041452292377e-06	0.0002245751083718506	38.866995023504515	0.00021879706691955823	389.8233193354354	9.043590256680734e-87	9.800086581652077e-84	Gene	Spock3
non-CG	genes	mc	8	33652522	33698162	14382	9.355713739396467	0.0003571235315643625	0.0017037353876486784	4.770717236653511	0.001346611856084316	387.3452409998003	3.1320342935533335e-86	3.2324085354372094e-83	Gene	Gsr
non-CG	genes	mc	8	36094827	36147786	17370	9.036996257915947	9.327738388859064e-05	0.0011970825554815025	12.833577718166744	0.0011038051715929118	349.6541264663261	5.04032536489366e-78	4.965407801515467e-75	Gene	Prag1
non-CG	genes	hmc	8	40990913	41133725	44951	10.244874974972747	6.744368217627579e-05	0.0004123748569416109	6.114358582376886	0.0003449311747653351	344.6483925226821	6.2023076091629326e-77	4.480753760446275e-73	Gene	Mtus1
non-CG	genes	mc	8	36216063	36249515	10374	9.31939223057644	0.0002077934753454721	0.001729872922767571	8.324962657713524	0.001522079447422099	319.32391590573775	2.033140879775816e-71	1.9158374907557073e-68	Gene	Lonrf1
