gene_id	direction	symbol
19264	lost	Ptprc
14799	lost	Gria1
100503142	lost	B230303A05Rik
16323	lost	Inhba
192136	lost	Sugct
22418	lost	Wnt5a
52521	lost	Zfp622
106042	lost	Prickle1
102465114	lost	Mir3084-2
240590	lost	Dmrt3
52013	lost	R3hcc1l
67573	lost	Loxl4
27402	lost	Pdhx
116940	lost	Tgs1
16600	lost	Klf4
54170	lost	Rragc
320827	lost	Cracd
16508	lost	Kcnd2
54353	lost	Skap2
320701	lost	Tafa4
23966	lost	Tenm4
259089	lost	Or51s1
259093	lost	Or51h5
259114	lost	Or51a8
14183	lost	Fgfr2
21892	lost	Tll1
101055731	gained	Gm29719
66832	gained	Rsph3a
14415	gained	Gad1
66748	gained	Erich2
68986	gained	Gad1os
18028	gained	Nfib
14807	gained	Grik3
66797	gained	Cntnap2
71982	gained	Snx10
70192	gained	Cd209g
330738	gained	Gm38414
76294	gained	Asb5
76687	gained	Spcs3
234353	gained	Psd3
244562	gained	Abcc12
26992	gained	Brd7
102640845	gained	Gm26994
170571	gained	Cntnap4
20660	gained	Sorl1
