gene_id	direction	symbol
17978	lost	Ncoa2
383491	lost	Prdm14
210933	lost	Adgrb3
210940	lost	Spata31e2
16764	lost	Aff3
67080	lost	1700019D03Rik
329154	lost	Ankrd44
72823	lost	Pard3b
16147	lost	Ihh
241116	lost	Cfap65
102465175	lost	Mir6343
620079	lost	Gm17751
241134	lost	Nyap2
78795	lost	Armc9
98402	lost	Sh3bp4
347722	lost	Agap1
14633	lost	Gli2
54354	lost	Rassf5
56489	lost	Ikbke
20643	lost	Snrpe
70579	lost	Zc3h11a
226432	lost	Ipo9
77552	lost	Shisa4
93689	lost	Lmod1
89867	lost	Sec16b
100503962	lost	Gm16701
226610	lost	Fam78b
78772	lost	Hhipl2
14806	lost	Grik2
18451	lost	P4ha1
215999	lost	Mcu
216001	lost	Micu1
102465546	lost	Mir6906
69090	lost	Ascc1
94214	lost	Spock2
19156	lost	Psap
22295	lost	Cdh23
12817	lost	Col13a1
76551	lost	Ccdc6
16993	lost	Lta4h
102640148	lost	Gm36283
20979	lost	Syt1
12512	lost	Cd63
14533	lost	Bloc1s1
16404	lost	Itga7
19682	lost	Rdh5
12323	lost	Camk2b
65257	lost	Asb3
23964	lost	Tenm2
15525	lost	Hspa4
14778	lost	Gpx3
57783	lost	Tnip1
11749	lost	Anxa6
52570	lost	Ccdc69
100038666	lost	Gm12298
193003	lost	Pirt
14457	lost	Gas7
93896	lost	Glp2r
17428	lost	Mnt
67493	lost	Mettl16
97761	lost	Sgsm2
320472	lost	Ppm1e
68729	lost	Trim37
217138	lost	Prr15l
319371	lost	D030028A08Rik
80280	lost	Cdk5rap3
19014	lost	Med1
69131	lost	Cdk12
16416	lost	Itgb3
16517	lost	Kcnj16
16518	lost	Kcnj2
237979	lost	Sdk2
16413	lost	Itgb1bp1
211914	lost	Asap2
54451	lost	Cpsf3
102633758	lost	Gm31508
17933	lost	Myt1l
74076	lost	4933406C10Rik
217480	lost	Dgkb
73867	lost	4930428E07Rik
71349	lost	5430427M07Rik
75216	lost	Cep128
24000	lost	Ptpn21
104718	lost	Ttc7b
217830	lost	Dglucy
