gene	chr	start	end	mc_diff_pct	mc_direction	mc_ctrl_mean	mc_mut_mean	num_contexts	mean_coverage
Syt1	chr10	108497649	109010981	17.31	Hypermethylated	0.588435147394397	0.76157342693294	3930	23.9700063613232
Galnt7	chr8	57523827	57653031	16.28	Hypermethylated	0.424902606906054	0.587690894807975	1612	21.2637251861042
Mcu	chr10	59446983	59616691	14.21	Hypermethylated	0.523486100473727	0.6656233113292	1940	20.9783505154639
Mgll	chr6	88724411	88828359	13.5	Hypermethylated	0.425714962550687	0.56072290629419	1177	16.767735768904
Wipf3	chr6	54429602	54503767	13.19	Hypermethylated	0.5342007318225	0.666149497124087	784	19.0811543367347
Syn2	chr6	115134901	115282005	13.03	Hypermethylated	0.464614418613735	0.594943113497721	938	20.9336353944563
Rnf182	chr13	43615709	43670944	12.94	Hypermethylated	0.334272147727722	0.46370185288652	519	20.0712909441233
Zic4	chr9	91362412	91389347	12.91	Hypermethylated	0.0998521122274292	0.228932033577977	389	17.3284061696658
Boc	chr16	44485048	44558896	12.86	Hypermethylated	0.273045132252029	0.401657126031741	759	17.2840909090909
Zfp608	chr18	54888047	54992554	12.39	Hypermethylated	0.444191540921334	0.568138688518125	1123	21.5103517364203
Prag1	chr8	36094827	36147786	12.38	Hypermethylated	0.350580481829427	0.474380938525074	713	18.1712833099579
Sesn1	chr10	41809934	41908423	12.07	Hypermethylated	0.427830100839361	0.548523689819925	753	20.6693227091633
Ndst3	chr3	123526165	123690852	12.04	Hypermethylated	0.414991307782351	0.535396229007651	1298	22.147438366718
Patj	chr4	98395784	98719602	12.04	Hypermethylated	0.641328038048968	0.761773769508922	2829	20.9266083421704
Ntn4	chr10	93640680	93747206	11.92	Hypermethylated	0.502389716899405	0.621559939974027	1158	20.0164075993092
Nr3c1	chr18	39410544	39519420	11.86	Hypermethylated	0.483874938989633	0.602457005036302	666	23.0557432432432
Rps6ka5	chr12	100548438	100726982	11.6	Hypermethylated	0.614659903332539	0.730648754044996	1157	22.5820008643042
Afap1l2	chr19	56912360	57008227	11.5	Hypermethylated	0.432137469719503	0.547112177104289	1031	16.421435499515
Fam78b	chr1	167001416	167091301	11.44	Hypermethylated	0.505512437311497	0.619868283601792	873	19.036941580756
Itgb5	chr16	33829664	33949337	11.29	Hypermethylated	0.588209172718151	0.701145364188494	1293	17.2678847641145
Runx1t1	chr4	13743435	13893648	10.95	Hypermethylated	0.52114257107312	0.63064494856808	1139	22.133230904302
Jph1	chr1	16964559	17097888	10.75	Hypermethylated	0.539770596015148	0.647285364820677	708	22.0508474576271
Caln1	chr5	130369454	130847411	10.67	Hypermethylated	0.514426087594434	0.621174879929534	3301	19.090351408664
Unc5c	chr3	141465215	141834923	10.66	Hypermethylated	0.522136548496153	0.628687104731708	1810	23.7113259668508
Lgr4	chr2	109917646	110014256	10.17	Hypermethylated	0.542336747947151	0.644076253084702	857	22.1551925320887
E2f3	chr13	29906574	29986062	10.14	Hypermethylated	0.682380574403723	0.783826993499625	1046	21.0172084130019
Pld5	chr1	175962305	176275311	10.02	Hypermethylated	0.567365642738713	0.667532807233536	2053	21.5718460789089
Itpk1	chr12	102568581	102704929	9.99	Hypermethylated	0.473943164948243	0.573883736550873	1615	15.9581269349845
Lrrc49	chr9	60568858	60688157	9.84	Hypermethylated	0.574660438629198	0.673071096335294	953	19.8058761804827
Heg1	chr16	33684369	33771575	9.76	Hypermethylated	0.587604672999307	0.685158103504195	1083	18.0301246537396
Dclk2	chr3	86786150	86920851	9.74	Hypermethylated	0.543766083079054	0.641169734113576	1414	20.011580622348
Add3	chr19	53140442	53247398	9.67	Hypermethylated	0.5263039329099	0.623015377643563	1082	20.5389325323475
Bmp5	chr9	75775363	75900309	9.63	Hypermethylated	0.683068713708785	0.779374852965442	785	24.290127388535
Epha3	chr16	63543533	63864174	9.63	Hypermethylated	0.66380679993885	0.760118837926776	1749	24.9453973699257
Kctd8	chr5	69109284	69341678	9.61	Hypermethylated	0.552472937286981	0.64856535112758	952	24.047531512605
Ldlrad3	chr2	101950202	102186384	9.25	Hypermethylated	0.590522804407434	0.683007162842987	2585	18.3634912959381
Tmtc2	chr10	105187662	105574450	9.24	Hypermethylated	0.610519002502844	0.702919256750651	3019	23.4064259688639
Ubash3b	chr9	41011097	41161696	9.18	Hypermethylated	0.510021832142955	0.601800643045341	1532	18.2257669712794
Zhx2	chr15	57694664	57839831	9.18	Hypermethylated	0.545804172405609	0.637647254666769	1558	17.9476893453145
Cdk17	chr10	93160874	93267070	9.16	Hypermethylated	0.455507319257435	0.54711903026067	1145	20.5730349344978
Trpm3	chr19	22139045	22995409	8.99	Hypermethylated	0.61625247235649	0.706112403927714	5828	22.3323610157859
