gene_name	compartment	shift	mean_ctrl_pc1	difference	mc_diff	hmc_diff	total_diff	mc_ctrl_level	mc_mut_level	hmc_ctrl_level	hmc_mut_level	mc_sig	hmc_sig
0610010K14Rik	A	Stable	1.33366666666667	-0.0383333333333335	-0.026362362547755	-0.0150195766661825	-0.0413819392139375	0.295813728309786	0.269451365762031	0.17855257846854	0.163533001802358	FALSE	FALSE
0610040J01Rik	B	Stable	-1.206	-0.0663333333333332	-0.0147585280320162	0.00513643863186417	-0.00962208940015203	0.761720163011329	0.746961634979313	0.0697336370819865	0.0748700757138506	TRUE	TRUE
1110002E22Rik	A	Stable	1.59433333333333	0.00299999999999981	-0.0115823910944359	0.00118158409637498	-0.0104008069980609	0.63675446389639	0.625172072801955	0.163473383136001	0.164654967232376	FALSE	FALSE
1110004F10Rik	A	Stable	0.922333333333333	0.0513333333333332	0.00876479388734297	-0.00288357532489843	0.00588121856244454	0.678634290377542	0.687399084264885	0.0918740812588992	0.0889905059340008	TRUE	FALSE
1110032F04Rik	B	Stable	-0.103666666666667	0.118666666666667	-0.0286657822688701	0.0193618785540773	-0.0093039037147928	0.532022191207616	0.503356408938746	0.145826421100719	0.165188299654796	FALSE	FALSE
1110038F14Rik	A	Stable	1.45833333333333	-0.0193333333333336	0.0338685892985557	-0.00691498938477153	0.0269535999137842	0.601546622469481	0.635415211768037	0.114091980443197	0.107176991058425	FALSE	FALSE
1110059E24Rik	A	Stable	1.17333333333333	-0.115333333333334	0.0405534839634105	-0.0379783402117584	0.0025751437516521	0.712171631856877	0.752725115820288	0.167814103698957	0.129835763487198	TRUE	TRUE
1110059G10Rik	A	Stable	0.675	-0.205666666666667	0.0202977526326662	-0.00573169973229094	0.0145660529003753	0.502950010691248	0.523247763323915	0.0654284338596444	0.0596967341273535	FALSE	FALSE
1110065P20Rik	A	Stable	1.375	0.0136666666666665	0.0574611125011826	-0.0170088642412003	0.0404522482599823	0.509648753689255	0.567109866190438	0.177044212617983	0.160035348376783	FALSE	FALSE
1190005I06Rik	A	Stable	1.615	0.0189999999999998	-0.0131913284317379	0.00672942292290674	-0.00646190550883116	0.724326851052371	0.711135522620633	0.149678116707103	0.15640753963001	TRUE	FALSE
1500009L16Rik	A	Stable	1.20933333333333	0.160333333333333	-0.00160626803010322	0.012559110825439	0.0109528427953358	0.702331250187935	0.700724982157831	0.143356340817887	0.155915451643326	FALSE	TRUE
1500011B03Rik	A	Stable	1.35266666666667	-0.0190000000000004	0.0486209412835271	-0.0231333815003732	0.0254875597831539	0.557850785910186	0.606471727193713	0.211094077030077	0.187960695529704	TRUE	TRUE
1600014C10Rik	A	Stable	1.12133333333333	-0.104	0.0586341861139184	-0.0185889291059423	0.0400452570079761	0.605894755685417	0.664528941799335	0.210202947197648	0.191614018091706	TRUE	TRUE
1700001F09Rik	B	Stable	-1.13233333333333	-0.0806666666666666	-0.0165622602620117	0.00293141768327399	-0.0136308425787377	0.72053896938103	0.703976709119018	0.00907873164862596	0.0120101493319	FALSE	FALSE
1700001J03Rik	A	Stable	0.338333333333333	-0.136	-0.00344703787357203	-0.0104654258628013	-0.0139124637363733	0.737059125875951	0.733612088002379	0.0631295795555644	0.0526641536927631	FALSE	FALSE
1700001K19Rik	A	Stable	1.50633333333333	-0.0876666666666671	0.0221956173654407	-0.0215130810387609	0.000682536326679799	0.721457142423459	0.7436527597889	0.12015708379054	0.0986440027517789	TRUE	TRUE
1700001O22Rik	A	Stable	1.41266666666667	-0.0486666666666668	-0.000449451203912377	-0.0106441094212073	-0.0110935606251197	0.667968004332666	0.667518553128753	0.138415649874457	0.127771540453249	FALSE	FALSE
1700003F12Rik	A	Stable	1.715	-0.0523333333333333	0.0729404830620106	-0.0656555823076116	0.007284900754399	0.641751291324765	0.714691774386775	0.306980082471024	0.241324500163412	TRUE	TRUE
1700003H04Rik	B	Stable	-0.667333333333333	-0.280666666666667	-0.00788975415031423	0.00755354809597074	-0.00033620605434349	0.838598166116067	0.830708411965753	0.0675817965556919	0.0751353446516626	FALSE	TRUE
1700006A11Rik	B	Stable	-0.765666666666667	-0.224	-0.00230036701285863	0.00206852352539726	-0.00023184348746137	0.857295687064921	0.854995320052062	0.0433548171539075	0.0454233406793048	FALSE	FALSE
1700008O03Rik	A	Stable	1.18233333333333	-0.132666666666667	-0.00294252227032588	0.00404399204082177	0.00110146977049589	0.63501534596804	0.632072823697714	0.0998016877362557	0.103845679777077	FALSE	FALSE
1700008P02Rik	B	Stable	-1.05166666666667	-0.0406666666666664	-0.00905244596809829	-0.00116544023859456	-0.0102178862066928	0.801243775307708	0.79219132933961	0.0487209857965646	0.04755554555797	FALSE	FALSE
1700009N14Rik	B	Stable	-1.23566666666667	0.0423333333333335	0.0066300695165944	-0.00511180042253491	0.00151826909405949	0.903961925286199	0.910591994802793	0.0338663181510751	0.0287545177285402	FALSE	FALSE
1700010B08Rik	A	Stable	0.441666666666667	-0.104	-0.0202841743195137	-0.00284539614886908	-0.0231295704683828	0.851539300613078	0.831255126293564	0.0555257570685844	0.0526803609197153	FALSE	FALSE
1700010I14Rik	A	Stable	0.819	-0.00700000000000004	-0.0046202218339928	-0.000810398831288611	-0.00543062066528141	0.772930006008527	0.768309784174534	0.106870258283753	0.106059859452464	FALSE	FALSE
