gene	chr	start	end	mc_diff	hmc_diff	meth_ratio	log2_ratio	gb_log2fc	mecp2_mean_fold	ratio_quintile
Kctd6	chr14	8214139	8223562	0.0976752226749464	-0.00135058217456097	72.3208291318501	6.17633931270616	0.989049	0.0511649942251634	5
Rims3	chr4	120854815	120896578	0.115163522003634	-0.00179986265306892	63.9846167190982	5.99965318670719	0.486435	0.0152846164410228	5
Efna4	chr3	89333389	89338027	-0.0551603703722868	0.0010167345810923	54.252477881717	5.76161712638046	-0.047938	-0.00281923879877289	5
Npcd	chr15	79789674	79834236	0.0592021988694917	-0.00113475906104807	52.1716026790852	5.70519284762533	-0.066324	-0.029155385979862	5
Adamts1	chr16	85793826	85803112	-0.0613766576354613	0.00125962184811619	48.7262567946502	5.60662749223354	0.526388	0.0480893066020506	5
Nt5c	chr11	115490419	115491861	0.0703399411288715	-0.00149938733264179	46.9124552392601	5.55189910347676	0.57632	-0.055738216247594	5
St6galnac4	chr2	32587094	32599697	0.0666246796719953	-0.00142744105423981	46.6742072985119	5.54455361522385	0.071785	-0.00891289904326954	5
Clybl	chr14	122181703	122402233	0.0571124314190594	-0.00134473057274817	42.4712820370709	5.40841575338686	0.747123	-0.0256107166824884	5
Nhlrc4	chr17	25942232	25944960	0.0532387455236145	-0.00135953585011733	39.1595010304582	5.2912904771561	-0.037692	-0.0118897134681283	5
St8sia5	chr18	77185838	77258770	0.0390184546481918	-0.00105114824475017	37.1198399874277	5.2141185863377	-0.14	-0.0585527765270174	5
Hr	chr14	70552211	70573547	0.156196714861968	-0.00420955255737709	37.1053010344862	5.21355340652698	0.372037	0.0866454615679212	5
Egln2	chr7	27158657	27166801	0.0454231354605992	-0.00124067482610579	36.611636268282	5.19423034772632	-0.287263	-0.00395800773059502	5
Tor2a	chr2	32757233	32762243	0.0544613561657403	-0.00148974772165353	36.5574354463798	5.19209296182157	-0.074722	-0.0662202086784663	5
Naprt	chr15	75890955	75894480	-0.0599816732360042	0.00165463163192694	36.2507715183416	5.17993979494847	-0.053853	-0.0367120108451689	5
Rell2	chr18	37955078	37959178	0.0714507230861446	-0.00205408024747367	34.7847768722875	5.1203841614232	0.549469	0.101458035197468	5
Lurap1	chr4	116132405	116151337	0.083965855839143	-0.00246702688456826	34.0352415145396	5.08895744203885	0.122006	-0.0134578850673376	5
Rsrp1	chr4	134923591	134927670	0.0549957381667526	-0.0016708691122175	32.9144501891981	5.04064919372405	-0.394105	-0.0280012170408752	5
Scgb1b12	chr7	32334181	32335500	0.0390841784172672	-0.00120222054576875	32.5099904130112	5.02281122547413	0.269572	0.041825473691643	5
Gdf1	chr8	70329816	70331586	-0.160498425495486	0.00499884846460555	32.1070795868085	5.00481954047926	-0.358367	-0.038806715358815	5
Defb2	chr8	21839925	21843481	-0.0401582777539873	0.00127369944996616	31.5288490978419	4.97860060296314	-0.490026	-0.0476796019532259	5
Kptn	chr7	16119894	16127515	0.0792488494670304	-0.0025275507869422	31.3540087409696	4.97057800429382	0.359629	-0.0162748296052053	5
Ywhaz	chr15	36770769	36796928	0.0343562016068489	-0.00116004311455811	29.6163144073624	4.88832021096804	0.020873	0.0713027098675409	5
Rtl9	chrX	143099593	143104296	-0.0519403816056062	0.00178503235764679	29.0977255303536	4.86283448189299	-0.12403	-0.258329363176491	5
Ypel3	chr7	126776954	126780513	0.0971808436155288	-0.00336508428876231	28.8791707060842	4.85195740929397	-0.469189	-0.0105332117712555	5
Slc6a6	chr6	91684052	91759065	-0.038255902620311	0.00134437631240716	28.4562456711337	4.8306734296639	-0.270216	-0.246739079883742	5
Ifnl3	chr7	28522835	28524321	0.131545996482278	-0.00481334008320515	27.3294623293443	4.77238517193037	-0.165658	-0.0409413178460026	5
A130010J15Rik	chr1	193168045	193177831	0.0301327641655809	-0.0011105937077949	27.1321221740126	4.76192998917818	0.979477	-0.00339647466791885	5
Irx5	chr8	92357624	92376285	-0.0399906033080893	0.001493347689016	26.7791644251581	4.74303904066955	-0.041834	-0.030675204046856	5
Arhgef7	chr8	11727720	11835218	0.0343795220491976	-0.00128847739199967	26.6822858225256	4.73781035974427	0.009457	-0.0145098897030195	5
Nubp2	chr17	24882610	24886348	-0.0312182080802416	0.00118145123638446	26.42361116467	4.72375573987284	0.458834	-0.00671525314951146	5
H2-K1	chr17	33996016	34000346	-0.0496767339301788	0.0018819099795525	26.3969767257366	4.72230080051085	-0.283434	-0.0346628439884956	5
Ccdc8	chr7	16992707	16997515	-0.083050541451214	0.00314803928990871	26.3816724643301	4.7214641219299	0.252583	-0.0752643790083052	5
Pi16	chr17	29317679	29330592	-0.0271143169943402	0.0010389639697316	26.0974564896074	4.70583730058509	0.051185	-0.0316259314305857	5
Sbpl	chr17	23953083	23955273	-0.0317706604538356	0.00122541024021564	25.9265504817756	4.69635836379015	-0.891363	-0.260734046477317	5
Gdf7	chr12	8297917	8301953	-0.034468514841268	0.00133869186922018	25.7479078149229	4.68638330358463	0.14323	-0.0841509556250796	5
