gene	chr	start	end	chromatin_state	atac_fold	k27ac_fold	k27me3_fold	k119ub_fold	gb_ctrl_signal	gb_mut_signal	is_neuronal	is_synapse	is_coordinated	is_mecp2_up	is_triple	ctrl_decile
0610009B22Rik	chr11	51685385	51688873	Other	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	NA
0610010F05Rik	chr11	23564960	23633638	Other	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	NA
0610010K14Rik	chr11	70235205	70237913	Other	NA	NA	NA	NA	1.132859	1.29125	FALSE	FALSE	FALSE	FALSE	FALSE	6
0610012G03Rik	chr16	31947049	31948493	Active_Promoter	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	NA
0610040J01Rik	chr5	63812362	63899624	Repressed_Promoter	NA	NA	NA	NA	0.913749	0.764244	FALSE	FALSE	FALSE	FALSE	FALSE	5
1110002E22Rik	chr3	138065051	138081505	Other	-1.14861033705641	-1.00198708027161	1.53533180479641	0.347185061358813	4.213765	7.371723	FALSE	FALSE	FALSE	FALSE	FALSE	10
1110004F10Rik	chr7	116039396	116105209	Other	0.553365135088094	NA	NA	NA	0.725463	0.794856	FALSE	FALSE	FALSE	FALSE	FALSE	4
1110008P14Rik	chr2	32377096	32381937	Other	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	NA
1110012L19Rik	chrX	70385876	70389416	Active_Promoter	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	NA
1110017D15Rik	chr4	41505008	41517332	Other	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	NA
1110025L11Rik	chr16	89063411	89064001	Other	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	NA
1110032A03Rik	chr9	50762827	50775519	Other	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	NA
1110032F04Rik	chr3	68869585	68872162	Repressed_Promoter	0.864107446971459	NA	-0.575301440001346	0.103990986738713	6.51138	6.599416	FALSE	FALSE	FALSE	FALSE	FALSE	10
1110038F14Rik	chr15	76948505	76950978	Other	0.124059553383488	0.138396265285007	NA	NA	0.745975	1.082539	FALSE	FALSE	FALSE	FALSE	FALSE	4
1110051M20Rik	chr2	91275067	91444703	Other	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	NA
1110057P08Rik	chr16	89174734	89175198	Other	NA	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	NA
1110059E24Rik	chr19	21581201	21652975	Active_Promoter	0.0334861684214115	-0.0783955393133351	NA	0.819433022620992	0.751519	1.013975	FALSE	FALSE	TRUE	FALSE	FALSE	4
1110059G10Rik	chr9	122945088	122950999	Active_Promoter	0.113173183025829	0.0285841048293303	NA	NA	0.464686	0.709401	FALSE	FALSE	FALSE	FALSE	FALSE	2
