gene	mecp2_nearest_fold	mecp2_nearest_fdr	mecp2_peak_chr	mecp2_peak_start	mecp2_peak_end	mecp2_annotation	mc_ctrl	mc_mut	mc_difference	mc_qvalue
1110002E22Rik	-0.1794	4.38e-01	chr3	138065200	138065600	Promoter	0.6368	0.6252	-0.0116	0.0502
1700009N14Rik	0.0241	9.25e-01	chr4	39449660	39450060	Promoter	0.9040	0.9106	0.0066	0.4738
1700010I14Rik	-0.0109	9.66e-01	chr17	8991016	8991416	Intron (ENSMUST00000024650.11/66931, intron 1 of 9)	0.7729	0.7683	-0.0046	0.3852
1700129C05Rik	0.0346	8.82e-01	chr14	59142382	59142782	Promoter	0.8451	0.8453	0.0002	0.9663
2010003K11Rik	0.0107	9.65e-01	chr19	4498394	4498794	Promoter	0.2246	0.2319	0.0073	0.8639
4930469K13Rik	-0.0835	6.82e-01	chr11	34098206	34098606	Promoter	0.7515	0.7471	-0.0044	0.0651
4930505A04Rik	0.1297	1.00e+00	chr11	30470005	30470405	Intron (ENSMUST00000041763.13/75087, intron 1 of 4)	0.8169	0.8255	0.0086	0.0532
4930523C07Rik	0.0392	7.92e-01	chr1	160045331	160045731	Promoter	0.7480	0.7515	0.0035	0.4866
4930564D02Rik	-0.0015	9.96e-01	chr3	105060895	105061295	Distal Intergenic	0.7800	0.7845	0.0044	0.5418
4930583I09Rik	2.6285	8.95e-14	chr17	64831490	64831890	Distal Intergenic	0.5852	0.5754	-0.0098	0.5376
5530400C23Rik	0.8538	3.67e-02	chr6	133303115	133303515	Distal Intergenic	0.7952	0.7914	-0.0038	0.8874
5530401A14Rik	-0.0165	9.45e-01	chr11	81860688	81861088	Promoter	0.7857	0.7850	-0.0007	0.7699
8030474K03Rik	-0.1770	4.59e-01	chrX	101794330	101794730	Promoter	0.8492	0.8504	0.0011	0.7068
Aadac	0.1558	1.00e+00	chr3	60031778	60032178	Promoter	0.8348	0.8431	0.0083	0.4245
Abca13	0.0564	8.12e-01	chr11	9199286	9199686	Intron (ENSMUST00000141233.1/268379, intron 1 of 2)	0.7955	0.7944	-0.0011	0.4683
Abra	0.0010	9.97e-01	chr15	41868834	41869234	Promoter	0.7526	0.7691	0.0166	0.0716
