gene	mecp2_mean_fold	mecp2_nearest_fdr	gb_log2fc	gb_signal_class	k119ub_fold	k119ub_fdr	mc_diff	mc_q	mc_sig	hmc_diff	hmc_q	hmc_sig	k27ac_fold	k27ac_fdr	k27me3_fold	k27me3_fdr	chromatin_state	is_key_gene
Plekha6	-0.30238180044318	2.96709840271829e-06	-0.436343	quantifiable	-0.360132763500122	0.0154168684881226	-0.0459996543536495	2.25926816999843e-93	TRUE	0.0088292184110052	2.1811875452055e-06	TRUE	1.18335927279809	6.18308746854447e-11	-0.357951806281467	0.0445203869360861	Other	FALSE
Grip2	-0.00290488789120926	0.00013234992600738	-0.043689	quantifiable	-0.323298761670862	0.0066597638038764	-0.0236303492868047	1.29736707561609e-11	TRUE	0.0328242714153304	1.17566594376202e-29	TRUE	0.867854254939427	0.00026631464496418	-0.570431279459864	0.00120515566643516	Repressed_Promoter	FALSE
Myo16	-0.051253841412845	0.000147888722651593	0.203911	quantifiable	0.118796681519807	0.226497685573841	-0.0126344572724255	2.42270375190419e-31	TRUE	0.00703829810539901	1.59230048608109e-21	TRUE	0.344109858124503	0.0575017280675769	-0.491612718193981	0.00304836030223296	Other	FALSE
Adamts14	-0.365273882961219	0.000148662170481495	-0.120637	quantifiable	-0.314042703598707	0.028855617391238	-0.00819887793581364	0.00213958298351005	TRUE	0.00142395316738572	0.408980214051857	FALSE	NA	NA	-0.206867587182154	0.251282313075751	Repressed_Promoter	FALSE
Insm1	-0.51918548205959	0.000211424253420609	0.08534	quantifiable	0.0816927833731264	0.511907752463567	-0.199891936132699	6.89862000637079e-23	TRUE	-0.0754551423017625	1.99356463951119e-09	TRUE	NA	NA	0.0710405178016727	0.72394922124669	Repressed_Promoter	FALSE
Islr2	-0.408397873932895	0.000259238164308722	-0.181756	quantifiable	NA	NA	-0.186214807772497	3.62543768785577e-130	TRUE	-0.0338714548481402	1.17518137151751e-10	TRUE	NA	NA	NA	NA	Repressed_Promoter	FALSE
Tgif1	-0.57633303324746	0.000572082500229788	-0.134458	quantifiable	-0.354599673438025	0.00385745733837259	-0.0521453042995675	9.95746290051236e-19	TRUE	-0.0139389090912132	0.000109225208670516	TRUE	0.640404293698409	0.00268777271647399	-0.1620922079537	0.367716640960574	Repressed_Promoter	FALSE
Col12a1	-0.313735066868679	0.00108005847872875	0.222978	quantifiable	0.00490227269413588	0.970175810249205	0.00489358549603358	0.0339999254052121	TRUE	-0.00317082440785509	0.0237625990234449	TRUE	NA	NA	0.567265723338491	0.000831479187476368	Repressed_Promoter	FALSE
Mvk	-0.111937615815273	0.00361674398352848	-0.019161	quantifiable	-0.262831058336224	0.327851137479638	-0.0302318540563646	5.75955593801471e-07	TRUE	-0.00175815032670379	0.772767919215633	FALSE	NA	NA	0.129207157007649	0.589644088434229	Other	FALSE
Ptgis	-0.169766969877014	0.00373935213253004	-0.076565	quantifiable	-0.461681930841687	0.00221246896627492	-0.0149934531178959	4.22901035918342e-07	TRUE	0.0120143177859902	6.45267169638013e-08	TRUE	NA	NA	-0.290358070767003	0.0918877867689112	Repressed_Promoter	FALSE
Ywhah	-0.210663007070328	0.00544523235891434	-0.085547	quantifiable	0.581765226234035	4.06460284336026e-05	-0.0204762095955945	0.0133775629911591	TRUE	-0.026072931237462	0.00723165892602187	TRUE	0.16041815395948	0.257359988166265	NA	NA	Active_Promoter	FALSE
Pnpla7	-0.401349395145375	0.00694294358243528	-0.299279	quantifiable	NA	NA	-0.0220281588145574	5.34020341517545e-18	TRUE	0.00305107476862068	0.104574194233133	FALSE	NA	NA	NA	NA	Other	FALSE
Pou2f2	-0.153959842864032	0.00758313331719319	-0.196558	quantifiable	-0.202159481509606	0.295142575313189	-0.0431195311480861	9.9263975125064e-58	TRUE	0.000979272471215042	0.682394883564187	FALSE	1.30491759318122	9.61881842292043e-09	NA	NA	Other	FALSE
Ucp2	-0.281781834710268	0.0122661995087943	-0.100747	quantifiable	-0.0923010163809503	0.613406016029441	-0.0428999649774929	5.45207618516898e-07	TRUE	0.0207682781712241	0.000801945287125606	TRUE	1.00943424870497	8.02746199127411e-06	-0.192451536849703	0.407308955557753	Repressed_Promoter	FALSE
Slc6a12	-0.0489045684305791	0.0131730707134223	-0.518629	quantifiable	-0.805711360323726	3.97410545698823e-07	-0.0193086695022406	0.0008991550873088	TRUE	0.00563888337184978	0.140271491877142	FALSE	NA	NA	-0.834842653365744	1.88535228782178e-06	Repressed_Promoter	FALSE
Trio	-0.0561461607939044	0.0199349356938295	-0.084529	quantifiable	-0.0235376564263598	0.89149880266978	-0.00360738535419547	0.0125597991907243	TRUE	-0.0116367881796386	8.62962302613591e-24	TRUE	0.411934055324236	0.0068195474540691	0.356235755666009	0.116272897731109	Active_Promoter	FALSE
Prrt4	-0.557766700001523	0.0217477698365642	0.075125	quantifiable	-0.109011891420689	0.422358606332108	-0.0280346477958547	0.00792940953673554	TRUE	0.00146815781190615	0.893797340506041	FALSE	NA	NA	0.392686146846756	0.0509988331767404	Active_Promoter	FALSE
Col27a1	-0.351662415904321	0.022180385915846	-0.026655	quantifiable	-0.378053320456603	0.000838882468326551	-0.0140984034360891	3.83223706310139e-08	TRUE	0.0103740788739863	1.59966846499573e-06	TRUE	0.63287764661935	0.0117072370454693	-0.607782654470322	2.41304753176461e-05	Other	FALSE
Cmip	-0.29675155606623	0.0235067463817461	-0.246335	quantifiable	0.157591759484788	0.227237487635655	-0.0349180403301087	3.69790568505903e-122	TRUE	0.0152207949398095	3.89102307614598e-32	TRUE	0.494185234413241	0.0106578626470079	NA	NA	Repressed_Promoter	FALSE
Pkdcc	-0.0326279568427252	0.0235637165018492	-0.304004	quantifiable	-0.277370061208347	0.0282853147711444	-0.0212117878080669	0.0197745951460316	TRUE	0.029235510825907	5.28279865717844e-05	TRUE	NA	NA	-1.4996851377732	1.11296791764891e-16	Repressed_Promoter	FALSE
Galr1	-0.0203230875209538	0.0235637165018492	0.11404	quantifiable	-0.0320376553257337	0.796615661832851	-0.0326926723477386	1.97469760949049e-10	TRUE	0.0270888766653246	1.26347133805296e-11	TRUE	1.26786065664086	3.25285519556951e-12	-0.932802674226471	4.81419724362887e-09	Bivalent_Promoter	FALSE
Faap24	-0.284317566215993	0.0258245817594812	0.693399	quantifiable	NA	NA	-0.0296049819850605	0.00547378988650247	TRUE	-0.0132239367772664	0.0174597502816472	TRUE	NA	NA	NA	NA	Other	FALSE
Kcna2	-0.177129950104455	0.0276142635293013	-0.011683	quantifiable	-0.165769146728248	0.190534585157178	0.0249338181021546	0.00541915455437452	TRUE	0.0133765340599264	0.117238251511792	FALSE	0.09324196956601	0.539264278239988	-0.699016700262591	0.00173336428798784	Bivalent_Promoter	FALSE
Lrrk1	-0.0490825173615593	0.0302295568535135	-0.070839	quantifiable	-0.0787083016514783	0.59807966837214	-0.0133617254694065	2.56714298734921e-14	TRUE	0.00401536035678554	0.00099358863468287	TRUE	NA	NA	0.0138435506459058	0.951741574272962	Other	FALSE
Xpot	-0.341923866979132	0.0307537789276201	0.257276	quantifiable	0.865370856092201	5.22576189994548e-08	0.0117100930908247	8.13901475040186e-07	TRUE	-0.0134779391003164	6.5863875548182e-18	TRUE	-0.0678447163214374	0.693006262470148	NA	NA	Active_Promoter	FALSE
Tmbim1	-0.3569426624067	0.0323304975407164	0.263557	quantifiable	0.22155457754118	0.190172924842538	0.0720964085247817	2.04863643543351e-17	TRUE	-0.030278707384968	7.67535727153267e-05	TRUE	-0.0885877238806471	0.57232253909413	NA	NA	Other	FALSE
Dbn1	-0.625092514776508	0.0344857115452271	-0.31941	quantifiable	-0.429201752634075	0.00316960631388798	-0.0437748548728071	1.13650068221051e-08	TRUE	0.0197766438652791	0.00230872168350624	TRUE	NA	NA	-1.87146566451974	1.11250718097126e-20	Repressed_Promoter	FALSE
Lypd6b	-0.0779097593049673	0.0346168993584156	0.061361	quantifiable	-0.159534633904279	0.115842461828824	-0.00876015972827671	3.92527383040322e-07	TRUE	0.0107942308225501	8.85934749730574e-19	TRUE	0.78340917687475	0.00142166407529896	-1.10676011961891	9.97321200779165e-09	Repressed_Promoter	FALSE
2810459M11Rik	-0.296010034787256	0.0370518576193516	-0.096935	quantifiable	-0.176788335729611	0.340779647166871	-0.022373277953868	0.0288503067678612	TRUE	-0.00659290229939302	0.418375138929766	FALSE	NA	NA	-0.395225031785866	0.0380240970091818	Repressed_Promoter	FALSE
Angpt2	-0.0658973352948705	0.0378246520935607	0.083799	quantifiable	0.2357580201871	0.0049990966085889	-0.0292312314957841	3.63840303049429e-21	TRUE	-0.00157762916678882	0.525704555588824	FALSE	NA	NA	0.0120113812658887	0.959224988707043	Repressed_Promoter	FALSE
Emid1	-0.140678435144152	0.0436350881743523	0.001539	quantifiable	-0.279254179918783	0.0940052414789043	0.0087408012097151	0.0398817232106623	TRUE	-0.00833982629966959	0.0113116391010943	TRUE	NA	NA	0.0751348156891622	0.772842135069674	Repressed_Promoter	FALSE
Hic1	-0.347041008987152	0.0440248098460377	-0.205283	quantifiable	-0.290799026245811	0.120004042513729	-0.164678632983813	2.11664528312e-34	TRUE	-0.0705759426383827	4.35936284889968e-13	TRUE	-0.270586955455028	0.122362782162324	0.541795901782658	0.0298485074976462	Repressed_Promoter	FALSE
Dgki	-0.0233435991101605	0.0443371662312587	0.246487	quantifiable	0.223599854959829	0.0142886268120028	-0.0138650563596591	1.32302241842021e-33	TRUE	0.0135733433638214	3.46505851945534e-47	TRUE	0.406170321481444	0.0184139010820665	-0.354967761898151	0.0284440336876122	Active_Promoter	FALSE
Cep97	-0.755043324511798	0.0464024347783689	0.081574	quantifiable	0.926733380217631	6.67370575176028e-09	0.0208848864358376	3.72466470732543e-11	TRUE	-0.0168327463317975	4.15494412811095e-17	TRUE	-0.0724244547984794	0.600062062802482	NA	NA	Active_Promoter	FALSE
Cltb	-0.130725241415266	0.049316811866315	-0.180637	quantifiable	0.0937727963543089	0.644279432417383	0.067252318819791	3.17844287964587e-23	TRUE	-0.0304406983890581	4.11691944657398e-07	TRUE	0.0458644400358786	0.765567069713845	NA	NA	Active_Promoter	FALSE
