gene	chr	start	end	chg_mc_difference	chg_mc_qvalue	chg_mc_direction	in_cg_hmc
Crybg2	chr4	134060814	134092503	0.000149555094802817	0.000867540213202869	Hypermethylated	FALSE
Zfp990	chr4	145510758	145539187	-0.000133933931296193	0.0338697384238138	Hypomethylated	FALSE
Khdrbs1	chr4	129703163	129742302	0.000116820575849273	0.000288034750648837	Hypermethylated	TRUE
Shisa3	chr5	67607881	67623551	-0.00012816927665921	0.00824987837711422	Hypomethylated	TRUE
Nipal1	chr5	72647794	72671077	-6.81010972425166e-05	0.0248822382808011	Hypomethylated	FALSE
Srd5a3	chr5	76140270	76155503	-0.00013346983051128	0.00951257506609813	Hypomethylated	TRUE
Thegl	chr5	77016022	77061528	-4.2031994754407e-05	0.0161845838860319	Hypomethylated	TRUE
Npffr2	chr5	89527428	89583739	-4.77392221290348e-05	0.000422496439005594	Hypomethylated	TRUE
Albfm1	chr5	90561106	90597870	-6.2133700968275e-05	0.00173790584747963	Hypomethylated	FALSE
Shroom3	chr5	92683434	92965317	-3.51683516883942e-05	3.16994077675538e-13	Hypomethylated	TRUE
Anxa3	chr5	96793338	96845965	-4.35512327355772e-05	0.0368467414444912	Hypomethylated	FALSE
Gpat3	chr5	100845712	100899101	-6.84960603524795e-05	0.0186787757869711	Hypomethylated	FALSE
Sdk1	chr5	141241489	142215585	-1.49546007676262e-05	7.54689083172406e-08	Hypomethylated	TRUE
Rxfp2	chr5	150018674	150082183	-0.000179558561568435	1.17126288029466e-07	Hypomethylated	FALSE
Corin	chr5	72300024	72504472	-1.74636860721389e-05	8.59479122840914e-06	Hypomethylated	TRUE
Cnga1	chr5	72603695	72644274	-4.66119309044883e-05	0.00558500511137034	Hypomethylated	FALSE
Txk	chr5	72695977	72752776	-7.66618579739809e-05	2.0787629516549e-06	Hypomethylated	FALSE
Lrrc66	chr5	73606641	73632525	-0.000221392662025368	4.8146780179371e-07	Hypomethylated	FALSE
Abcg2	chr6	58584522	58695675	-7.11034236505056e-05	0.0350446681007147	Hypomethylated	TRUE
Olfr295	chr7	86583861	86591127	-0.000427100409020598	0.0208071761845697	Hypomethylated	FALSE
Vmn2r78	chr7	86915093	86955311	-0.000145331274941216	0.0042753493494464	Hypomethylated	FALSE
Vmn2r79	chr7	86996114	87044940	-6.73256335865259e-05	0.015762665065581	Hypomethylated	FALSE
Gab2	chr7	97081585	97308945	-0.000120419011522592	4.72501522100219e-14	Hypomethylated	FALSE
Pak1	chr7	97788540	97912380	-0.000160225263692008	1.78017853195879e-12	Hypomethylated	FALSE
Gucy2d	chr7	98440415	98477478	-0.000321871313245254	9.24592072420226e-06	Hypomethylated	FALSE
Lrrc32	chr7	98489282	98502180	-0.000432234401010503	0.00548559685413976	Hypomethylated	FALSE
Xrra1	chr7	99859115	99917821	-0.000194556974788142	7.17499440853925e-05	Hypomethylated	TRUE
Anapc15	chr7	101863714	101901848	-0.000248292952896106	1.54660316247915e-05	Hypomethylated	TRUE
Xndc1	chr7	102065510	102083764	-0.000405913835539391	7.88272015163177e-05	Hypomethylated	FALSE
