chr	start	end	width_kb	is_differential	mecp2_ctrl_mean	mecp2_mut_mean	cg_mc_ctrl_mean	cg_mc_mut_mean	cg_hmc_ctrl_mean	cg_hmc_mut_mean	predicted_a_ctrl	predicted_a_mut	resid_a_ctrl	resid_a_mut	predicted_b_ctrl	predicted_b_mut	resid_b_ctrl	resid_b_mut	cg_mc_log2fc	cg_mc_quartile	dmr_class	mecp2_log2fc	mean_tad_score	mecp2_peak_count	mecp2_up_count	mecp2_down_count
chr1	3230000	3350000	120	FALSE	0.32249731	0.24568754	0.00427282	0.00413679	0.00043126	0.00056751	0.943246408818114	0.922889534290618	-0.620749098818122	-0.677201994290618	0.878302993165946	0.9171748292231	-0.555805683165956	-0.6714872892231	-0.026493	1	Hyper-DMR	-0.177173	1.60088606134361	0	0	0
chr1	3350000	3500000	150	FALSE	0.9653344	0.80501088	0.00300196	0.00286759	0.0005727	0.00070406	0.753062349698706	0.732953893988498	0.212272050301261	0.0720569860115017	0.834267104507073	0.871503132233483	0.131067295492911	-0.0664922522334825	-0.031584	1	Hyper-DMR	-0.188727	1.64729945191102	0	0	0
chr1	3500000	3670000	170	TRUE	0.82709109	0.62982019	0.00349647	0.00332838	0.00062529	0.00078268	0.827065716769145	0.801911066770419	2.53732308544551e-05	-0.172090876770419	0.890134731991336	0.934219455634373	-0.0630436419913399	-0.304399265634373	-0.036657	1	Hyper-DMR	-0.26659	1.85240598616143	0	0	0
chr1	3680000	3830000	150	TRUE	0.41976252	0.3255064	0.00360836	0.00360225	0.00010556	0.00011462	0.843810042953674	0.842895682126188	-0.424047522953675	-0.517389282126188	0.711452576909747	0.714256657490608	-0.291690056909747	-0.388750257490608	-0.001294	2	No DMR	-0.190521	1.31135940884159	0	0	0
chr1	3830000	3960000	130	TRUE	0.44834703	0.35949916	0.00339211	0.00339923	9.166e-05	9.595e-05	0.811448254255807	0.812513761472125	-0.363101224255807	-0.453014601472125	0.690295656914601	0.692371431586998	-0.241948626914602	-0.332872271586998	0.001557	3	No DMR	-0.172012	1.23113679223032	0	0	0
chr1	3970000	4080000	110	FALSE	0.57482377	0.43294448	0.0043365	0.00432962	0.00010654	0.00011374	0.952776113809005	0.95174652256627	-0.377952343809005	-0.51880204256627	0.766199694171406	0.768276875470008	-0.191375924171406	-0.335332395470008	-0.001318	2	No DMR	-0.24251	1.50781099253219	0	0	0
chr1	4120000	4280000	160	FALSE	0.43638577	0.33629369	0.00361036	0.00361528	9.152e-05	9.835e-05	0.844109342733539	0.844845620192006	-0.407723572733539	-0.508551930192006	0.706549260920321	0.709374784936477	-0.270163490920321	-0.373081094936477	0.001042	3	No DMR	-0.198536	1.36908604631477	0	0	0
chr1	4280000	4420000	140	FALSE	0.5411234	0.42154574	0.00356164	0.00356008	0.00014804	0.00014045	0.836818400096036	0.836584946267741	-0.295695000096036	-0.415039206267741	0.723250164972216	0.720402134725669	-0.182126764972216	-0.298856394725669	-0.000333	3	No DMR	-0.209864	1.7584028596022	0	0	0
chr1	4420000	4560000	140	TRUE	0.99108533	0.77072708	0.00486434	0.00485512	0.00021655	0.00021792	1.03176731171089	1.03038753972571	-0.0406819817108889	-0.259660459725713	0.845221520954197	0.845025793177833	0.145863809045803	-0.0742987131778327	-0.001649	2	No DMR	-0.260638	3.12926503841206	0	0	0
chr1	4560000	4750000	190	TRUE	0.71526301	0.56591774	0.00482659	0.00485202	0.00026042	0.00023994	1.02611802836594	1.02992362506692	-0.310855018365943	-0.464005885066922	0.858189431215439	0.852718782135893	-0.142926421215439	-0.286801042135893	0.004562	3	No DMR	-0.219669	2.7175631343487	0	0	0
chr1	4750000	4880000	130	TRUE	0.72874926	0.56564261	0.00586638	0.00601663	0.00091093	0.00074473	1.18172248741869	1.20420738338102	-0.452973227418686	-0.638564773381019	1.16997101546205	1.12138303820543	-0.441221755462046	-0.555740428205431	0.023704	4	Hyper-DMR	-0.23839	1.63419680869271	0	0	0
chr1	4880000	5000000	120	FALSE	0.61141477	0.45263634	0.00554866	0.00562794	0.00051442	0.00038991	1.13417572438938	1.14603996766322	-0.522760954389385	-0.69340362766322	1.00354006912237	0.964653820174463	-0.392125299122374	-0.512017480174463	0.013009	4	Hyper-DMR	-0.262766	1.88004359274174	0	0	0
chr1	5010000	5170000	160	TRUE	0.57545187	0.48144074	0.00449139	0.00453489	0.00051662	0.00043535	0.975955385260624	0.982465155472681	-0.400503515260624	-0.501024415472681	0.925350286772277	0.899352388786574	-0.349898416772278	-0.417911648786574	0.008133	3	Hyper-DMR	-0.155942	2.40715547397323	0	0	0
chr1	5190000	5340000	150	TRUE	0.52165527	0.43031255	0.00406597	0.00407023	0.00013835	0.00012296	0.91229132908561	0.912928837616722	-0.390636059085611	-0.482616287616722	0.75743801964922	0.752217694331989	-0.23578274964922	-0.321905144331989	0.000846	3	No DMR	-0.161242	1.93674981707473	0	0	0
chr1	5350000	5470000	120	FALSE	0.21129668	0.16999338	0.00365141	0.00360347	7.18e-05	7.118e-05	0.850252470715261	0.843078254991905	-0.638955790715262	-0.673084874991905	0.702518986014118	0.69871458563448	-0.491222306014118	-0.528721205634481	-0.010125	1	No DMR	-0.111898	1.85340798484942	0	0	0
chr1	5470000	5630000	160	FALSE	0.33154676	0.25809526	0.0036698	0.00366896	8.971e-05	8.723e-05	0.853004532191117	0.852878826283574	-0.521457772191117	-0.594783566283574	0.710338239164916	0.709382984731108	-0.378791479164917	-0.451287724731108	-0.000177	3	No DMR	-0.166549	2.14235070832488	0	0	0
chr1	5630000	6060000	430	FALSE	0.3317703	0.25941306	0.00368892	0.00366475	8.217e-05	7.757e-05	0.855865838086623	0.852248800246959	-0.524095538086624	-0.592835740246959	0.709053066435482	0.705592038157315	-0.377282766435482	-0.446178978157315	-0.005068	2	No DMR	-0.163864	2.00417437175505	0	0	0
chr1	6080000	6190000	110	FALSE	0.36639342	0.28519994	0.00476545	0.00471519	0.00012475	0.0001152	1.01696843409548	1.00944703062748	-0.65057501409548	-0.724247090627481	0.804797083378353	0.797605638373531	-0.438403663378353	-0.512405698373531	-0.009128	1	No DMR	-0.175587	1.41366133326372	0	0	0
chr1	6210000	6370000	160	FALSE	0.62347157	0.48256205	0.00402017	0.0041548	0.00075582	0.00063885	0.905437364126709	0.9255847288083	-0.28196579412671	-0.4430226788083	0.976232035556364	0.94419411137749	-0.352760465556364	-0.46163206137749	0.02664	4	Hyper-DMR	-0.227569	1.97527826790301	0	0	0
chr1	6370000	6720000	350	TRUE	0.56412395	0.50955766	0.00431124	0.00431372	0.00041968	0.00042527	0.948995957589314	0.949367089316346	-0.384872007589314	-0.439809429316346	0.877005676118464	0.879202672325263	-0.312881726118464	-0.369645012325262	0.000475	3	Hyper-DMR	-0.08959	1.62678479138819	0	0	0
